player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Russell Okung,5531,T,SEA,3,0,29,60.0,100.0,1,1.3,1,63.5,1,100.0,76,76,63.7,100.0,65,85.5,65
Rueben Randle,7065,WR,NYG,3,0,21,62.3,100.0,26,34.2,26,62.8,0,100.0,76,76,62.4,100.0,45,59.2,45
Louis Vasquez,5001,G,DEN,3,0,10,67.9,100.0,24,31.6,24,64.9,1,100.0,76,76,54.0,100.0,40,52.6,40
Chris Clark,4623,T,DEN,3,0,10,49.3,100.0,24,31.6,24,58.2,2,100.0,76,76,60.0,100.0,40,52.6,40
Anthony Fasano,2998,TE,KC,3,0,16,72.1,100.0,32,42.7,32,67.4,0,100.0,75,75,55.5,100.0,41,54.7,41
Brent Celek,3778,TE,PHI,3,0,24,80.4,100.0,14,18.7,14,61.2,0,100.0,75,75,61.3,100.0,59,78.7,59
Heath Miller,2247,TE,PIT,3,0,25,60.5,100.0,37,49.3,37,56.9,1,100.0,75,75,49.7,100.0,29,38.7,29
Maurkice Pouncey,5543,C,PIT,3,0,25,60.4,100.0,36,48.6,36,60.8,0,100.0,74,74,63.6,100.0,29,39.2,29
Matthew Stafford,4924,QB,DET,3,0,11,60.0,100.0,34,45.9,34,60.0,0,92.5,74,80,60.0,100.0,37,50.0,37
Justin Blalock,3655,G,ATL,3,0,2,76.0,100.0,37,50.0,37,70.4,0,100.0,74,74,58.3,100.0,31,41.9,31
Michael Oher,4946,T,TEN,3,0,31,42.6,100.0,17,23.0,17,58.9,1,100.0,74,74,63.6,100.0,42,56.8,42
Ryan Tannehill,7014,QB,MIA,3,0,17,60.0,100.0,11,14.9,11,60.0,0,93.7,74,79,60.0,95.4,62,83.8,65
Chance Warmack,7791,G,TEN,3,0,31,65.5,100.0,17,23.0,17,71.6,1,100.0,74,74,76.3,100.0,42,56.8,42
E.J. Manuel,7797,QB,BUF,3,0,4,60.0,100.0,14,18.9,14,60.0,0,92.5,74,80,60.0,96.2,51,68.9,53
Andy Levitre,4974,G,TEN,3,1,31,62.6,100.0,17,23.0,17,65.3,2,100.0,74,74,67.1,100.0,42,56.8,42
Logan Paulsen,5795,TE,WAS,3,0,32,60.0,100.0,1,1.4,1,66.1,0,100.0,74,74,66.8,100.0,65,87.8,65
John Carlson,4352,TE,ARZ,3,1,1,64.5,100.0,35,47.9,35,55.7,1,100.0,73,73,48.5,100.0,23,31.5,23
Brian Schwenke,7889,C,TEN,3,0,31,73.9,100.0,16,21.9,16,75.3,0,100.0,73,73,64.9,100.0,42,57.5,42
Jon Asamoah,5593,G,ATL,3,1,2,86.3,100.0,36,49.3,36,68.1,1,100.0,73,73,43.6,100.0,31,42.5,31
Ben Roethlisberger,1732,QB,PIT,3,0,25,60.0,100.0,36,49.3,36,60.0,0,98.6,73,74,60.0,100.0,29,39.7,29
Jason Peters,2148,T,PHI,3,0,24,63.5,100.0,14,19.2,14,70.1,0,100.0,73,73,66.9,100.0,59,80.8,59
Sammy Watkins,8639,WR,BUF,3,0,4,59.1,100.0,13,18.1,13,67.6,0,100.0,72,72,62.9,100.0,48,66.7,48
Michael Hoomanawanui,5655,TE,NE,3,0,19,48.6,100.0,37,51.4,37,50.1,1,100.0,72,72,56.5,100.0,28,38.9,28
A.Q. Shipley,5150,C,IND,3,0,14,75.6,100.0,39,54.2,39,67.7,0,100.0,72,72,49.8,100.0,27,37.5,27
Dez Bryant,5549,WR,DAL,3,0,9,81.2,100.0,24,33.3,24,50.6,0,100.0,72,72,58.3,100.0,46,63.9,46
Gosder Cherilus,4331,T,IND,3,0,14,60.8,100.0,39,54.2,39,65.1,0,100.0,72,72,63.6,100.0,27,37.5,27
Malcom Floyd,2044,WR,SD,3,0,27,65.7,100.0,20,27.8,20,71.9,0,100.0,72,72,62.2,100.0,36,50.0,36
Jonathan Goodwin,1146,C,NO,3,0,20,61.1,100.0,18,25.0,18,65.3,0,100.0,72,72,63.9,100.0,45,62.5,45
Jack Mewhort,8694,G,IND,3,0,14,73.9,100.0,39,54.2,39,55.6,1,100.0,72,72,41.4,100.0,27,37.5,27
Anthony Castonzo,6174,T,IND,3,0,14,61.2,100.0,39,54.2,39,59.7,0,100.0,72,72,58.2,100.0,27,37.5,27
Daniel Kilgore,6315,C,SF,3,0,28,67.2,100.0,36,50.7,36,73.4,0,100.0,71,71,66.9,100.0,29,40.8,29
Russell Wilson,7077,QB,SEA,3,0,29,60.0,100.0,1,1.4,1,60.0,0,92.2,71,77,60.0,98.5,65,91.5,66
Jimmy Graham,5619,TE,NO,3,0,20,86.2,100.0,16,22.5,16,76.8,0,100.0,71,71,60.2,100.0,49,69.0,49
Mike Iupati,5542,G,SF,3,0,28,66.7,100.0,36,50.7,36,70.8,0,100.0,71,71,72.2,100.0,29,40.8,29
Andrew Gardner,5105,T,PHI,3,0,24,53.6,100.0,11,15.5,11,68.8,0,100.0,71,71,68.8,100.0,58,81.7,58
Antonio Brown,5718,WR,PIT,3,0,25,63.3,100.0,36,50.7,36,64.4,1,97.3,71,73,63.5,100.0,30,42.3,30
Jonathan Martin,7046,T,SF,3,0,28,55.1,100.0,36,50.7,36,52.8,1,100.0,71,71,62.2,100.0,29,40.8,29
Joe Staley,3644,T,SF,3,0,28,79.3,100.0,36,50.7,36,83.4,0,100.0,71,71,74.6,100.0,29,40.8,29
Riley Cooper,5682,WR,PHI,3,0,24,57.9,100.0,13,18.6,13,69.0,0,100.0,70,70,61.2,100.0,55,78.6,55
Jeremy Maclin,4942,WR,PHI,3,0,24,62.2,100.0,12,17.1,12,63.4,0,100.0,70,70,62.6,100.0,56,80.0,56
Jake Locker,6160,QB,TEN,3,0,31,60.0,100.0,17,24.3,17,60.0,0,94.6,70,74,60.0,100.0,42,60.0,42
Ryan Harris,3686,T,KC,3,0,16,53.8,100.0,31,44.3,31,52.5,1,100.0,70,70,54.0,100.0,37,52.9,37
Julian Edelman,5156,WR,NE,3,0,19,65.8,100.0,35,50.7,35,56.6,0,94.5,69,73,54.2,100.0,28,40.6,28
Hugh Thornton,7867,G,IND,3,0,14,71.3,100.0,37,53.6,37,66.5,0,100.0,69,69,63.1,100.0,27,39.1,27
Charlie Johnson,3144,G,MIN,3,0,18,55.7,100.0,31,44.9,31,57.3,0,100.0,69,69,68.0,100.0,23,33.3,23
Matt Kalil,7010,T,MIN,3,0,18,61.7,100.0,31,44.9,31,58.2,0,100.0,69,69,43.2,100.0,23,33.3,23
Julius Thomas,6281,TE,DEN,3,1,10,64.4,100.0,22,31.9,22,71.1,1,100.0,69,69,51.4,100.0,36,52.2,36
Chris Williams,4328,G,BUF,3,1,4,61.5,100.0,11,15.9,11,45.8,1,100.0,69,69,50.7,100.0,49,71.0,49
Peyton Manning,327,QB,DEN,3,0,10,60.0,100.0,24,34.8,24,60.0,0,90.8,69,76,60.0,100.0,40,58.0,40
Jim Dray,5756,TE,CLV,3,0,8,64.7,100.0,6,8.7,6,73.1,0,100.0,69,69,71.5,100.0,56,81.2,56
John Sullivan,4501,C,MIN,3,0,18,55.2,100.0,31,44.9,31,57.8,0,100.0,69,69,51.1,100.0,23,33.3,23
Phil Loadholt,4977,T,MIN,3,0,18,68.9,100.0,31,44.9,31,59.9,1,100.0,69,69,50.6,100.0,23,33.3,23
Levine Toilolo,7915,TE,ATL,3,0,2,58.7,100.0,35,51.5,35,59.3,0,100.0,68,68,60.5,100.0,28,41.2,28
Brian Hartline,5031,WR,MIA,3,0,17,61.3,100.0,10,14.7,10,47.2,0,100.0,68,68,58.9,100.0,57,83.8,57
Larry Donnell,7638,TE,NYG,3,0,21,77.8,100.0,23,33.8,23,76.0,0,100.0,68,68,60.3,100.0,38,55.9,38
Andrew Luck,7007,QB,IND,3,0,14,60.0,100.0,38,55.9,38,60.0,0,97.1,68,70,60.0,100.0,27,39.7,27
Demaryius Thomas,5547,WR,DEN,3,0,10,59.1,100.0,23,33.8,23,57.0,0,100.0,68,68,62.8,100.0,36,52.9,36
Lance Kendricks,6199,TE,SL,3,0,26,74.9,100.0,26,38.2,26,65.0,0,100.0,68,68,54.3,100.0,32,47.1,32
Brandon Fusco,6324,G,MIN,3,0,18,60.5,100.0,30,44.1,30,62.9,0,100.0,68,68,56.0,100.0,23,33.8,23
Brian Quick,7037,WR,SL,3,0,26,59.8,100.0,27,40.3,27,61.0,0,100.0,67,67,63.5,100.0,31,46.3,31
Terrance Williams,7855,WR,DAL,3,0,9,80.2,100.0,24,35.8,24,69.7,0,100.0,67,67,63.1,100.0,41,61.2,41
Emmanuel Sanders,5606,WR,DEN,3,0,10,60.0,100.0,24,35.8,24,59.2,0,97.1,67,69,62.5,97.4,38,56.7,39
Austin Davis,7305,QB,SL,3,0,26,60.0,100.0,25,37.3,25,60.0,0,95.7,67,70,60.0,100.0,34,50.7,34
Brandon Pettigrew,4943,TE,DET,3,0,11,80.0,100.0,31,47.0,31,74.3,0,100.0,66,66,68.7,100.0,26,39.4,26
Pierre Garcon,4519,WR,WAS,3,0,32,60.0,100.0,1,1.5,1,69.0,1,100.0,66,66,61.0,100.0,62,93.9,62
Owen Daniels,3043,TE,BLT,3,0,3,59.1,100.0,5,7.6,5,60.5,0,100.0,66,66,61.5,100.0,48,72.7,48
Jason Kelce,6343,C,PHI,3,1,24,59.7,100.0,12,18.2,12,73.8,1,100.0,66,66,80.9,100.0,54,81.8,54
Lamar Holmes,7091,T,ATL,3,0,2,53.7,100.0,33,50.8,33,50.1,0,100.0,65,65,49.5,100.0,28,43.1,28
Ryan Kalil,3675,C,CAR,3,0,5,58.9,100.0,35,54.7,35,66.8,0,100.0,64,64,65.3,100.0,23,35.9,23
Robert Woods,7822,WR,BUF,3,0,4,70.8,100.0,14,21.9,14,55.5,0,100.0,64,64,63.8,100.0,44,68.8,44
Nate Washington,2832,WR,TEN,3,0,31,60.4,100.0,16,25.0,16,68.4,0,100.0,64,64,71.5,100.0,36,56.3,36
Kyle Rudolph,6195,TE,MIN,3,0,18,75.2,100.0,30,46.9,30,72.6,0,100.0,64,64,59.6,100.0,22,34.4,22
Jeremy Kerley,6305,WR,NYJ,3,0,22,58.2,100.0,22,34.4,22,82.3,0,98.5,64,65,82.2,97.6,40,62.5,41
Larry Fitzgerald,1724,WR,ARZ,3,0,1,78.6,100.0,35,54.7,35,76.7,0,100.0,64,64,59.7,100.0,21,32.8,21
Michael Roos,2258,T,TEN,3,0,31,77.1,100.0,16,25.0,16,78.4,0,100.0,64,64,77.8,100.0,36,56.3,36
David Bakhtiari,7891,T,GB,3,0,12,57.9,100.0,20,31.7,20,50.9,0,100.0,63,63,52.6,100.0,32,50.8,32
Corey Linsley,8796,C,GB,3,0,12,69.4,100.0,20,31.7,20,60.0,0,100.0,63,63,46.6,100.0,32,50.8,32
Byron Bell,6848,T,CAR,3,0,5,53.8,100.0,34,54.0,34,51.4,1,100.0,63,63,43.7,100.0,23,36.5,23
Greg Olsen,3647,TE,CAR,3,0,5,69.6,100.0,34,54.0,34,66.1,0,100.0,63,63,60.5,100.0,23,36.5,23
Dwayne Allen,7066,TE,IND,3,0,14,78.2,100.0,37,58.7,37,72.4,0,100.0,63,63,54.0,100.0,22,34.9,22
Jermaine Kearse,7428,WR,SEA,3,0,29,60.0,100.0,1,1.6,1,54.1,0,100.0,63,63,66.5,100.0,56,88.9,56
Josh Sitton,4449,G,GB,3,0,12,59.8,100.0,20,31.7,20,70.0,0,100.0,63,63,65.4,100.0,32,50.8,32
T.J. Lang,5032,G,GB,3,0,12,48.5,100.0,20,31.7,20,57.6,0,100.0,63,63,66.9,100.0,32,50.8,32
Brandon Tate,5006,WR,CIN,3,0,7,71.8,100.0,19,30.6,19,82.5,0,98.4,62,63,62.9,100.0,40,64.5,40
Vincent Jackson,2278,WR,TB,3,0,30,81.6,100.0,21,33.9,21,82.6,0,100.0,62,62,63.7,100.0,32,51.6,32
Anthony Collins,4426,T,TB,3,0,30,69.5,100.0,21,33.9,21,69.3,0,100.0,62,62,67.6,100.0,32,51.6,32
Patrick Omameh,8277,G,TB,3,0,30,43.8,100.0,21,33.9,21,49.6,0,100.0,62,62,59.8,100.0,32,51.6,32
Demar Dotson,5410,T,TB,3,0,30,58.1,100.0,21,33.9,21,64.2,0,100.0,62,62,63.5,100.0,32,51.6,32
