player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Shane Lechler,673,P,HST,2,8,8,4.55,35.88,48.25,13.0,0,0,0,2,13,69.0,2,65,0,0,37.5,39,3,8,36.41,287,3,386
Mike Scifres,1458,P,SD,2,9,9,4.62,35.56,40.0,,0,0,0,5,27,60.8,4,53,2,0,0.0,0,0,9,41.62,320,2,360
Andy Lee,1906,P,SF,2,5,5,4.29,47.0,47.2,0.5,0,0,1,1,28,66.1,3,54,0,0,40.0,1,2,5,21.43,235,0,236
Donnie Jones,1939,P,PHI,2,10,10,4.26,37.3,44.5,10.3,0,0,1,2,24,62.6,5,59,0,0,70.0,72,7,10,42.6,373,0,445
Dustin Colquitt,2316,P,KC,2,7,7,4.56,42.14,41.86,-2.0,0,0,1,4,16,67.5,4,52,0,0,14.3,-2,1,7,31.94,295,0,293
Michael Koenen,2682,P,TB,2,7,7,3.85,34.14,39.14,8.8,0,0,2,1,30,62.4,2,56,0,0,57.1,35,4,7,26.92,239,0,274
Sam Koch,3148,P,BLT,2,6,6,4.7,36.83,46.5,19.3,0,0,0,3,3,65.6,2,56,0,0,50.0,58,3,6,28.2,221,0,279
Jon Ryan,3493,P,SEA,2,6,6,4.54,38.83,46.5,6.0,0,0,0,2,29,73.1,2,66,1,0,16.7,6,1,6,27.25,233,2,279
Steve Weatherford,3552,P,NYG,2,9,9,3.92,30.11,42.0,17.4,0,0,1,2,21,61.8,2,56,0,0,55.6,87,5,9,35.28,271,1,378
Brandon Fields,3841,P,MIA,2,7,7,4.02,38.0,42.43,7.8,0,0,0,1,17,56.1,0,49,2,0,57.1,31,4,8,28.15,266,0,297
Brett Kern,4580,P,TEN,2,11,11,4.38,40.64,48.09,12.4,0,0,2,2,31,69.4,4,63,1,0,45.5,62,5,11,48.23,447,1,529
Kevin Huber,5066,P,CIN,2,8,8,4.38,38.5,39.63,3.0,0,0,2,3,7,53.8,5,49,0,0,37.5,9,3,8,35.0,308,0,317
Thomas Morstead,5088,P,NO,2,7,7,4.82,42.0,42.43,1.5,0,0,2,2,20,72.8,4,48,1,0,28.6,3,2,7,33.71,294,0,297
Pat McAfee,5146,P,IND,2,8,8,4.71,46.38,52.5,4.1,0,0,0,0,14,79.3,1,61,0,0,87.5,29,7,8,37.67,371,1,420
Britton Colquitt,5192,P,DEN,2,8,8,4.59,42.5,45.75,3.7,0,0,0,1,10,68.8,2,53,0,0,87.5,26,7,8,36.74,340,0,366
Tim Masthay,5510,P,GB,2,8,8,4.42,41.63,43.38,2.8,0,0,1,1,12,62.9,1,57,1,0,62.5,14,5,8,35.38,333,0,347
Matt Bosher,6344,P,ATL,2,9,9,4.76,39.67,47.0,8.7,0,0,0,4,2,68.7,2,66,0,0,33.3,26,3,9,42.85,357,2,423
Spencer Lanning,6566,P,CLV,2,12,12,4.42,38.17,43.5,11.0,0,0,1,6,8,58.1,5,57,0,0,33.3,44,4,12,52.99,458,1,522
Chris Jones,6798,P,DAL,2,6,6,4.61,45.83,54.67,13.0,0,0,1,1,9,62.3,2,62,1,0,16.7,13,1,6,27.65,275,2,328
Bryan Anger,7072,P,JAX,2,16,16,4.5,39.25,47.13,11.5,0,0,2,2,15,68.6,4,61,1,0,68.8,126,11,16,72.03,628,0,754
Brad Nortman,7192,P,CAR,2,12,12,4.73,36.92,45.92,15.4,0,0,1,3,5,72.0,3,57,1,0,58.3,108,7,12,56.78,443,0,551
Johnny Hekker,7252,P,SL,2,8,8,4.59,46.38,47.13,3.0,0,0,2,3,26,74.0,4,57,1,0,25.0,6,2,8,36.69,371,0,377
Drew Butler,7302,P,ARZ,2,8,8,4.33,40.63,47.75,4.3,0,0,1,1,1,64.1,2,61,0,0,50.0,17,4,9,34.61,325,2,382
Marquette King,7410,P,OAK,2,12,12,4.73,39.83,43.5,6.0,0,0,1,6,23,59.7,1,61,0,0,33.3,24,4,12,56.75,478,1,522
Ryan Quigley,7573,P,NYJ,2,10,10,4.55,41.0,45.2,5.5,0,0,2,2,22,67.4,4,56,1,0,40.0,22,4,10,45.54,410,1,452
Jeff Locke,7937,P,MIN,2,10,10,4.63,37.0,46.0,10.0,0,0,0,1,18,65.1,2,57,0,0,90.0,90,9,10,46.25,370,0,460
Sam Martin,7947,P,DET,2,7,7,4.16,37.71,46.0,9.5,0,0,0,3,11,66.2,2,57,0,0,57.1,38,4,7,29.15,264,1,322
Colton Schmidt,8104,P,BUF,2,9,9,4.5,38.11,38.78,3.0,0,0,2,4,4,69.3,7,54,0,0,22.2,6,2,9,40.48,343,0,349
Ryan Allen,8242,P,NE,2,10,10,4.18,41.7,45.2,8.8,0,0,1,4,19,58.9,6,63,1,0,40.0,35,4,11,41.76,417,0,452
Brad Wing,8256,P,PIT,2,10,10,4.42,37.8,44.5,15.7,0,0,1,5,25,59.3,3,56,0,0,30.0,47,3,10,44.18,378,1,445
Tress Way,8358,P,WAS,2,9,9,4.64,43.11,49.44,6.2,0,0,0,1,32,67.6,3,61,1,0,66.7,37,6,10,41.76,388,1,445
Pat O'Donnell,8826,P,CHI,2,9,9,4.39,37.67,44.11,6.3,0,0,0,1,6,63.5,3,52,2,0,66.7,38,6,10,39.53,339,1,397
