player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Charles Woodson,330,S,OAK,3,100,0,23,0,,,93.1,,,0,0,,59.7,0,,50.0,1,0,0.0,0,27,27.0,29,0,1,0,0,0,0,0.0,,0,2,6.0,50.0,100.0,62.0,31.0,1,1,50.0,89.1,1,9,0.0,0,1,22.9,1,64,64.0,64,0,5,2,0,9,4,0.1,9.0
John Abraham,591,ED,ARZ,1,3,0,1,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,13,0,0,0,0,0,0,,,0,0,,,30.0,,,0,0,,60.4,0,,,0,0,0.0,0,3,100.0,10,0,0,0,0,0,0,0.0,
Julius Peppers,1010,ED,GB,3,4,0,12,0,,,4.0,,,0,0,,66.0,0,,,0,0,0.0,0,1,25.0,25,0,0,0,0,0,0,0.0,,0,0,5.0,50.0,3.6,2.0,1.0,1,1,50.0,53.5,0,5,66.7,2,1,56.3,1,2,50.0,55,1,1,2,0,5,8,2.5,5.0
Dwight Freeney,1019,ED,SD,3,3,0,27,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,33,1,0,0,0,0,0,,,0,0,,,5.7,,,0,0,,61.5,0,,100.0,1,0,0.0,0,3,100.0,53,1,0,0,0,0,0,0.0,
Larry Foote,1126,LB,ARZ,3,89,0,1,0,3.0,100.0,42.4,21.0,21.0,0,0,0.0,50.0,0,7,50.0,2,0,95.8,1,25,28.1,59,0,2,1,0,7,4,0.3,7.0,0,0,4.3,78.6,89.6,5.3,4.1,0,0,0.0,48.1,1,17,36.4,4,0,63.1,11,60,67.4,67,3,7,14,0,88,46,1.5,8.0
Ryan Clark,1229,S,WAS,3,108,0,32,1,9.5,0.0,100.0,,14.0,0,1,50.0,59.0,0,,0.0,0,1,39.6,0,33,30.6,33,0,1,2,0,0,0,0.0,,0,0,2.5,100.0,93.2,32.5,32.5,0,0,0.0,67.2,0,11,0.0,0,0,110.4,2,68,63.0,73,2,4,2,0,21,16,0.3,10.5
Terence Newman,1321,CB,CIN,3,154,0,7,0,8.3,66.7,100.0,9.8,6.5,0,0,0.0,45.9,0,15,33.3,1,0,86.1,4,41,26.6,41,0,2,6,0,41,7,1.1,10.3,0,0,10.6,52.6,100.0,11.1,5.8,1,2,10.5,74.2,0,20,8.3,1,2,66.1,10,113,73.4,113,3,11,19,0,92,15,0.8,9.2
Kevin Williams,1325,DI,SEA,3,7,0,29,0,,,8.3,,,0,0,,59.7,0,,,0,0,0.0,0,1,14.3,12,0,0,0,0,0,0,0.0,,0,0,1.0,0.0,12.8,,5.0,0,0,0.0,57.1,0,,0.0,0,0,39.6,0,5,71.4,39,0,1,1,0,0,0,0.0,
Terrell Suggs,1326,ED,BLT,3,11,0,3,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,16,0,0,0,0,0,0,,,0,0,,,14.9,,,0,0,,61.2,0,,0.0,0,0,0.0,0,10,90.9,67,1,1,0,0,0,0,0.0,
Troy Polamalu,1332,S,PIT,3,117,0,25,0,,,97.3,,,0,0,,71.9,0,,0.0,0,0,0.0,0,36,30.8,37,0,3,0,0,0,0,0.0,,0,1,-1.0,100.0,96.1,33.0,33.0,0,0,0.0,70.5,0,23,20.0,2,0,112.5,2,74,63.2,77,2,7,2,0,22,24,0.3,11.0
Calvin Pace,1334,ED,NYJ,3,53,0,22,0,,,29.6,,,0,0,,67.3,0,,0.0,0,0,0.0,0,8,15.1,27,0,1,0,0,0,0,0.0,,0,0,-2.3,75.0,52.6,13.3,10.0,0,0,0.0,63.6,0,11,33.3,1,0,85.4,3,41,77.4,78,2,2,4,0,20,28,0.5,6.7
Charles Tillman,1351,CB,CHI,2,51,0,6,0,5.0,100.0,100.0,6.0,6.0,0,0,0.0,53.8,0,5,0.0,0,0,87.5,1,6,11.8,6,0,1,1,0,5,0,0.8,5.0,0,0,13.0,75.0,97.7,6.7,5.0,1,1,12.5,70.9,0,22,0.0,0,1,96.4,6,43,84.3,44,4,7,8,0,61,9,1.5,10.2
Rashean Mathis,1355,CB,DET,3,112,0,11,0,20.0,0.0,100.0,,11.5,0,1,50.0,72.2,0,,,0,1,39.6,0,27,24.1,27,0,0,2,0,0,0,0.0,,0,1,9.3,75.0,98.7,12.0,9.0,0,0,0.0,69.5,0,24,0.0,0,0,137.5,6,78,69.6,79,1,6,8,1,64,17,0.9,10.7
Cory Redding,1381,DI,IND,3,1,0,14,0,,,3.4,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,29,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,49,0,0,0,0,0,0,,
Lance Briggs,1383,LB,CHI,3,107,0,6,0,-1.0,100.0,70.0,7.0,7.0,0,0,0.0,41.6,0,7,,0,0,135.4,1,7,6.5,10,0,0,1,1,7,8,1.0,7.0,0,1,6.8,83.3,93.2,9.2,7.7,0,0,0.0,48.9,0,24,25.0,2,0,106.9,10,96,89.7,103,3,5,12,0,116,58,1.3,11.6
Jarret Johnson,1421,ED,SD,2,20,0,27,0,6.0,100.0,9.1,1.0,1.0,0,0,0.0,60.4,0,37,0.0,0,0,118.8,1,1,5.0,11,0,1,1,0,37,31,37.0,37.0,0,0,0.5,100.0,40.0,6.0,6.0,0,0,0.0,82.0,0,4,0.0,0,0,81.3,2,14,70.0,35,1,3,2,0,7,6,0.6,3.5
Ike Taylor,1437,CB,PIT,3,95,0,25,0,7.3,50.0,100.0,13.0,6.5,0,1,25.0,57.0,0,12,0.0,0,1,65.6,2,29,30.5,29,0,2,4,0,21,5,0.8,10.5,0,1,20.5,66.7,100.0,14.0,9.3,1,1,16.7,57.2,0,17,20.0,1,1,90.3,4,62,65.3,62,0,3,6,0,47,10,0.8,11.8
Chris Clemons,1585,ED,JAX,3,6,0,15,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,15,0,0,0,0,0,0,,,0,0,,,7.0,,,0,0,,56.9,0,,0.0,0,0,0.0,0,6,100.0,86,3,2,0,0,0,0,0.0,
Cullen Jenkins,1637,DI,NYG,3,2,0,21,0,,,0.0,,,0,0,,60.0,0,,50.0,1,0,0.0,0,0,0.0,15,1,1,0,0,0,0,,,0,0,,,4.5,,,0,0,,59.5,0,,,0,0,0.0,0,2,100.0,44,0,0,0,0,0,0,0.0,
DeAngelo Hall,1729,CB,WAS,3,92,0,32,1,9.5,100.0,100.0,11.0,11.0,0,0,0.0,53.1,0,16,0.0,0,0,118.8,2,24,26.1,24,0,1,2,0,30,11,1.4,15.0,0,1,19.5,75.0,98.4,19.0,14.3,0,0,0.0,50.3,0,26,12.5,1,0,112.5,3,61,66.3,62,1,6,4,0,46,7,0.8,15.3
D.J. Williams,1738,LB,CHI,3,51,0,6,0,3.0,0.0,100.0,,2.0,0,0,0.0,68.1,0,,,0,0,39.6,0,2,3.9,2,0,0,1,0,0,0,0.0,,0,0,8.5,83.3,100.0,9.0,7.5,0,0,0.0,43.1,0,17,14.3,1,0,95.8,5,46,90.2,46,2,6,6,0,42,14,0.9,8.4
Vince Wilfork,1742,DI,NE,3,1,0,19,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,28,0,0,0,0,0,0,,,0,0,,,2.7,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,37,0,0,0,0,0,0,0.0,
Jason Babin,1748,ED,NYJ,3,5,0,22,0,,,14.3,,,0,0,,60.0,0,,,0,0,0.0,0,1,20.0,7,0,0,0,0,0,0,0.0,,0,0,,,13.0,,,0,0,,61.2,0,,0.0,0,0,0.0,0,3,60.0,23,2,1,0,0,0,0,0.0,
Karlos Dansby,1754,LB,CLV,3,102,0,8,0,2.8,60.0,73.3,10.0,6.0,0,1,20.0,81.7,1,30,50.0,2,1,97.9,3,33,32.4,45,2,2,5,1,55,48,1.8,18.3,0,1,2.7,90.0,90.9,6.6,5.9,0,0,0.0,58.3,0,23,16.7,1,0,112.5,9,60,58.8,66,3,4,10,0,110,96,1.9,12.2
Daryl Smith,1760,LB,BLT,3,109,0,3,0,1.3,66.7,86.4,8.5,5.7,0,1,33.3,65.6,0,32,,0,1,100.7,2,19,17.4,22,0,0,3,0,31,35,1.8,15.5,0,0,4.2,64.3,100.0,9.0,5.8,0,0,0.0,52.3,0,18,14.3,2,0,76.8,9,85,78.0,85,4,12,14,0,71,61,0.9,7.9
