player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Andrew Luck,7007,QB,IND,15,-5.11,0,662,14,71.7,512,553,10.2,2.92,12,35,5.9,59.9,331,236,9.8,615,92.9,36,228,,,,,59.7,78.7,66.4,,76.8,,,68.4,,,10,16,653,11.0,95.8,4.2,26,36,0,19,38,29,4.4,4384,7.9,73.2,451,487,8.7,2.7,13,25,4.8,62.6,305,183,7.6,534,80.7,25,192,,,,,61.9,72.5,64.2,,70.6,,,68.0,,,9,15,567,10.9,91.3,3.7,20,27,0,14,28,25,4.4,3592,7.4,75.7,103,113,11.5,3.43,1,10,8.4,57.5,65,55,16.7,128,19.3,13,49,,,,,62.9,88.3,81.6,,86.5,,,63.9,,,1,1,134,10.9,113.1,4.7,6,9,0,8,10,5,3.7,1010,8.9,0,97.6,42,47,-2.7,1.78,2,0,0.0,83.0,39,2,4.9,47,7.1,2,13,,,,,80.1,62.6,77.8,,62.1,,,,,,0,0,48,0.0,86.0,0.0,0,0,0,3,0,1,2.1,218,4.6,1.56
Drew Brees,802,QB,NO,15,2.9,0,662,20,79.2,520,563,9.2,2.69,11,29,4.9,68.2,384,222,6.8,604,91.2,28,243,,,,,65.1,89.2,55.4,,88.8,,,48.1,,,8,14,641,12.2,99.0,4.5,27,14,6,18,31,27,4.2,4338,7.7,80.0,481,521,7.7,2.48,10,18,3.3,69.1,360,182,6.5,551,83.2,25,210,,,,,61.4,79.5,53.3,,79.3,,,49.5,,,9,14,580,9.9,94.0,3.3,18,12,6,15,24,27,4.7,3775,7.2,84.4,90,100,9.7,3.21,2,11,10.3,72.0,72,43,5.3,111,16.8,4,43,,,,,86.1,96.2,81.2,,95.2,,,54.5,,,0,0,119,20.9,126.1,8.1,9,2,0,8,8,0,0.0,896,9.0,0,96.1,51,58,-4.3,1.72,1,0,0.0,82.8,48,3,2.0,58,8.8,1,10,,,,,81.3,68.9,78.5,,68.0,,,,,,1,0,58,0.0,96.3,0.0,0,0,0,5,1,0,0.0,333,5.7,1.71
Matt Ryan,4317,QB,ATL,15,5.39,0,629,2,75.2,487,522,9.5,2.68,8,32,5.8,64.6,337,212,7.9,570,90.6,29,213,,,,,68.2,86.5,77.4,,84.5,,,64.8,,,6,12,602,11.8,92.2,4.4,25,23,5,16,23,21,3.5,3910,7.5,77.0,444,478,8.1,2.55,7,26,5.1,65.5,313,171,8.5,514,81.7,29,184,,,,,73.2,86.7,76.4,,84.8,,,62.3,,,6,8,543,11.7,94.5,3.9,20,16,5,16,20,16,2.9,3538,7.4,77.8,99,103,9.4,2.81,1,6,5.6,70.9,73,45,5.2,115,18.3,4,45,,,,,60.3,73.7,81.3,,71.9,,,66.2,,,0,4,121,11.1,107.1,4.3,5,7,0,3,8,5,4.1,896,8.7,0,94.6,56,59,-2.2,1.74,0,0,0.0,83.1,49,4,7.5,59,9.4,4,16,,,,,81.7,71.7,78.8,,70.6,,,,,,0,0,62,0.0,131.9,0.0,0,0,0,3,5,0,0.0,524,8.9,1.3
Matthew Stafford,4924,QB,DET,15,1.17,0,620,11,69.9,455,495,9.8,2.73,9,25,4.7,57.4,284,195,10.7,552,89.0,34,177,,,,,71.3,68.7,77.7,,68.4,,,51.4,,,4,12,587,21.5,81.6,7.6,42,14,3,24,18,15,2.6,3529,7.1,72.5,411,445,7.7,2.56,8,22,4.7,60.9,271,149,9.1,489,78.9,27,153,,,,,67.2,68.5,76.5,,68.6,,,48.3,,,3,9,514,20.8,85.7,6.3,31,13,3,20,16,11,2.1,3128,7.0,74.8,107,116,9.9,2.97,1,3,2.3,62.1,72,49,10.0,131,21.1,8,46,,,,,87.5,66.4,81.9,,65.4,,,63.5,,,1,3,145,24.5,84.1,9.2,12,2,0,7,3,4,2.8,902,7.8,0,95.2,63,66,-3.4,1.95,0,0,0.0,89.4,59,3,1.7,68,11.0,1,22,,,,,82.7,65.7,79.3,,66.1,,,56.8,,,0,0,72,33.3,103.3,1.5,1,1,0,3,1,0,0.0,501,7.6,0.75
Ben Roethlisberger,1732,QB,PIT,15,-3.33,0,611,25,73.8,488,513,10.3,2.55,7,32,5.9,65.5,336,167,6.7,551,90.2,24,219,,,,,59.9,88.7,66.7,,88.9,58.4,,33.7,,,5,8,584,19.2,104.4,5.8,32,6,9,4,30,13,2.2,4273,8.3,76.2,428,448,8.3,2.33,5,22,4.7,68.1,305,131,6.4,485,79.4,21,180,,,,,46.0,82.9,64.9,,83.7,58.4,,33.7,,,4,7,512,22.9,100.8,6.2,30,6,9,2,20,11,2.1,3617,8.1,74.1,116,122,12.0,2.97,2,10,7.8,64.8,79,42,8.1,126,20.6,7,50,,,,,87.0,85.8,81.6,,83.4,,,,,,1,1,133,9.5,115.1,3.2,4,0,0,3,10,4,3.0,1029,8.4,0,92.9,56,57,-2.1,1.62,0,0,0.0,84.2,48,6,7.7,60,9.8,4,11,,,,,39.3,56.0,78.7,,56.0,,,,,,0,0,61,33.3,93.9,3.3,2,0,0,1,0,2,3.3,373,6.5,0.36
Ryan Tannehill,7014,QB,MIA,15,-6.38,0,598,17,74.5,474,504,8.9,2.69,12,21,3.9,64.9,327,219,7.4,551,92.1,26,202,,,,,50.3,76.4,77.0,,77.1,58.4,,49.6,,,2,12,586,17.8,93.0,7.1,39,8,1,15,26,26,4.4,3582,7.1,75.4,403,419,7.6,2.5,6,17,3.8,68.5,287,157,5.6,452,75.6,17,158,,,,,50.1,73.7,75.2,,74.7,,,50.0,,,1,8,480,16.6,95.4,5.8,26,7,1,8,20,19,4.0,2841,6.8,79.3,116,132,9.0,2.97,8,4,2.8,62.1,82,65,10.9,146,24.4,10,55,,,,,66.0,77.0,82.2,,75.9,58.4,,58.3,,,1,4,156,20.0,86.6,8.9,13,1,0,7,6,7,4.5,959,7.3,0,95.6,45,47,-2.8,1.74,2,0,0.0,89.4,42,3,2.3,47,7.9,1,11,,,,,80.4,68.2,78.0,,67.4,,,,,,0,0,50,0.0,86.0,0.0,0,0,0,0,0,0,0.0,218,4.6,0.49
Derek Carr,8671,QB,OAK,15,2.4,0,594,23,68.1,474,521,9.3,2.61,12,13,2.4,57.0,297,195,8.0,552,92.9,26,154,,,,,54.3,52.3,25.3,,55.7,59.9,,28.9,,,7,11,582,10.8,76.7,3.8,21,10,6,22,19,24,4.1,2974,5.7,69.4,405,444,8.3,2.43,14,11,2.3,58.1,258,146,8.2,467,78.6,23,122,,,,,47.1,48.6,19.2,,52.9,,,27.3,,,4,11,495,11.6,73.4,3.6,17,6,6,15,13,22,4.4,2500,5.6,72.6,106,119,8.8,3.05,1,2,1.6,60.5,72,54,6.5,127,21.4,5,38,,,,,86.8,69.7,81.6,,68.1,59.9,,66.6,,,3,0,130,7.4,93.5,3.1,4,4,0,9,7,2,1.5,612,5.1,0,94.6,37,42,-2.8,1.86,3,0,0.0,78.6,33,5,5.7,42,7.1,2,6,,,,,79.5,64.0,77.4,,63.5,,,,,,0,0,43,0.0,88.3,0.0,0,0,0,2,1,0,0.0,138,3.3,-0.49
Tom Brady,698,QB,NE,15,4.78,0,594,19,73.3,475,514,9.8,2.47,9,23,4.1,62.1,319,166,8.3,542,91.2,29,211,,,,,77.0,84.8,89.7,,83.4,,,53.0,,,11,9,585,12.0,98.6,3.7,20,8,0,19,33,14,2.4,3788,7.4,72.9,391,419,8.0,2.31,8,14,3.1,63.2,265,117,7.0,437,73.6,20,149,,,,,80.2,78.5,89.2,,77.4,,,53.8,,,7,6,472,9.4,95.4,2.5,11,7,0,13,25,8,1.7,2680,6.4,80.9,136,147,10.0,2.59,1,9,5.8,68.0,100,53,9.1,157,26.4,10,71,,,,,67.9,88.4,82.5,,86.2,,,58.3,,,4,3,166,17.0,106.6,5.7,9,1,0,6,8,6,3.6,1348,9.2,0,90.4,52,52,-3.5,1.43,0,0,0.0,88.5,46,4,2.1,52,8.8,1,9,,,,,80.8,68.0,78.2,,67.2,,,,,,0,0,53,0.0,85.9,0.0,0,0,0,0,0,0,0.0,240,4.6,2.77
Philip Rivers,1725,QB,SD,15,17.1,0,585,27,73.3,453,488,9.8,2.77,2,28,5.3,63.9,312,198,6.0,537,91.8,20,196,,,,,75.9,77.3,89.5,,76.9,,,47.4,,,7,16,577,14.6,91.5,5.4,29,19,1,25,27,16,2.8,3669,7.5,74.6,457,490,8.8,2.69,1,27,5.1,65.5,321,189,5.9,538,92.0,20,188,,,,,75.8,75.0,89.5,,74.8,,,47.4,,,7,16,575,14.8,91.4,5.2,28,19,1,24,27,16,2.8,3522,7.2,88.4,43,46,7.3,2.48,1,1,2.0,82.6,38,10,0.0,47,8.0,0,22,,,,,80.4,86.0,78.0,,83.8,,,,,,0,0,50,10.0,138.5,2.1,1,0,0,2,4,0,0.0,473,10.3,0,100.0,47,48,-2.8,1.62,0,0,0.0,97.9,47,1,0.0,48,8.2,0,14,,,,,80.1,71.8,77.8,,70.8,,,,,,0,0,48,0.0,122.7,0.0,0,0,0,1,4,0,0.0,326,6.8,3.09
Eli Manning,1722,QB,NYG,15,-0.15,0,582,21,71.9,467,497,9.8,2.54,5,15,2.9,62.4,310,162,7.7,531,91.2,26,193,,,,,59.5,73.2,66.6,,71.9,59.7,,58.6,,,3,13,561,17.3,93.2,5.3,28,6,1,21,29,23,4.1,3651,7.3,74.6,398,426,7.9,2.34,5,11,2.4,64.1,273,119,8.1,452,77.7,24,152,,,,,72.2,73.8,64.4,,72.2,,,62.3,,,3,9,478,17.6,89.4,4.6,21,5,1,19,18,14,2.9,2925,6.9,71.1,114,122,11.4,3.01,0,4,3.1,63.9,78,48,3.7,130,22.3,3,52,,,,,38.3,66.1,81.8,,66.0,59.7,,55.9,,,0,4,137,14.6,107.8,5.4,7,1,0,8,11,9,6.6,1056,8.7,0,93.3,45,51,-2.4,1.97,0,0,0.0,80.4,41,5,2.4,51,8.8,1,11,,,,,80.9,65.4,78.3,,64.8,,,,,,0,0,54,0.0,93.6,0.0,0,0,0,6,0,0,0.0,330,6.5,1.79
