player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Anthony Castonzo,6174,T,IND,10,1,14,87.1,6,19,474,100.0,100.0,97.2,3,26,1,498,498,83.5,6,11,242,100.0,100.0,96.1,18,1,258,258
Gosder Cherilus,4331,T,IND,10,0,14,68.3,12,17,473,100.0,100.0,96.1,1,33,4,497,497,65.5,9,10,242,100.0,100.0,94.8,22,3,258,258
Maurkice Pouncey,5543,C,PIT,11,1,25,83.9,2,11,445,100.0,100.0,98.3,2,14,1,475,475,71.3,2,7,175,100.0,100.0,96.9,10,1,186,186
David DeCastro,7640,G,PIT,11,0,25,79.4,2,15,445,100.0,100.0,97.4,2,20,3,475,475,66.5,1,9,175,100.0,100.0,96.0,12,2,186,186
Kelvin Beachum,7229,T,PIT,11,0,25,90.3,1,6,445,100.0,100.0,97.6,2,14,7,475,475,79.4,0,5,175,100.0,100.0,94.6,12,7,186,186
Jahri Evans,3053,G,NO,10,0,20,57.6,6,21,434,100.0,100.0,96.2,0,30,3,465,465,41.3,4,19,206,100.0,100.0,93.4,25,2,221,221
Ben Grubbs,3645,G,NO,10,0,20,70.5,5,19,434,100.0,100.0,97.0,1,25,1,465,465,58.7,5,12,206,100.0,100.0,95.4,18,1,221,221
Jason Peters,2148,T,PHI,10,1,24,90.8,4,9,428,100.0,100.0,98.2,4,14,1,455,455,88.1,3,6,169,100.0,100.0,97.3,9,0,184,184
Ryan Kalil,3675,C,CAR,11,0,5,76.2,1,11,424,100.0,100.0,98.1,0,14,2,454,454,72.3,1,5,193,100.0,100.0,97.9,7,1,203,203
Orlando Franklin,6198,G,DEN,10,0,10,79.1,2,6,424,100.0,100.0,98.8,2,9,1,453,453,61.9,2,5,137,100.0,100.0,96.7,8,1,149,149
Kyle Long,7801,G,CHI,10,0,6,85.0,1,9,422,100.0,100.0,98.8,2,10,0,452,452,78.9,1,7,192,100.0,100.0,97.9,8,0,207,207
Louis Vasquez,5001,G,DEN,10,1,10,77.3,5,9,423,100.0,100.0,98.1,2,15,1,452,452,68.3,4,5,137,100.0,100.0,96.7,9,0,149,149
Manuel Ramirez,3733,C,DEN,10,0,10,76.0,1,12,422,100.0,100.0,98.2,0,14,1,451,451,64.5,1,5,135,100.0,100.0,97.8,6,0,147,147
