player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Shane Lechler,673,P,HST,15,77,77,4.31,38.66,46.03,12.5,0,0,11,22,13,62.8,28,71,4,0,40.3,387,31,78,331.55,2977,9,3544
Dave Zastudil,1113,P,ARZ,1,11,11,4.03,36.27,42.45,8.0,0,0,0,2,1,47.5,2,53,2,0,54.5,48,6,11,44.3,399,1,467
Mike Scifres,1458,P,SD,13,55,55,4.58,39.51,45.71,10.5,0,0,9,12,27,74.3,22,72,7,0,38.2,221,21,56,252.15,2173,6,2514
Mat McBriar,1659,P,SD,2,8,8,4.2,39.88,50.0,10.2,0,0,0,1,27,56.8,1,58,0,0,75.0,61,6,8,33.62,319,1,400
Ben Roethlisberger,1732,QB,PIT,1,0,0,0.0,0.0,0.0,,0,0,0,0,25,60.0,0,0,0,0,0.0,0,0,1,0.0,0,0,0
Andy Lee,1906,P,SF,15,68,68,4.49,40.26,46.65,9.5,0,1,2,22,28,75.8,28,71,3,1,48.5,314,33,70,305.1,2738,6,3172
Donnie Jones,1939,P,PHI,15,69,69,4.26,38.57,44.04,8.2,0,0,13,15,24,58.9,30,68,5,0,42.0,238,29,69,293.93,2661,7,3039
Dustin Colquitt,2316,P,KC,15,66,66,4.4,39.82,43.97,7.0,0,0,13,19,16,71.4,32,69,2,0,37.9,174,25,66,290.51,2628,5,2902
Michael Koenen,2682,P,TB,15,75,75,4.35,36.88,39.88,6.0,0,0,13,25,30,51.1,17,56,5,0,41.3,185,31,75,325.88,2766,2,2991
Nick Novak,2726,K,SD,1,6,6,4.33,36.67,40.0,5.0,0,0,0,2,27,52.6,1,51,0,0,66.7,20,4,6,25.95,220,0,240
Sam Koch,3148,P,BLT,15,54,54,4.2,43.15,47.06,6.9,0,0,5,13,3,68.2,26,73,10,0,40.7,151,22,54,227.04,2330,3,2541
Jon Ryan,3493,P,SEA,15,58,58,4.54,38.64,44.24,12.8,0,0,9,19,29,81.2,27,66,7,0,27.6,205,16,59,263.1,2241,6,2566
Steve Weatherford,3552,P,NYG,15,74,74,4.12,39.05,45.8,10.8,0,0,14,15,21,63.2,24,71,4,0,47.3,379,35,74,305.11,2890,6,3389
Brandon Fields,3841,P,MIA,15,53,53,4.08,38.7,45.96,10.2,0,1,3,10,17,61.0,22,60,5,1,60.4,325,32,55,216.39,2051,3,2436
Brett Kern,4580,P,TEN,15,81,81,4.39,40.8,46.11,7.8,0,0,6,23,31,72.4,28,69,6,0,49.4,310,40,82,355.34,3305,6,3735
Kevin Huber,5066,P,CIN,15,70,70,4.3,42.84,46.59,5.1,0,0,14,15,7,64.8,29,69,7,0,40.0,142,28,70,301.09,2999,6,3261
Thomas Morstead,5088,P,NO,14,55,55,4.58,42.93,45.89,3.0,0,1,10,12,20,84.3,20,63,5,1,38.2,63,21,56,252.15,2361,5,2524
Pat McAfee,5146,P,IND,15,63,63,4.55,43.03,47.08,6.1,0,0,4,18,14,92.3,26,61,5,0,50.8,195,32,63,286.96,2711,3,2966
Britton Colquitt,5192,P,DEN,15,66,66,4.44,37.48,43.67,12.4,0,0,7,20,10,59.5,26,65,6,0,42.4,348,28,66,293.33,2474,3,2882
