player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Derrick Henry,10679,HB,TEN,8,219,32,9,28.2,264,0,937,0,3,32,728,49.1,20,49,31,1,98,82.5,75.1,41.3,70.7,54.4,69.4,72.6,72.2,76,1,154,18,120,239,0,0,20,237,10,937,728,3.32,4.3,1.28,121
Najee Harris,57121,HB,PIT,9,177,33,4,12.1,76,1,627,5,25,33,475,70.4,16,35,25,0,80,90.7,69.1,56.1,,73.8,70.0,67.9,35.0,20,1,317,44,267,204,0,0,56,221,4,627,475,2.68,3.5,1.19,88
Jonathan Taylor,57488,HB,IND,10,161,37,11,41.4,388,0,937,3,6,37,579,81.4,24,53,14,3,57,48.4,85.0,43.0,,28.0,63.4,90.2,46.3,83,1,303,29,171,185,0,0,34,190,9,937,579,3.6,5.8,1.77,99
Joe Mixon,11803,HB,CIN,9,150,25,5,16.7,106,0,636,0,3,25,483,52.4,15,30,7,1,43,75.4,81.3,84.9,,25.6,63.4,85.9,56.9,27,0,194,22,159,169,0,0,25,172,7,636,483,3.22,4.2,1.22,107
Alvin Kamara,11822,HB,NO,8,146,24,2,7.2,38,0,530,5,6,24,370,42.7,10,21,20,0,42,90.3,62.1,87.0,,12.7,68.0,63.2,58.2,23,0,310,32,181,189,0,0,42,178,3,530,370,2.53,3.6,1.71,96
Ezekiel Elliott,10638,HB,DAL,9,142,15,5,18.3,121,1,663,0,4,15,419,33.4,18,36,9,1,49,75.3,71.2,50.1,60.1,35.0,67.6,73.6,55.4,47,1,168,26,224,167,0,0,31,168,7,663,419,2.95,4.7,0.75,87
Dalvin Cook,11796,HB,MIN,7,140,32,11,37.3,242,0,648,3,4,32,384,62.5,23,35,18,2,31,57.7,62.7,83.8,,41.3,48.2,66.9,60.1,66,0,109,18,157,159,0,0,23,158,3,648,384,2.74,4.6,0.69,103
Antonio Gibson,78050,HB,WAS,9,135,16,4,14.4,73,1,506,4,6,16,372,39.4,9,34,32,4,42,28.4,62.0,34.7,,41.6,54.9,65.0,58.8,27,1,158,19,129,155,0,0,23,154,5,506,372,2.76,3.7,1.22,91
Damien Harris,35134,HB,NE,9,133,26,6,27.4,150,0,547,0,4,26,396,62.0,12,29,19,2,93,54.1,84.4,81.5,,53.9,66.4,82.9,66.2,35,0,63,11,79,150,0,0,13,144,7,547,396,2.98,4.1,0.8,26
Darrell Henderson,41193,HB,LA,9,126,17,7,20.9,124,0,593,3,4,17,320,35.8,19,32,26,0,36,90.0,70.4,88.9,,77.3,46.5,80.4,59.9,29,0,154,23,237,146,0,0,35,149,5,593,320,2.54,4.7,0.65,89
