player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_overall_tackle,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_grades_tackle,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_overall_tackle,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_grades_tackle,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_overall_tackle,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_grades_tackle,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_overall_tackle,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_grades_tackle,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Patrick Mahomes,11765,QB,KC,7,319,85.3,34,40,7.3,2.39,0,2,4.7,70.0,28,18,3.4,43,13.5,1,21,,,,,29.4,71.0,77.7,,68.8,,63.9,,0,1,46,11.1,104.8,4.7,2,1,0,6,2,1,2.2,366,9.2,0,16,33.8,75.8,72.9,73.9,78.2,216,237,8.3,2.87,1,10,3.9,67.1,159,87,5.9,276,86.5,10,109,,,,,52.1,76.5,84.7,,72.2,,79.8,,5,8,297,13.8,96.8,4.3,12,26,0,15,16,8,2.7,1727,7.3,83.8,191,198,6.5,2.35,1,7,3.3,76.3,151,0,5.6,214,67.1,9,97,,,,,57.4,81.2,83.7,,77.8,,75.4,,0,5,226,,109.6,0.0,0,15,0,6,14,4,1.8,1469,7.4,2,64.4,59,79,13.6,3.76,0,5,5.6,45.6,36,105,5.3,105,32.9,2,33,,,,,31.5,64.0,81.1,,59.5,,76.9,,5,4,117,13.3,68.8,13.3,14,12,0,15,4,5,4.3,624,7.9
Tom Brady,698,QB,TB,7,317,82.0,61,67,7.9,2.11,3,3,4.3,70.1,47,21,6.0,69,21.8,3,33,,,,,82.5,90.3,79.3,,88.3,,,,0,1,71,9.5,121.4,2.9,2,0,0,3,7,0,0.0,519,7.7,0,30,90.9,92.4,91.1,75.3,73.5,223,236,9.4,2.44,1,18,7.3,66.1,156,50,4.9,248,78.2,8,94,,,,,90.4,90.8,84.2,,89.1,,70.1,,1,2,257,14.0,104.4,2.8,7,5,1,10,14,1,0.4,1756,7.4,77.9,231,242,8.4,2.21,4,16,6.4,71.1,172,0,4.4,246,77.6,8,107,,,,,90.4,93.2,84.1,,91.9,,73.4,,0,2,254,,110.8,0.0,0,4,1,6,15,0,0.0,1872,7.7,0,64.2,53,61,12.0,2.91,0,5,7.8,50.8,31,71,8.8,71,22.4,3,20,,,,,82.7,72.9,79.4,,72.3,,58.3,,1,1,74,12.7,97.9,12.7,9,1,0,7,6,1,1.4,403,6.6
Jared Goff,10635,QB,DET,7,301,79.3,58,62,6.6,2.44,0,2,3.1,62.9,39,27,15.2,67,22.3,7,21,,,,,82.4,63.1,79.2,,63.8,60.0,56.8,,1,1,69,14.8,102.6,6.0,4,1,0,3,4,1,1.4,496,8.0,1,11,40.2,61.5,63.8,37.7,75.3,194,212,6.6,2.78,1,5,2.2,67.0,142,74,2.7,234,77.7,4,72,,,,,42.3,62.3,84.1,,63.2,,48.4,,2,5,254,17.6,79.5,5.6,13,9,3,12,4,9,3.5,1277,6.0,80.2,187,196,5.8,2.44,1,4,1.9,73.0,143,0,4.7,200,66.4,7,74,,,,,90.1,71.4,83.4,,70.8,,55.8,,0,2,212,,100.6,0.0,0,4,3,5,8,4,1.9,1335,6.8,5,64.6,65,78,9.2,3.22,0,3,3.4,48.7,38,101,9.5,101,33.6,4,19,,,,,24.4,47.9,81.0,,50.7,60.0,45.6,,3,4,111,16.8,44.7,16.8,17,6,0,10,0,6,5.4,438,5.6
Derek Carr,8671,QB,LV,7,290,68.3,63,70,11.8,2.53,1,11,14.5,58.6,41,34,4.7,77,26.6,2,29,,,,,83.5,90.6,79.8,,89.7,,58.3,,1,1,83,17.6,107.4,7.8,6,1,0,5,4,1,1.2,729,10.4,0,23,81.1,89.1,89.9,47.6,83.6,183,196,8.4,2.74,4,13,6.3,70.9,139,64,9.2,213,73.4,14,65,,,,,74.0,83.4,83.6,,83.7,,44.1,,2,4,224,17.2,99.0,5.2,11,6,2,5,8,5,2.2,1540,7.9,83.2,184,190,8.1,2.38,4,18,9.0,75.3,143,0,6.5,192,66.2,10,71,,,,,90.0,91.7,83.2,,91.0,,52.3,,0,1,202,,113.5,0.0,0,2,2,0,8,3,1.5,1679,8.8,2,69.4,62,76,12.7,3.26,1,6,7.4,48.7,37,98,14.0,98,33.8,6,23,,,,,55.2,70.7,80.7,,72.7,,46.5,,3,4,105,17.3,70.6,17.3,17,5,0,10,4,3,2.9,590,7.8
Jalen Hurts,40291,QB,PHI,7,287,64.4,59,66,10.5,2.99,2,6,8.1,56.1,37,38,2.6,76,26.5,1,28,,,,,48.4,69.1,79.9,,65.6,,75.3,,0,0,84,10.5,111.6,5.3,4,5,0,5,5,3,3.6,594,9.0,0,24,68.8,79.1,74.2,79.6,76.1,155,176,8.0,3.11,4,11,5.8,63.1,111,69,5.9,211,73.5,7,59,,,,,90.2,81.5,83.7,,75.6,60.0,84.7,,5,4,228,14.5,81.2,4.7,10,24,1,11,5,6,2.6,1122,6.4,81.7,153,162,6.0,2.54,6,6,3.4,72.8,118,0,5.6,180,62.7,7,61,,,,,89.7,79.8,83.0,,74.0,,86.4,,0,4,192,,92.7,0.0,0,16,1,2,5,7,3.6,1162,7.2,3,50.8,61,80,15.3,4.0,0,11,12.1,37.5,30,107,3.2,107,37.3,1,26,,,,,59.2,73.6,81.3,,69.4,60.0,75.7,,5,0,120,13.1,83.0,13.1,14,13,0,14,5,2,1.7,554,6.9
Sam Darnold,29048,QB,CAR,7,278,79.1,67,72,6.6,2.47,0,2,2.6,70.8,51,36,3.8,82,29.5,2,30,,,,,84.0,64.5,80.1,,63.0,,66.5,,1,3,88,25.0,76.6,11.0,9,1,0,4,0,4,4.5,568,7.9,0,5,52.0,61.8,60.1,73.3,70.5,166,177,8.5,2.99,0,10,5.3,57.6,102,70,12.8,196,70.5,15,58,,,,,54.1,62.8,39.4,,58.6,,90.6,,1,5,207,15.7,77.8,5.6,11,8,0,10,7,8,3.9,1117,6.3,74.5,165,168,7.5,2.49,0,5,2.8,66.1,111,0,9.8,172,61.9,12,62,,,,,89.2,71.2,82.8,,68.0,,83.0,,0,4,180,,87.5,0.0,0,4,0,3,6,5,2.8,1144,6.8,5,69.1,68,81,9.1,3.39,0,7,8.0,51.9,42,106,10.6,106,38.1,5,26,,,,,30.0,51.1,10.0,,47.2,,83.4,,2,4,115,18.9,56.7,18.9,20,5,0,11,1,7,6.1,541,6.7
Lamar Jackson,46416,QB,BLT,7,276,73.6,72,78,9.7,2.66,3,1,1.2,64.1,50,37,5.7,92,33.3,3,31,,,,,46.6,61.4,80.4,,58.1,,77.0,,1,3,96,24.3,83.2,9.8,9,5,0,2,3,4,4.2,579,7.4,0,3,41.5,85.3,81.9,76.1,75.4,134,147,12.2,3.43,1,14,9.1,65.3,96,65,5.0,184,66.7,5,71,,,,,52.0,91.4,83.0,,90.5,,72.4,,5,2,193,18.5,105.4,6.5,12,25,2,5,7,4,2.1,1364,9.3,76.8,155,161,10.8,2.73,3,10,6.0,71.4,115,0,3.4,174,63.0,4,74,,,,,69.3,90.7,82.8,,90.0,,63.7,,0,4,180,,102.3,0.0,0,13,2,1,6,4,2.2,1494,9.3,1,68.6,51,64,12.8,3.93,1,5,7.4,48.4,31,102,11.4,102,37.0,4,28,,,,,28.5,65.7,80.9,,57.7,,80.7,,6,1,109,20.6,86.0,20.6,21,17,0,6,4,4,3.7,449,7.0
Taylor Heinicke,9896,QB,WAS,7,271,65.3,49,53,8.2,2.75,1,1,1.7,58.5,31,26,3.1,60,22.1,1,21,,,,,40.5,62.4,78.9,,61.8,,61.3,,0,0,65,0.0,100.3,0.0,0,7,1,2,3,2,3.1,389,7.3,0,32,66.2,56.7,55.7,61.3,74.7,174,182,8.4,3.08,2,6,3.1,65.9,120,57,7.7,211,77.9,10,65,,,,,90.2,55.2,42.7,,54.2,,66.3,,2,7,225,15.8,82.9,4.3,9,20,1,3,7,10,4.4,1269,7.0,74.7,170,174,7.8,2.61,2,6,3.2,69.5,121,0,4.7,188,69.4,6,63,,,,,89.9,61.2,37.8,,61.4,,60.2,,0,5,199,,91.3,0.0,0,14,2,0,7,7,3.5,1246,7.2,1,66.0,53,61,10.3,3.91,1,1,1.5,49.2,30,83,14.3,83,30.6,5,23,,,,,51.3,50.6,80.2,,47.0,,68.8,,2,2,91,10.8,73.9,10.8,9,13,0,5,3,5,5.5,412,6.8
Daniel Jones,39395,QB,NYG,7,271,70.7,58,64,8.7,2.47,2,1,1.4,59.4,38,31,7.3,71,26.2,3,22,,,,,26.4,53.9,79.6,,57.5,,38.7,,0,2,77,19.4,66.9,8.5,6,1,0,4,0,3,3.9,435,6.8,0,21,43.6,77.0,75.9,58.7,75.4,167,177,8.2,2.74,2,5,2.6,65.0,115,54,8.7,200,73.8,11,64,,,,64.7,73.4,83.7,83.5,,81.0,95.6,61.2,,3,2,216,14.8,91.3,4.0,8,15,1,4,5,4,1.9,1292,7.3,74.0,173,177,8.0,2.48,2,4,2.1,67.2,119,0,7.0,186,68.6,9,68,,,,64.7,89.9,79.1,83.2,,74.9,95.6,70.2,,0,4,197,,88.1,0.0,0,9,1,1,4,4,2.0,1354,7.6,2,75.0,52,64,9.4,3.1,2,2,2.7,53.1,34,85,12.8,85,31.4,5,18,,,,,23.9,65.9,80.4,,71.2,,37.0,,3,0,96,16.5,75.8,16.5,14,7,0,7,1,3,3.1,373,5.8
Mac Jones,60323,QB,NE,7,267,75.6,82,88,9.3,2.38,2,3,3.2,67.0,59,41,4.8,94,35.2,3,31,,,,,48.0,74.1,80.6,,72.8,,,,2,3,101,14.6,84.0,6.4,6,0,0,2,3,2,2.0,610,6.9,0,19,62.7,82.6,80.5,70.4,79.3,150,159,7.0,2.63,1,8,4.7,72.3,115,41,3.4,173,64.8,4,54,,,,,69.7,82.2,34.9,,80.7,58.9,67.3,,0,3,183,19.5,97.7,4.6,8,5,1,7,6,6,3.3,1169,7.4,82.7,173,180,7.1,2.36,3,8,4.2,75.6,136,0,4.9,185,69.3,7,65,,,,,89.8,90.8,83.1,,89.9,,60.2,,0,3,194,,100.1,0.0,0,4,1,3,5,2,1.0,1413,7.9,2,64.4,59,67,9.9,2.95,0,3,4.1,56.7,38,82,0.0,82,30.7,0,20,,,,,26.6,55.9,0.0,,55.7,58.9,65.6,,2,3,90,17.1,73.4,17.1,14,1,0,6,4,6,6.7,366,5.5
