player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Tyreek Hill,10799,WR,KC,8,10.5,9,72.7,20.0,2,10,1,8.6,6,43,16,1,60.6,48.1,85.3,,84.4,0.3,1,2,75,0.0,0,334,3,64,93.7,313,58.4,195,110.7,88,6,41.3,138,735,262,4.1,11.5,2.35
Cooper Kupp,11824,WR,LA,8,9.5,11,72.4,57.1,4,7,0,7.4,5,41,26,0,65.2,83.3,90.2,70.0,90.5,0.0,0,3,59,0.7,2,290,0,63,95.2,276,67.6,196,130.6,87,10,31.7,92,924,378,6.0,14.7,3.35
D.J. Moore,48267,WR,CAR,8,11.0,6,63.3,54.5,6,11,0,9.1,5,35,5,1,58.6,43.0,76.5,,76.7,0.0,0,3,39,0.0,0,323,0,50,95.0,307,14.9,48,85.7,79,3,83.6,270,645,254,5.1,12.9,2.1
Terry McLaurin,48229,WR,WAS,8,13.2,6,58.1,57.6,19,33,0,4.4,2,27,32,0,75.8,78.7,75.9,,75.3,0.0,0,2,40,0.0,0,331,2,43,93.4,309,28.1,93,89.5,74,4,71.9,238,573,153,3.6,13.3,1.85
Davante Adams,8688,WR,GB,7,11.6,4,72.2,54.5,6,11,0,1.9,1,35,12,0,87.2,79.6,92.2,,92.2,0.0,0,2,59,0.0,0,243,0,52,94.2,229,30.0,73,107.6,72,3,70.0,170,744,250,4.8,14.3,3.25
Travis Kelce,7844,TE,KC,8,7.8,12,70.0,75.0,3,4,1,0.0,0,33,16,1,86.5,36.7,81.7,75.3,81.2,27.9,102,4,46,3.3,12,366,3,49,89.6,328,41.3,151,89.0,70,4,30.3,111,560,292,6.0,11.4,1.71
Brandin Cooks,8655,WR,HST,8,12.1,2,73.9,57.1,8,14,1,3.8,2,25,13,0,79.1,79.5,74.2,,74.2,0.0,0,2,52,0.0,0,289,1,51,91.7,265,27.7,80,96.6,69,2,71.6,207,585,122,2.4,11.5,2.21
Deebo Samuel,48274,WR,SF,7,8.5,7,65.7,56.3,9,16,0,15.4,8,30,28,2,29.8,24.4,86.1,,85.3,0.0,0,1,83,0.0,0,238,0,44,93.3,222,26.5,63,121.4,67,4,72.7,173,819,414,9.4,18.6,3.69
Keenan Allen,7857,WR,LAC,7,9.0,3,68.2,46.7,7,15,0,11.8,6,27,27,1,49.7,35.3,73.3,,73.5,0.7,2,2,42,0.0,0,303,3,45,93.7,284,61.1,185,87.7,66,2,37.3,113,496,172,3.8,11.0,1.75
Jakobi Meyers,47468,WR,NE,8,9.0,2,68.2,68.8,11,16,0,4.3,2,21,19,0,70.5,79.3,72.6,76.6,72.4,0.3,1,0,27,1.3,4,316,0,45,93.0,294,66.8,211,85.8,66,0,32.6,103,426,125,2.8,9.5,1.45
Jaylen Waddle,84088,WR,MIA,8,6.0,9,72.7,50.0,4,8,0,7.7,4,26,17,1,64.3,43.7,71.7,,71.8,0.3,1,3,36,0.0,0,329,2,48,93.9,309,67.5,222,85.0,66,3,31.6,104,413,215,4.5,8.6,1.34
Chris Godwin,11839,WR,TB,8,9.0,10,76.9,62.5,5,8,0,5.7,3,35,30,1,71.9,38.4,79.6,69.6,79.3,0.6,2,2,44,0.3,1,353,0,50,96.9,342,67.1,237,116.2,65,4,32.0,113,660,352,7.0,13.2,1.93
Justin Jefferson,61398,WR,MIN,7,11.6,5,68.3,36.4,4,11,0,12.2,6,27,18,1,46.0,32.7,78.0,,76.6,0.0,0,0,37,0.0,0,297,0,43,92.9,276,31.0,92,112.1,63,3,69.0,205,563,209,4.9,13.1,2.04
Diontae Johnson,33441,WR,PIT,6,10.0,6,63.5,44.4,4,9,0,2.4,1,23,25,0,75.1,78.5,74.9,,75.2,0.0,0,2,50,0.0,0,220,4,40,94.1,207,8.2,18,89.0,63,3,91.8,202,474,221,5.5,11.9,2.29
Stefon Diggs,9579,WR,BUF,7,11.8,4,66.7,35.7,5,14,0,2.3,1,27,4,1,83.9,31.2,77.0,67.2,77.1,0.4,1,2,61,0.4,1,276,1,42,93.8,259,21.0,58,93.6,63,3,77.9,215,503,121,2.9,12.0,1.94
T.J. Hockenson,40912,TE,DET,8,7.3,6,77.4,72.7,8,11,1,0.0,0,25,11,0,90.5,79.3,73.0,63.3,75.1,32.6,106,2,33,4.3,14,325,4,48,88.9,289,56.0,182,94.0,62,2,10.8,35,448,171,3.6,9.3,1.55
Mike Evans,8642,WR,TB,8,14.9,2,62.9,81.8,9,11,0,7.1,3,29,30,0,65.7,78.0,69.7,,68.1,0.0,0,0,46,0.0,0,340,1,39,96.5,328,38.2,130,130.6,62,8,61.8,210,544,97,2.5,13.9,1.66
