player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Calais Campbell,4364,DI,BLT,11,1,1,3,73.5,10,17,322,99.7,12.4,40,1,4.5,1,348,347,28,0,74.3,6,13,153,100.0,16.3,25,6.2,0,163,163,19
Malcolm Jenkins,4937,S,NO,12,0,0,20,57.2,0,2,40,8.5,7.5,3,1,5.0,1,497,42,3,0,56.5,0,1,20,9.7,5.0,1,7.5,1,216,21,2
Jason McCourty,5127,S,MIA,7,0,0,17,54.5,0,0,4,2.1,0.0,0,0,0.0,0,194,4,0,0,55.5,0,0,2,2.2,0.0,0,0.0,0,93,2,0
Steve McLendon,5232,DI,TB,8,0,0,30,57.8,2,5,94,98.0,8.5,8,0,3.7,0,101,99,7,0,64.4,0,5,26,100.0,19.2,5,9.6,0,27,27,5
Ndamukong Suh,5527,DI,TB,12,1,0,30,56.7,7,17,350,98.2,9.1,32,2,5.1,6,379,372,30,0,55.6,4,11,154,98.8,13.6,21,7.5,4,169,167,19
Gerald McCoy,5528,DI,LV,1,0,0,23,55.2,0,0,5,100.0,0.0,0,0,0.0,0,5,5,0,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Tyson Alualu,5535,DI,PIT,2,0,0,25,59.4,1,1,38,100.0,7.9,3,0,2.6,0,40,40,2,0,61.3,1,1,29,100.0,10.3,3,3.4,0,30,30,2
Brandon Graham,5538,ED,PHI,2,0,0,24,60.6,1,1,30,100.0,10.0,3,0,3.3,0,32,32,2,0,69.2,1,1,14,100.0,21.4,3,7.1,0,15,15,2
Jason Pierre-Paul,5540,ED,TB,10,4,0,30,53.5,2,16,307,88.2,6.2,19,3,3.9,3,373,329,21,1,54.3,1,9,128,92.2,8.6,11,5.5,2,154,142,12
Kareem Jackson,5545,S,DEN,11,0,0,10,61.0,0,0,2,0.5,50.0,1,0,50.0,1,409,2,1,0,56.5,0,0,2,1.0,0.0,0,0.0,0,197,2,0
Devin McCourty,5552,S,NE,13,0,0,19,52.3,0,1,6,1.3,0.0,0,0,8.3,0,468,6,1,0,54.0,0,1,2,1.0,0.0,0,25.0,0,204,2,1
Jerry Hughes,5556,ED,BUF,12,2,2,4,89.0,3,26,216,94.5,20.4,44,4,7.6,2,253,239,31,0,89.6,2,16,100,92.6,28.0,28,11.0,2,122,113,20
Linval Joseph,5571,DI,LAC,9,0,1,27,85.8,1,12,169,100.0,14.8,25,1,4.4,1,182,182,14,0,86.6,0,6,55,100.0,23.6,13,7.3,1,60,60,7
Carlos Dunlap,5579,ED,SEA,12,5,0,29,63.5,3,15,208,88.4,13.5,28,2,5.8,3,250,221,21,4,65.9,2,7,105,94.2,15.2,16,6.2,2,121,114,11
