player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Kevin Zeitler,7032,G,BLT,2,0,3,56.0,100.0,45,64.3,45,59.2,0,100.0,70,70,65.7,100.0,18,25.7,18
Alejandro Villanueva,9091,T,BLT,2,0,3,91.0,100.0,45,64.3,45,87.3,1,100.0,70,70,65.2,100.0,18,25.7,18
Bradley Bozeman,27934,C,BLT,2,0,3,73.7,100.0,45,64.3,45,77.5,0,100.0,70,70,74.7,100.0,18,25.7,18
Tytus Howard,25472,G,HST,2,0,13,52.2,100.0,31,47.7,31,45.0,0,100.0,65,65,43.4,100.0,31,47.7,31
Max Scharping,46961,G,HST,2,0,13,71.2,100.0,31,47.7,31,62.4,0,100.0,65,65,48.6,100.0,31,47.7,31
Justin Britt,8699,C,HST,2,0,13,64.0,100.0,31,48.4,31,69.3,0,100.0,64,64,62.6,100.0,31,48.4,31
Alex Mack,4944,C,SF,2,0,28,53.9,100.0,15,23.8,15,60.6,0,100.0,63,63,76.6,100.0,36,57.1,36
Daniel Brunskill,34807,G,SF,2,0,28,69.3,100.0,15,23.8,15,72.1,0,100.0,63,63,67.8,100.0,36,57.1,36
Laken Tomlinson,9461,G,SF,2,0,28,64.9,100.0,15,23.8,15,80.0,0,100.0,63,63,84.8,100.0,36,57.1,36
Mike McGlinchey,46275,T,SF,2,0,28,48.1,100.0,15,23.8,15,55.5,0,100.0,63,63,56.5,100.0,36,57.1,36
Trent Williams,5529,T,SF,2,0,28,47.0,100.0,15,23.8,15,87.6,0,100.0,63,63,91.9,100.0,36,57.1,36
George Kittle,11901,TE,SF,2,0,28,56.6,100.0,15,24.2,15,73.9,0,100.0,62,62,84.6,100.0,36,58.1,36
Laremy Tunsil,10647,T,HST,2,0,13,54.4,100.0,31,50.8,31,50.5,0,100.0,61,61,57.4,100.0,27,44.3,27
Ben Jones,7099,C,TEN,2,0,31,61.7,100.0,23,38.3,23,64.0,1,100.0,60,60,64.4,100.0,35,58.3,35
Nate Davis,46808,G,TEN,2,0,31,65.3,100.0,23,38.3,23,64.0,0,100.0,60,60,52.4,100.0,35,58.3,35
David Quessenberry,7957,T,TEN,2,0,31,55.1,100.0,23,38.3,23,72.4,0,100.0,60,60,81.5,100.0,35,58.3,35
Matt Paradis,8841,C,CAR,2,0,5,55.0,100.0,26,44.1,26,67.6,0,100.0,59,59,76.1,100.0,28,47.5,28
Taylor Moton,11819,T,CAR,2,0,5,78.3,100.0,26,44.1,26,75.9,0,100.0,59,59,61.9,100.0,28,47.5,28
Cam Erving,9452,T,CAR,2,0,5,56.2,100.0,26,44.1,26,66.8,0,100.0,59,59,73.0,100.0,28,47.5,28
J.C. Tretter,7904,C,CLV,2,0,8,62.9,100.0,34,58.6,34,66.6,0,100.0,58,58,68.4,100.0,17,29.3,17
Wyatt Teller,46131,G,CLV,2,0,8,72.7,100.0,34,58.6,34,71.8,0,100.0,58,58,59.9,100.0,17,29.3,17
Jack Conklin,10642,T,CLV,2,0,8,94.5,100.0,34,58.6,34,90.2,0,100.0,58,58,63.0,100.0,17,29.3,17
Joel Bitonio,8670,G,CLV,2,0,8,72.0,100.0,34,58.6,34,78.1,0,100.0,58,58,68.3,100.0,17,29.3,17
Ryan Tannehill,7014,QB,TEN,2,0,31,60.0,100.0,23,39.7,23,60.0,0,96.7,58,60,60.0,100.0,35,60.3,35
Pharaoh Brown,12247,TE,HST,2,0,13,49.5,100.0,30,52.6,30,53.9,0,100.0,57,57,61.0,100.0,26,45.6,26
Riley Reiff,7029,T,CIN,2,0,7,72.7,100.0,21,37.5,21,54.9,0,100.0,56,56,43.8,100.0,33,58.9,33
Trey Hopkins,9276,C,CIN,2,0,7,46.9,100.0,21,37.5,21,52.1,0,100.0,56,56,58.6,100.0,33,58.9,33
Jonah Williams,41651,T,CIN,2,0,7,78.6,100.0,21,37.5,21,57.7,0,100.0,56,56,45.1,100.0,33,58.9,33
Quinton Spain,10110,G,CIN,2,0,7,68.9,100.0,21,37.5,21,66.6,0,100.0,56,56,63.1,100.0,33,58.9,33
Xavier Su'a-Filo,8668,G,CIN,2,0,7,55.2,100.0,21,37.5,21,49.0,0,100.0,56,56,48.2,100.0,33,58.9,33
Isaac Seumalo,10713,G,PHI,2,0,24,66.3,100.0,19,34.5,19,74.2,0,100.0,55,55,70.4,100.0,33,60.0,33
Michael Onwenu,27357,G,NE,2,0,19,76.6,100.0,28,50.9,28,84.7,0,100.0,55,55,85.6,100.0,17,30.9,17
Jordan Mailata,66916,T,PHI,2,0,24,56.2,100.0,19,34.5,19,86.6,0,100.0,55,55,89.2,100.0,33,60.0,33
Joe Burrow,28022,QB,CIN,2,0,7,60.0,100.0,21,38.2,21,60.0,0,98.2,55,56,60.0,100.0,33,60.0,33
Jason Kelce,6343,C,PHI,2,0,24,88.4,100.0,19,34.5,19,81.9,0,100.0,55,55,66.6,100.0,33,60.0,33
Mac Jones,60323,QB,NE,2,0,19,60.0,100.0,28,50.9,28,60.0,0,100.0,55,55,60.0,100.0,17,30.9,17
Lane Johnson,7786,T,PHI,2,0,24,52.9,100.0,19,34.5,19,56.6,1,100.0,55,55,60.9,100.0,33,60.0,33
