player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_grades_run_defense,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_grades_run_defense,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_grades_run_defense,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_grades_run_defense,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Tom Brady,698,QB,TB,4,8.04,0,195,30,71.2,146,158,11.5,2.58,2,17,10.3,60.8,96,48,7.7,169,86.7,8,65,,,,,89.2,93.1,84.2,92.0,,67.6,,0,1,176,14.6,102.3,4.1,7,4,0,10,10,0,0.0,1182,7.5,73.0,137,146,9.6,2.4,2,16,10.7,63.0,92,38,8.0,156,80.0,8,55,,,,,88.5,92.1,83.9,91.1,,67.6,,0,1,160,15.8,95.2,3.8,6,4,0,7,6,0,0.0,1042,7.1,82.4,34,38,9.1,2.56,1,1,2.4,71.1,27,10,3.6,39,20.0,1,18,,,,,79.3,83.7,77.3,81.7,,,,0,1,42,10.0,119.8,2.6,1,0,0,3,4,0,0.0,314,8.3,0,96.0,25,26,-2.2,1.46,1,0,0.0,88.5,23,0,4.2,26,13.3,1,8,,,,,76.6,66.5,75.6,65.9,,,,0,1,26,,78.5,0.0,0,0,0,0,0,0,0.0,174,6.7,1.12
Derek Carr,8671,QB,LV,4,-3.36,0,187,23,76.0,146,161,10.3,2.77,4,16,9.5,62.7,101,64,9.0,178,95.2,10,60,,,,,70.9,83.3,51.9,83.7,,52.8,,1,3,185,18.8,98.5,6.7,12,5,2,8,8,5,2.7,1364,8.5,78.3,138,152,9.3,2.72,5,14,8.8,64.5,98,57,9.3,166,88.8,10,54,,,,,89.3,85.7,50.6,86.0,,54.1,,1,3,173,17.5,99.4,6.0,10,4,2,6,8,4,2.3,1250,8.2,68.8,16,18,12.8,2.75,0,2,10.5,61.1,11,7,0.0,21,11.2,0,6,,,,,23.7,58.5,75.0,59.5,,58.3,,0,0,22,28.6,87.5,9.5,2,1,0,2,0,1,4.5,149,8.3,0,100.0,8,9,-2.0,1.67,1,0,0.0,88.9,8,0,0.0,9,4.8,0,0,,,,,71.4,65.4,72.3,64.9,,,,0,0,10,,82.9,0.0,0,0,0,0,0,0,0.0,35,3.9,0.06
Ben Roethlisberger,1732,QB,PIT,4,-5.0,0,182,25,70.3,145,151,8.2,2.44,3,6,3.8,60.9,92,39,9.8,163,89.6,10,46,,,,,29.7,51.9,84.0,51.3,,61.9,,2,4,170,25.6,74.3,6.1,10,2,0,1,3,8,4.7,937,6.2,75.6,135,140,7.0,2.34,3,6,4.1,65.0,91,35,10.8,149,81.9,11,41,,,,,45.3,57.2,83.7,56.3,,61.9,,1,4,155,20.0,78.9,4.7,7,2,0,1,4,6,3.9,842,6.0,65.5,29,30,6.9,2.25,0,0,0.0,60.0,18,4,5.3,33,18.1,1,10,,,,,27.1,46.1,76.7,47.0,,,,1,0,35,75.0,78.6,9.1,3,0,0,0,0,2,5.7,191,6.4,0,100.0,19,19,-2.4,1.37,0,0,0.0,89.5,17,0,10.5,19,10.4,2,5,,,,,75.1,69.9,74.7,69.1,,,,0,0,20,,105.3,0.0,0,0,0,0,1,0,0.0,96,5.1,0.36
Jared Goff,10635,QB,DET,4,9.2,0,179,11,73.8,141,147,8.0,2.87,0,5,3.1,66.7,98,63,5.8,165,92.2,6,55,,,,,29.2,65.5,49.8,68.5,60.0,38.5,,1,2,179,15.9,93.5,6.1,10,8,0,5,6,5,2.8,985,6.7,74.6,126,132,7.4,2.7,1,5,3.4,66.7,88,56,6.4,146,81.6,6,47,,,,,28.0,65.5,47.1,68.0,,40.7,,1,2,159,14.3,94.1,5.5,8,6,0,4,6,5,3.1,876,6.6,82.1,28,29,5.0,3.18,0,0,0.0,75.9,22,7,4.3,33,18.4,1,13,,,,,78.1,65.0,76.7,67.7,60.0,52.3,,0,0,34,28.6,109.0,6.1,2,2,0,1,1,0,0.0,224,7.7,0,100.0,13,14,-4.4,1.84,1,0,0.0,85.7,12,0,7.7,14,7.8,1,5,,,,,73.2,66.8,73.5,66.2,,,,0,0,14,,124.7,0.0,0,0,0,0,1,0,0.0,115,8.2,1.08
Ryan Tannehill,7014,QB,TEN,4,10.22,0,176,31,75.2,125,135,10.2,2.58,1,9,6.2,63.0,85,59,9.6,160,90.9,9,55,,,,,49.4,90.5,84.9,86.5,,82.9,,6,3,171,28.8,86.5,10.6,17,8,0,3,5,2,1.2,936,6.9,72.2,108,116,8.3,2.42,1,5,4.0,61.2,71,48,9.0,132,75.0,7,40,,,,,65.4,77.5,84.5,75.6,,64.5,,6,3,141,27.1,78.2,9.8,13,3,0,1,4,1,0.7,678,5.8,87.5,32,35,10.3,2.85,1,4,10.5,71.4,25,12,10.7,44,25.0,3,21,,,,,29.4,95.3,77.7,92.3,,89.4,,0,0,47,33.3,115.9,9.1,4,5,0,2,1,1,2.1,376,10.7,0,80.0,15,16,-3.7,1.93,1,0,0.0,68.8,11,1,8.3,16,9.1,1,6,,,,,74.2,59.8,74.1,59.6,,,,0,0,17,0.0,90.1,0.0,0,0,0,0,0,0,0.0,118,7.4,4.9
Justin Herbert,28237,QB,LAC,4,-0.22,0,176,27,81.0,147,156,8.0,2.65,2,7,4.1,69.2,108,47,9.2,168,95.5,11,62,,,,,89.9,88.1,84.7,87.7,,55.6,,2,3,182,14.9,102.0,4.2,7,5,0,5,9,4,2.2,1161,7.4,80.0,110,116,7.7,2.43,2,5,4.1,69.0,80,33,9.1,123,69.9,8,47,,,,,87.5,87.9,84.0,87.8,,56.9,,1,1,130,9.1,110.9,2.4,3,4,0,3,9,2,1.5,809,7.0,85.7,42,48,7.5,3.01,1,2,3.6,68.8,33,15,8.3,53,30.1,3,16,,,,,81.5,74.9,78.6,74.3,,58.3,,1,2,60,26.7,74.0,7.5,4,1,0,4,0,2,3.3,369,7.7,0,100.0,5,8,-1.8,1.71,1,0,0.0,62.5,5,1,0.0,8,4.5,0,1,,,,,70.3,59.1,71.5,59.0,,,,0,0,8,0.0,66.7,0.0,0,0,0,2,0,0,0.0,17,2.1,0.72
Mac Jones,60323,QB,NE,4,7.25,0,174,19,75.2,137,144,8.8,2.68,2,6,3.9,68.8,99,58,3.9,157,90.2,4,47,,,,,43.4,71.5,46.4,69.6,,67.7,,0,4,166,17.2,84.3,6.4,10,3,0,5,4,5,3.0,943,6.5,77.3,119,127,8.3,2.51,3,5,3.8,68.5,87,43,5.4,135,77.6,5,37,,,,,87.6,77.5,42.2,76.3,,61.1,,0,3,140,11.6,80.6,3.7,5,2,0,5,2,1,0.7,794,6.3,78.8,33,33,5.6,2.86,0,1,2.7,75.8,25,15,3.8,39,22.4,1,13,,,,,20.8,51.6,77.7,49.5,,65.6,,0,1,44,33.3,100.3,12.8,5,1,0,0,2,4,9.1,218,6.6,0,100.0,15,16,-2.3,1.71,1,0,0.0,81.3,13,0,13.3,17,9.8,2,3,,,,,74.5,66.2,74.5,65.5,,,,0,0,18,,84.6,0.0,0,0,0,0,0,0,0.0,69,4.3,0.36
Jalen Hurts,40291,QB,PHI,4,13.11,0,174,24,70.1,107,119,10.7,3.24,4,10,7.9,61.3,73,58,2.7,145,83.3,2,50,,,,,68.6,80.4,44.7,75.9,60.0,78.6,,2,2,155,13.8,95.9,5.5,8,18,1,5,6,5,3.2,938,7.9,73.6,91,104,8.2,3.04,5,7,6.4,62.5,65,46,3.0,129,74.1,2,37,,,,,66.1,75.8,41.3,70.5,,77.7,,2,2,136,13.0,92.4,4.7,6,18,1,5,5,3,2.2,754,7.3,79.5,39,41,8.3,2.84,0,3,6.4,75.6,31,15,0.0,45,25.9,0,20,,,,,80.4,78.7,78.1,78.3,60.0,58.3,,0,0,51,13.3,123.3,4.4,2,1,0,2,2,2,3.9,413,10.1,0,100.0,23,26,-3.5,1.71,1,0,0.0,88.5,23,3,0.0,29,16.7,0,7,,,,,77.7,62.0,76.4,64.4,,55.7,,0,0,32,0.0,116.2,0.0,0,1,0,2,1,0,0.0,229,8.8,2.82
Josh Allen,46601,QB,BUF,4,-7.4,0,171,4,70.5,129,143,11.2,2.94,4,11,7.3,60.1,86,67,5.5,156,91.2,5,55,,,,,50.7,74.6,84.4,70.2,,76.2,,1,2,165,7.5,96.4,3.2,5,8,0,9,9,8,4.8,998,7.0,76.5,102,112,8.1,2.66,4,5,4.2,65.2,73,47,6.4,122,71.3,5,39,,,,,42.9,73.7,83.9,67.2,,81.6,,1,1,131,8.5,92.2,3.3,4,5,0,5,5,5,3.8,663,5.9,63.4,41,45,14.5,3.08,0,6,13.3,57.8,26,20,0.0,49,28.7,0,18,,,,,80.3,69.5,77.9,71.2,,49.4,,0,1,49,5.0,106.9,2.0,1,3,0,4,4,3,6.1,392,8.7,0,92.9,14,14,-2.1,1.11,0,0,0.0,92.9,13,0,0.0,15,8.8,0,2,,,,,73.5,62.8,73.7,62.4,,,,0,0,15,,83.6,0.0,0,0,0,0,0,0,0.0,57,4.1,2.79
Matt Ryan,4317,QB,ATL,4,8.9,0,170,2,74.1,143,150,7.1,2.58,2,4,2.5,67.3,101,51,4.7,161,94.7,5,46,,,,,69.2,74.7,84.4,72.2,,70.2,,2,3,175,15.7,92.9,5.0,8,3,1,2,8,5,2.9,910,6.1,73.4,109,116,6.7,2.4,3,3,2.4,65.5,76,41,5.0,126,74.1,4,37,,,,,63.5,70.1,83.8,67.5,,70.2,,2,3,136,17.1,87.6,5.6,7,3,1,1,6,4,2.9,680,5.9,80.5,41,43,6.4,2.98,0,1,2.1,74.4,32,13,3.0,44,25.9,1,14,,,,,80.1,77.7,77.8,76.2,,,,0,0,48,7.7,109.6,2.3,1,0,0,2,2,1,2.1,310,7.2,0,100.0,7,9,-2.3,1.91,1,0,0.0,77.8,7,3,0.0,9,5.3,0,5,,,,,70.9,62.2,71.9,61.9,,,,0,0,9,0.0,103.7,0.0,0,0,0,1,0,0,0.0,80,8.9,1.35
