player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Grant Delpit,60685,S,CLV,3,0,8,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,1.6,1,64,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Avonte Maddox,50543,CB,PHI,4,0,24,0,1,0,0,1,0,100.0,2,2,75.0,1,0,0,0,2.0,2,100,2,75.0,0,0,0,0,0.0,0,0,,0,0,0,1,0,0
Denzel Ward,49558,CB,CLV,4,0,8,1,0,0,0,0,0,50.0,1,1,100.0,1,1,0,0,1.4,2,140,2,75.0,0,1,0,0,50.0,1,1,50.0,0,0,0,1,1,0
Caden Sterns,76725,S,DEN,3,0,10,0,0,0,0,0,0,66.7,2,1,50.0,1,1,0,0,9.7,3,31,2,66.7,0,0,0,0,33.3,1,1,100.0,1,1,0,2,2,0
Jahlani Tavai,51055,LB,NE,2,0,19,0,1,0,0,1,1,100.0,1,1,50.0,0,0,0,1,33.3,1,3,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Myles Hartsfield,49159,S,CAR,1,0,5,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,5.6,1,18,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Margus Hunt,7834,DI,CHI,2,0,6,0,2,0,0,0,0,0.0,0,0,,0,0,0,0,100.0,2,2,2,50.0,0,0,2,0,100.0,2,2,50.0,0,0,0,0,0,0
Donovan Wilson,49408,S,DAL,1,0,9,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,2.3,1,43,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Joejuan Williams,29113,CB,NE,3,0,19,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,2.8,1,36,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Kevin King,11788,CB,GB,2,0,12,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,1.6,1,63,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Dean Marlowe,9966,S,DET,3,0,11,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,2.6,1,39,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Shaquill Griffin,11845,CB,JAX,4,0,15,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.7,1,145,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
John Johnson III,11847,S,CLV,4,0,8,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0.7,1,141,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Patrick O'Connor,12005,DI,TB,1,0,30,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,100.0,1,1,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Daryl Worley,10711,CB,DET,1,0,11,0,1,0,0,1,1,100.0,1,1,50.0,0,0,0,1,11.1,1,9,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Dane Cruikshank,25546,S,TEN,4,0,31,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.9,1,106,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jarrod Wilson,10902,S,NYJ,2,0,22,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,2.1,1,47,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Chris Harris Jr.,6457,CB,LAC,1,0,27,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,3.8,1,26,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
