player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Ryan Jensen,7985,C,TB,4,1,30,53.2,0,6,195,100.0,100.0,97.9,2,7,1,202,202,44.4,0,5,84,100.0,100.0,95.8,6,1,86,86
Tristan Wirfs,64818,T,TB,4,1,30,77.5,1,4,195,100.0,100.0,98.7,1,5,0,202,202,77.5,0,3,84,100.0,100.0,98.2,3,0,86,86
Donovan Smith,9467,T,TB,4,0,30,79.2,2,8,195,100.0,100.0,96.9,1,11,1,202,202,69.0,2,6,84,100.0,100.0,95.2,8,0,86,86
Ali Marpet,9494,G,TB,4,0,30,63.7,0,8,195,100.0,100.0,97.9,0,8,0,202,202,49.3,0,6,84,100.0,100.0,96.4,6,0,86,86
Alex Cappa,66578,G,TB,4,0,30,72.4,1,5,195,100.0,100.0,97.9,0,7,1,202,202,61.1,1,5,84,100.0,100.0,96.4,6,0,86,86
Andre James,47058,C,LV,4,0,23,48.4,1,7,185,100.0,100.0,97.8,0,8,0,195,195,45.5,1,7,124,100.0,100.0,96.8,8,0,130,130
Kolton Miller,47013,T,LV,4,0,23,85.9,1,8,185,100.0,100.0,97.6,1,9,0,195,195,81.5,1,7,124,100.0,100.0,96.8,8,0,130,130
John Simpson,41715,G,LV,4,0,23,56.1,1,9,185,100.0,100.0,96.8,0,11,1,195,195,48.0,1,7,124,100.0,100.0,96.0,9,1,130,130
Halapoulivaati Vaitai,10798,G,DET,4,0,11,55.8,2,10,180,100.0,100.0,96.7,0,12,0,194,194,45.3,2,9,103,100.0,100.0,94.7,11,0,112,112
Matt Nelson,48584,T,DET,4,1,11,48.3,2,15,180,100.0,100.0,94.7,1,18,1,194,194,43.8,2,14,103,100.0,100.0,92.2,16,0,112,112
Jonah Jackson,37070,G,DET,4,0,11,49.8,3,12,180,100.0,100.0,95.3,2,16,1,194,194,46.1,1,10,103,100.0,100.0,94.7,11,0,112,112
Penei Sewell,81788,T,DET,4,0,11,54.9,4,11,180,100.0,100.0,94.7,0,17,2,194,194,38.3,3,11,103,100.0,100.0,91.3,16,2,112,112
Oday Aboushi,7923,G,LAC,4,0,27,70.2,1,4,176,100.0,100.0,98.6,2,5,0,190,190,58.5,1,4,64,100.0,100.0,96.1,5,0,69,69
Corey Linsley,8796,C,LAC,4,1,27,66.0,0,4,176,100.0,100.0,98.9,1,4,0,190,190,54.9,0,2,64,100.0,100.0,98.4,2,0,69,69
Dan Moore Jr.,60120,T,PIT,4,0,25,61.0,3,9,182,100.0,100.0,95.6,0,14,2,190,190,42.8,2,8,79,100.0,100.0,92.4,11,1,83,83
Rashawn Slater,59971,T,LAC,4,0,27,77.2,1,5,176,100.0,100.0,98.3,0,6,0,190,190,63.9,1,3,64,100.0,100.0,96.9,4,0,69,69
Matt Feiler,9289,G,LAC,4,0,27,35.5,4,3,176,100.0,100.0,96.3,0,10,3,190,190,17.6,2,2,64,100.0,100.0,95.3,5,1,69,69
Nate Davis,46808,G,TEN,4,0,31,36.0,4,13,176,100.0,100.0,93.5,0,20,3,188,188,25.0,3,10,82,100.0,100.0,89.6,15,2,90,90
Jason Kelce,6343,C,PHI,4,0,24,58.2,0,7,174,100.0,100.0,98.0,0,7,0,188,188,54.0,0,6,87,100.0,100.0,96.6,6,0,92,92
David Quessenberry,7957,T,TEN,4,0,31,64.3,3,7,175,100.0,100.0,95.4,0,13,3,187,187,55.6,2,5,82,100.0,100.0,92.1,10,3,90,90
