player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Calais Campbell,4364,DI,BLT,6,4,0.9,0,0,3,73.9,86.8,84.5,75.9,78.2,38.3,14.3,3,0,74,75,14.9,11,14
Malcolm Jenkins,4937,S,NO,5,4,6.0,0,0,20,57.6,60.4,84.5,54.0,69.0,65.7,15.4,2,1,99,103,2.0,2,7
Jason McCourty,5127,S,MIA,5,3,12.4,0,0,17,70.5,69.3,81.1,54.5,58.9,60.8,28.6,4,0,111,115,0.0,0,7
Steve McLendon,5232,DI,TB,6,0,4.0,0,0,30,59.5,49.7,80.0,55.5,47.6,26.7,50.0,1,0,30,31,3.3,1,1
Ndamukong Suh,5527,DI,TB,6,2,-0.3,0,0,30,60.0,50.4,57.8,55.2,48.4,29.8,28.6,2,1,42,44,7.1,3,3
Gerald McCoy,5528,DI,LV,1,0,,0,0,23,,48.2,73.2,55.2,53.3,,,0,0,4,4,0.0,0,0
Joe Haden,5532,CB,PIT,5,4,9.6,0,0,25,61.8,58.6,83.0,,42.7,29.1,35.7,5,0,122,125,0.8,1,5
Tyson Alualu,5535,DI,PIT,2,2,2.7,0,0,25,,59.7,78.7,59.4,58.2,40.8,16.7,1,0,17,17,5.9,1,3
Brandon Graham,5538,ED,PHI,2,0,0.5,0,0,24,,62.6,79.9,60.6,61.0,25.6,50.0,2,0,18,18,5.6,1,2
Jason Pierre-Paul,5540,ED,TB,4,1,1.0,0,0,30,67.1,47.2,27.0,46.8,56.0,62.2,0.0,0,2,44,44,2.3,1,1
Kareem Jackson,5545,S,DEN,6,4,5.3,0,0,10,61.5,65.4,91.3,61.0,70.3,77.5,11.8,2,0,122,128,4.9,6,11
Devin McCourty,5552,S,NE,6,2,12.0,0,0,19,54.0,55.4,83.2,52.4,61.4,62.0,20.0,2,0,169,173,0.0,0,6
Jerry Hughes,5556,ED,BUF,6,0,1.5,1,0,4,48.5,77.5,33.2,83.4,66.7,33.6,33.3,1,2,64,64,3.1,2,2
Linval Joseph,5571,DI,LAC,6,6,3.1,1,0,27,60.0,52.6,57.4,85.4,36.5,52.1,7.7,2,1,130,133,7.7,10,18
Carlos Dunlap,5579,ED,SEA,6,1,3.3,0,0,29,57.1,70.0,87.4,63.5,73.6,76.7,0.0,0,0,61,63,3.3,2,6
Corey Peters,5607,DI,ARZ,5,1,1.5,0,0,1,57.2,52.6,81.5,62.5,48.8,72.6,0.0,0,0,55,57,9.1,5,6
Everson Griffen,5624,ED,MIN,5,2,2.0,0,0,18,60.1,77.9,14.4,81.1,68.5,46.1,20.0,1,3,60,60,3.3,2,2
Al Woods,5646,DI,SEA,6,4,1.5,0,0,29,60.0,75.9,83.2,71.3,69.6,43.2,12.5,2,0,120,124,7.5,9,10
Andrew Sendejo,6118,S,IND,4,0,,0,0,14,62.4,59.7,79.1,57.7,50.8,44.1,,0,0,34,36,0.0,0,0
Von Miller,6154,ED,DEN,6,3,-0.2,1,0,10,77.2,83.9,23.0,77.1,82.0,60.5,33.3,4,3,107,113,4.7,5,5
Patrick Peterson,6157,CB,MIN,6,0,2.3,0,0,18,61.9,64.3,85.3,,70.7,32.0,0.0,0,0,150,150,2.0,3,4
J.J. Watt,6163,DI,ARZ,6,5,-0.1,0,0,1,59.1,76.8,64.6,82.9,58.9,26.8,23.5,4,1,105,110,7.6,8,8
Robert Quinn,6166,ED,CHI,6,0,0.6,1,0,6,66.5,74.5,22.8,75.0,70.0,55.9,8.3,1,3,105,109,7.6,8,11
Ryan Kerrigan,6168,ED,PHI,6,0,-5.0,0,0,24,60.8,58.8,83.3,62.3,52.1,70.4,0.0,0,0,69,72,1.4,1,1
