player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Derrick Henry,10679,HB,TEN,4,113,14,6,30.2,154,0,510,0,2,14,365,40.7,12,26,31,0,49,89.2,79.4,80.6,,58.0,82.0,75.1,60.0,60,0,125,14,70,120,0,0,14,127,4,510,365,3.23,4.5,1.79,64
Joe Mixon,11803,HB,CIN,4,83,15,2,13.0,46,0,353,0,1,15,255,54.6,8,15,7,0,24,86.6,79.9,82.0,,37.9,56.7,83.9,60.0,27,0,29,7,69,93,0,0,9,90,2,353,255,3.07,4.3,0.42,59
Alvin Kamara,11822,HB,NO,4,78,15,0,0.0,0,0,297,1,0,15,212,46.3,4,12,20,0,27,86.2,66.7,84.4,,13.6,71.1,67.0,58.4,14,0,62,10,76,104,0,0,13,88,0,297,212,2.72,3.8,0.82,47
Nick Chubb,45783,HB,CLV,4,69,18,4,22.7,82,0,362,0,0,18,241,86.1,10,18,8,1,40,57.0,72.6,80.1,,57.1,56.6,73.8,59.6,26,0,26,4,49,79,0,0,4,73,3,362,241,3.49,5.2,0.53,28
David Montgomery,45719,HB,CHI,4,69,15,3,26.2,81,0,309,0,2,15,219,71.9,7,18,6,0,15,85.3,72.6,82.7,,85.9,72.9,68.1,73.1,41,0,49,6,71,80,0,0,8,75,3,309,219,3.17,4.5,0.69,53
Ezekiel Elliott,10638,HB,DAL,4,64,9,3,24.9,85,0,342,0,0,9,219,43.4,9,19,9,0,19,85.0,72.9,84.5,,23.3,56.1,80.9,59.2,47,0,53,7,107,79,0,0,7,71,4,342,219,3.42,5.3,0.5,40
Antonio Gibson,78050,HB,WAS,4,59,7,1,10.7,27,1,253,3,5,7,173,52.5,4,15,32,2,22,28.3,61.7,8.1,,21.5,48.7,69.2,59.6,27,1,107,8,63,69,0,0,11,67,1,253,173,2.93,4.3,1.7,36
Jonathan Taylor,57488,HB,IND,4,58,14,3,30.7,84,0,274,1,1,14,183,68.6,5,20,14,0,25,84.6,71.3,81.1,,16.2,61.6,78.0,44.6,38,0,81,11,55,64,0,0,12,69,1,274,183,3.16,4.7,1.47,30
Clyde Edwards-Helaire,57279,HB,KC,4,58,10,3,16.5,48,0,291,0,1,10,147,42.9,7,9,16,2,9,27.9,53.8,12.8,,31.1,58.1,55.5,60.0,17,1,50,7,84,62,0,0,7,65,0,291,147,2.53,5.0,0.6,48
Aaron Jones,11937,HB,GB,4,56,9,1,7.3,15,0,206,0,0,9,126,29.3,4,12,12,2,13,28.7,74.0,87.4,,88.2,75.7,67.5,60.0,15,0,126,13,79,61,0,0,14,69,2,206,126,2.25,3.7,1.59,41
Najee Harris,57121,HB,PIT,4,55,10,2,20.5,38,1,185,5,17,10,148,89.7,6,11,25,0,28,85.2,63.7,25.5,,65.2,62.8,66.2,41.5,20,1,178,26,148,64,0,0,34,81,1,185,148,2.69,3.4,1.2,23
Chris Carson,12004,HB,SEA,4,54,10,2,27.2,63,0,232,0,6,10,165,81.5,2,11,29,1,21,49.1,70.7,2.5,,35.0,58.1,75.0,59.4,33,1,29,6,55,61,0,0,6,60,3,232,165,3.06,4.3,0.53,31
James Conner,11860,HB,ARZ,4,53,11,0,0.0,0,0,172,0,1,11,136,55.0,2,14,1,1,14,46.7,65.3,81.3,,85.1,61.8,60.4,83.5,11,0,26,3,35,68,0,0,3,56,4,172,136,2.57,3.2,0.74,36
Saquon Barkley,45791,HB,NYG,4,52,10,3,39.2,73,0,186,2,2,10,136,47.6,3,9,21,1,28,51.7,62.7,83.1,,80.2,52.2,65.7,59.6,41,0,130,14,109,66,0,0,19,66,2,186,136,2.62,3.6,1.19,22
Mark Ingram II,6180,HB,HST,4,52,10,0,0.0,0,0,171,0,0,10,145,51.6,2,7,13,0,28,83.3,60.7,77.2,,79.5,54.8,60.8,60.0,12,0,-2,2,18,58,0,0,4,54,1,171,145,2.79,3.3,-0.11,24
Christian McCaffrey,11763,HB,CAR,3,52,10,3,24.4,49,0,201,0,7,10,140,67.3,5,7,5,0,24,84.1,77.8,80.7,,64.6,92.7,66.1,59.5,18,0,163,16,56,60,0,0,17,68,1,201,140,2.69,3.9,2.91,28
Dalvin Cook,11796,HB,MIN,3,51,14,3,21.2,48,0,226,3,3,14,142,77.6,11,15,18,1,9,49.3,59.9,80.6,,43.5,46.1,64.9,60.0,17,0,70,10,64,54,0,0,13,61,1,226,142,2.78,4.4,1.09,41
Melvin Gordon III,9448,HB,DEN,4,51,10,1,28.2,70,1,248,0,4,10,145,67.5,5,12,10,0,27,83.4,73.2,6.3,,33.6,67.1,76.7,60.0,70,1,87,8,73,53,0,0,9,59,2,248,145,2.84,4.9,1.19,24
Austin Ekeler,12164,HB,LAC,4,50,13,4,26.1,74,0,283,0,2,13,176,77.6,9,14,27,0,20,84.1,82.1,83.2,,57.0,79.5,81.5,59.5,20,0,141,18,102,61,0,0,19,68,2,283,176,3.52,5.7,1.38,29
Damien Harris,35134,HB,NE,4,49,13,2,35.5,61,0,172,0,3,13,155,90.4,4,11,19,1,29,48.0,67.8,77.9,,27.9,71.7,68.6,60.0,35,0,46,7,49,55,0,0,8,56,1,172,155,3.16,3.5,0.94,15
James Robinson,22425,HB,JAX,4,49,9,3,24.4,58,0,238,2,4,9,156,66.8,6,14,15,2,15,27.4,64.3,84.9,,35.0,38.9,78.1,59.3,21,0,90,13,93,62,0,0,17,62,3,238,156,3.18,4.9,0.97,34
Mike Davis,9559,HB,ATL,4,49,10,0,0.0,0,0,151,1,10,10,134,84.1,4,6,2,0,9,84.0,68.5,82.1,,65.9,63.1,70.3,58.6,12,0,80,16,106,57,0,0,19,65,0,151,134,2.73,3.1,0.75,40
Devin Singletary,40485,HB,BUF,4,49,9,4,39.0,101,0,259,2,3,9,127,55.5,5,10,4,4,14,19.9,51.9,83.7,,28.1,27.6,70.9,72.8,46,0,24,7,93,58,0,0,10,56,1,259,127,2.59,5.3,0.26,34
Javonte Williams,77803,HB,DEN,4,46,17,2,25.3,47,0,186,1,2,17,147,112.4,6,11,10,1,22,46.1,71.1,79.8,,87.5,63.3,68.2,72.0,31,0,50,8,51,50,0,0,9,54,1,186,147,3.2,4.0,0.98,23
Leonard Fournette,11759,HB,TB,4,44,7,1,11.4,21,0,184,3,4,7,116,49.2,3,8,30,1,26,47.6,62.3,81.1,,28.3,46.8,71.2,60.0,21,0,124,15,103,50,0,0,19,59,0,184,116,2.64,4.2,1.2,17
Latavius Murray,7962,HB,BLT,4,44,2,0,0.0,0,0,151,0,0,2,114,11.8,1,12,3,0,23,82.0,67.7,79.6,,43.1,48.9,71.9,55.2,11,0,0,0,38,61,0,0,0,44,3,151,114,2.59,3.4,0.0,21
Chase Edmonds,45851,HB,ARZ,4,43,4,3,34.9,89,0,255,0,3,4,113,29.2,7,12,1,0,12,83.1,67.2,85.1,,56.3,63.0,69.4,60.4,54,0,140,20,104,56,0,0,22,63,0,255,113,2.63,5.9,1.35,27
Kareem Hunt,11841,HB,CLV,4,43,13,4,41.0,96,0,234,1,3,13,165,111.6,8,13,8,0,31,82.9,81.3,81.8,,82.5,70.6,80.1,60.0,33,0,121,12,57,48,0,0,14,55,3,234,165,3.84,5.4,2.12,11
Darrell Henderson,41193,HB,LA,3,43,6,3,21.2,45,0,212,2,3,6,92,37.0,6,12,26,0,13,82.5,66.1,85.5,,89.4,45.5,74.8,59.5,15,0,73,9,76,56,0,0,12,52,2,212,92,2.14,4.9,0.96,30
Jamaal Williams,11889,HB,DET,4,42,9,1,10.7,20,0,187,1,3,9,118,61.3,5,13,11,0,22,82.5,75.3,79.7,,30.6,67.6,77.0,60.0,20,0,93,13,50,45,0,0,14,55,2,187,118,2.81,4.5,1.86,18
Lamar Jackson,46416,QB,BLT,4,28,10,2,12.9,36,0,135,0,0,8,72,73.5,8,15,3,4,23,30.0,83.8,84.5,79.7,,,76.5,60.0,31,1,0,0,0,116,144,14,0,28,2,279,123,2.93,6.6,,0
D'Andre Swift,57212,HB,DET,4,41,3,2,22.3,31,0,139,1,10,3,76,37.7,5,9,11,0,17,83.4,66.9,85.4,60.0,19.7,83.7,61.4,57.6,16,0,199,23,110,50,0,0,28,64,1,139,76,1.85,3.4,1.81,18
Alexander Mattison,45817,HB,MIN,4,40,8,1,16.6,24,0,145,0,3,8,82,47.0,3,7,18,0,7,82.0,59.2,78.0,,24.8,67.4,58.8,60.0,24,0,80,8,42,42,0,0,9,48,0,145,82,2.05,3.6,1.9,33
Peyton Barber,10927,HB,LV,3,37,8,2,32.2,46,0,143,1,0,8,147,79.5,5,9,23,1,21,36.6,69.3,75.4,,84.1,44.0,70.7,60.0,27,0,31,3,20,42,0,0,5,40,1,143,147,3.97,3.9,1.55,16
Miles Sanders,40555,HB,PHI,4,37,5,3,38.5,65,0,169,0,8,5,81,59.3,4,7,24,0,18,81.8,66.7,84.2,,54.4,67.9,64.7,73.6,24,0,105,11,89,51,0,0,12,48,0,169,81,2.19,4.6,1.18,18
Tony Pollard,27126,HB,DAL,4,37,6,4,34.0,85,1,250,0,2,6,129,62.0,8,15,9,0,15,82.4,90.6,80.1,,56.2,81.8,86.9,60.0,28,1,65,8,32,45,0,0,8,45,1,250,129,3.49,6.8,2.03,19
Michael Carter,57337,HB,NYJ,4,37,9,0,0.0,0,0,127,2,4,9,95,77.6,4,8,22,0,7,81.5,59.0,0.0,,60.9,47.6,64.7,60.0,14,1,44,6,48,43,0,0,10,43,1,127,95,2.57,3.4,0.92,30
Elijah Mitchell,57272,HB,SF,2,36,8,1,26.0,38,0,146,0,0,8,107,62.6,4,7,28,0,11,81.0,60.8,76.4,,29.2,58.6,62.9,59.9,38,0,11,2,22,46,0,0,2,38,1,146,107,2.97,4.1,0.5,25
Zack Moss,40341,HB,BUF,3,35,6,1,11.6,17,0,147,0,2,6,78,44.6,2,11,4,1,14,34.2,64.5,79.5,,25.8,42.6,72.8,59.2,17,0,39,5,44,49,0,0,6,40,3,147,78,2.23,4.2,0.89,18
Jalen Hurts,40291,QB,PHI,4,15,5,0,0.0,0,0,76,0,0,2,38,33.8,8,14,24,3,3,72.3,79.2,49.1,75.3,,60.0,76.7,60.0,27,2,0,0,1,73,150,19,1,15,1,226,97,2.85,6.6,0.0,7
