player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Derrick Henry,10679,HB,TEN,2,52,5,2,32.9,79,0,240,0,0,5,201,31.7,4,11,31,0,19,83.8,78.9,78.8,,66.1,75.8,75.9,60.0,60,0,74,9,36,55,0,0,9,61,3,240,201,3.87,4.6,2.06,33
Joe Mixon,11803,HB,CIN,2,49,9,1,9.7,19,0,196,0,1,9,135,51.0,4,8,7,0,20,82.9,76.5,79.9,,25.8,62.1,79.1,60.0,19,0,25,5,41,51,0,0,6,54,1,196,135,2.76,4.0,0.61,29
Christian McCaffrey,11763,HB,CAR,2,45,8,3,28.8,49,0,170,0,6,8,113,59.6,4,6,5,0,21,83.1,75.4,80.2,,61.5,93.3,62.5,60.0,18,0,154,14,46,51,0,0,15,59,1,170,113,2.51,3.8,3.35,24
Dalvin Cook,11796,HB,MIN,2,42,14,3,25.0,48,0,192,2,1,14,127,90.7,9,13,18,1,7,42.9,65.0,79.7,,43.5,52.3,68.9,,17,0,60,8,43,43,0,0,10,50,1,192,127,3.02,4.6,1.4,34
Mark Ingram II,6180,HB,HST,2,40,9,0,0.0,0,0,126,0,0,9,112,61.5,1,5,13,0,24,81.4,58.4,75.1,,73.2,55.5,58.8,60.0,11,0,-1,1,9,42,0,0,3,41,1,126,112,2.8,3.2,-0.11,16
Damien Harris,35134,HB,NE,2,39,12,2,37.7,61,0,162,0,1,12,135,107.1,4,10,19,1,21,37.3,74.4,74.8,,37.4,69.4,73.0,60.0,35,0,19,3,18,41,0,0,4,42,1,162,135,3.46,4.2,1.06,14
Elijah Mitchell,57272,HB,SF,2,36,8,1,26.0,38,0,146,0,0,8,107,62.6,4,7,28,0,11,81.0,60.8,76.4,,29.2,58.6,62.9,59.9,38,0,11,2,22,46,0,0,2,38,1,146,107,2.97,4.1,0.5,25
David Montgomery,45719,HB,CHI,2,36,6,1,24.3,41,0,169,0,2,6,124,68.9,4,9,6,0,6,81.2,68.9,80.2,,83.9,77.1,62.8,60.0,41,0,28,4,40,44,0,0,4,40,1,169,124,3.44,4.7,0.7,30
Antonio Gibson,78050,HB,WAS,2,33,5,1,17.0,27,1,159,2,2,5,108,60.3,4,9,32,2,12,23.4,54.7,0.0,,18.2,47.5,62.9,60.0,27,1,22,5,35,37,0,0,7,38,0,159,108,3.27,4.8,0.63,21
Jonathan Taylor,57488,HB,IND,2,32,7,0,0.0,0,0,107,1,0,7,77,43.2,2,10,14,0,15,80.7,60.6,78.5,,33.2,58.6,61.8,,13,0,62,7,33,33,0,0,8,39,0,107,77,2.41,3.3,1.88,16
Chris Carson,12004,HB,SEA,2,29,8,1,27.0,33,0,122,0,5,8,106,148.5,1,5,29,1,12,29.3,67.1,0.0,,77.5,58.9,70.5,59.4,33,1,26,3,35,35,0,0,3,32,2,122,106,3.66,4.2,0.74,15
