player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Tom Brady,698,QB,TB,3,77.1,131,141,8.9,2.38,2,12,8.3,68.8,97,0,38,4.0,150,4,60,30,88.0,92.2,91.3,63.4,0,2,154,0,15.8,109.3,4.0,6,3,0,8,10,0,0.0,1087,7.7
Derek Carr,8671,QB,LV,3,76.6,124,136,9.6,2.63,4,13,9.1,64.7,88,0,46,7.4,147,7,52,23,66.9,85.9,86.4,51.3,1,2,154,2,17.4,101.4,5.4,8,3,2,5,6,4,2.6,1203,8.8
Ben Roethlisberger,1732,QB,PIT,3,75.4,126,130,7.0,2.41,2,4,2.9,63.8,83,0,33,12.6,140,12,40,25,42.7,55.5,54.8,61.9,2,3,147,0,24.2,79.0,5.7,8,2,0,0,3,6,4.1,801,6.2
Josh Allen,46601,QB,BUF,3,73.7,114,127,10.0,2.8,4,8,6.0,62.2,79,0,59,6.0,138,5,45,4,45.9,72.5,70.2,68.0,1,1,147,0,6.8,95.5,2.9,4,6,0,8,7,5,3.4,807,6.4
Justin Herbert,28237,QB,LAC,3,80.8,120,126,7.5,2.69,1,5,3.6,69.8,88,0,34,9.3,135,9,50,27,88.3,84.3,83.9,56.4,0,3,149,0,14.7,97.9,3.7,5,4,0,5,6,4,2.7,956,7.6
Jared Goff,10635,QB,DET,3,78.8,118,123,6.2,2.75,0,5,3.8,69.9,86,0,46,7.5,135,7,45,11,37.5,66.4,68.2,49.0,1,2,145,3,13.0,94.3,4.4,6,6,0,4,5,4,2.8,801,6.5
Mac Jones,60323,QB,NE,3,75.4,114,120,8.4,2.69,2,6,4.8,67.5,81,0,41,5.8,129,5,35,19,34.6,72.2,70.3,67.7,0,3,136,1,14.6,79.1,4.7,6,3,0,4,2,4,2.9,737,6.1
Kirk Cousins,7102,QB,MIN,3,86.2,109,119,6.0,2.38,3,4,3.2,73.9,88,0,34,6.4,126,6,46,18,38.4,90.2,87.6,70.4,3,0,135,0,14.7,118.3,4.0,5,2,1,3,8,2,1.5,918,7.7
Trevor Lawrence,77632,QB,JAX,3,65.5,110,118,9.7,2.7,0,4,3.1,54.2,64,0,42,11.1,128,8,31,15,64.1,46.6,45.5,64.3,2,7,139,0,11.9,60.3,3.9,5,5,1,5,5,9,6.5,669,5.7
Matt Ryan,4317,QB,ATL,3,77.5,111,117,4.9,2.62,2,1,0.8,70.9,83,0,44,3.5,126,3,35,2,63.3,59.6,59.3,56.2,2,3,135,2,15.9,87.1,5.6,7,2,0,2,4,5,3.7,707,6.0
