player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
DeSean Jackson,4363,WR,LV,1,0,,0,0,23,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
Calais Campbell,4364,DI,BLT,14,10,2.3,1,0,3,70.4,81.5,87.2,72.2,75.4,49.2,7.5,3,1,170,171,10.6,18,27
Malcolm Jenkins,4937,S,NO,15,12,5.3,0,0,20,55.9,62.1,88.8,57.7,73.6,65.2,15.0,6,2,346,352,2.9,10,22
Jason McCourty,5127,S,MIA,6,3,12.4,0,0,17,73.5,72.1,81.7,54.5,59.2,60.8,28.6,4,0,114,118,0.0,0,7
Steve McLendon,5232,DI,TB,11,2,2.3,1,0,30,64.1,63.4,53.9,64.7,57.2,42.1,16.7,1,1,70,73,4.3,3,3
Ndamukong Suh,5527,DI,TB,16,7,1.8,0,0,30,57.6,51.7,55.4,55.3,53.5,42.7,20.0,4,3,180,185,3.9,7,9
Gerald McCoy,5528,DI,LV,1,0,,0,0,23,,48.2,73.2,55.2,53.3,,,0,0,4,4,0.0,0,0
Joe Haden,5532,CB,PIT,11,6,8.7,0,0,25,63.9,62.2,85.3,,50.1,43.0,27.8,5,1,222,226,0.9,2,7
Tyson Alualu,5535,DI,PIT,2,2,2.7,0,0,25,,59.7,78.7,59.4,58.2,40.8,16.7,1,0,17,17,5.9,1,3
Brandon Graham,5538,ED,PHI,2,0,0.5,0,0,24,,62.6,79.9,60.6,61.0,25.6,50.0,2,0,18,18,5.6,1,2
Jason Pierre-Paul,5540,ED,TB,12,4,1.4,0,0,30,64.6,49.1,52.1,53.2,44.8,55.6,8.3,1,3,163,164,3.7,6,7
Kareem Jackson,5545,S,DEN,15,11,6.4,0,0,10,48.5,52.0,93.5,61.0,56.8,50.6,20.8,11,0,349,362,2.9,10,31
Devin McCourty,5552,S,NE,16,8,12.0,0,0,19,76.2,76.3,87.6,52.3,73.1,73.3,13.3,4,0,376,385,0.3,1,18
Jerry Hughes,5556,ED,BUF,16,1,1.9,2,1,4,51.7,71.4,30.8,82.4,57.9,25.9,33.3,4,5,183,186,2.7,5,7
Linval Joseph,5571,DI,LAC,13,12,3.2,1,0,27,67.1,61.9,59.4,83.0,47.9,65.8,3.7,2,2,270,279,9.6,26,40
Carlos Dunlap,5579,ED,SEA,14,3,3.4,0,0,29,59.0,72.4,62.0,67.6,76.8,82.9,0.0,0,2,115,118,7.8,9,16
Corey Peters,5607,DI,ARZ,13,2,2.5,0,0,1,53.8,58.8,65.9,62.4,57.5,75.4,0.0,0,1,157,163,8.3,13,17
Everson Griffen,5624,ED,MIN,9,3,5.0,0,0,18,60.9,63.7,4.7,79.0,46.0,28.0,40.0,4,7,135,140,1.5,2,3
Al Woods,5646,DI,SEA,16,11,1.5,0,0,29,54.5,75.4,63.3,61.9,80.3,40.9,11.8,6,2,293,304,9.9,29,34
Anthony Levine,6013,S,BLT,3,0,,0,0,3,38.9,44.3,75.9,51.7,73.2,77.6,,0,0,7,7,0.0,0,0
Andrew Sendejo,6118,S,IND,12,2,8.7,3,1,14,65.1,62.9,55.8,55.5,57.4,50.2,25.0,5,3,193,200,2.6,5,13
Von Miller,6154,ED,LA,14,6,0.5,1,0,26,90.8,87.5,34.8,74.4,86.9,63.2,16.7,5,5,244,258,7.0,17,19
Patrick Peterson,6157,CB,MIN,12,1,9.3,0,0,18,61.4,63.2,87.8,,65.6,48.4,7.1,1,2,309,312,1.9,6,12
J.J. Watt,6163,DI,ARZ,7,5,-0.3,0,0,1,59.1,79.0,66.8,83.1,62.0,27.1,22.2,4,1,114,120,7.9,9,9
Robert Quinn,6166,ED,CHI,15,1,1.6,2,0,6,74.0,70.6,28.7,80.6,52.9,59.5,17.2,5,6,291,300,5.5,16,23
Ryan Kerrigan,6168,ED,PHI,15,0,-2.0,0,0,24,70.6,62.5,86.7,60.1,56.8,73.4,0.0,0,0,114,117,0.9,1,2
Cameron Jordan,6176,ED,NO,15,6,1.3,0,0,20,86.8,83.8,73.6,68.8,87.4,75.3,6.8,3,2,260,265,10.0,26,35
Jimmy Smith,6179,CB,BLT,8,0,0.3,0,0,3,64.3,67.9,83.5,56.2,78.9,68.2,0.0,0,1,72,73,4.2,3,3
Cameron Heyward,6183,DI,PIT,16,20,2.4,0,1,25,67.9,91.1,44.2,86.7,89.2,77.5,1.5,1,5,350,359,8.0,28,45
Jabaal Sheard,6189,ED,MIA,1,1,,0,0,17,60.0,46.0,0.0,52.6,67.2,66.8,0.0,0,1,4,4,0.0,0,0
Justin Houston,6222,ED,BLT,14,3,2.4,0,0,3,76.7,75.6,75.1,76.9,54.5,30.3,19.2,5,1,144,146,9.0,13,18
K.J. Wright,6251,LB,LV,16,15,3.0,0,0,23,55.8,62.5,83.5,52.1,67.0,60.1,9.3,4,1,206,212,7.8,16,24
Buster Skrine,6289,CB,TEN,5,0,4.3,1,0,31,67.7,66.9,81.2,52.4,59.6,42.3,40.0,2,1,51,54,3.9,2,3
Richard Sherman,6306,CB,TB,4,0,,0,0,30,51.8,53.3,81.0,64.9,63.2,38.1,,0,2,17,19,0.0,0,0
Pernell McPhee,6317,ED,BLT,9,2,1.6,0,0,3,68.2,54.9,51.1,56.2,54.8,60.4,14.3,2,1,69,72,11.6,8,10
Lawrence Guy,6385,DI,NE,16,8,2.5,0,0,19,60.0,61.0,86.8,57.5,60.0,52.4,8.8,5,0,263,269,11.0,29,44
Malcolm Smith,6394,LB,CLV,15,7,3.2,0,0,8,68.1,59.1,6.2,48.2,53.1,46.3,16.1,5,2,156,162,9.0,14,19
Chris Harris Jr.,6457,CB,LAC,13,1,7.4,0,0,27,63.8,65.0,84.9,64.3,63.7,64.8,10.0,1,2,247,254,1.2,3,8
Josh Bynes,6503,LB,BLT,13,13,2.6,0,0,3,64.3,73.6,83.2,79.0,73.1,69.4,10.4,5,0,208,215,11.1,23,30
Mario Addison,6558,ED,BUF,16,6,2.6,1,0,4,64.8,61.0,48.7,64.4,55.1,53.7,10.5,2,3,140,142,5.7,8,11
Stephon Gilmore,7016,CB,CAR,8,0,10.0,0,0,5,79.4,77.1,27.9,,68.1,85.3,0.0,0,2,126,132,1.6,2,5
Fletcher Cox,7018,DI,PHI,16,8,1.5,1,1,24,67.5,66.7,38.3,74.1,53.6,70.6,3.4,1,5,276,285,5.8,16,20
Michael Brockers,7020,DI,DET,15,17,3.0,0,0,11,59.6,42.6,62.0,48.8,44.9,38.5,11.8,6,2,289,297,6.2,18,28
Bruce Irvin,7021,ED,CHI,5,3,4.5,0,0,6,64.9,49.4,45.5,55.5,49.3,52.9,12.5,1,1,74,75,4.1,3,4
Dre Kirkpatrick,7023,CB,SF,3,0,35.0,0,0,28,50.3,50.7,79.1,,53.0,57.4,50.0,1,1,50,50,0.0,0,1
Melvin Ingram III,7024,ED,KC,14,3,0.8,0,0,16,44.3,79.4,59.1,76.0,80.5,49.3,16.7,3,3,162,166,6.8,11,12
Chandler Jones,7027,ED,ARZ,14,6,0.7,1,0,1,52.7,72.2,48.6,88.2,45.1,59.4,13.8,4,5,271,276,5.9,16,19
Dont'a Hightower,7030,LB,NE,15,13,2.8,0,0,19,38.8,53.7,65.4,58.7,69.0,58.8,14.0,6,1,276,283,5.8,16,24
Whitney Mercilus,7031,ED,GB,10,4,1.6,0,0,12,64.0,62.4,87.8,65.9,51.2,61.9,7.7,1,0,113,118,5.3,6,8
Jackrabbit Jenkins,7043,CB,TEN,13,5,6.5,1,0,31,66.0,66.4,16.1,73.8,74.8,71.9,0.0,0,7,235,242,0.4,1,8
Bobby Wagner,7050,LB,SEA,15,32,3.6,0,0,29,62.8,71.8,86.0,70.0,76.7,79.7,9.6,10,1,436,453,7.3,32,62
