player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Andy Lee,1906,P,ARZ,14,45,45,4.16,42.13,49.47,8.8,0,0,5,7,1,46.6,11,62,2,0,57.8,230,26,45,187.09,1896,5,2226
Dustin Colquitt,2316,P,CLV,9,36,36,4.13,40.56,45.61,9.5,1,0,3,9,8,61.3,12,66,7,0,41.7,142,15,37,148.68,1460,2,1642
Sam Koch,3148,P,BLT,15,61,61,4.26,40.67,44.95,6.5,0,0,7,13,3,67.6,23,60,9,0,45.9,181,28,61,260.15,2481,4,2742
Brett Kern,4580,P,TEN,12,39,39,4.1,40.13,44.38,11.2,0,0,5,10,31,67.4,14,59,10,0,33.3,146,13,39,159.77,1565,1,1731
Kevin Huber,5066,P,CIN,14,56,56,4.22,42.0,47.05,8.3,0,0,7,14,7,57.2,23,61,8,0,39.3,183,22,56,236.27,2352,5,2635
Thomas Morstead,5088,P,ATL,12,39,39,4.3,42.79,47.97,10.7,0,0,4,15,2,71.4,19,64,2,0,43.6,182,17,39,167.73,1669,1,1871
Bryan Anger,7072,P,DAL,15,60,60,4.47,44.27,48.4,7.3,0,0,6,22,9,73.9,24,63,5,0,38.3,168,23,60,267.98,2656,4,2904
Johnny Hekker,7252,P,LA,15,45,45,4.2,42.13,43.6,5.8,0,0,7,21,26,66.6,19,58,8,0,17.8,46,8,45,188.92,1896,1,1962
Sam Martin,7947,P,DEN,15,61,61,4.16,42.57,45.92,6.9,0,0,7,22,10,72.9,28,68,8,0,34.4,144,21,61,253.73,2597,3,2801
Tress Way,8358,P,WAS,14,54,54,4.32,43.61,49.19,8.8,1,0,7,13,32,63.7,20,66,5,1,46.3,221,25,55,233.09,2355,4,2656
Pat O'Donnell,8826,P,CHI,15,56,56,4.14,38.52,46.34,11.2,0,0,6,12,6,55.1,18,72,2,0,57.1,358,32,56,231.6,2157,4,2595
Michael Palardy,9277,P,MIA,15,70,70,4.16,40.27,44.76,8.6,0,0,10,26,17,54.3,28,65,4,0,35.7,214,25,70,290.9,2819,5,3133
Bradley Pinion,9598,P,TB,14,53,53,4.42,38.55,42.36,7.7,0,0,8,15,30,63.4,24,65,7,0,39.6,162,21,53,234.22,2043,2,2245
Ty Long,9728,K,LAC,12,40,40,4.18,37.18,45.35,12.0,1,0,4,5,27,50.6,10,69,5,0,60.0,287,24,41,167.31,1487,2,1814
Jordan Berry,10236,P,MIN,15,66,66,4.12,41.47,46.3,8.1,1,0,9,13,18,55.8,25,63,9,0,48.5,259,32,67,272.23,2737,3,3056
Riley Dixon,10862,P,NYG,15,64,64,4.17,38.88,44.08,9.3,0,0,14,14,21,53.4,22,63,7,0,35.9,213,23,64,267.19,2488,6,2821
Lachlan Edwards,10869,P,CAR,8,31,31,4.13,41.06,48.42,10.4,1,0,2,7,5,55.1,5,60,2,0,58.1,188,18,32,128.11,1273,2,1501
Zane Gonzalez,11979,K,CAR,1,1,1,3.37,20.0,40.0,,0,0,0,0,5,60.0,0,40,0,0,0.0,0,0,1,3.37,20,1,40
Harrison Butker,11988,K,KC,1,1,1,3.21,31.0,31.0,,0,0,1,0,16,60.0,1,31,0,0,0.0,0,0,1,3.21,31,0,31
Younghoe Koo,12042,K,ATL,1,2,2,2.95,35.0,35.0,,0,0,1,0,2,57.5,0,45,1,0,0.0,0,0,2,5.89,70,0,70
Rigoberto Sanchez,12130,P,IND,15,52,52,4.22,40.44,44.73,8.1,0,0,7,14,14,71.7,24,79,5,0,48.1,203,25,52,219.18,2103,1,2326
Matt Haack,12212,P,BUF,14,45,45,4.17,39.6,44.29,6.1,1,0,6,11,4,58.0,16,63,7,0,33.3,91,15,46,187.55,1782,6,1993
Cameron Johnston,12255,P,HST,15,76,76,4.17,42.21,46.93,8.1,0,0,9,20,13,62.6,34,69,7,0,48.7,299,37,76,317.14,3208,3,3567
Tristan Vizcaino,13076,K,LAC,1,1,1,4.01,26.0,32.0,6.0,0,0,0,0,27,60.0,1,32,0,0,0.0,6,0,1,4.01,26,0,32
Johnny Townsend,22261,P,KC,4,13,13,3.96,36.77,42.77,11.6,0,0,0,5,16,46.7,3,63,2,0,38.5,58,5,13,51.44,478,1,556
Corey Bojorquez,27626,P,GB,15,50,50,4.33,40.82,47.38,12.8,0,0,7,11,12,65.8,21,82,8,0,42.0,268,21,50,216.7,2041,3,2369
Logan Cooke,29214,P,JAX,15,64,64,4.34,44.27,47.28,8.2,1,0,8,26,15,72.6,32,68,8,0,32.8,173,21,65,277.96,2833,1,3026
Ryan Winslow,30026,P,ARZ,3,14,14,3.96,37.29,38.64,2.4,0,0,3,2,1,43.8,3,46,1,0,57.1,19,8,14,55.41,522,0,541
Tommy Townsend,33007,P,KC,13,32,32,4.37,45.5,48.03,4.1,0,0,5,7,16,47.4,19,68,4,0,46.9,61,15,32,139.73,1456,1,1537
Sterling Hofrichter,33541,P,TB,1,3,3,3.98,33.67,41.0,11.0,0,0,0,1,30,58.0,1,45,0,0,66.7,22,2,3,11.93,101,0,123
Joseph Charlton,33672,P,CAR,5,21,21,4.6,37.52,39.1,11.0,1,0,2,14,5,61.8,8,54,2,0,14.3,33,3,22,96.59,788,0,821
Jake Bailey,33963,P,NE,15,45,45,4.17,42.29,47.51,9.0,3,0,6,12,19,61.6,23,71,7,0,33.3,135,15,48,187.79,1903,5,2138
Matt Ammendola,34039,K,NYJ,1,6,6,3.98,42.5,48.5,12.0,0,0,0,1,22,56.0,2,65,2,0,50.0,36,3,6,23.88,255,0,291
Jack Fox,34735,P,DET,15,60,60,4.33,42.48,49.48,8.8,0,0,10,10,11,59.6,17,70,1,0,53.3,280,32,60,259.59,2549,7,2969
Michael Dickson,35381,P,SEA,15,80,80,4.19,41.73,47.15,7.3,0,0,12,20,29,64.8,41,68,6,0,40.0,234,32,80,335.31,3338,10,3772
A.J. Cole III,36038,P,LV,15,58,58,4.38,42.41,50.29,13.0,0,0,5,15,23,86.1,29,71,6,0,44.8,337,26,58,253.92,2460,6,2917
Corliss Waitman,39620,P,PIT,1,2,2,4.33,41.5,60.5,18.0,0,0,0,0,25,59.4,0,63,0,0,50.0,18,1,2,8.66,83,1,121
Mitch Wishnowsky,44663,P,SF,14,51,51,4.23,41.75,45.53,5.8,0,0,10,14,28,60.1,21,67,6,0,31.4,93,16,51,215.51,2129,5,2322
Braden Mann,44664,P,NYJ,8,27,27,4.49,40.15,45.33,12.0,0,0,6,5,22,66.1,10,63,5,0,37.0,120,10,27,121.11,1084,1,1224
Blake Gillikin,45045,P,NO,15,76,76,4.26,42.13,47.91,9.0,0,0,10,16,20,64.6,28,63,5,0,55.3,379,42,76,323.47,3202,3,3641
Cameron Nizialek,60273,P,PIT,4,18,18,4.09,39.78,45.39,8.7,0,0,3,3,25,53.6,7,62,3,0,38.9,61,7,18,73.59,716,2,817
Pressley Harvin III,62973,P,PIT,14,62,62,4.28,38.11,43.29,10.0,0,0,5,14,25,55.5,23,64,14,0,41.9,261,26,62,265.48,2363,3,2684
Jamie Gillan,63303,P,CLV,12,42,42,4.22,39.52,43.86,8.5,0,0,3,12,8,52.6,16,65,7,0,45.2,162,19,42,177.29,1660,1,1842
Arryn Siposs,82019,P,PHI,14,50,50,4.27,39.62,45.1,9.3,0,0,8,11,24,67.7,15,68,5,0,46.0,214,23,50,213.52,1981,3,2255
