player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Derrick Henry,10679,HB,TEN,7,191,28,9,30.4,264,0,869,0,3,28,662,51.4,20,45,31,0,86,90.7,80.6,35.3,70.7,59.1,78.6,76.1,72.6,76,1,154,18,105,207,0,0,19,209,10,869,662,3.47,4.5,1.47,105
Joe Mixon,11803,HB,CIN,7,123,22,4,15.8,85,0,539,0,1,22,416,57.2,13,24,7,1,34,70.4,79.3,83.4,,34.5,51.4,85.6,60.0,27,0,90,13,112,135,0,0,15,136,4,539,416,3.38,4.4,0.8,89
Alvin Kamara,11822,HB,NO,6,114,19,1,5.5,23,0,419,4,3,19,285,39.6,7,15,20,0,32,89.8,64.4,85.5,,17.4,69.5,64.2,57.9,23,0,241,25,131,151,0,0,32,139,1,419,285,2.5,3.7,1.84,75
Jonathan Taylor,57488,HB,IND,7,105,21,7,40.6,235,0,579,3,3,21,422,78.4,15,36,14,2,40,48.3,76.5,84.2,,23.7,65.9,80.4,45.3,83,0,213,18,101,118,0,0,21,123,5,579,422,4.02,5.5,2.11,60
Antonio Gibson,78050,HB,WAS,7,103,10,3,14.2,58,1,408,4,6,10,292,38.8,6,26,32,4,34,25.7,58.4,25.0,,32.8,47.4,63.8,58.9,27,1,124,14,104,120,0,0,18,117,3,408,292,2.83,4.0,1.19,67
Najee Harris,57121,HB,PIT,6,102,14,4,19.6,76,1,388,5,19,14,279,66.4,11,19,25,0,47,89.2,67.8,39.9,,57.1,71.4,66.6,43.2,20,1,244,34,191,116,0,0,46,136,2,388,279,2.74,3.8,1.28,48
Ezekiel Elliott,10638,HB,DAL,6,102,11,5,23.2,121,1,521,0,0,11,332,30.3,16,29,9,0,34,88.5,75.1,36.7,,27.8,65.8,80.3,55.5,47,1,105,16,158,123,0,0,19,118,5,521,332,3.25,5.1,0.66,63
Darrell Henderson,41193,HB,LA,6,96,10,4,17.7,74,0,417,3,4,10,236,31.0,11,23,26,0,26,87.9,67.3,87.9,,72.8,48.4,74.5,60.0,29,0,138,15,156,112,0,0,23,111,4,417,236,2.46,4.3,0.88,69
Damien Harris,35134,HB,NE,7,95,20,6,34.3,150,0,437,0,4,20,311,74.8,11,25,19,2,63,42.1,83.2,80.3,,47.7,69.3,82.2,62.3,35,0,60,10,64,107,0,0,11,105,5,437,311,3.27,4.6,0.94,21
Leonard Fournette,11759,HB,TB,7,93,16,4,17.7,73,0,413,3,9,16,271,60.7,9,24,30,1,51,66.8,72.8,84.3,,47.9,58.7,78.3,60.0,21,0,222,27,170,104,0,0,34,120,4,413,271,2.91,4.4,1.31,41
Mark Ingram II,6180,HB,HST,7,92,15,1,8.2,24,0,294,0,2,15,238,44.4,4,13,13,0,45,87.4,65.5,79.7,,83.3,62.0,64.0,60.0,24,0,24,7,43,102,0,0,9,99,1,294,238,2.59,3.2,0.56,47
Nick Chubb,45783,HB,CLV,5,90,28,7,34.0,178,0,523,0,0,28,375,122.8,14,24,8,1,45,63.5,73.0,80.9,,62.0,55.0,74.4,59.6,52,0,35,5,63,100,0,0,5,95,4,523,375,4.17,5.8,0.56,44
Aaron Jones,11937,HB,GB,7,89,20,3,24.8,100,0,404,0,1,20,268,55.0,8,18,12,2,22,45.3,80.8,88.7,,84.8,79.8,75.5,60.0,57,0,186,26,153,97,0,0,28,115,2,404,268,3.01,4.5,1.22,65
James Conner,11860,HB,ARZ,7,89,20,3,15.2,51,0,336,0,1,20,265,66.5,6,24,1,1,26,62.0,74.4,84.8,,85.2,56.9,71.1,79.9,18,0,34,5,64,119,0,0,5,94,6,336,265,2.98,3.8,0.53,57
James Robinson,22425,HB,JAX,6,84,21,5,30.4,140,0,460,2,4,21,341,100.5,11,24,15,2,30,40.2,77.1,86.4,,32.7,42.7,90.3,69.9,58,0,116,17,142,103,0,0,22,101,5,460,341,4.06,5.5,0.82,52
Chuba Hubbard,57373,HB,CAR,7,84,9,1,8.4,26,0,309,4,3,9,225,31.8,7,17,5,0,24,87.1,64.4,22.8,,48.8,49.7,70.5,58.7,26,1,110,17,102,101,0,0,24,101,1,309,225,2.68,3.7,1.08,57
Dalvin Cook,11796,HB,MIN,4,81,17,6,28.1,103,0,366,3,4,17,224,62.4,16,22,18,2,15,36.9,57.0,81.8,,47.0,47.2,60.6,60.0,23,0,73,12,91,87,0,0,15,93,2,366,224,2.77,4.5,0.8,63
Melvin Gordon III,9448,HB,DEN,7,78,14,1,20.0,70,1,350,0,4,14,208,51.6,6,17,10,0,38,86.5,70.7,24.2,,29.9,63.4,75.4,60.0,70,1,133,15,142,83,0,0,17,93,2,350,208,2.67,4.5,0.94,39
D'Andre Swift,57212,HB,DET,7,78,4,2,11.8,31,0,262,2,17,4,146,32.8,9,14,11,0,29,87.8,64.6,87.9,60.0,31.6,83.7,57.0,37.7,16,0,391,42,198,92,0,0,50,120,3,262,146,1.87,3.4,1.97,38
Lamar Jackson,46416,QB,BLT,7,46,19,3,10.8,52,0,219,0,0,9,109,46.4,15,29,3,5,40,41.5,85.4,86.7,81.9,,,76.6,60.0,31,1,0,0,0,184,261,30,0,46,2,480,266,3.5,6.3,,0
Austin Ekeler,12164,HB,LAC,6,73,17,4,20.8,74,0,356,0,6,17,227,71.5,9,19,27,2,31,38.8,73.9,85.8,,49.5,65.9,77.6,59.3,20,0,242,27,152,87,0,0,29,100,4,356,227,3.11,4.9,1.59,39
Jamaal Williams,11889,HB,DET,7,71,12,1,6.4,20,0,312,2,3,12,204,49.5,8,24,11,0,34,85.9,73.6,81.2,,55.5,58.5,76.2,59.8,20,0,99,16,70,77,0,0,18,87,2,312,204,2.87,4.4,1.41,33
David Montgomery,45719,HB,CHI,4,69,15,3,26.2,81,0,309,0,2,15,219,71.9,7,18,6,0,15,85.3,72.6,82.7,,85.9,72.9,68.1,73.1,41,0,49,6,71,80,0,0,8,75,3,309,219,3.17,4.5,0.69,53
Javonte Williams,77803,HB,DEN,7,69,24,4,39.4,126,0,320,2,5,24,243,114.8,10,15,10,1,31,59.9,72.9,82.7,,73.5,65.3,71.4,79.7,49,0,122,20,103,74,0,0,22,89,1,320,243,3.52,4.6,1.18,35
Kareem Hunt,11841,HB,CLV,6,69,20,5,31.3,113,0,361,1,4,20,244,95.4,12,21,8,0,41,86.4,77.9,82.8,,67.2,68.7,77.9,60.0,33,0,161,20,89,79,0,0,23,89,5,361,244,3.54,5.2,1.81,23
Chase Edmonds,45851,HB,ARZ,7,68,12,5,36.5,145,0,397,1,3,12,217,50.4,11,19,1,1,19,60.6,63.6,88.7,,76.4,50.1,70.1,55.7,54,0,172,27,159,97,0,0,32,95,0,397,217,3.19,5.8,1.08,44
