player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_grades_run_defense,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_grades_run_defense,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_grades_run_defense,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_grades_run_defense,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Tom Brady,698,QB,TB,5,5.86,0,239,30,72.7,176,192,11.9,2.57,2,18,9.0,62.0,119,57,7.0,206,86.2,9,87,,,,,90.1,93.7,85.0,92.5,,73.2,,0,1,214,15.8,110.7,4.4,9,5,1,13,15,0,0.0,1524,7.9,75.0,164,177,9.1,2.34,2,16,8.8,65.0,115,45,6.5,189,79.1,8,73,,,,,89.9,91.9,84.7,90.7,,73.2,,0,1,194,15.6,103.8,3.7,7,5,1,10,10,0,0.0,1322,7.5,81.8,44,48,11.9,2.65,1,2,3.9,70.8,34,12,5.6,50,20.9,2,25,,,,,80.8,90.7,78.2,89.3,,,,0,1,53,16.7,125.8,4.0,2,0,0,3,5,0,0.0,445,9.3,0,96.9,32,33,-2.3,1.38,1,0,0.0,90.9,30,0,3.2,33,13.8,1,11,,,,,77.9,68.0,76.5,67.3,,,,0,1,33,,84.7,0.0,0,0,0,0,0,0,0.0,243,7.4,1.8
Derek Carr,8671,QB,LV,5,-0.3,0,226,23,75.3,178,193,10.3,2.8,4,19,9.3,62.2,120,77,10.4,214,94.7,14,66,,,,,75.3,81.9,57.6,82.9,,50.0,,1,4,227,19.5,92.5,7.0,15,6,2,8,8,6,2.6,1547,8.0,76.9,169,183,9.4,2.71,5,16,8.2,63.9,117,68,10.0,200,88.5,13,60,,,,,90.2,82.7,56.5,83.6,,50.9,,1,4,213,17.6,93.1,6.0,12,5,2,6,8,5,2.3,1416,7.7,75.0,20,22,11.6,2.9,0,3,13.0,63.6,14,9,6.7,26,11.5,1,7,,,,,25.2,65.9,75.8,66.3,,58.3,,0,0,27,33.3,90.9,11.5,3,1,0,2,0,1,3.7,189,8.6,0,100.0,11,12,-2.1,1.58,1,0,0.0,91.7,11,0,0.0,12,5.3,0,1,,,,,72.8,66.7,73.2,66.1,,,,0,0,13,,86.8,0.0,0,0,0,0,0,0,0.0,58,4.8,0.85
Justin Herbert,28237,QB,LAC,5,1.59,0,224,27,77.7,184,195,8.5,2.63,3,9,4.2,66.7,130,59,9.1,212,94.6,13,77,,,,,90.3,90.2,85.6,88.2,,69.0,,2,3,231,15.3,104.1,4.2,9,8,0,6,12,4,1.7,1516,7.8,76.6,137,144,8.4,2.45,3,7,4.5,66.7,96,42,8.6,155,69.2,9,58,,,,,89.3,90.2,84.8,88.6,,66.6,,1,1,166,11.9,108.5,3.2,5,6,0,3,10,2,1.2,1059,7.4,83.9,56,63,7.2,2.91,1,2,2.8,68.3,43,18,8.5,69,30.8,4,22,,,,,83.2,76.5,79.6,74.3,,66.4,,1,2,77,22.2,95.8,5.8,4,2,0,5,3,2,2.6,517,8.2,0,100.0,9,12,-3.0,1.85,1,0,0.0,75.0,9,1,0.0,12,5.4,0,3,,,,,72.4,62.1,72.9,61.8,,,,0,0,12,0.0,113.2,0.0,0,0,0,2,1,0,0.0,60,5.0,0.86
Patrick Mahomes,11765,QB,KC,5,3.52,0,222,16,78.4,153,170,10.0,2.97,1,6,3.2,65.9,112,68,6.7,197,88.7,8,83,,,,,56.4,79.3,55.6,75.0,,80.2,,3,6,214,10.3,96.9,3.6,7,19,0,13,11,5,2.3,1350,7.9,78.9,123,135,7.6,2.72,1,4,2.8,68.1,92,49,5.2,154,69.4,5,64,,,,,47.7,71.4,50.7,67.6,,77.2,,3,5,166,12.2,99.6,3.9,6,13,0,8,10,4,2.4,1021,7.6,85.2,54,60,9.8,2.96,0,2,3.0,71.7,43,20,6.5,68,30.6,3,32,,,,,82.9,86.4,79.4,82.8,,72.3,,0,1,74,5.0,120.8,1.5,1,6,0,6,6,1,1.4,469,7.8,0,95.8,24,25,-2.8,1.42,0,0,0.0,92.0,23,1,0.0,25,11.3,0,13,,,,,76.6,66.7,75.6,66.1,,,,0,0,26,0.0,129.6,0.0,0,0,0,1,5,0,0.0,140,5.6,0.26
Jared Goff,10635,QB,DET,5,6.19,0,218,11,72.6,168,176,8.2,2.8,0,5,2.6,65.3,115,77,5.7,198,90.8,7,64,,,,,27.9,62.2,56.1,64.6,60.0,38.5,,1,3,217,18.2,88.2,7.1,14,8,0,7,6,8,3.7,1158,6.6,74.3,148,157,7.2,2.62,1,5,2.9,65.6,103,66,6.4,174,79.8,7,55,,,,,26.5,65.4,53.4,67.4,,40.7,,1,2,189,16.7,91.5,6.3,11,6,0,7,6,6,3.2,1030,6.6,78.4,37,39,6.3,3.04,0,0,0.0,71.8,28,11,3.4,44,20.2,1,16,,,,,80.1,53.1,77.9,55.3,60.0,52.3,,0,1,48,27.3,88.9,6.8,3,2,0,2,1,2,4.2,273,7.0,0,100.0,17,20,-4.1,1.76,1,0,0.0,80.0,16,0,5.9,20,9.2,1,7,,,,,75.1,65.2,74.7,64.7,,,,0,0,20,,113.5,0.0,0,0,0,2,1,0,0.0,145,7.3,0.44
Matt Ryan,4317,QB,ATL,5,9.61,0,215,2,75.8,182,191,7.5,2.58,4,7,3.4,68.6,131,67,5.1,202,94.0,7,64,,,,,74.1,82.8,85.4,80.2,58.9,70.1,,2,3,219,11.9,97.2,4.0,8,3,1,2,10,5,2.3,1242,6.5,74.1,135,142,6.6,2.37,3,4,2.6,66.2,94,48,6.0,152,70.7,6,47,,,,,68.0,72.6,84.7,70.0,,70.1,,2,3,164,14.6,89.8,4.6,7,3,1,1,7,4,2.4,850,6.0,82.8,58,62,7.8,2.91,2,3,4.5,75.8,47,22,2.1,63,29.3,1,23,,,,,82.3,90.4,79.2,88.9,58.9,,,0,0,68,4.5,113.8,1.6,1,0,0,2,3,1,1.5,482,7.8,0,90.9,11,13,-2.6,1.77,1,0,0.0,76.9,10,3,0.0,13,6.0,0,6,,,,,72.8,59.7,73.2,59.5,,,,0,0,13,0.0,95.0,0.0,0,0,0,1,0,0,0.0,90,6.9,1.78
Jalen Hurts,40291,QB,PHI,5,1.61,0,214,24,71.0,131,148,10.5,3.18,4,12,7.4,58.8,87,68,6.5,177,82.7,6,58,,,,,73.9,83.1,52.3,78.1,60.0,81.2,,3,3,193,14.7,88.0,5.6,10,19,1,9,6,6,3.1,1131,7.6,76.1,117,132,7.6,2.91,5,9,6.4,64.4,85,52,4.5,158,73.8,4,45,,,,,71.6,83.0,49.5,77.6,,81.3,,3,2,169,13.5,91.8,4.4,7,18,1,6,5,3,1.8,943,7.1,77.8,45,50,8.3,2.92,0,3,5.2,66.0,33,19,5.7,56,26.2,2,20,,,,,81.8,69.5,78.9,70.0,60.0,54.6,,0,1,64,15.8,97.3,5.4,3,2,0,5,2,3,4.7,422,8.4,0,100.0,31,34,-3.7,1.65,1,0,0.0,91.2,31,3,0.0,37,17.3,0,7,,,,,79.0,64.1,77.2,66.0,,55.7,,0,0,40,0.0,105.1,0.0,0,1,0,2,1,0,0.0,234,6.9,1.3
Ben Roethlisberger,1732,QB,PIT,5,-3.59,0,208,25,70.2,168,175,8.4,2.4,4,8,4.3,60.6,106,48,10.2,188,90.4,12,57,,,,,27.7,55.8,84.9,54.9,,62.1,,2,4,197,22.9,80.6,5.9,11,2,0,1,5,10,5.1,1177,6.7,74.4,156,162,7.3,2.32,4,8,4.7,64.2,104,44,10.3,172,82.7,12,51,,,,,31.3,59.7,84.7,58.5,,62.1,,1,4,179,18.2,85.1,4.7,8,2,0,1,6,8,4.5,1066,6.6,68.8,32,33,6.9,2.26,0,0,0.0,60.6,20,4,9.1,36,17.3,2,12,,,,,28.0,51.2,77.1,51.7,,,,1,0,39,75.0,80.4,8.3,3,0,0,0,0,2,5.1,220,6.7,0,100.0,20,20,-2.4,1.41,0,0,0.0,90.0,18,0,10.0,20,9.6,2,6,,,,,75.4,70.2,74.9,69.3,,,,0,0,21,,106.0,0.0,0,0,0,0,1,0,0.0,109,5.5,0.09
Mac Jones,60323,QB,NE,5,8.09,0,205,19,75.6,160,169,9.0,2.68,2,7,3.9,69.2,117,66,3.3,183,89.3,4,59,,,,,49.6,73.1,53.5,71.4,,64.9,,0,5,194,16.7,86.0,6.0,11,3,1,6,5,8,4.1,1163,6.9,77.9,136,146,8.1,2.52,3,6,3.9,69.2,101,48,4.7,154,75.1,5,43,,,,,88.7,77.4,49.8,76.4,,58.7,,0,3,161,10.4,83.6,3.2,5,2,1,6,3,3,1.9,898,6.2,79.5,44,44,6.6,2.73,0,1,2.1,77.3,34,18,2.9,51,24.9,1,19,,,,,22.7,58.3,78.5,56.2,,65.6,,0,2,56,33.3,95.4,11.8,6,1,0,0,2,5,8.9,345,7.8,0,100.0,20,21,-2.3,1.64,1,0,0.0,85.7,18,0,10.0,22,10.7,2,3,,,,,75.9,67.4,75.3,66.6,,,,0,0,23,,82.5,0.0,0,0,0,0,0,0,0.0,80,3.8,1.69
Kirk Cousins,7102,QB,MIN,5,-3.8,0,204,18,83.3,150,169,8.3,2.58,5,7,3.9,66.9,113,63,9.6,182,89.2,12,63,,,,,52.8,90.3,56.2,89.5,58.9,62.2,,6,2,195,14.3,103.6,4.9,9,4,2,6,10,4,2.1,1259,7.4,87.0,131,149,7.0,2.33,4,5,3.2,70.5,105,49,7.9,158,77.5,9,55,,,,,47.5,91.1,53.6,90.4,,67.2,,7,0,168,12.2,107.1,3.8,6,3,2,5,7,3,1.8,1096,7.4,79.5,39,42,7.1,3.03,1,2,4.4,66.7,28,18,9.7,46,22.5,3,14,,,,,80.4,69.0,78.0,69.8,58.9,56.3,,0,2,50,16.7,91.4,6.5,3,1,0,2,3,1,2.0,300,7.1,0,100.0,20,22,-2.8,1.73,0,0,0.0,90.9,20,4,0.0,22,10.8,0,6,,,,,75.9,67.5,75.2,66.8,,,,1,0,23,0.0,92.6,0.0,0,0,0,1,0,0,0.0,137,6.2,-0.22
