team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
TB,30,9,400,10,53,400,90.6,69,6
DAL,9,9,362,13,55,362,89.5,72,4
PIT,25,9,371,16,40,371,89.5,67,11
ARZ,1,10,355,6,53,355,88.9,69,10
LAC,27,9,382,16,54,382,88.7,78,8
LA,26,10,390,13,48,390,88.6,75,14
SF,28,9,309,14,48,309,87.4,70,8
KC,16,10,476,18,82,476,87.2,111,11
CIN,7,9,321,16,44,321,86.9,72,12
HST,13,9,331,10,59,331,86.9,78,9
NE,19,10,360,21,47,360,86.7,82,14
WAS,32,9,362,13,64,362,86.0,89,12
GB,12,10,367,17,58,367,86.0,89,14
JAX,15,9,366,18,71,366,85.9,96,7
PHI,24,10,356,11,77,356,85.7,95,7
NO,20,9,312,13,55,312,85.6,79,11
MIN,18,9,361,23,71,361,85.3,100,6
BLT,3,9,386,16,72,386,85.2,101,13
ATL,2,9,354,27,56,354,84.9,95,12
CLV,8,10,342,10,64,342,84.8,89,15
BUF,4,9,391,19,81,391,84.4,111,11
NYG,21,9,363,18,68,363,84.3,100,14
CHI,6,9,306,7,57,306,84.3,80,16
NYJ,22,9,395,17,92,395,83.9,118,9
LV,23,9,377,24,80,377,83.8,113,9
DET,11,9,369,22,82,369,82.7,116,12
DEN,10,10,382,25,69,382,82.5,114,20
CAR,5,10,395,21,91,395,82.3,126,14
SEA,29,9,308,13,70,308,81.7,98,15
IND,14,10,374,35,76,374,81.7,124,13
TEN,31,10,358,24,70,358,80.4,117,23
MIA,17,10,444,25,129,444,78.6,172,18
