player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Cooper Kupp,11824,WR,LA,12,135,0,26,10.9,5,69.7,80.0,4,5,4.2,1,22,0,72.8,92.0,1,59,0.9,1,106,23,95.3,101,134.5,33,24.4,4,375,115,5.0,16.3,3.71,0,7.7,7,76.1,42.9,3,7,6.9,4,29,0,66.7,81.6,3,52,1.1,3,270,54,93.7,253,93.5,71,52.6,1,698,367,6.8,12.9,2.76
Tyreek Hill,10799,WR,KC,12,125,0,16,11.0,0,61.0,14.3,1,7,16.7,5,20,1,37.5,76.7,2,44,0.0,0,134,25,91.0,122,71.0,41,32.8,1,298,88,3.5,11.9,2.44,0,11.5,8,69.4,0.0,0,3,6.5,3,28,0,67.6,77.0,0,75,0.0,0,256,43,95.7,245,98.7,62,49.6,1,498,209,4.9,11.6,2.03
Keenan Allen,7857,WR,LAC,12,120,0,27,8.7,1,69.6,50.0,6,12,8.6,3,21,1,51.6,76.4,1,42,0.0,0,163,32,86.5,141,83.9,46,38.3,0,363,93,2.9,11.3,2.57,0,8.4,2,71.9,44.4,4,9,6.1,3,25,0,70.9,75.1,2,41,0.0,0,300,46,96.3,289,86.2,64,53.3,1,492,201,4.4,10.7,1.7
Diontae Johnson,33441,WR,PIT,11,119,0,25,8.4,2,68.3,50.0,4,8,0.0,0,17,1,77.5,81.2,0,50,0.0,0,139,28,93.5,130,115.6,41,34.5,2,397,233,8.3,14.2,3.05,0,10.1,6,58.5,33.3,2,6,3.1,1,20,0,79.4,71.5,2,45,0.0,0,197,31,92.4,182,64.6,53,44.5,1,295,97,3.1,9.5,1.62
Davante Adams,8688,WR,GB,11,113,0,12,10.6,4,64.9,57.1,4,7,0.0,0,16,0,85.7,87.1,1,50,0.0,0,122,24,91.0,111,97.6,37,32.7,2,308,74,3.1,12.8,2.77,0,11.2,4,71.9,41.7,5,12,2.1,1,31,0,84.8,91.6,2,59,0.0,0,220,46,95.0,209,102.5,64,56.6,2,663,277,6.0,14.4,3.17
Jaylen Waddle,84088,WR,MIA,13,112,0,17,7.1,5,76.2,87.5,7,8,8.6,3,23,0,59.7,79.1,1,36,0.0,0,169,32,92.3,156,110.6,42,37.5,3,314,123,3.8,9.8,2.01,0,6.7,4,76.2,60.0,3,5,5.9,3,24,1,71.4,75.0,5,57,0.0,0,293,48,95.2,279,63.6,63,56.3,0,470,228,4.8,9.8,1.68
Justin Jefferson,61398,WR,MIN,12,110,0,18,13.1,0,73.0,75.0,3,4,3.6,1,25,0,75.5,91.8,0,43,0.0,0,131,27,92.4,121,140.0,37,33.6,3,445,124,4.6,16.5,3.68,0,13.4,7,72.4,38.5,5,13,6.7,3,24,1,67.6,80.4,0,56,0.0,0,280,42,94.3,264,116.1,58,52.7,1,667,252,6.0,15.9,2.53
D.J. Moore,48267,WR,CAR,12,109,0,5,9.1,0,58.1,40.0,4,10,0.0,0,12,0,82.7,73.0,3,64,0.0,0,125,18,94.4,118,52.8,31,28.4,1,232,120,6.7,12.9,1.97,0,12.9,5,59.7,33.3,3,9,11.9,5,25,1,49.9,71.2,1,29,0.0,0,269,37,95.5,257,84.3,62,56.9,1,503,144,3.9,13.6,1.96
Stefon Diggs,9579,WR,BUF,12,106,0,4,10.7,2,60.5,27.3,3,11,4.2,1,15,0,73.5,81.4,2,37,0.7,1,135,23,91.1,123,86.1,38,35.8,3,266,52,2.3,11.6,2.16,0,12.7,9,69.6,66.7,6,9,0.0,0,24,0,90.1,77.6,2,57,0.0,0,269,39,95.2,256,89.4,56,52.8,1,513,145,3.7,13.2,2.0
Chris Godwin,11839,WR,TB,12,102,0,30,8.0,3,70.0,50.0,2,4,3.4,1,22,1,76.7,83.5,2,44,0.0,0,169,28,94.7,160,103.7,40,39.2,3,376,206,7.4,13.4,2.35,0,6.8,11,91.3,100.0,3,3,6.7,3,20,1,66.9,69.7,0,36,0.4,1,259,42,96.9,251,104.9,46,45.1,0,422,219,5.2,10.0,1.68
Travis Kelce,7844,TE,KC,12,102,0,16,9.4,1,46.7,100.0,2,2,12.5,2,9,0,51.2,67.3,3,28,2.2,3,135,14,88.1,119,33.3,30,29.4,1,150,76,5.4,10.7,1.26,0,7.2,13,72.0,66.7,2,3,5.3,2,25,1,63.4,76.4,2,46,2.8,8,284,36,91.9,261,93.7,50,49.0,1,499,277,7.7,13.9,1.91
Terry McLaurin,48229,WR,WAS,12,100,0,32,15.8,0,48.3,55.6,10,18,0.0,0,10,0,81.1,77.7,1,40,0.0,0,127,14,92.1,117,97.7,29,29.0,4,210,20,1.4,15.0,1.79,0,12.0,6,70.0,64.7,11,17,2.3,1,25,0,83.0,77.1,2,39,0.0,0,278,42,93.9,261,90.8,60,60.0,1,557,197,4.7,13.3,2.13
Mark Andrews,47436,TE,BLT,12,95,0,3,8.7,1,62.1,0.0,0,4,10.0,2,14,0,60.3,85.4,0,24,0.9,1,117,18,89.7,105,115.6,29,30.5,3,190,69,3.8,10.6,1.81,0,12.5,3,70.7,61.5,8,13,2.4,1,28,1,83.0,82.7,6,39,1.4,4,281,41,95.0,267,61.4,58,61.1,0,556,131,3.2,13.6,2.08
Marquise Brown,61568,WR,BLT,11,95,0,3,5.9,1,68.8,100.0,2,2,0.0,0,3,1,80.0,56.1,1,42,0.0,0,97,11,90.7,88,82.0,16,16.8,1,107,63,5.7,9.7,1.22,0,14.8,5,67.2,33.3,2,6,4.3,2,23,0,76.5,78.2,1,49,0.0,0,284,45,97.2,276,103.8,67,70.5,3,595,209,4.6,13.2,2.16
