player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Derrick Henry,10679,HB,TEN,6,162,25,9,33.7,264,0,783,0,2,25,587,55.0,19,39,31,0,74,90.4,79.4,29.4,,55.7,78.6,75.8,72.8,76,1,138,16,92,176,0,0,17,178,10,783,587,3.62,4.8,1.5,88
Joe Mixon,11803,HB,CIN,6,111,20,3,13.3,64,0,480,0,1,20,363,55.4,11,22,7,1,34,68.3,78.8,83.0,,40.9,52.4,84.4,60.0,27,0,90,13,96,121,0,0,15,124,3,480,363,3.27,4.3,0.94,77
Ezekiel Elliott,10638,HB,DAL,6,102,11,5,23.2,121,1,521,0,0,11,332,30.3,16,29,9,0,34,88.5,75.1,36.7,,27.8,65.8,80.3,55.5,47,1,105,16,158,123,0,0,19,118,5,521,332,3.25,5.1,0.66,63
Najee Harris,57121,HB,PIT,6,102,14,4,19.6,76,1,388,5,19,14,279,66.4,11,19,25,0,47,89.2,67.8,39.9,,57.1,71.4,66.6,43.2,20,1,244,34,191,116,0,0,46,136,2,388,279,2.74,3.8,1.28,48
Alvin Kamara,11822,HB,NO,5,94,18,1,6.3,23,0,368,4,0,18,252,44.3,6,14,20,0,28,88.1,65.4,84.7,,20.0,58.1,69.4,58.2,23,0,113,15,100,125,0,0,21,109,1,368,252,2.68,3.9,1.13,62
Nick Chubb,45783,HB,CLV,5,90,28,7,34.0,178,0,523,0,0,28,375,122.8,14,24,8,1,45,63.5,73.0,80.9,,62.0,55.0,74.4,59.6,52,0,35,5,63,100,0,0,5,95,4,523,375,4.17,5.8,0.56,44
Antonio Gibson,78050,HB,WAS,6,89,9,3,16.2,58,1,357,4,5,9,252,39.2,6,24,32,3,32,27.6,59.8,20.9,,28.8,45.0,66.6,59.5,27,1,119,12,94,102,0,0,16,101,3,357,252,2.83,4.0,1.27,55
Jonathan Taylor,57488,HB,IND,6,87,18,5,39.4,186,0,472,3,3,18,329,77.9,12,31,14,0,36,87.4,75.1,83.5,,19.4,67.9,79.0,44.8,83,0,210,15,85,96,0,0,18,102,4,472,329,3.78,5.4,2.47,47
Mark Ingram II,6180,HB,HST,6,86,14,1,8.4,24,0,285,0,2,14,222,45.9,4,13,13,0,43,86.8,65.3,78.9,,82.6,58.9,64.2,60.0,24,0,6,4,33,95,0,0,6,90,1,285,222,2.58,3.3,0.18,43
James Robinson,22425,HB,JAX,6,84,21,5,30.4,140,0,460,2,4,21,341,100.5,11,24,15,2,30,40.2,77.1,86.4,,32.7,42.7,90.3,69.9,58,0,116,17,142,103,0,0,22,101,5,460,341,4.06,5.5,0.82,52
Aaron Jones,11937,HB,GB,6,83,19,3,26.0,100,0,385,0,1,19,253,58.6,8,18,12,2,21,41.3,80.9,88.4,,88.9,77.4,76.8,60.0,57,0,166,21,126,89,0,0,23,104,2,385,253,3.05,4.6,1.32,60
Darrell Henderson,41193,HB,LA,5,81,9,4,19.9,74,0,372,3,3,9,193,30.7,10,21,26,0,19,86.6,69.5,86.7,,77.5,48.0,77.4,59.6,29,0,119,12,127,95,0,0,17,93,4,372,193,2.38,4.6,0.94,61
Damien Harris,35134,HB,NE,6,81,20,5,35.6,118,0,331,0,3,20,274,87.4,7,18,19,2,55,35.3,78.6,79.2,,38.0,71.3,77.6,60.0,35,0,53,8,53,91,0,0,9,89,3,331,274,3.38,4.1,1.0,18
Dalvin Cook,11796,HB,MIN,4,81,17,6,28.1,103,0,366,3,4,17,224,62.4,16,22,18,2,15,36.9,57.0,81.8,,47.0,47.2,60.6,60.0,23,0,73,12,91,87,0,0,15,93,2,366,224,2.77,4.5,0.8,63
James Conner,11860,HB,ARZ,6,79,16,1,5.9,16,0,272,0,1,16,223,57.1,3,22,1,1,23,58.7,71.1,84.2,,84.8,58.0,68.1,75.2,16,0,34,5,58,105,0,0,5,84,5,272,223,2.82,3.4,0.59,51
Leonard Fournette,11759,HB,TB,6,78,13,3,17.5,58,0,332,3,9,13,225,61.6,6,17,30,1,41,63.1,70.9,83.5,,41.7,59.8,75.9,60.0,21,0,213,25,150,88,0,0,30,103,3,332,225,2.88,4.3,1.42,36
Austin Ekeler,12164,HB,LAC,6,73,17,4,20.8,74,0,356,0,6,17,227,71.5,9,19,27,2,31,38.8,73.9,85.8,,49.5,65.9,77.6,59.3,20,0,242,27,152,87,0,0,29,100,4,356,227,3.11,4.9,1.59,39
Chuba Hubbard,57373,HB,CAR,6,72,7,1,9.3,26,0,281,4,3,7,195,31.9,6,15,5,0,21,85.9,65.7,17.9,,49.1,46.2,73.5,58.7,26,1,82,13,84,89,0,0,19,85,1,281,195,2.71,3.9,0.98,48
Melvin Gordon III,9448,HB,DEN,6,70,13,1,21.1,70,1,332,0,4,13,193,56.5,6,16,10,0,36,85.7,73.3,20.5,,27.1,62.4,79.5,60.0,70,1,119,13,125,74,0,0,14,83,2,332,193,2.76,4.7,0.95,34
Kareem Hunt,11841,HB,CLV,6,69,20,5,31.3,113,0,361,1,4,20,244,95.4,12,21,8,0,41,86.4,77.9,82.8,,67.2,68.7,77.9,60.0,33,0,161,20,89,79,0,0,23,89,5,361,244,3.54,5.2,1.81,23
David Montgomery,45719,HB,CHI,4,69,15,3,26.2,81,0,309,0,2,15,219,71.9,7,18,6,0,15,85.3,72.6,82.7,,85.9,72.9,68.1,73.1,41,0,49,6,71,80,0,0,8,75,3,309,219,3.17,4.5,0.69,53
Alexander Mattison,45817,HB,MIN,6,68,15,2,26.9,72,0,268,0,6,15,199,74.0,5,11,18,1,13,53.0,61.8,79.3,,27.0,75.1,59.1,60.0,48,0,120,15,66,72,0,0,16,83,0,268,199,2.93,3.9,1.82,54
D'Andre Swift,57212,HB,DET,6,65,3,2,14.5,31,0,214,2,13,3,113,28.1,7,13,11,0,27,86.4,64.7,86.8,60.0,27.0,78.3,59.5,57.4,16,0,295,34,167,76,0,0,40,99,3,214,113,1.74,3.3,1.77,29
Clyde Edwards-Helaire,57279,HB,KC,5,65,10,3,15.8,48,0,304,0,2,10,157,39.7,7,10,16,2,12,29.0,53.6,17.4,,37.8,58.4,54.6,60.0,17,1,61,8,97,69,0,0,9,73,0,304,157,2.42,4.7,0.63,52
Javonte Williams,77803,HB,DEN,6,65,23,4,42.0,126,0,300,1,4,23,227,119.4,10,15,10,1,30,57.0,72.5,82.2,,73.5,65.4,70.1,79.9,49,0,90,14,88,69,0,0,15,79,1,300,227,3.49,4.6,1.02,32
