player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Jared Goff,10635,QB,DET,1,2.68,2.45,3.77,5.97,63,11,73.3,30,30,6.9,1.99,0,1,2.9,66.7,20,6,9.1,31,49.2,2,13,,,,,78.4,65.5,76.8,64.9,,,,0,0,36,16.7,118.6,3.2,1,0,0,0,3,1,2.8,199,6.6,76.0,25,27,5.7,3.34,0,2,6.7,66.7,18,15,5.3,32,50.8,1,7,,,,,78.3,65.4,76.7,64.0,,63.5,,0,1,35,13.3,63.7,6.3,2,3,0,2,0,1,2.9,139,5.1
Dak Prescott,10769,QB,DAL,1,2.39,2.21,4.7,5.03,62,9,81.6,38,38,5.4,1.78,0,1,2.6,78.9,30,10,3.2,38,61.3,1,14,,,,,78.7,76.8,77.0,75.3,,,,0,0,38,0.0,97.1,0.0,0,0,0,0,0,1,2.6,278,7.3,68.4,19,20,11.1,3.34,0,4,15.4,60.0,12,10,7.7,24,38.7,1,7,,,,,77.4,72.9,76.3,76.3,,49.9,,1,1,31,10.0,96.9,4.2,1,3,0,0,3,1,3.2,125,6.3
Derek Carr,8671,QB,LV,1,2.72,2.6,3.63,4.5,59,23,88.0,25,25,5.3,1.93,0,1,3.8,72.0,18,5,18.2,25,42.4,4,7,,,,,76.6,71.3,75.6,70.3,,,,0,1,26,0.0,99.1,0.0,0,0,0,0,2,0,0.0,162,6.5,65.4,26,29,14.6,3.3,1,3,9.4,55.2,16,14,5.9,34,57.6,1,10,,,,,78.6,77.3,76.9,77.7,,54.6,,0,0,37,21.4,87.3,8.8,3,2,0,2,0,2,5.4,273,9.4
Josh Allen,46601,QB,BUF,1,2.68,2.61,3.4,3.45,56,4,83.3,24,25,6.1,1.94,1,1,3.7,76.0,19,3,5.0,25,44.6,1,5,,,,,76.8,74.2,75.8,73.0,,,,0,0,27,0.0,88.8,0.0,0,0,0,0,0,0,0.0,140,5.6,65.0,20,26,15.4,3.27,2,2,6.9,42.3,11,20,15.4,31,55.4,2,9,,,,,27.1,66.3,76.7,62.4,,71.4,,1,0,35,15.0,71.0,9.7,3,2,0,3,1,1,2.9,130,5.0
Trevor Lawrence,77632,QB,JAX,1,2.54,2.5,4.5,,52,15,76.9,26,26,5.2,1.91,0,0,0.0,69.2,18,4,10.0,26,50.0,2,5,,,,,76.8,75.4,75.8,74.1,,,,0,0,27,0.0,109.8,0.0,0,0,0,0,2,0,0.0,152,5.8,56.5,23,25,12.7,3.17,0,2,7.1,40.0,10,10,23.1,26,50.0,3,8,,,,,77.2,43.1,76.0,44.4,,,,1,3,29,10.0,39.2,3.8,1,0,0,1,1,3,10.3,180,7.2
Kirk Cousins,7102,QB,MIN,1,2.43,2.37,3.37,,51,18,92.3,26,27,4.3,1.86,0,1,3.4,81.5,22,4,8.3,27,52.9,2,7,,,,,77.2,85.7,76.0,83.6,,,,1,0,29,0.0,121.9,0.0,0,0,0,0,2,0,0.0,198,7.3,83.3,18,21,8.0,3.08,0,0,0.0,66.7,14,12,6.7,24,47.1,1,8,,,,,77.4,70.9,76.1,69.9,,,,0,0,30,25.0,88.0,12.5,3,0,0,3,0,0,0.0,153,7.3
Tom Brady,698,QB,TB,1,2.34,2.34,,,50,30,89.3,28,31,6.6,1.83,0,2,6.5,71.0,22,4,12.0,31,62.0,3,15,,,,,77.6,91.7,76.3,90.6,,,,0,1,31,0.0,99.1,0.0,0,0,0,3,2,0,0.0,222,7.2,55.6,18,19,14.3,3.16,0,3,15.8,52.6,10,6,0.0,19,38.0,0,7,,,,,74.8,88.4,74.5,85.9,,,,0,1,19,0.0,93.5,0.0,0,0,0,1,2,0,0.0,157,8.3
Justin Herbert,28237,QB,LAC,1,2.39,2.38,2.65,,49,27,90.0,30,31,5.9,1.91,1,1,3.0,77.4,24,3,11.1,31,63.3,3,14,,,,,77.9,91.4,76.5,90.4,,,,0,0,33,0.0,108.9,0.0,0,0,0,0,1,0,0.0,235,7.6,60.0,15,16,13.7,3.21,0,0,0.0,43.8,7,3,22.2,18,36.7,2,6,,,,,74.5,65.8,74.5,65.2,,,,0,1,19,66.7,39.1,11.1,2,0,0,1,0,1,5.3,102,6.4
Carson Wentz,10636,QB,IND,1,2.94,2.79,2.63,5.13,44,14,76.9,13,17,5.2,2.05,1,0,0.0,58.8,10,6,0.0,17,38.6,0,5,,,,,74.5,56.4,74.3,56.5,,,,2,0,18,0.0,93.0,0.0,0,0,0,1,1,0,0.0,91,5.4,100.0,16,21,6.3,3.5,0,1,4.3,71.4,15,14,6.3,27,61.4,1,9,,,,,77.4,72.0,76.1,70.6,,63.5,,3,0,30,21.4,109.2,11.1,3,3,0,2,1,0,0.0,160,7.6
Andy Dalton,6187,QB,CHI,1,2.39,2.17,3.5,4.9,43,6,84.6,26,27,4.4,1.81,1,0,0.0,74.1,20,3,9.1,28,65.1,2,9,,,,,76.8,59.7,75.9,59.5,,,,0,1,28,33.3,70.1,3.6,1,0,0,0,0,1,3.6,141,5.2,70.0,10,11,4.9,3.47,0,0,0.0,63.6,7,7,0.0,15,34.9,0,5,,,,,73.5,66.3,73.7,56.2,,75.3,,0,0,15,28.6,79.7,13.3,2,2,0,1,0,0,0.0,65,5.9
