player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Joel Bitonio,8670,G,CLV,3,0,8,70.2,100.0,59,60.2,59,76.0,1,100.0,98,98,65.8,100.0,28,28.6,28
Wyatt Teller,46131,G,CLV,3,0,8,71.3,100.0,59,60.2,59,72.0,1,100.0,98,98,64.6,100.0,28,28.6,28
Jack Conklin,10642,T,CLV,3,0,8,95.3,100.0,59,60.2,59,92.4,0,100.0,98,98,71.1,100.0,28,28.6,28
J.C. Tretter,7904,C,CLV,3,0,8,60.1,100.0,59,60.2,59,72.0,0,100.0,98,98,69.9,100.0,28,28.6,28
David Quessenberry,7957,T,TEN,3,0,31,47.9,100.0,40,42.1,40,66.1,0,100.0,95,95,79.7,100.0,50,52.6,50
Ben Jones,7099,C,TEN,3,0,31,64.3,100.0,40,42.1,40,72.3,1,100.0,95,95,71.0,100.0,50,52.6,50
Nate Davis,46808,G,TEN,3,0,31,62.2,100.0,40,42.1,40,65.9,0,100.0,95,95,59.6,100.0,50,52.6,50
Cam Erving,9452,T,CAR,3,0,5,53.9,100.0,36,39.1,36,60.5,0,100.0,92,92,66.6,100.0,42,45.7,42
Matt Paradis,8841,C,CAR,3,0,5,56.3,100.0,36,39.1,36,66.9,0,100.0,92,92,73.6,100.0,42,45.7,42
Taylor Moton,11819,T,CAR,3,0,5,79.4,100.0,36,39.1,36,78.8,0,100.0,92,92,72.4,100.0,42,45.7,42
Ryan Tannehill,7014,QB,TEN,3,0,31,60.0,100.0,40,44.0,40,60.0,0,95.8,91,95,60.0,100.0,50,54.9,50
Lloyd Cushenberry III,41924,C,DEN,3,0,10,63.9,100.0,43,47.8,43,45.7,0,100.0,90,90,39.3,100.0,41,45.6,41
Garett Bolles,11775,T,DEN,3,0,10,70.4,100.0,43,47.8,43,71.1,0,100.0,90,90,68.4,100.0,41,45.6,41
Baker Mayfield,46518,QB,CLV,3,0,8,60.0,100.0,57,63.3,57,60.0,0,96.8,90,93,60.0,100.0,28,31.1,28
Bobby Massie,7112,T,DEN,3,0,10,55.7,100.0,43,47.8,43,63.4,0,100.0,90,90,65.9,100.0,41,45.6,41
