player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Cooper Kupp,11824,WR,LA,7,79,0,26,12.9,5,71.4,66.7,2,3,0.0,0,15,0,81.1,93.9,0,59,0.0,0,61,15,93.4,57,153.3,21,26.6,3,280,92,6.1,18.7,4.91,0,7.1,3,70.0,66.7,2,3,12.5,4,13,0,46.5,72.8,3,43,0.7,1,138,28,94.9,131,64.0,40,50.6,0,334,176,6.3,11.9,2.55
Davante Adams,8688,WR,GB,7,72,0,12,10.6,1,59.1,50.0,2,4,0.0,0,10,0,80.0,83.2,1,50,0.0,0,74,13,93.2,69,83.1,22,30.6,1,188,40,3.1,14.5,2.72,0,12.4,3,78.6,50.0,3,6,0.0,0,21,0,88.7,92.7,1,59,0.0,0,128,33,95.3,122,111.6,42,58.3,1,473,174,5.3,14.3,3.88
Tyreek Hill,10799,WR,KC,7,72,0,16,11.8,0,65.2,20.0,1,5,11.8,2,11,1,52.8,76.1,1,44,0.0,0,84,15,88.1,74,84.7,23,31.9,1,176,37,2.5,11.7,2.38,0,9.5,5,75.0,0.0,0,2,6.9,2,17,0,65.0,73.1,0,75,0.0,0,159,27,95.6,152,114.1,36,50.0,1,348,124,4.6,12.9,2.29
D.J. Moore,48267,WR,CAR,7,72,0,5,7.8,0,68.2,57.1,4,7,0.0,0,10,0,81.1,77.1,1,39,0.0,0,88,15,93.2,82,85.4,22,30.6,1,160,92,6.1,10.7,1.95,0,13.9,4,59.5,66.7,2,3,12.0,3,15,1,51.6,69.5,1,29,0.0,0,166,22,95.2,158,76.6,37,51.4,0,322,109,5.0,14.6,2.04
Terry McLaurin,48229,WR,WAS,7,68,0,32,15.9,0,47.6,50.0,8,16,0.0,0,7,0,78.7,79.4,1,40,0.0,0,75,10,93.3,70,93.5,21,30.9,3,161,9,0.9,16.1,2.3,0,11.6,6,70.0,69.2,9,13,3.4,1,18,0,76.1,77.4,1,37,0.0,0,179,28,92.7,166,97.7,40,58.8,1,378,141,5.0,13.5,2.28
Travis Kelce,7844,TE,KC,7,64,0,16,10.4,1,52.6,100.0,2,2,0.0,0,7,0,78.7,78.3,2,28,3.5,3,85,10,83.5,71,48.0,19,29.7,1,110,45,4.5,11.0,1.55,0,7.3,9,71.4,50.0,1,2,0.0,0,18,0,86.1,84.2,2,46,2.8,5,180,25,91.7,165,87.1,35,54.7,1,334,194,7.8,13.4,2.02
Brandin Cooks,8655,WR,HST,7,63,0,13,10.0,1,68.2,66.7,4,6,11.8,2,7,0,51.2,63.9,0,40,0.0,0,87,15,92.0,80,102.1,22,34.9,1,148,34,2.3,9.9,1.85,0,13.9,1,74.3,42.9,3,7,0.0,0,12,0,86.1,74.6,0,52,0.0,0,131,26,90.8,119,99.9,35,55.6,0,302,54,2.1,11.6,2.54
Mike Evans,8642,WR,TB,7,58,0,30,12.6,0,64.0,80.0,4,5,5.9,1,11,0,67.7,73.3,0,46,0.0,0,103,16,95.1,98,129.2,25,43.1,5,205,32,2.0,12.8,2.09,0,14.0,1,65.4,66.7,2,3,10.5,2,12,0,54.5,63.8,0,26,0.0,0,140,17,97.1,136,107.7,26,44.8,1,239,55,3.2,14.1,1.76
Deebo Samuel,48274,WR,SF,6,58,0,28,14.9,0,37.5,40.0,2,5,25.0,1,3,0,28.0,63.4,0,79,0.0,0,34,3,91.2,31,125.0,8,13.8,1,109,62,20.7,36.3,3.52,0,7.3,4,73.8,66.7,4,6,8.8,3,19,2,61.3,85.8,1,76,0.0,0,139,31,95.7,133,118.3,42,72.4,2,491,244,7.9,15.8,3.69
Justin Jefferson,61398,WR,MIN,6,58,0,18,13.3,0,81.0,75.0,3,4,5.6,1,17,0,67.7,91.4,0,37,0.0,0,77,17,93.5,72,150.0,21,36.2,2,260,60,3.5,15.3,3.61,0,10.3,5,68.8,16.7,1,6,4.3,1,7,1,73.0,71.4,0,34,0.0,0,148,22,94.6,140,93.5,32,55.2,0,262,139,6.3,11.9,1.87
Marquise Brown,61568,WR,BLT,7,57,0,3,7.4,1,57.1,,0,0,0.0,0,2,0,72.1,61.5,1,42,0.0,0,51,4,92.2,47,84.2,7,12.3,1,58,41,10.3,14.5,1.23,0,18.4,3,64.1,50.0,2,4,3.8,1,14,0,74.2,79.0,1,49,0.0,0,172,25,97.1,167,111.9,39,68.4,3,388,87,3.5,15.5,2.32
Jakobi Meyers,47468,WR,NE,7,57,0,19,10.8,0,68.0,60.0,3,5,5.6,1,11,0,69.9,80.0,0,27,1.0,1,98,17,89.8,88,91.8,25,43.9,0,198,65,3.8,11.6,2.25,0,6.7,2,78.6,87.5,7,8,4.3,1,6,0,60.3,62.7,0,24,2.0,3,147,22,94.6,139,92.4,28,49.1,0,173,38,1.7,7.9,1.24
Jaylen Waddle,84088,WR,MIA,7,56,0,17,7.4,4,82.4,50.0,1,2,6.7,1,12,0,64.4,81.8,0,36,0.0,0,81,14,95.1,77,146.7,17,30.4,3,165,71,5.1,11.8,2.14,0,5.3,4,74.3,50.0,1,2,10.3,3,10,1,54.9,65.9,3,19,0.0,0,171,26,94.7,162,51.8,35,62.5,0,198,115,4.4,7.6,1.22
Keenan Allen,7857,WR,LAC,6,56,0,27,10.5,1,70.0,50.0,3,6,12.5,2,12,1,51.2,79.1,1,42,0.0,0,78,14,89.7,70,81.5,20,35.7,0,201,48,3.4,14.4,2.87,0,7.5,2,71.0,50.0,2,4,12.0,3,9,0,52.7,67.7,0,30,0.0,0,160,22,95.6,153,88.4,31,55.4,0,202,92,4.2,9.2,1.32
Courtland Sutton,48164,WR,DEN,7,56,0,10,19.0,0,70.6,75.0,3,4,0.0,0,9,0,80.0,82.7,0,39,0.0,0,65,12,93.8,61,132.6,17,30.4,1,214,31,2.6,17.8,3.51,0,16.1,0,67.9,40.0,2,5,0.0,0,13,0,83.2,74.7,1,33,0.0,0,158,19,97.5,154,75.9,28,50.0,0,216,48,2.5,11.4,1.4
Stefon Diggs,9579,WR,BUF,6,56,0,4,11.3,1,56.5,12.5,1,8,7.1,1,9,0,64.4,79.6,2,37,1.4,1,70,13,90.0,63,55.9,23,41.1,1,157,27,2.1,12.1,2.49,0,12.5,2,73.1,80.0,4,5,0.0,0,13,0,83.6,73.9,0,41,0.0,0,132,19,96.2,127,109.9,26,46.4,1,213,35,1.8,11.2,1.68
Chris Godwin,11839,WR,TB,7,54,0,30,9.4,1,70.0,33.3,1,3,0.0,0,13,0,80.6,82.2,0,28,0.0,0,101,14,96.0,97,137.3,20,37.0,2,209,112,8.0,14.9,2.15,0,9.9,6,87.0,100.0,2,2,9.1,2,13,1,58.1,67.4,0,26,0.7,1,149,20,96.6,144,107.1,23,42.6,0,223,89,4.5,11.2,1.55
Mike Williams,11762,WR,LAC,6,53,0,27,9.6,0,53.3,50.0,3,6,11.1,1,4,0,56.7,70.2,0,20,0.0,0,67,8,89.6,60,110.8,15,28.3,2,89,12,1.5,11.1,1.48,0,14.1,2,62.9,37.5,3,8,15.4,4,16,0,40.6,77.3,0,72,0.0,0,127,22,96.1,122,119.2,35,66.0,2,384,155,7.0,17.5,3.15
Darren Waller,9637,TE,LV,6,52,0,23,13.7,2,47.8,25.0,1,4,8.3,1,10,0,61.8,74.9,1,33,7.8,8,103,11,87.4,90,72.7,23,44.2,1,190,61,5.5,17.3,2.11,0,7.6,0,78.3,100.0,1,1,14.3,3,5,0,43.5,62.3,0,23,6.4,7,110,18,90.9,100,96.4,23,44.2,0,164,69,3.8,9.1,1.64
DeVonta Smith,61100,WR,PHI,7,51,0,24,14.2,0,41.7,0.0,0,4,16.7,1,4,1,52.1,59.7,0,18,0.0,0,88,5,89.8,79,85.4,12,23.5,1,60,12,2.4,12.0,0.76,0,14.0,4,68.4,25.0,2,8,3.7,1,16,0,75.7,75.8,1,37,0.0,0,173,26,94.2,163,85.0,38,74.5,0,336,95,3.7,12.9,2.06
T.J. Hockenson,40912,TE,DET,7,51,0,11,7.7,0,80.0,50.0,1,2,0.0,0,6,0,77.3,69.2,0,22,5.8,4,69,8,84.1,58,139.6,10,19.6,1,95,40,5.0,11.9,1.64,0,7.4,5,74.2,75.0,3,4,0.0,0,11,0,85.7,70.2,1,33,2.5,4,157,23,91.1,143,76.8,31,60.8,0,196,77,3.3,8.5,1.37
Calvin Ridley,48262,WR,ATL,5,51,0,2,7.3,0,66.7,33.3,1,3,11.1,1,5,0,54.9,66.0,1,20,0.0,0,43,8,93.0,40,74.7,12,23.5,1,69,38,4.8,8.6,1.73,0,12.0,3,56.3,22.2,2,9,10.0,2,9,0,57.1,63.8,0,22,0.0,0,132,18,94.7,125,74.1,32,62.7,0,193,50,2.8,10.7,1.54
Diontae Johnson,33441,WR,PIT,5,50,0,25,9.0,0,46.2,50.0,1,2,0.0,0,3,0,49.7,51.3,0,14,0.0,0,51,6,96.1,49,53.0,13,26.0,0,38,36,6.0,6.3,0.78,0,11.5,4,69.6,50.0,2,4,0.0,0,9,0,82.2,73.2,2,45,0.0,0,88,16,93.2,82,68.0,23,46.0,1,164,52,3.3,10.3,2.0
Ja'Marr Chase,84270,WR,CIN,7,50,0,7,14.3,7,81.8,40.0,2,5,0.0,0,15,1,83.2,92.0,1,82,0.0,0,75,18,94.7,71,139.4,22,44.0,3,400,166,9.2,22.2,5.63,0,17.6,1,63.6,66.7,2,3,12.5,2,8,0,49.6,68.7,1,53,0.0,0,119,14,94.1,112,114.2,22,44.0,2,252,73,5.2,18.0,2.25
D'Andre Swift,57212,HB,DET,7,50,0,11,-0.3,3,77.8,,0,0,12.5,1,4,0,52.1,69.8,0,63,20.0,10,50,7,68.0,34,158.3,9,18.0,2,126,140,20.0,18.0,3.71,0,0.4,9,82.1,0.0,0,1,4.2,1,8,0,61.3,73.1,1,21,12.9,18,140,23,80.7,113,78.4,28,56.0,0,179,183,8.0,7.8,1.58
D.K. Metcalf,47864,WR,SEA,7,49,0,29,12.1,3,53.3,20.0,1,5,0.0,0,4,0,76.5,78.7,0,28,0.0,0,46,8,93.5,43,96.2,15,30.6,1,99,39,4.9,12.4,2.3,0,10.7,5,84.6,100.0,1,1,0.0,0,17,1,84.5,85.3,0,84,0.0,0,132,22,94.7,125,158.3,26,53.1,4,384,148,6.7,17.5,3.07
Robert Woods,7822,WR,LA,7,49,0,26,7.8,1,100.0,100.0,1,1,0.0,0,8,0,77.3,75.2,0,22,1.7,1,58,8,91.4,53,158.3,8,16.3,2,116,55,6.9,14.5,2.19,0,8.5,0,64.3,0.0,0,4,14.3,3,12,0,43.5,65.5,0,25,3.1,4,131,18,92.4,121,87.6,28,57.1,0,215,78,4.3,11.9,1.78
