player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_grades_run_defense,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_grades_run_defense,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_grades_run_defense,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Patrick Mahomes,11765,QB,KC,7,0.03,0,319,16,76.6,218,243,9.7,2.97,1,12,4.5,64.2,156,103,6.6,285,89.3,11,116,,,,,29.6,75.6,64.1,,72.6,,73.9,,,5,9,308,13.6,90.6,4.9,14,27,0,19,13,9,2.9,1900,7.8,78.9,180,200,7.7,2.77,1,10,4.7,67.5,135,80,4.9,233,73.0,7,94,,,,,30.9,74.2,60.9,,71.9,,70.3,,,5,5,250,15.0,98.3,5.2,12,21,0,14,11,6,2.4,1539,7.7,80.0,70,77,9.4,2.92,0,2,2.4,67.5,52,25,7.1,86,27.0,4,36,,,,,52.3,72.5,80.3,,69.4,,72.3,,,0,4,93,8.0,97.0,2.3,2,6,0,7,7,3,3.2,554,7.2,0,96.9,32,34,-2.7,1.5,0,0,0.0,91.2,31,2,0.0,34,10.7,0,14,,,,,78.3,67.6,76.7,,66.9,,,,,0,0,35,0.0,129.9,0.0,0,0,0,2,5,0,0.0,193,5.7,-0.51
Tom Brady,698,QB,TB,7,6.76,0,317,30,70.8,236,254,11.5,2.54,3,21,7.9,61.8,157,71,6.0,268,84.5,10,109,,,,,90.6,92.7,86.3,,91.4,,75.3,,,1,2,279,12.7,110.1,3.4,9,5,1,13,21,1,0.4,1966,7.7,73.7,224,238,8.4,2.29,3,18,7.4,65.5,156,57,5.5,250,78.9,9,91,,,,,90.5,89.9,86.1,,86.5,,75.3,,,0,2,256,12.3,101.5,2.8,7,5,1,10,14,1,0.4,1637,6.9,81.7,60,65,11.4,2.65,1,3,4.3,72.3,47,14,4.1,67,21.1,2,36,,,,,82.7,92.5,79.3,,91.4,,,,,1,1,72,14.3,132.7,3.0,2,0,0,3,7,0,0.0,638,9.8,0,97.9,48,49,-2.8,1.42,1,0,0.0,93.9,46,0,2.1,49,15.5,1,18,,,,,80.3,70.3,77.9,,69.4,,,,,0,1,49,,84.4,0.0,0,0,0,0,0,0,0.0,309,6.3,2.94
Jared Goff,10635,QB,DET,7,6.05,0,301,11,73.6,227,245,7.8,2.8,0,7,2.6,64.5,158,101,5.4,272,90.4,9,85,,,,,35.6,60.8,42.0,,63.2,60.0,37.7,,,3,6,294,16.8,80.0,6.3,17,10,3,12,6,10,3.4,1540,6.3,75.2,210,229,6.8,2.62,1,7,2.9,65.1,149,88,5.7,249,82.7,9,75,,,,,30.0,63.4,39.0,,65.5,,39.6,,,3,5,264,13.6,84.1,4.8,12,8,3,12,7,8,3.0,1465,6.4,81.0,42,45,5.9,3.08,0,0,0.0,71.1,32,13,5.9,52,17.3,2,18,,,,,81.4,54.3,78.6,,56.2,60.0,52.3,,,0,1,59,38.5,88.0,9.6,5,2,0,3,1,2,3.4,308,6.8,0,100.0,25,29,-3.8,1.81,1,0,0.0,79.3,23,0,8.0,29,9.6,2,8,,,,,77.2,66.3,76.0,,65.7,,,,,0,0,29,,123.1,0.0,0,0,0,3,2,0,0.0,233,8.0,0.44
Derek Carr,8671,QB,LV,7,3.62,0,290,23,78.1,228,247,10.2,2.75,4,24,9.2,65.6,162,98,9.0,271,93.4,16,89,,,,,79.9,89.2,64.7,,90.1,,47.6,,,3,5,287,17.3,100.7,6.3,17,7,2,10,12,6,2.1,2144,8.7,78.8,208,225,9.3,2.68,5,21,8.8,67.1,151,83,7.9,243,83.8,13,77,,,,,90.5,90.0,63.3,,90.3,,49.2,,,3,5,259,15.7,100.2,5.3,13,5,2,7,11,5,1.9,1900,8.4,84.2,38,41,8.8,2.7,0,3,7.1,70.7,29,15,9.4,47,16.2,3,17,,,,,29.8,70.6,77.8,,71.2,,54.5,,,0,0,48,26.7,106.7,8.5,4,2,0,3,1,1,2.1,369,9.0,0,100.0,18,19,-2.3,1.65,1,0,0.0,94.7,18,0,0.0,19,6.6,0,5,,,,,75.1,68.6,74.7,,67.9,,,,,0,0,20,,94.1,0.0,0,0,0,0,0,0,0.0,125,6.6,0.56
Jalen Hurts,40291,QB,PHI,7,6.24,0,287,24,68.0,178,202,11.2,3.33,4,17,7.7,55.9,113,104,6.6,244,85.0,8,80,,,,,64.8,81.9,61.7,,76.7,60.0,80.9,,,5,4,266,13.5,85.8,5.7,14,28,1,14,9,8,3.0,1478,7.3,71.2,153,175,8.2,3.07,6,9,4.8,59.4,104,78,4.6,208,72.5,5,58,,,,,60.1,75.9,58.7,,70.5,,78.1,,,5,2,222,11.5,87.3,4.3,9,23,1,10,7,4,1.8,1140,6.5,77.0,61,67,9.8,3.11,0,8,10.3,65.7,44,29,6.4,79,27.5,3,29,,,,,84.1,78.4,80.2,,75.6,60.0,70.8,,,0,2,90,17.2,95.1,6.3,5,6,0,6,3,5,5.6,576,8.6,0,97.2,36,40,-3.8,1.68,2,0,0.0,87.5,35,3,0.0,43,15.0,0,7,,,,,79.9,51.6,77.7,,53.6,,55.7,,,0,0,46,0.0,99.8,0.0,0,1,0,2,1,1,2.2,238,6.0,2.09
Sam Darnold,29048,QB,CAR,7,0.13,0,278,5,70.1,204,219,9.6,2.97,0,12,5.2,58.0,127,105,11.2,248,89.2,16,80,,,,,47.7,61.2,0.0,,59.4,,73.3,,,2,8,263,19.0,75.2,8.1,20,9,0,13,7,12,4.6,1545,7.1,74.0,173,184,7.8,2.74,0,10,5.2,61.4,113,82,11.7,210,75.5,15,65,,,,,41.1,65.6,0.0,,63.4,,75.3,,,2,5,222,22.0,78.4,8.6,18,8,0,9,5,9,4.1,1210,6.6,70.0,60,65,8.5,3.14,0,2,2.9,61.5,40,24,4.8,68,24.5,2,23,,,,,82.7,51.7,79.4,,52.9,,56.8,,,0,3,73,8.3,74.8,2.9,2,1,0,5,2,3,4.1,475,7.3,0,93.1,29,30,-3.0,1.73,0,0,0.0,86.7,26,1,3.7,30,10.8,1,8,,,,,77.7,64.7,76.4,,64.2,,,,,0,0,32,0.0,86.1,0.0,0,0,0,1,0,0,0.0,140,4.7,0.73
Lamar Jackson,46416,QB,BLT,7,11.05,0,276,3,74.1,201,220,11.7,3.21,4,15,6.6,64.1,141,102,5.4,271,98.2,8,102,,,,,40.6,85.2,86.6,,81.8,,76.1,,,6,5,283,20.6,97.6,7.7,21,30,2,7,10,8,2.8,1923,8.7,71.7,127,140,10.4,3.11,2,13,8.8,60.7,85,76,6.6,178,64.5,6,61,,,,,54.2,81.5,85.7,,75.8,,78.9,,,4,4,186,23.7,94.3,10.1,18,20,2,5,9,5,2.7,1079,7.7,79.7,79,85,12.8,3.28,2,2,2.3,71.8,61,26,3.2,98,35.5,2,41,,,,,29.1,82.0,80.6,,82.6,,56.4,,,2,1,103,11.5,103.3,3.1,3,10,0,2,1,3,2.9,864,10.2,0,100.0,5,5,-3.2,1.16,0,0,0.0,100.0,5,0,0.0,5,1.8,0,0,,,,,68.9,65.7,70.6,,65.1,,,,,0,0,6,,83.3,0.0,0,0,0,0,0,0,0.0,20,4.0,2.45
Taylor Heinicke,9896,QB,WAS,7,17.04,0,271,32,69.2,198,208,9.9,3.14,2,7,3.1,61.1,127,80,7.3,244,90.0,10,79,,,,,63.3,55.8,62.1,,54.7,,61.3,,,2,7,262,11.3,82.9,3.7,9,27,2,4,9,12,4.6,1473,7.1,67.6,148,157,8.1,2.85,3,3,1.8,58.6,92,49,8.0,179,66.1,8,45,,,,,53.8,42.5,57.4,,43.1,,51.2,,,1,7,192,12.2,62.3,3.4,6,16,2,3,3,10,5.2,890,5.7,82.7,75,78,9.0,3.31,0,4,4.8,75.6,59,34,4.8,92,33.9,3,41,,,,,84.7,83.1,80.5,,79.1,,74.9,,,1,0,98,8.8,136.1,3.3,3,11,0,2,7,2,2.0,768,9.8,0,100.0,25,27,-3.7,1.77,1,0,0.0,88.9,24,3,4.0,27,10.0,1,7,,,,,77.0,66.0,75.9,,65.4,,,,,0,0,28,0.0,107.6,0.0,0,0,0,1,1,0,0.0,185,6.9,4.18
Daniel Jones,39395,QB,NYG,7,1.7,0,271,21,71.1,201,217,9.8,2.75,4,6,2.5,59.9,130,84,9.1,247,91.1,13,81,,,,64.7,39.9,76.5,86.2,,75.4,95.6,58.7,,,3,4,268,16.7,82.8,5.7,14,16,1,8,5,7,2.6,1605,7.4,73.6,163,173,8.6,2.55,3,5,2.7,63.0,109,62,9.2,190,70.1,11,60,,,,,59.3,78.8,85.5,,78.2,,62.4,,,2,3,204,16.1,84.9,5.3,10,7,1,4,4,4,2.0,1237,7.2,75.8,62,68,7.8,2.96,1,1,1.3,64.7,44,23,6.4,81,29.9,3,26,,,,64.7,28.0,66.3,80.2,,64.6,95.6,52.5,,,1,1,89,17.4,84.8,4.9,4,9,0,4,1,3,3.4,490,7.2,0,100.0,24,24,-3.8,1.87,0,0,0.0,95.8,23,1,4.2,24,8.9,1,5,,,,,76.3,70.6,75.6,,69.6,,,,,0,0,25,0.0,87.8,0.0,0,0,0,0,0,0,0.0,122,5.1,0.06
Mac Jones,60323,QB,NE,7,8.79,0,267,19,75.2,206,219,9.1,2.66,2,11,4.7,68.5,150,81,3.2,238,89.1,5,80,,,,,59.2,82.7,38.0,,80.6,58.9,70.4,,,2,6,254,17.3,91.0,5.9,14,5,1,8,8,8,3.1,1635,7.5,76.5,170,182,8.3,2.47,3,9,4.7,68.1,124,57,4.6,193,72.3,6,57,,,,,90.1,83.4,31.4,,82.0,,65.8,,,1,4,201,10.5,86.5,3.1,6,4,1,7,5,3,1.5,1207,6.6,82.3,62,65,6.5,2.73,0,2,2.7,76.9,50,25,2.0,74,27.7,1,28,,,,,25.9,71.1,80.0,,68.9,58.9,65.6,,,1,2,83,32.0,110.5,10.8,8,1,0,2,4,5,6.0,572,8.8,0,100.0,26,28,-2.4,1.6,1,0,0.0,85.7,24,1,7.7,29,10.9,2,5,,,,,77.4,67.7,76.3,,66.9,,,,,0,0,30,0.0,100.0,0.0,0,0,0,1,1,0,0.0,144,5.1,2.17
