player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_grades_run_defense,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_grades_run_defense,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_grades_run_defense,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Patrick Mahomes,11765,QB,KC,10,1.26,0,459,16,75.2,319,357,10.1,2.94,3,14,3.7,61.9,221,148,7.9,404,88.0,19,157,,,,,35.6,73.0,55.2,,70.3,,74.4,,,6,10,432,11.5,90.8,4.2,17,29,0,29,20,15,3.5,2577,7.2,76.8,263,292,8.1,2.74,2,11,3.5,65.4,191,114,5.4,329,71.7,11,124,,,,,35.7,67.5,50.9,,65.6,,69.2,,,6,6,351,13.2,93.1,4.6,15,22,0,21,13,11,3.1,2118,7.3,81.5,108,120,8.6,2.84,1,3,2.4,66.7,80,39,9.1,130,28.3,8,55,,,,,62.9,81.4,81.7,,77.8,,76.1,,,0,4,137,5.1,105.6,1.5,2,7,0,11,12,4,2.9,822,6.9,0,96.2,52,55,-2.9,1.48,0,0,0.0,90.9,50,5,0.0,55,12.0,0,22,,,,,81.1,70.0,78.4,,69.2,,,,,0,0,56,0.0,124.5,0.0,0,0,0,3,5,0,0.0,363,6.6,-0.4
Tom Brady,698,QB,TB,9,3.96,0,394,30,72.2,295,317,11.0,2.52,3,24,7.3,62.8,199,84,6.6,334,84.8,14,129,,,,,83.1,91.2,87.1,,89.6,58.9,79.6,,,1,6,347,14.3,107.8,3.6,12,5,1,17,27,5,1.4,2506,7.9,74.7,281,299,8.3,2.29,3,21,6.8,66.6,199,70,5.2,314,79.7,11,109,,,,,81.8,86.8,86.9,,83.0,,79.6,,,0,6,322,14.3,100.6,3.2,10,5,1,14,19,5,1.6,2170,7.3,83.6,73,78,10.3,2.59,1,3,3.6,70.5,55,15,9.8,80,20.3,6,39,,,,,83.8,91.6,80.0,,90.7,58.9,,,,1,1,85,13.3,127.1,2.5,2,0,0,3,8,0,0.0,700,9.0,0,98.3,59,60,-2.7,1.38,1,0,0.0,91.7,55,1,5.2,60,15.2,3,19,,,,,81.5,71.5,78.6,,70.5,,,,,0,1,60,0.0,85.0,0.0,0,0,0,0,0,0,0.0,364,6.1,1.71
Josh Allen,46601,QB,BUF,9,-0.31,0,386,4,72.6,274,300,11.4,3.03,9,25,7.9,63.0,189,134,5.0,338,87.6,10,134,,,,64.7,53.1,85.4,87.4,,81.2,90.8,76.5,,,2,6,362,10.4,100.8,4.1,14,24,0,15,19,14,3.9,2407,8.0,75.8,215,235,8.2,2.72,7,11,4.4,66.4,156,95,4.3,260,67.4,7,92,,,,64.7,42.8,81.0,86.7,,74.5,90.6,81.8,,,2,4,276,9.5,93.7,3.5,9,15,0,11,11,9,3.3,1566,6.7,75.0,104,112,12.1,3.02,2,14,12.0,66.1,74,40,5.1,126,32.6,4,50,,,,,87.0,82.6,81.7,,83.5,58.4,52.9,,,0,2,134,12.5,112.1,4.0,5,9,0,6,8,5,3.7,1036,9.3,0,93.3,45,47,-2.4,1.35,0,0,0.0,87.2,41,1,2.4,48,12.4,1,8,,,,,80.1,66.9,77.8,,66.2,,,,,0,0,48,0.0,84.0,0.0,0,0,0,2,0,0,0.0,195,4.1,2.59
Matthew Stafford,4924,QB,LA,10,-2.87,0,384,26,73.5,298,311,10.4,2.77,5,18,5.5,64.0,199,89,9.1,333,86.7,20,135,,,,,91.1,78.2,14.3,,77.3,,67.5,,,4,7,349,15.7,105.4,4.2,14,8,0,4,22,12,3.4,2673,8.6,76.2,269,278,8.4,2.48,4,14,4.8,68.3,190,68,7.3,294,76.6,15,110,,,,,81.6,78.4,9.4,,77.7,,66.7,,,3,6,308,16.2,103.1,3.7,11,5,0,2,17,8,2.6,2181,7.8,77.5,80,84,9.0,2.95,1,4,4.6,65.5,55,22,11.3,90,23.4,7,41,,,,,84.4,67.8,80.3,,66.7,,63.5,,,1,2,93,13.6,115.8,3.3,3,3,0,2,7,5,5.4,833,9.9,0,94.1,51,51,-2.4,1.45,0,0,0.0,90.2,46,1,4.2,51,13.3,2,16,,,,,32.0,64.3,78.1,,63.7,,,,,0,1,52,0.0,99.4,0.0,0,0,0,0,2,1,1.9,341,6.7,2.07
Justin Herbert,28237,QB,LAC,9,7.67,0,383,27,75.5,306,328,8.3,2.64,7,13,3.6,64.3,211,102,8.7,358,93.5,20,129,,,,,91.2,87.5,87.6,,84.1,,75.6,,,3,7,387,15.7,95.7,4.5,16,14,1,11,18,7,1.8,2410,7.3,75.0,232,250,7.6,2.45,8,8,3.0,63.2,158,72,9.2,270,70.5,16,93,,,,,90.8,83.2,86.9,,80.2,,72.7,,,2,4,290,13.9,93.0,3.7,10,10,1,7,13,4,1.4,1658,6.6,82.1,95,103,7.5,2.9,1,5,4.5,70.9,73,31,6.4,113,29.5,5,42,,,,,86.3,84.6,81.3,,81.6,,71.1,,,1,3,122,19.4,104.3,5.3,6,4,0,6,6,3,2.5,887,8.6,0,100.0,21,25,-3.3,1.73,2,0,0.0,80.0,20,1,4.8,25,6.5,1,6,,,,,76.3,65.5,75.5,,65.0,,,,,0,0,25,0.0,102.5,0.0,0,0,0,2,1,0,0.0,135,5.4,1.98
Lamar Jackson,46416,QB,BLT,9,10.08,0,379,3,73.5,268,294,11.2,3.11,6,19,6.2,63.3,186,136,5.6,363,95.8,11,129,,,,,44.6,78.2,36.7,,76.0,,73.3,,,8,8,380,19.9,93.1,7.4,27,42,4,8,14,12,3.2,2385,8.1,72.6,175,196,9.8,2.92,5,16,7.7,60.7,119,105,6.3,246,64.9,8,77,,,,,53.3,71.4,26.0,,67.0,,74.8,,,6,6,260,22.9,89.3,9.8,24,26,4,6,12,8,3.1,1363,7.0,77.6,107,113,11.7,3.25,2,3,2.6,70.8,80,32,3.6,133,35.1,3,54,,,,,39.2,82.9,81.8,,82.8,,60.3,,,2,2,139,12.5,99.6,3.0,4,16,0,2,2,4,2.9,1084,9.6,0,92.9,14,15,-2.8,1.27,1,0,0.0,86.7,13,1,0.0,16,4.2,0,2,,,,,74.8,62.7,74.5,,62.3,,,,,0,0,19,100.0,83.9,6.3,1,0,0,0,0,0,0.0,62,4.1,2.64
Derek Carr,8671,QB,LV,9,5.91,0,378,23,76.7,292,317,9.9,2.78,8,28,8.4,65.6,208,127,7.1,348,92.1,16,112,,,,,84.3,81.5,69.2,,82.0,,50.2,,,4,8,368,15.7,96.8,5.7,20,11,2,11,15,11,3.0,2646,8.3,77.2,263,285,8.8,2.69,9,24,7.9,66.7,190,106,6.4,308,81.5,13,94,,,,,90.9,80.4,67.8,,81.0,,49.4,,,4,8,328,15.1,93.1,5.2,16,7,2,7,12,9,2.7,2268,8.0,82.8,58,62,8.1,2.68,0,4,6.3,72.6,45,21,6.3,70,18.5,3,26,,,,,43.6,74.6,79.3,,74.2,,58.8,,,0,0,71,19.0,116.2,5.7,4,4,0,4,3,2,2.8,558,9.0,0,93.1,29,30,-2.8,1.59,1,0,0.0,90.0,27,0,0.0,30,7.9,0,8,,,,,77.6,67.9,76.3,,67.2,,,,,0,0,31,,91.7,0.0,0,0,0,0,0,0,0.0,180,6.0,1.04
Carson Wentz,10636,QB,IND,10,-5.07,0,369,14,71.4,262,285,10.2,2.95,3,14,4.6,60.4,172,129,8.0,320,86.7,15,102,,,,,34.8,71.1,70.5,,70.2,,61.5,,,9,1,347,14.0,99.1,5.6,18,17,0,11,15,8,2.3,2094,7.3,75.8,211,229,7.7,2.73,2,9,3.7,65.1,149,100,6.9,254,68.8,11,72,,,,,28.4,68.2,68.1,,68.0,,56.6,,,7,1,273,14.0,95.9,5.5,14,11,0,9,10,7,2.6,1475,6.4,71.3,94,105,9.4,2.95,1,5,4.4,60.0,63,36,6.0,115,31.2,4,40,,,,,86.5,67.3,81.4,,65.1,,70.3,,,3,2,125,11.1,102.2,3.5,4,6,0,7,7,3,2.4,903,8.6,0,93.0,43,49,-3.7,1.79,0,0,0.0,81.6,40,7,0.0,49,13.3,0,10,,,,,80.5,51.5,78.0,,51.7,,,,,1,2,51,0.0,87.4,0.0,0,0,0,5,2,2,3.9,284,5.8,2.16
Jared Goff,10635,QB,DET,9,4.8,0,369,11,73.7,270,292,7.8,2.78,0,7,2.2,64.0,187,125,6.0,328,88.9,12,100,,,,,32.7,58.2,50.8,,60.1,60.0,37.7,,,3,6,355,20.8,79.8,7.9,26,10,3,16,6,12,3.4,1829,6.3,75.6,250,273,6.7,2.61,1,7,2.4,65.2,178,109,5.8,301,81.6,11,87,,,,,29.5,59.7,48.6,,61.3,,39.6,,,3,5,322,18.3,83.1,6.6,20,8,3,16,7,10,3.1,1689,6.2,80.7,57,60,5.4,2.97,0,0,0.0,70.0,42,17,8.7,68,18.4,4,22,,,,,83.1,59.4,79.6,,60.7,60.0,52.3,,,0,1,76,35.3,88.2,8.8,6,2,0,3,1,2,2.6,420,7.0,0,97.3,37,41,-3.4,1.85,1,0,0.0,80.5,33,1,8.3,41,11.1,3,9,,,,,79.5,68.6,77.4,,67.8,,,,,0,0,43,0.0,111.4,0.0,0,0,0,3,2,0,0.0,280,6.8,0.81
Trevor Lawrence,77632,QB,JAX,9,14.17,0,365,15,68.1,273,300,9.6,2.94,4,15,4.7,55.7,167,129,10.2,331,90.7,19,90,,,,,72.6,56.7,50.0,,55.1,,66.6,,,10,9,354,11.6,70.1,4.5,15,16,1,12,8,15,4.2,1815,6.1,69.2,224,251,8.5,2.72,6,10,3.8,54.6,137,94,11.6,274,75.1,18,68,,,,,67.7,59.0,45.6,,57.7,,65.0,,,8,6,290,11.7,67.7,4.0,11,11,1,12,6,10,3.4,1331,5.3,74.7,75,80,8.6,3.18,0,5,5.7,68.8,55,39,1.8,91,24.9,1,29,,,,,84.8,53.6,80.5,,52.8,,63.4,,,2,3,99,12.8,86.0,5.5,5,6,0,3,2,5,5.1,652,8.2,0,96.2,26,31,-2.8,1.82,2,0,0.0,80.6,25,4,0.0,34,9.3,0,7,,,,,78.3,62.4,76.7,,63.4,,57.9,,,0,0,35,25.0,89.2,2.9,1,1,0,3,0,0,0.0,168,5.4,2.85
Kirk Cousins,7102,QB,MIN,9,2.43,0,362,18,79.3,270,304,8.4,2.63,6,16,4.9,65.5,199,116,7.0,325,89.8,15,105,,,,,38.8,91.2,70.1,,90.3,57.7,69.2,,,10,2,348,10.3,104.1,3.7,12,8,3,15,18,8,2.3,2222,7.3,80.9,230,259,7.2,2.37,5,12,4.4,67.6,175,88,5.9,276,76.2,11,89,,,,,30.0,90.3,68.1,,87.9,,75.1,,,11,0,291,9.1,105.3,2.9,8,6,3,10,13,7,2.4,1873,7.2,82.2,73,80,6.7,3.05,1,4,4.5,70.0,56,33,6.7,86,23.8,4,23,,,,,84.6,81.8,80.5,,81.8,57.7,51.5,,,0,2,96,12.1,100.1,4.7,4,2,0,6,5,1,1.0,561,7.0,0,97.0,33,35,-3.1,1.62,0,0,0.0,91.4,32,5,0.0,37,10.2,0,7,,,,,78.9,66.3,77.1,,65.7,,,,,1,0,39,0.0,91.9,0.0,0,0,0,1,0,0,0.0,212,6.1,-0.22
Teddy Bridgewater,8667,QB,DEN,10,0.23,0,358,10,76.7,279,300,9.5,2.86,5,10,3.2,69.0,207,131,3.3,337,94.1,7,116,,,,,83.5,78.0,51.1,,76.3,,68.3,,,2,5,351,20.6,99.5,8.0,27,10,0,14,13,11,3.1,2337,7.8,76.2,231,246,8.7,2.7,4,9,3.5,69.1,170,94,3.4,271,75.7,6,91,,,,,79.6,78.6,46.6,,77.2,,67.1,,,2,5,281,18.1,97.7,6.3,17,8,0,9,11,11,3.9,1863,7.6,82.4,68,75,8.7,3.15,1,1,1.3,69.3,52,41,7.1,87,24.3,4,27,,,,,84.3,69.0,80.2,,67.7,,64.1,,,0,0,92,24.4,102.4,11.5,10,2,0,6,3,0,0.0,526,7.0,0,90.0,20,21,-3.0,1.95,0,0,0.0,71.4,15,4,16.7,21,5.9,3,2,,,,,75.6,68.3,75.0,,67.5,,,,,0,0,22,0.0,90.0,0.0,0,0,0,1,1,0,0.0,52,2.5,-0.56
