player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Robert Hunt,46139,G,MIA,13,1,17,64.4,3,24,557,100.0,100.0,97.2,3,29,2,599,599,56.9,0,17,214,100.0,100.0,95.1,19,2,236,236
Creed Humphrey,59996,C,KC,12,1,16,76.6,1,7,552,100.0,100.0,99.1,2,9,1,586,586,66.7,0,5,227,100.0,100.0,98.5,6,1,251,251
Orlando Brown Jr.,46227,T,KC,12,3,16,75.9,11,15,552,100.0,100.0,96.9,4,30,4,586,586,63.6,8,11,227,100.0,100.0,94.1,23,4,251,251
Trey Smith,62960,G,KC,12,1,16,63.8,4,22,552,100.0,100.0,96.9,5,30,4,586,586,49.8,2,16,227,100.0,100.0,94.3,22,4,251,251
Joe Thuney,10712,G,KC,12,1,16,86.8,0,11,552,100.0,100.0,98.8,2,12,1,586,586,81.6,0,9,227,100.0,100.0,97.6,10,1,251,251
Jesse Davis,9989,T,MIA,13,1,17,51.3,10,35,537,100.0,100.0,94.7,2,51,6,578,578,43.7,7,22,202,100.0,100.0,90.3,34,5,223,223
Austin Jackson,60816,G,MIA,12,0,17,46.1,5,36,528,100.0,100.0,95.7,4,43,2,569,569,33.3,5,22,208,100.0,100.0,92.5,29,2,230,230
Corey Linsley,8796,C,LAC,12,1,27,83.8,1,6,523,100.0,100.0,99.3,4,7,0,567,567,78.3,0,4,234,100.0,100.0,99.1,4,0,254,254
Rashawn Slater,59971,T,LAC,12,0,27,79.0,4,13,523,100.0,100.0,97.6,2,21,4,567,567,65.2,3,10,234,100.0,100.0,95.9,16,3,254,254
Liam Eichenberg,41851,T,MIA,13,3,17,44.8,7,35,524,100.0,100.0,94.3,4,51,9,563,563,29.3,5,25,199,100.0,100.0,88.4,38,8,219,219
Tristan Wirfs,64818,T,TB,12,1,30,85.0,1,6,537,100.0,100.0,99.2,2,8,1,560,560,84.1,0,4,221,100.0,100.0,99.1,4,0,232,232
Alex Cappa,66578,G,TB,12,0,30,68.1,5,15,537,100.0,100.0,97.8,0,22,2,560,560,51.1,3,15,221,100.0,100.0,95.5,19,1,232,232
Ryan Jensen,7985,C,TB,12,1,30,61.9,4,11,531,100.0,100.0,98.4,2,16,1,552,552,49.7,3,9,219,100.0,100.0,96.8,13,1,230,230
Donovan Smith,9467,T,TB,12,0,30,87.3,2,15,529,100.0,100.0,98.2,2,18,1,550,550,75.9,2,12,218,100.0,100.0,96.8,14,0,229,229
Tyler Biadasz,41178,C,DAL,12,0,9,67.2,3,11,501,100.0,100.0,98.6,1,14,0,547,547,51.7,2,10,216,100.0,100.0,97.2,12,0,240,240
Connor McGovern,10778,C,NYJ,12,0,22,67.6,2,12,505,100.0,100.0,98.0,1,17,3,539,539,62.6,0,7,231,100.0,100.0,97.2,10,3,243,243
Alijah Vera-Tucker,57107,G,NYJ,12,1,22,52.9,5,29,505,100.0,100.0,96.4,3,35,1,539,539,53.0,4,17,231,100.0,100.0,95.0,22,1,243,243
Storm Norton,12188,T,LAC,12,2,27,45.6,7,29,495,100.0,100.0,95.2,2,42,6,537,537,33.0,5,21,228,100.0,100.0,91.7,32,6,246,246
Kevin Zeitler,7032,G,BLT,12,0,3,77.8,0,11,502,100.0,100.0,98.9,2,11,0,534,534,63.1,0,9,208,100.0,100.0,97.8,9,0,221,221
Mitch Morse,9482,C,BUF,12,1,4,67.1,2,14,500,100.0,100.0,98.0,4,18,2,532,532,59.4,1,9,215,100.0,100.0,96.7,12,2,231,231
Dion Dawkins,11818,T,BUF,12,2,4,77.8,4,13,500,100.0,100.0,97.5,7,21,4,531,531,69.1,4,9,215,100.0,100.0,95.6,16,3,231,231
Daryl Williams,9535,G,BUF,12,0,4,70.9,7,18,499,100.0,100.0,96.7,1,29,4,530,530,63.8,4,13,214,100.0,100.0,94.6,20,3,229,229
Bradley Bozeman,27934,C,BLT,12,0,3,67.8,2,14,494,100.0,100.0,97.8,0,19,3,527,527,63.2,2,9,209,100.0,100.0,96.9,12,1,222,222
Alejandro Villanueva,9091,T,BLT,12,1,3,51.9,8,28,495,100.0,100.0,94.9,5,43,7,527,527,26.6,6,25,213,100.0,100.0,90.4,36,5,226,226
Andre James,47058,C,LV,12,0,23,61.1,3,11,492,100.0,100.0,98.6,0,14,0,524,524,63.4,2,9,269,100.0,100.0,98.0,11,0,295,295
Kolton Miller,47013,T,LV,12,2,23,87.6,2,16,492,100.0,100.0,97.6,3,21,3,524,524,83.7,1,14,269,100.0,100.0,96.5,17,2,295,295
Dan Moore Jr.,60120,T,PIT,12,1,25,57.3,7,22,487,100.0,100.0,96.0,1,34,5,523,523,41.2,5,19,215,100.0,100.0,93.0,27,3,229,229
Will Hernandez,46180,G,NYG,12,2,21,56.1,4,18,483,100.0,100.0,96.5,3,28,6,522,522,51.3,2,11,201,100.0,100.0,94.8,17,4,217,217
Kendrick Green,56642,C,PIT,12,1,25,56.2,4,8,481,100.0,100.0,98.5,3,13,1,518,518,48.1,3,7,210,100.0,100.0,97.1,11,1,224,224
Brian O'Neill,46854,T,MIN,12,0,18,77.9,1,10,478,100.0,100.0,98.8,0,11,0,512,512,76.1,0,3,176,100.0,100.0,99.1,3,0,185,185
Ezra Cleveland,41973,G,MIN,12,0,18,53.1,5,21,478,100.0,100.0,97.1,1,27,1,512,512,28.9,3,18,176,100.0,100.0,93.5,22,1,185,185
Oli Udoh,28394,G,MIN,12,2,18,41.8,4,26,477,100.0,100.0,96.6,5,31,1,511,511,21.4,2,21,175,100.0,100.0,92.9,24,1,184,184
Matt Feiler,9289,G,LAC,11,0,27,61.2,6,6,472,100.0,100.0,97.9,2,16,4,509,509,48.9,3,4,197,100.0,100.0,97.2,9,2,215,215
John Simpson,41715,G,LV,12,1,23,54.6,5,21,474,100.0,100.0,96.6,4,29,3,506,506,37.7,5,14,257,100.0,100.0,95.1,22,3,283,283
Jawaan Taylor,41665,T,JAX,12,2,15,69.2,3,20,473,100.0,100.0,96.9,8,26,3,504,504,64.1,2,16,225,100.0,100.0,95.6,19,1,239,239
Morgan Moses,8701,T,NYJ,12,0,22,66.9,9,25,470,100.0,100.0,95.7,1,37,3,503,503,60.1,8,18,219,100.0,100.0,92.7,29,3,230,230
George Fant,11282,T,NYJ,12,2,22,72.4,3,13,474,100.0,100.0,98.1,2,17,1,502,502,68.2,2,8,219,100.0,100.0,97.7,10,0,229,229
Alex Leatherwood,58468,G,LV,12,3,23,31.1,14,27,470,100.0,100.0,94.6,5,46,5,502,502,22.8,12,24,256,100.0,100.0,91.8,39,3,282,282
Andrew Norwell,9126,G,JAX,12,0,15,75.4,5,10,470,100.0,100.0,98.2,2,16,1,501,501,62.7,5,9,223,100.0,100.0,96.4,15,1,237,237
Jonah Jackson,37070,G,DET,12,0,11,52.2,7,21,461,100.0,100.0,96.3,3,31,3,499,499,37.5,5,18,243,100.0,100.0,94.4,25,2,261,261
Nate Solder,6169,T,NYG,12,1,21,51.2,7,21,460,100.0,100.0,96.1,4,32,4,498,498,47.3,5,14,190,100.0,100.0,93.4,22,3,206,206
Trai Turner,8727,G,PIT,12,1,25,71.5,0,9,461,100.0,100.0,98.4,1,12,3,497,497,56.9,0,8,198,100.0,100.0,96.5,11,3,211,211
Penei Sewell,81788,T,DET,12,2,11,66.5,6,18,459,100.0,100.0,96.3,2,29,5,497,497,56.9,4,15,241,100.0,100.0,94.4,23,4,259,259
