team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
DAL,9,6,237,8,31,237,90.9,41,2
TB,30,6,283,8,38,283,90.8,49,3
WAS,32,6,231,9,31,231,90.5,42,2
PIT,25,6,249,13,28,249,89.8,46,5
SF,28,5,187,12,23,187,89.6,37,2
ARZ,1,6,219,3,34,219,88.8,43,6
CLV,8,6,209,2,35,209,88.3,43,6
LAC,27,6,266,14,36,266,88.0,57,7
HST,13,6,202,7,34,202,87.9,45,4
LA,26,6,213,11,31,213,87.8,47,5
CIN,7,6,197,7,28,197,87.6,42,7
KC,16,6,275,11,47,275,87.3,64,6
MIN,18,6,253,15,46,253,86.0,66,5
JAX,15,6,237,11,46,237,85.9,62,5
PHI,24,6,247,6,58,247,85.8,67,3
ATL,2,5,217,15,37,217,84.8,59,7
GB,12,6,210,11,33,210,84.8,54,10
NE,19,6,229,17,36,229,84.5,62,9
LV,23,6,254,16,50,254,84.3,73,7
NYG,21,6,263,13,52,263,84.2,74,9
CHI,6,6,187,4,34,187,84.0,49,11
SEA,29,6,204,11,37,204,83.8,57,9
BUF,4,6,259,15,61,259,83.8,80,4
BLT,3,6,232,10,49,232,83.0,69,10
NYJ,22,5,194,8,51,194,81.7,65,6
DEN,10,6,248,18,45,248,81.2,78,15
CAR,5,6,250,13,60,250,81.0,84,11
DET,11,6,262,16,68,262,80.9,92,8
MIA,17,6,267,10,80,267,80.1,98,8
TEN,31,6,231,18,47,231,79.4,80,15
IND,14,6,222,25,49,222,78.4,85,11
NO,20,5,142,9,41,142,77.5,57,7
