player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Tom Brady,698,QB,TB,17,2.35,2.3,3.02,4.51,749,30,82.3,435,451,5.3,1.84,8,20,4.3,74.5,336,54,6.1,453,60.5,22,169,,,,,91.5,90.6,86.5,,88.9,,,,,,0,6,466,3.7,108.2,0.4,2,0,0,8,29,6,1.3,3050,6.8,65.9,246,266,13.8,3.14,2,22,7.8,56.0,149,96,8.0,296,39.5,13,106,,,,,67.2,88.0,84.9,,85.6,,,65.8,,,1,6,313,20.8,92.4,6.8,20,10,0,17,14,9,2.9,2266,8.5
Justin Herbert,28237,QB,LAC,17,2.73,2.59,3.48,4.74,739,27,80.3,304,318,4.8,1.9,11,5,1.5,70.8,225,40,7.8,319,43.2,19,107,,,,,90.9,85.5,85.2,,83.2,,,,,,2,4,334,2.5,97.4,0.3,1,0,0,1,15,2,0.6,1976,6.2,74.1,320,353,10.9,3.36,6,22,5.7,61.8,218,158,8.0,419,56.7,19,166,,,,,91.4,86.0,86.5,,81.8,,,81.0,,,4,11,457,19.0,98.1,7.2,30,36,0,23,23,11,2.4,3038,8.6
Patrick Mahomes,11765,QB,KC,17,2.82,2.61,3.69,5.21,735,16,86.2,340,352,3.4,1.76,4,6,1.7,79.5,280,44,4.4,355,48.3,13,161,,,,,91.0,77.7,85.6,,76.1,,,,,,1,4,367,6.8,114.7,0.8,3,0,0,7,24,4,1.1,2535,7.2,67.7,254,306,13.2,3.82,2,17,5.0,51.0,156,189,9.3,379,51.6,16,125,,,,,26.6,74.0,61.9,,67.6,,,89.4,,,7,9,419,13.2,77.8,6.6,25,48,0,43,13,18,4.3,2304,7.5
Josh Allen,46601,QB,BUF,17,2.88,2.71,3.72,4.68,724,4,81.0,284,300,4.4,1.81,11,8,2.6,72.7,218,41,5.2,301,41.6,12,99,,,,,90.8,74.6,85.0,,73.2,,,,,,0,2,315,2.4,99.8,0.3,1,0,0,5,15,3,1.0,1674,5.6,67.1,307,346,13.4,3.66,5,31,8.3,55.2,191,205,7.3,422,58.3,15,159,,,,,67.2,87.4,86.4,,76.4,,,94.0,,,4,13,455,12.2,85.6,5.9,25,51,0,30,21,23,5.1,2733,7.9
Derek Carr,8671,QB,LV,17,2.73,2.62,3.54,5.12,683,23,85.5,296,305,4.5,1.92,6,11,3.5,79.3,242,51,4.3,306,44.8,11,109,,,,,90.8,87.4,85.0,,85.1,,,,,,1,5,315,2.0,100.9,0.3,1,0,0,2,11,2,0.6,2124,7.0,70.0,287,318,12.5,3.41,4,28,8.1,58.5,186,187,7.5,375,54.9,15,111,,,,,30.2,65.2,59.6,,65.9,,,51.8,,,5,9,407,20.9,86.7,10.4,39,18,0,22,12,23,5.7,2680,8.4
Trevor Lawrence,77632,QB,JAX,17,2.85,2.68,4.08,4.89,665,15,81.8,269,279,5.2,1.88,7,6,2.1,72.8,203,40,7.7,282,42.4,17,85,,,,,79.0,73.8,84.6,,72.4,,,,,,0,4,289,7.5,90.4,1.1,3,0,0,3,6,5,1.7,1771,6.3,63.3,278,320,11.1,3.57,2,16,4.6,48.8,156,180,11.4,382,57.4,20,102,,,,,64.4,49.8,86.1,,48.2,,,67.9,,,13,13,416,16.1,56.4,7.6,29,33,0,27,6,21,5.0,1870,5.8
Dak Prescott,10769,QB,DAL,16,2.67,2.54,3.81,5.13,651,9,82.8,297,309,5.2,1.84,8,10,3.1,74.8,231,59,6.1,311,47.8,15,113,,,,,90.8,80.7,85.1,,78.8,,,,,,2,3,327,3.4,107.4,0.6,2,0,0,2,18,7,2.1,2048,6.6,71.3,268,287,11.6,3.47,3,22,6.8,62.4,179,137,6.3,336,51.6,12,119,,,,,37.4,85.9,85.6,,83.3,,,69.8,,,4,7,374,20.4,100.8,8.3,28,21,0,12,19,14,3.7,2401,8.4
Ben Roethlisberger,1732,QB,PIT,16,2.27,2.2,3.23,4.17,644,25,76.2,407,417,5.4,1.82,9,11,2.4,69.5,290,51,6.5,425,66.0,20,135,,,,,75.8,64.9,86.5,,64.1,,,,,,0,3,461,15.7,94.6,1.9,8,0,0,1,16,8,1.7,2478,5.9,64.0,175,186,11.1,3.15,3,10,5.1,53.8,100,95,10.7,219,34.0,12,56,,,,,19.5,41.3,83.7,,41.8,,,65.6,,,3,7,229,31.6,70.2,13.7,30,3,0,5,6,24,10.5,1262,6.8
Matthew Stafford,4924,QB,LA,17,2.66,2.59,3.24,5.08,640,26,79.6,284,289,4.7,1.84,4,8,2.7,72.0,208,37,8.0,293,45.8,18,101,,,,,80.0,71.8,84.8,,70.6,,,,,,0,4,304,10.8,107.4,1.4,4,0,0,1,23,6,2.0,1706,5.9,72.4,294,312,12.8,3.35,3,28,8.5,62.8,196,132,8.0,347,54.2,17,136,,,,,71.7,83.6,58.4,,81.2,,,71.6,,,6,13,366,19.7,98.8,7.5,26,9,0,9,18,19,5.2,3180,10.2
Matt Ryan,4317,QB,ATL,17,2.69,2.57,3.35,5.24,616,2,77.8,288,302,6.4,1.97,9,7,2.2,69.9,211,85,5.8,307,49.8,13,106,,,,,80.9,79.2,85.0,,77.4,,,,,,2,6,318,5.9,92.5,1.6,5,0,0,3,11,7,2.2,2055,6.8,73.6,235,257,9.6,3.41,4,19,6.8,63.8,164,160,5.2,309,50.2,9,93,,,,,31.3,67.9,22.8,,69.6,,,49.4,,,4,6,334,21.9,88.2,11.3,35,17,0,14,9,14,4.2,1913,7.4
