player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_overall_tackle,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_pass_rush_defense,blitz_grades_run,blitz_grades_tackle,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_overall_tackle,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_pass_rush_defense,no_blitz_grades_run,no_blitz_grades_tackle,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_overall_tackle,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_pass_rush_defense,no_pressure_grades_run,no_pressure_grades_tackle,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_overall_tackle,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_pass_rush_defense,pressure_grades_run,pressure_grades_tackle,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Tom Brady,698,QB,TB,16,713,78.8,151,164,8.1,2.14,4,7,4.0,65.9,108,41,9.2,167,23.4,11,68,,,,,89.1,80.5,82.7,,78.8,58.9,,,,0,5,177,7.3,101.3,1.8,3,0,0,9,12,5,2.8,1284,7.8,0,30,89.3,91.4,90.1,77.6,74.9,495,518,8.5,2.41,6,33,6.1,67.2,348,101,6.2,546,76.6,23,192,,,,,82.4,90.9,87.3,,89.7,,,65.8,,1,7,566,17.8,100.3,3.3,18,10,2,14,28,9,1.6,3706,7.2,79.2,543,564,7.9,2.22,10,30,5.2,71.6,404,0,6.0,571,80.1,26,229,,,,,91.9,94.3,87.5,,92.8,,,82.5,,0,8,589,,107.5,0.0,0,7,2,9,33,8,1.4,4354,7.7,1,58.3,103,118,11.5,2.85,0,10,7.8,44.1,52,142,13.3,142,19.9,8,31,,,,,42.9,51.6,82.2,,54.1,58.9,,38.0,,1,4,154,14.8,66.9,14.8,21,3,0,14,7,6,3.9,636,5.4
Patrick Mahomes,11765,QB,KC,16,684,82.0,89,101,6.7,2.35,0,4,3.7,70.3,71,35,2.7,106,15.5,2,57,,,,,57.8,83.7,81.0,,80.4,,,73.6,,2,2,113,5.7,114.3,1.9,2,3,0,10,7,1,0.9,939,9.3,0,16,40.1,79.2,75.9,77.7,78.3,466,513,8.0,2.87,5,19,3.4,65.9,338,185,7.4,578,84.5,27,207,,,,,44.4,76.5,70.3,,72.5,,,83.9,,6,11,620,13.5,95.7,4.3,25,39,0,36,28,19,3.1,3630,7.1,84.7,424,441,6.1,2.34,4,13,2.8,76.0,335,0,6.7,464,67.8,24,202,,,,,78.9,87.2,65.3,,84.3,,,74.7,,0,8,486,,109.6,0.0,0,22,0,13,26,7,1.4,3403,7.7,4,60.3,131,173,13.4,3.73,1,10,5.1,42.8,74,220,6.3,220,32.2,5,62,,,,,24.7,60.9,84.0,,55.4,,,86.2,,8,5,247,12.3,71.1,12.3,27,20,0,33,9,13,5.3,1166,6.7
Josh Allen,46601,QB,BUF,16,674,69.7,165,185,9.0,2.61,4,6,3.1,58.4,108,80,6.1,201,29.8,7,65,,,,,90.1,68.2,83.5,,64.6,,,79.5,,1,4,217,8.8,80.7,3.5,7,9,0,15,8,5,2.3,1092,5.9,0,4,64.5,85.6,76.8,91.9,76.5,383,416,9.0,3.0,11,28,6.3,66.6,277,155,5.5,473,70.2,16,176,,,,64.7,70.3,88.8,86.9,,79.7,89.8,,93.6,,2,11,502,12.3,98.2,4.0,19,37,0,20,26,20,4.0,3076,7.4,80.1,402,418,7.9,2.48,12,19,4.3,73.0,305,0,5.3,439,65.1,17,179,,,,64.7,91.5,90.1,86.5,,83.9,90.8,,91.7,,0,9,463,,102.5,0.0,0,20,0,4,22,12,2.6,3112,7.4,4,58.9,146,183,12.1,3.64,3,15,7.6,43.7,80,235,7.0,235,34.9,6,62,,,,,46.0,67.5,84.2,,58.3,58.9,,91.6,,3,6,256,11.1,70.8,11.1,26,26,0,31,12,13,5.1,1056,5.8
Justin Herbert,28237,QB,LAC,16,672,74.1,135,149,6.9,2.53,7,2,1.2,61.1,91,52,9.0,157,23.4,9,64,,,,,88.9,78.9,82.6,,75.7,,,77.6,,2,2,173,7.7,90.5,2.5,4,4,0,5,6,1,0.6,1062,7.1,0,27,92.4,89.4,84.8,81.1,78.9,432,459,7.9,2.77,7,20,4.1,69.3,318,125,6.7,515,76.6,23,189,,,,64.7,91.8,88.2,87.2,,84.2,90.8,,78.1,,1,12,548,19.2,102.4,4.7,24,31,1,18,29,10,1.8,3569,7.8,80.7,455,475,7.4,2.46,14,16,3.1,70.9,337,0,8.2,495,73.7,30,205,,,,64.7,91.7,92.0,87.1,,90.7,90.8,,72.8,,0,13,530,,103.0,0.0,0,20,1,5,28,9,1.7,3825,8.1,2,66.1,112,133,8.9,3.41,0,6,4.2,54.1,72,177,2.7,177,26.3,2,48,,,,,89.7,61.5,83.0,,56.4,,,82.3,,3,1,191,15.8,86.9,15.8,28,15,0,18,7,2,1.0,806,6.1
Derek Carr,8671,QB,LV,16,647,71.5,137,145,10.2,2.56,1,17,10.9,65.5,95,61,3.1,155,24.0,3,65,,,,,88.6,86.7,82.5,,84.6,,,60.3,,2,3,167,11.5,98.4,4.5,7,3,0,5,5,5,3.0,1352,9.3,0,23,58.4,79.0,79.2,51.8,80.5,415,445,7.9,2.77,8,21,4.5,70.3,313,163,6.3,492,76.0,21,145,,,,,52.5,73.0,87.0,,72.9,59.3,,50.8,,4,11,515,18.4,93.0,6.1,30,15,3,15,16,17,3.3,3266,7.3,81.0,405,416,7.7,2.42,8,27,6.2,75.2,313,0,4.6,423,65.4,15,154,,,,,91.4,91.3,86.3,,90.4,59.3,,61.5,,0,5,443,,106.9,0.0,0,6,3,0,16,6,1.4,3429,8.2,4,70.7,147,174,10.6,3.29,1,11,5.9,54.6,95,224,8.7,224,34.6,9,56,,,,,26.4,49.5,83.9,,51.2,,,48.8,,6,9,239,16.5,64.1,16.5,37,12,0,20,5,16,6.7,1189,6.8
Trevor Lawrence,77632,QB,JAX,16,632,61.5,122,135,9.8,2.67,3,6,4.2,49.6,67,63,10.7,151,23.9,8,44,,,,,28.6,47.1,82.3,,46.8,,,65.1,,2,3,160,15.9,66.8,6.6,10,6,0,8,4,7,4.4,738,5.5,0,15,59.0,56.6,55.2,63.6,74.6,394,435,7.8,2.9,5,14,3.0,61.8,269,147,8.5,481,76.1,25,131,,,,,89.5,60.8,86.9,,59.8,,,65.4,,11,14,510,14.3,70.5,4.4,21,24,3,22,6,19,3.7,2680,6.2,76.2,390,405,7.3,2.45,6,10,2.4,67.7,274,0,7.7,422,66.8,23,136,,,,,91.4,68.9,86.3,,67.2,,,68.9,,0,10,440,,81.7,0.2,1,15,3,6,7,13,3.0,2695,6.7,2,57.1,126,165,11.3,3.64,2,10,5.5,37.6,62,210,13.9,210,33.2,10,39,,,,,28.9,36.1,83.7,,36.0,,,61.4,,13,7,230,14.3,40.0,14.3,30,15,0,24,3,13,5.7,723,4.4
Dak Prescott,10769,QB,DAL,15,623,71.5,151,164,9.0,2.31,7,13,7.1,62.2,102,64,5.6,178,28.6,6,70,,,,,71.4,79.5,83.2,,77.7,,,63.3,,0,4,199,14.1,111.0,5.1,9,3,0,6,21,5,2.5,1089,6.6,0,9,37.2,81.6,82.7,43.2,78.7,389,405,7.9,2.81,3,16,3.7,70.9,287,127,6.2,445,71.4,19,149,,,,,59.1,82.8,86.6,,80.5,55.2,,69.6,,6,6,477,15.7,95.6,4.5,20,18,0,7,11,16,3.4,3065,7.6,80.0,415,422,7.6,2.35,7,17,3.8,73.9,312,0,6.0,432,69.3,20,165,,,,,91.5,88.1,86.5,,85.6,55.2,,67.9,,0,7,463,,107.4,0.0,0,7,0,0,24,12,2.6,3203,7.6,2,65.6,125,147,10.2,3.38,3,12,7.1,52.4,77,191,6.1,191,30.7,5,54,,,,,25.4,69.6,83.4,,67.8,,,67.2,,6,3,213,15.2,82.3,15.2,29,14,0,13,8,9,4.2,951,6.5
Matthew Stafford,4924,QB,LA,16,603,80.3,122,126,7.4,2.25,2,7,5.2,74.6,94,30,4.1,132,21.9,4,64,,,,,87.3,82.5,81.8,,80.5,,,,,0,1,140,20.0,126.9,4.5,6,0,0,2,11,3,2.1,1115,8.8,0,26,78.4,79.2,77.7,73.4,74.7,427,443,9.1,2.76,5,24,5.2,65.2,289,121,9.4,471,78.1,30,161,,,,,69.7,75.1,65.6,,73.4,58.9,,71.6,,5,14,492,15.7,96.8,4.0,19,9,0,6,27,20,4.1,3533,8.0,79.5,438,445,8.0,2.46,5,21,4.6,72.4,322,0,7.5,452,75.0,26,186,,,,,87.8,90.5,86.6,,87.8,,,81.7,,0,9,468,,111.3,0.0,0,7,0,2,31,11,2.4,3642,8.2,7,62.2,111,124,11.5,3.21,2,10,7.3,49.2,61,151,11.6,151,25.0,8,39,,,,,45.7,43.7,29.5,,46.3,58.9,,47.6,,5,6,164,16.6,75.5,16.6,25,2,0,6,7,12,7.3,1006,8.1
Ben Roethlisberger,1732,QB,PIT,15,601,64.5,107,110,7.2,1.96,2,4,3.4,57.3,63,27,8.7,118,19.6,6,35,,,,,26.4,65.8,81.4,,65.1,,,,,0,1,127,29.6,86.1,6.8,8,0,0,1,5,4,3.1,659,6.0,0,25,27.6,56.7,55.7,66.2,74.2,431,451,7.1,2.34,10,16,3.3,65.9,297,112,7.2,483,80.4,23,142,,,,,29.0,53.2,87.0,,53.1,,,65.6,,3,8,519,25.9,87.6,6.0,29,3,2,5,16,25,4.8,2837,6.3,74.6,441,460,6.3,2.07,12,11,2.2,66.7,307,0,6.7,462,76.9,22,145,,,,,77.6,65.4,86.8,,64.7,,,58.3,,0,3,496,,94.3,0.2,1,1,2,5,18,14,2.8,2905,6.3,2,61.9,97,101,10.8,2.92,0,9,8.0,52.5,53,139,11.7,139,23.1,7,32,,,,,15.8,34.4,82.1,,35.0,,,68.7,,3,6,150,25.9,55.3,25.9,36,2,0,1,3,15,10.0,591,5.9
Joe Burrow,28022,QB,CIN,16,592,78.2,110,120,10.4,2.41,3,11,8.5,70.0,84,57,2.3,138,23.3,2,64,,,,,87.8,93.2,82.0,,92.0,,,69.7,,1,4,149,24.6,122.1,10.1,14,4,1,5,11,2,1.3,1296,10.8,1,7,70.6,91.7,91.2,60.1,79.7,380,400,8.1,2.7,8,24,5.8,70.5,282,140,6.9,454,76.7,21,149,,,,,69.1,88.5,86.7,,86.1,58.4,,68.5,,1,10,480,26.4,104.1,8.1,37,17,1,10,23,13,2.7,3315,8.3,82.0,372,387,7.6,2.29,9,23,5.8,73.6,285,0,6.6,395,66.7,20,158,,,,,91.2,95.9,86.0,,94.6,58.4,,69.3,,0,8,407,,113.7,0.0,0,8,2,4,25,6,1.5,3469,9.0,2,71.2,118,133,11.8,3.32,2,12,8.1,60.9,81,197,3.6,197,33.3,3,55,,,,,40.0,63.4,83.6,,61.4,,,68.3,,2,6,222,25.9,92.4,25.9,51,13,0,11,9,9,4.1,1142,8.6
