player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Patrick Mahomes,11765,QB,KC,7,2.81,2.54,3.79,5.16,319,16,88.5,148,152,4.0,1.74,1,3,1.9,84.9,129,19,1.5,154,48.3,2,75,,,,,88.3,81.4,82.3,,79.5,,,,,1,1,160,10.5,123.4,1.3,2,0,0,2,13,1,0.6,1130,7.4,65.7,102,125,14.2,3.83,0,9,6.3,46.4,58,86,13.4,164,51.4,9,55,,,,,26.5,69.3,82.8,,63.1,,81.0,,,4,8,182,14.0,59.5,7.3,12,27,0,19,5,8,4.4,963,7.7
Tom Brady,698,QB,TB,7,2.37,2.32,2.96,4.72,316,30,82.2,185,194,5.6,1.84,4,9,4.5,74.7,145,26,4.6,195,61.7,7,84,,,,,90.0,90.1,83.2,,87.7,,,,,0,1,200,3.8,119.8,0.5,1,0,0,5,16,0,0.0,1403,7.2,62.6,99,108,15.5,3.23,0,12,10.5,53.7,58,45,6.5,121,38.3,4,43,,,,,86.5,90.7,81.4,,88.7,,70.1,,,1,2,127,17.8,88.2,6.6,8,5,0,8,5,1,0.8,872,8.1
Jared Goff,10635,QB,DET,7,2.73,2.6,3.35,5.13,298,11,77.3,128,132,5.4,1.96,0,4,2.8,68.9,91,25,8.1,135,45.3,8,47,,,,,87.5,73.4,81.9,,72.1,,,,,0,3,144,12.0,93.3,2.2,3,0,0,4,7,2,1.4,811,6.1,75.0,124,139,7.9,3.36,1,3,2.0,64.7,90,76,3.2,163,54.7,3,46,,,,,28.9,53.4,82.7,,55.6,,46.3,,,3,3,176,18.4,78.3,8.6,14,10,0,11,1,8,4.5,962,6.9
Derek Carr,8671,QB,LV,7,2.7,2.58,3.53,5.27,288,23,88.7,133,138,5.0,1.94,3,7,4.9,78.3,108,22,8.5,138,47.9,10,49,,,,,87.4,86.2,81.9,,84.0,,,,,1,2,142,0.0,109.7,0.0,0,0,0,1,7,1,0.7,1066,7.7,69.0,113,126,14.2,3.4,2,17,12.4,57.1,72,76,7.7,150,52.1,6,45,,,,,66.8,85.9,82.4,,86.9,,43.4,,,2,3,163,22.4,92.8,11.3,17,7,0,9,5,5,3.1,1203,9.5
Jalen Hurts,40291,QB,PHI,7,3.09,2.81,3.42,5.48,286,24,78.2,119,126,3.7,1.92,5,3,2.2,69.0,87,20,6.5,128,44.8,6,33,,,,,62.7,62.9,81.7,,62.4,,,,,1,1,137,10.0,100.0,1.6,2,0,0,1,7,3,2.2,761,6.0,66.3,95,115,14.9,4.09,1,14,10.9,53.0,61,87,3.2,156,54.5,2,54,,,,,88.8,88.5,82.6,,81.0,,87.5,,,4,3,172,13.8,78.7,7.7,12,29,0,15,3,6,3.5,955,8.3
Sam Darnold,29048,QB,CAR,7,2.83,2.71,3.47,4.96,278,5,77.1,118,121,5.7,1.92,0,4,3.2,68.6,83,28,8.8,124,44.6,8,41,,,,,86.7,66.6,16.3,,66.6,,,,,1,3,128,10.7,81.1,2.4,3,0,0,2,3,4,3.1,696,5.8,68.7,115,128,10.4,3.57,0,8,5.8,54.7,70,78,11.4,154,55.4,9,47,,,,,46.1,60.5,82.5,,54.2,,90.6,,,1,5,167,21.8,74.0,11.0,17,9,0,12,4,8,4.8,989,7.7
Lamar Jackson,46416,QB,BLT,7,3.2,2.87,3.65,5.32,274,3,71.6,81,85,5.9,1.89,2,0,0.0,65.9,56,14,3.4,87,31.8,2,27,,,,,84.3,63.1,80.2,,62.6,,,,,1,3,91,14.3,70.7,2.3,2,0,0,1,1,1,1.1,499,5.9,76.8,125,138,14.8,3.81,2,15,10.4,65.2,90,88,6.3,187,68.2,6,75,,,,,30.0,91.0,83.1,,89.1,,77.1,,,5,2,196,21.6,115.7,10.2,19,30,0,6,9,7,3.6,1444,10.5
Daniel Jones,39395,QB,NYG,7,2.68,2.55,2.91,4.38,270,21,75.8,124,127,6.4,1.95,1,1,0.7,66.9,85,23,9.6,130,48.1,9,43,,,,,87.4,66.0,81.8,,65.3,,,,,1,1,141,13.0,87.2,2.3,3,0,0,1,2,3,2.1,834,6.6,72.3,101,113,10.8,3.36,3,5,4.1,60.2,68,62,6.8,140,51.9,5,43,,,,,28.1,80.1,82.1,,82.1,,52.8,,,2,3,151,17.7,82.9,7.9,11,16,0,7,3,4,2.6,893,7.9
Taylor Heinicke,9896,QB,WAS,7,3.03,2.7,4.38,5.41,269,32,77.5,102,105,4.5,1.91,2,0,0.0,71.4,75,16,5.1,106,39.4,4,26,,,,,85.5,53.0,80.9,,53.3,,,,,0,3,109,6.3,82.0,0.9,1,0,0,1,3,3,2.8,573,5.5,68.6,121,128,11.7,3.76,1,7,4.9,59.4,76,67,8.4,163,60.6,7,60,,,,,69.1,60.1,33.2,,58.8,,65.8,,,2,4,179,11.9,92.1,4.9,8,27,0,4,7,9,5.0,1085,8.5
Justin Herbert,28237,QB,LAC,6,2.57,2.45,3.48,4.77,266,27,80.0,135,142,4.9,1.88,6,2,1.3,69.7,99,23,8.3,143,53.8,9,46,,,,,87.8,81.1,82.1,,79.3,,,,,1,2,150,4.3,97.5,0.7,1,0,0,0,8,2,1.3,833,5.9,72.3,94,104,12.2,3.38,0,8,6.7,59.6,62,48,8.8,123,46.2,6,46,,,,,87.2,84.7,81.8,,80.6,,77.8,,,1,2,138,20.8,100.6,8.1,10,9,0,9,6,4,2.9,938,9.0
