player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Calais Campbell,4364,DI,BLT,4,0,0,3,83.3,5,11,122,100.0,16.4,20,0,6.6,0,127,127,16,0,87.3,3,10,59,100.0,23.7,14,11.0,0,62,62,13
Malcolm Jenkins,4937,S,NO,4,0,0,20,55.9,0,0,20,10.8,10.0,2,1,0.0,0,185,20,0,0,52.8,0,0,12,13.3,8.3,1,0.0,0,90,12,0
Jason McCourty,5127,S,MIA,4,0,0,17,54.5,0,0,4,3.0,0.0,0,0,0.0,0,133,4,0,0,55.5,0,0,2,3.0,0.0,0,0.0,0,66,2,0
Steve McLendon,5232,DI,TB,4,0,0,30,56.1,0,0,49,98.1,4.1,2,0,0.0,0,52,51,0,0,59.4,0,0,10,100.0,10.0,1,0.0,0,11,11,0
Ndamukong Suh,5527,DI,TB,4,1,0,30,54.9,2,4,125,98.5,5.6,7,1,3.2,1,137,135,7,0,54.0,1,3,59,100.0,8.5,5,5.1,1,67,67,5
Gerald McCoy,5528,DI,LV,1,0,0,23,55.2,0,0,5,100.0,0.0,0,0,0.0,0,5,5,0,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Tyson Alualu,5535,DI,PIT,2,0,0,25,59.4,1,1,38,100.0,7.9,3,0,2.6,0,40,40,2,0,61.3,1,1,29,100.0,10.3,3,3.4,0,30,30,2
Brandon Graham,5538,ED,PHI,2,0,0,24,60.6,1,1,30,100.0,10.0,3,0,3.3,0,32,32,2,0,69.2,1,1,14,100.0,21.4,3,7.1,0,15,15,2
Jason Pierre-Paul,5540,ED,TB,2,1,0,30,51.5,1,3,84,85.3,2.4,2,1,2.4,0,109,93,4,0,51.4,1,1,34,91.1,5.9,2,2.9,0,45,41,2
Kareem Jackson,5545,S,DEN,4,0,0,10,60.0,0,0,1,0.6,0.0,0,0,0.0,0,166,1,0,0,60.0,0,0,1,1.2,0.0,0,0.0,0,84,1,0
Devin McCourty,5552,S,NE,4,0,0,19,52.1,0,0,3,2.0,0.0,0,0,0.0,0,148,3,0,0,54.0,0,0,2,3.7,0.0,0,0.0,0,54,2,0
Jerry Hughes,5556,ED,BUF,4,1,1,4,78.3,0,7,68,94.0,16.2,11,1,5.1,0,83,78,7,0,76.5,0,6,30,92.3,23.3,7,10.0,0,39,36,6
Linval Joseph,5571,DI,LAC,4,0,0,27,76.7,1,6,68,100.0,14.7,10,0,5.1,0,76,76,7,0,86.1,0,4,19,100.0,31.6,6,10.5,0,23,23,4
Carlos Dunlap,5579,ED,SEA,4,1,0,29,62.3,2,8,98,88.5,14.3,14,0,6.1,1,113,100,11,1,65.5,1,4,52,93.0,17.3,9,6.7,1,57,53,6
Corey Peters,5607,DI,ARZ,4,0,0,1,63.7,0,2,30,90.9,10.0,3,0,3.3,0,33,30,2,0,67.2,0,1,10,100.0,20.0,2,5.0,0,10,10,1
