player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_grades_run_defense,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_grades_run_defense,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_grades_run_defense,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_grades_run_defense,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Tom Brady,698,QB,TB,6,6.18,0,281,30,73.3,206,223,11.5,2.56,2,18,7.8,63.7,142,66,6.0,237,84.3,9,99,,,,,90.4,92.8,85.7,91.5,,75.3,,1,2,246,13.6,109.9,3.8,9,5,1,13,17,1,0.4,1769,7.9,75.8,194,207,8.5,2.31,2,16,7.5,67.1,139,53,5.4,219,77.9,8,82,,,,,90.2,90.1,85.5,86.8,,75.3,,0,2,224,13.2,100.4,3.2,7,5,1,10,10,1,0.4,1503,7.3,83.6,55,60,10.8,2.66,1,2,3.1,73.3,44,13,4.3,62,22.1,2,33,,,,,82.1,92.3,79.0,91.2,,,,1,1,66,15.4,134.1,3.2,2,0,0,3,7,0,0.0,561,9.4,0,97.7,43,44,-2.8,1.45,1,0,0.0,93.2,41,0,2.4,44,15.7,1,16,,,,,79.6,69.7,77.5,68.9,,,,0,1,44,,85.1,0.0,0,0,0,0,0,0,0.0,295,6.7,2.09
Patrick Mahomes,11765,QB,KC,6,-2.7,0,275,16,77.2,193,212,9.8,2.94,1,10,4.3,66.0,140,88,6.0,245,89.1,9,106,,,,,48.5,78.2,61.2,73.9,,81.1,,4,8,266,11.4,95.8,4.1,10,22,0,14,13,7,2.6,1728,8.2,79.4,155,169,7.7,2.74,1,8,4.4,69.8,118,65,4.1,193,70.2,5,84,,,,,55.5,76.9,57.2,73.1,,78.5,,4,5,208,12.3,103.2,4.1,8,16,0,9,11,4,1.9,1360,8.0,80.3,66,73,9.5,2.88,0,2,2.5,67.1,49,25,7.5,82,29.8,4,35,,,,,50.9,73.1,80.1,69.9,,72.3,,0,3,89,8.0,102.9,2.4,2,6,0,7,7,3,3.4,527,7.2,0,96.4,28,30,-2.6,1.45,0,0,0.0,90.0,27,2,0.0,30,10.9,0,13,,,,,77.6,66.7,76.3,66.0,,,,0,0,31,0.0,128.3,0.0,0,0,0,2,5,0,0.0,159,5.3,-0.83
Justin Herbert,28237,QB,LAC,6,3.04,0,266,27,75.2,214,227,8.7,2.63,4,10,4.0,64.3,146,70,9.3,247,92.9,15,88,,,,,90.6,87.3,86.1,84.0,,74.8,,2,4,269,15.7,98.3,4.5,11,9,0,7,13,6,2.2,1681,7.4,75.0,160,169,8.2,2.42,5,7,3.8,64.5,109,48,9.2,182,68.4,11,65,,,,,90.1,84.5,85.3,82.0,,69.2,,1,2,196,14.6,99.8,3.8,7,6,0,3,10,4,2.0,1184,7.0,81.2,69,77,7.1,2.89,1,3,3.5,67.5,52,23,7.1,84,31.6,4,27,,,,,84.3,80.3,80.2,76.7,,74.7,,1,2,92,17.4,96.6,4.8,4,3,0,6,4,2,2.2,587,7.6,0,100.0,15,19,-3.0,1.79,2,0,0.0,78.9,15,1,0.0,19,7.1,0,4,,,,,74.8,63.7,74.5,63.2,,,,0,0,19,0.0,103.9,0.0,0,0,0,2,1,0,0.0,90,4.7,0.61
Jared Goff,10635,QB,DET,6,7.69,0,262,11,73.8,202,215,8.0,2.79,0,6,2.5,65.1,140,92,6.0,239,91.2,9,76,,,,,29.9,60.2,60.7,62.4,60.0,38.0,,2,4,260,16.3,84.2,6.3,15,9,1,10,6,9,3.5,1355,6.3,75.4,183,197,7.1,2.62,1,6,2.8,65.5,129,80,6.5,215,82.1,9,66,,,,,28.5,63.0,58.6,64.9,,40.0,,2,3,230,13.8,86.3,5.1,11,7,1,10,6,7,3.0,1224,6.2,79.5,39,41,6.0,3.06,0,0,0.0,73.2,30,12,3.2,47,17.9,1,17,,,,,80.8,53.3,78.3,55.4,60.0,52.3,,0,1,53,33.3,89.6,8.5,4,2,0,2,1,2,3.8,281,6.9,0,100.0,20,23,-3.9,1.7,1,0,0.0,82.6,19,0,5.0,23,8.8,1,7,,,,,75.9,66.2,75.2,65.6,,,,0,0,23,,108.3,0.0,0,0,0,2,1,0,0.0,150,6.5,0.64
Derek Carr,8671,QB,LV,6,-1.02,0,255,23,76.1,201,219,10.6,2.8,4,23,10.0,62.6,137,89,10.5,242,94.9,16,76,,,,,77.7,86.4,61.4,87.3,,48.1,,2,4,256,19.1,97.2,7.0,17,6,2,10,10,6,2.3,1859,8.5,76.9,186,202,9.8,2.73,5,20,9.3,64.4,130,76,9.1,220,86.3,13,69,,,,,90.3,86.8,60.0,87.8,,48.9,,2,4,234,17.1,99.0,5.9,13,5,2,7,10,5,2.1,1697,8.4,81.5,27,30,10.1,2.8,0,3,9.7,63.3,19,13,13.6,35,13.7,3,9,,,,,27.4,70.0,76.8,70.1,,58.3,,0,0,36,30.8,89.4,11.4,4,1,0,3,0,1,2.8,249,8.3,0,100.0,12,13,-2.2,1.63,1,0,0.0,92.3,12,0,0.0,13,5.1,0,2,,,,,73.2,67.0,73.5,66.3,,,,0,0,14,,94.6,0.0,0,0,0,0,0,0,0.0,87,6.7,-0.1
Kirk Cousins,7102,QB,MIN,6,-0.29,0,255,18,81.2,186,210,8.6,2.54,6,9,4.0,66.2,139,72,7.9,225,88.2,12,79,,,,,48.7,90.6,61.9,89.5,58.9,66.9,,6,2,240,12.5,105.6,4.0,9,5,3,9,13,4,1.7,1597,7.6,84.2,165,187,7.0,2.26,5,7,3.5,69.5,130,56,6.5,199,78.0,9,67,,,,,43.5,90.6,60.0,89.1,,71.8,,7,0,211,10.7,105.7,3.0,6,4,3,7,9,3,1.4,1332,7.1,81.3,48,52,7.9,3.04,1,2,3.6,69.2,36,20,7.7,56,22.0,3,18,,,,,81.5,74.9,78.7,75.1,58.9,56.3,,0,2,60,15.0,104.4,5.4,3,1,0,3,4,1,1.7,437,8.4,0,100.0,27,29,-2.8,1.62,0,0,0.0,93.1,27,4,0.0,30,11.8,0,6,,,,,77.6,68.1,76.3,67.4,,,,1,0,31,0.0,91.4,0.0,0,0,0,1,0,0,0.0,172,5.9,1.28
Josh Allen,46601,QB,BUF,6,-1.87,0,255,4,73.2,190,210,11.4,3.02,6,17,7.7,62.4,131,95,5.8,234,91.8,8,90,,,,64.7,64.8,84.5,85.9,80.2,90.6,75.5,,1,3,247,8.4,104.5,3.4,8,16,0,13,15,10,4.0,1642,7.8,76.1,142,156,9.0,2.78,5,9,5.5,65.4,102,68,5.6,173,67.8,6,60,,,,64.7,57.0,84.4,85.3,77.3,90.6,82.7,,1,2,184,8.8,99.4,3.5,6,10,0,8,9,6,3.3,1082,6.9,72.1,68,74,12.3,3.09,1,8,10.5,63.5,47,27,4.1,82,32.2,2,33,,,,,83.7,73.2,79.9,75.7,,44.3,,0,1,84,7.4,112.5,2.4,2,6,0,5,6,4,4.8,641,8.7,0,90.0,20,20,-2.8,1.23,0,0,0.0,90.0,18,0,0.0,21,8.2,0,3,,,,,75.4,61.9,74.9,61.5,,,,0,0,21,,83.5,0.0,0,0,0,0,0,0,0.0,81,4.1,1.72
Sam Darnold,29048,QB,CAR,6,-2.98,0,250,5,70.7,184,198,9.9,2.95,0,12,5.7,58.1,115,93,11.5,224,89.6,15,75,,,,,43.7,64.9,12.3,62.7,,73.3,,2,7,238,18.3,78.0,7.6,17,9,0,12,7,11,4.6,1448,7.3,74.7,158,168,8.2,2.72,0,10,5.6,61.9,104,73,11.9,192,76.8,14,63,,,,,37.5,67.8,6.4,65.1,,75.3,,2,5,204,21.9,80.1,8.3,16,8,0,8,5,9,4.4,1165,6.9,68.6,51,56,8.8,3.22,0,2,3.3,58.9,33,21,5.7,58,23.2,2,19,,,,,81.6,55.9,78.8,56.9,,56.8,,0,2,62,4.8,78.6,1.7,1,1,0,5,2,2,3.2,408,7.3,0,92.0,25,26,-3.2,1.83,0,0,0.0,84.6,22,1,4.3,26,10.4,1,7,,,,,77.0,63.6,75.9,63.1,,,,0,0,28,0.0,86.7,0.0,0,0,0,1,0,0,0.0,125,4.8,0.36
Ben Roethlisberger,1732,QB,PIT,6,-6.8,0,249,25,72.1,204,212,8.3,2.38,5,10,4.5,62.7,133,55,9.5,226,90.8,14,70,,,,,26.4,56.4,85.7,55.4,,62.5,,2,4,237,21.8,83.4,5.3,12,2,0,1,6,12,5.1,1398,6.6,75.8,186,193,7.1,2.3,5,9,4.4,66.3,128,51,9.2,203,81.5,13,61,,,,,40.0,61.0,85.5,59.7,,62.5,,1,4,213,15.7,87.4,3.9,8,2,0,1,7,9,4.2,1234,6.4,70.0,40,42,7.8,2.27,0,1,2.2,59.5,25,4,10.7,46,18.5,3,16,,,,,21.8,49.3,78.0,49.9,,,,1,0,50,100.0,79.6,8.7,4,0,0,1,0,3,6.0,281,6.7,0,100.0,22,23,-2.5,1.4,0,0,0.0,87.0,20,0,9.1,23,9.2,2,7,,,,,76.6,69.7,75.6,68.9,,,,0,0,26,,102.4,0.0,0,0,0,1,1,0,0.0,117,5.1,0.3
Jalen Hurts,40291,QB,PHI,6,5.86,0,247,24,67.5,151,170,11.0,3.29,4,15,7.9,56.5,96,86,5.9,206,83.4,6,65,,,,,77.3,82.2,56.9,75.9,60.0,84.1,,3,4,227,14.0,83.4,5.8,12,24,1,11,7,8,3.5,1239,7.3,71.2,132,148,8.2,3.04,5,9,5.7,60.8,90,63,4.3,178,72.1,4,49,,,,,74.4,79.7,53.6,72.0,,85.6,,3,2,191,11.1,86.5,3.9,7,22,1,7,5,4,2.1,1000,6.8,77.8,54,60,8.2,2.98,0,6,8.5,66.7,40,26,4.8,69,27.9,2,23,,,,,83.3,68.8,79.7,70.1,60.0,50.2,,0,2,80,19.2,93.8,7.2,5,3,0,6,3,5,6.3,480,8.0,0,97.1,35,38,-3.8,1.67,1,0,0.0,89.5,34,3,0.0,41,16.6,0,7,,,,,79.6,51.6,77.5,53.7,,55.7,,0,0,44,0.0,101.9,0.0,0,1,0,2,1,1,2.3,241,6.3,1.24
