player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Grant Delpit,60685,S,CLV,2,0,8,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,4.2,1,24,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Avonte Maddox,50543,CB,PHI,3,0,24,0,0,0,0,0,0,100.0,1,1,100.0,1,0,0,0,1.5,1,67,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,0,0
Kevin King,11788,CB,GB,2,0,12,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,1.6,1,63,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Jahlani Tavai,51055,LB,NE,1,0,19,0,1,0,0,1,1,100.0,1,1,50.0,0,0,0,1,50.0,1,2,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Kamu Grugier-Hill,10842,LB,HST,2,0,13,0,0,0,0,0,0,50.0,1,1,100.0,1,1,0,0,8.0,2,25,1,50.0,0,0,0,0,50.0,1,0,0.0,0,0,0,1,1,0
Dane Cruikshank,25546,S,TEN,3,0,31,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,1.4,1,71,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Joejuan Williams,29113,CB,NE,3,0,19,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,2.8,1,36,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Tre'Davious White,11782,CB,BUF,3,0,4,0,2,0,0,0,0,0.0,0,0,,0,0,0,0,1.7,2,116,2,50.0,0,0,2,0,100.0,2,2,50.0,0,0,0,0,0,0
Juan Thornhill,50426,S,KC,3,0,16,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,2.0,1,50,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Oren Burks,50203,LB,GB,3,0,12,0,2,0,0,2,0,100.0,4,3,50.0,1,0,0,0,17.4,4,23,3,50.0,0,0,0,0,0.0,0,0,,0,0,0,1,0,0
Bryce Hall,42313,CB,NYJ,3,0,22,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,1.0,1,98,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Chris Harris Jr.,6457,CB,LAC,1,0,27,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,3.8,1,26,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Donovan Wilson,49408,S,DAL,1,0,9,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,2.3,1,43,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
M.J. Stewart,49397,S,CLV,1,0,8,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,2.6,1,38,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Andrew Wingard,49268,S,JAX,3,0,15,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,2.1,2,95,1,50.0,0,0,0,0,100.0,2,1,50.0,1,1,0,1,1,0
