player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Davante Adams,8688,WR,GB,4,10.8,1,68.9,33.3,2,6,0,3.1,1,19,12,0,77.8,76.6,90.6,,90.3,0.0,0,1,50,0.0,0,139,0,31,92.8,129,41.0,57,92.2,45,1,59.0,82,373,115,3.7,12.0,2.89
Cooper Kupp,11824,WR,LA,4,8.6,6,66.7,40.0,2,5,0,6.3,2,18,26,0,67.3,78.4,82.6,,84.5,0.0,0,1,56,0.0,0,144,0,30,95.1,137,70.8,102,125.3,45,5,28.5,41,431,193,6.4,14.4,3.15
Deebo Samuel,48274,WR,SF,4,7.7,5,66.7,40.0,4,10,0,9.7,3,19,28,1,46.5,26.6,83.2,,83.2,0.0,0,0,79,0.0,0,146,0,28,94.5,138,26.7,39,130.1,42,3,71.9,105,490,271,9.7,17.5,3.55
Calvin Ridley,48262,WR,ATL,4,10.9,3,64.3,30.0,3,10,0,6.9,2,14,2,0,66.2,76.1,65.7,,66.6,0.0,0,0,22,0.0,0,176,2,27,93.2,164,20.5,36,88.9,42,1,79.5,140,255,82,3.0,9.4,1.55
D.J. Moore,48267,WR,CAR,4,10.1,5,71.4,62.5,5,8,0,6.3,2,21,5,0,68.1,77.9,86.0,,85.1,0.0,0,1,39,0.0,0,154,0,30,95.5,147,13.6,21,115.0,42,3,85.1,131,398,163,5.4,13.3,2.71
Keenan Allen,7857,WR,LAC,4,9.2,3,66.7,75.0,6,8,0,12.5,4,17,27,1,49.6,27.5,74.1,,74.8,1.2,2,2,42,0.0,0,172,2,28,93.6,161,61.0,105,74.9,42,1,36.6,63,294,97,3.5,10.5,1.83
Stefon Diggs,9579,WR,BUF,4,12.9,1,63.4,33.3,3,9,0,0.0,0,15,4,1,86.9,26.7,74.8,,75.4,0.0,0,2,41,0.0,0,163,1,26,94.5,154,21.5,35,73.7,41,1,77.3,126,305,58,2.2,11.7,1.98
Jakobi Meyers,47468,WR,NE,4,8.8,1,67.5,80.0,8,10,0,6.9,2,10,19,0,65.2,76.3,66.6,78.9,64.8,0.5,1,0,27,1.6,3,182,0,27,92.3,168,72.5,132,84.0,40,0,26.9,49,246,75,2.8,9.1,1.46
Darren Waller,9637,TE,LV,4,10.4,1,61.5,50.0,3,6,0,11.1,3,14,23,0,52.9,75.5,63.7,62.3,70.5,52.7,98,1,25,5.4,10,186,1,24,91.4,170,25.8,48,89.0,39,2,21.5,40,274,92,3.8,11.4,1.61
Tyreek Hill,10799,WR,KC,4,14.1,4,78.9,0.0,0,5,1,0.0,0,21,16,1,87.6,28.1,88.2,,87.6,0.7,1,0,75,0.0,0,148,2,30,94.6,140,52.0,77,151.4,38,4,47.3,70,453,128,4.3,15.1,3.24
