player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Tom Brady,698,QB,TB,4,2.43,2.36,3.01,4.7,195,30,81.8,110,117,6.0,1.88,3,7,5.8,71.8,84,17,6.7,118,60.5,6,47,,,,,86.3,90.4,81.3,88.6,,,,0,1,121,5.9,109.5,0.8,1,0,0,4,8,0,0.0,797,6.8,62.3,61,67,15.8,3.27,0,10,14.1,52.2,35,31,7.9,77,39.5,3,26,,,,,83.3,90.7,79.7,89.7,,63.2,,0,1,81,19.4,84.1,7.8,6,4,0,6,2,0,0.0,559,8.3
Derek Carr,8671,QB,LV,4,2.75,2.66,3.23,4.52,185,23,86.7,75,79,4.9,1.98,3,4,4.9,74.7,59,13,9.2,79,42.7,6,27,,,,,83.6,78.3,79.8,76.7,,,,0,2,82,0.0,100.4,0.0,0,0,0,1,4,1,1.2,564,7.1,68.4,79,89,14.2,3.32,2,12,12.8,56.2,50,51,7.4,106,57.3,4,33,,,,,56.8,82.2,80.9,82.8,,47.5,,1,1,111,23.5,98.3,11.3,12,5,0,7,4,4,3.6,835,9.4
Ben Roethlisberger,1732,QB,PIT,4,2.33,2.2,4.03,4.2,182,25,80.9,110,112,4.3,1.76,2,1,0.8,72.3,81,11,9.0,112,61.5,8,35,,,,,86.1,62.4,81.2,62.0,,,,0,1,118,0.0,87.7,0.0,0,0,0,0,2,1,0.8,621,5.5,59.3,54,58,12.4,3.24,1,5,8.3,48.3,28,28,12.5,70,38.5,4,16,,,,,21.6,43.1,79.3,43.7,,61.2,,2,3,72,35.7,61.9,14.3,10,2,0,1,2,7,9.7,412,7.1
Jared Goff,10635,QB,DET,4,2.79,2.65,3.08,5.11,179,11,81.7,71,72,5.4,1.93,0,2,2.5,73.6,53,12,8.6,74,41.3,5,29,,,,,83.5,72.1,79.8,70.9,,,,0,0,82,16.7,118.9,2.7,2,0,0,1,6,1,1.2,479,6.7,71.1,83,89,8.3,3.39,1,3,3.2,64.0,57,51,3.4,105,58.7,2,31,,,,,28.7,62.4,80.9,64.6,,48.2,,1,2,111,15.7,78.9,7.6,8,8,0,4,1,4,3.6,621,7.0
Ryan Tannehill,7014,QB,TEN,4,2.52,2.41,2.6,4.4,176,31,75.9,83,86,7.4,1.99,2,5,5.6,65.1,56,21,11.1,93,52.8,7,31,,,,,53.2,79.8,80.4,78.0,,,,1,1,96,33.3,98.4,7.5,7,0,0,0,5,1,1.0,567,6.6,75.4,57,65,10.6,3.12,0,4,5.4,61.5,40,39,7.0,83,47.2,3,30,,,,,84.2,90.8,80.2,85.0,,88.6,,5,2,92,25.6,71.8,12.0,10,8,0,3,0,1,1.1,487,7.5
Justin Herbert,28237,QB,LAC,4,2.61,2.48,3.86,5.04,176,27,86.5,89,93,5.1,1.86,3,2,2.0,76.3,71,15,7.8,94,53.4,6,36,,,,,84.9,90.1,80.5,87.9,,,,1,1,100,6.7,113.8,1.1,1,0,0,0,7,1,1.0,613,6.6,74.6,63,71,11.3,3.46,0,5,6.3,59.2,42,33,10.6,82,46.6,5,27,,,,,84.1,77.6,80.1,77.6,,55.0,,1,2,90,18.2,82.2,7.3,6,5,0,7,2,3,3.3,565,8.0
Mac Jones,60323,QB,NE,4,2.59,2.54,3.14,4.27,174,19,86.3,80,83,4.9,1.87,3,2,2.3,79.5,66,19,4.3,85,48.9,3,30,,,,,84.0,80.4,80.1,78.6,,,,0,1,88,10.5,97.4,2.4,2,0,0,0,2,0,0.0,552,6.7,68.1,72,77,10.8,3.31,0,4,4.8,59.7,46,39,6.1,88,50.6,3,20,,,,,27.2,59.2,0.0,59.6,,63.1,,0,3,95,20.5,69.2,9.1,8,3,0,5,2,5,5.3,460,6.0
Jalen Hurts,40291,QB,PHI,4,3.0,2.71,3.74,5.26,173,24,81.1,74,79,3.9,1.93,4,3,3.6,73.4,58,12,3.3,80,46.2,2,23,,,,,48.7,70.3,79.9,69.3,,,,0,1,84,8.3,110.8,1.3,1,0,0,1,5,2,2.4,602,7.6,67.9,56,65,13.9,4.02,1,7,9.7,58.5,38,49,0.0,91,52.6,0,34,,,,,84.9,83.9,80.5,77.1,,81.6,,2,1,100,14.3,90.9,7.7,7,19,0,6,2,3,3.0,565,8.7
Josh Allen,46601,QB,BUF,4,2.78,2.66,3.52,4.96,171,4,78.3,69,70,4.8,1.78,1,2,2.7,74.3,52,8,3.7,70,40.9,2,17,,,,,82.8,59.2,79.4,59.1,,,,0,2,73,0.0,82.6,0.0,0,0,0,0,2,3,4.1,352,5.0,67.6,74,87,14.7,3.51,3,9,9.9,54.0,47,59,6.0,100,58.5,3,40,,,,,56.1,79.4,80.8,75.6,,74.8,,1,0,106,8.5,107.6,5.0,5,8,0,9,7,5,4.7,703,8.1
Matt Ryan,4317,QB,ATL,4,2.56,2.49,3.11,4.6,169,2,75.6,86,89,5.9,1.92,2,1,1.1,70.8,63,21,3.1,90,53.3,2,31,,,,,84.6,72.4,80.3,71.2,,,,1,3,95,4.8,88.8,1.1,1,0,0,0,4,2,2.1,573,6.4,75.0,64,69,7.6,3.29,1,3,3.9,65.2,45,33,6.3,79,46.7,3,20,,,,,50.6,72.7,80.1,69.4,,75.4,,1,0,88,21.2,100.9,8.9,7,3,0,3,4,3,3.4,417,6.0
