player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Robbie Gould,2607,K,SF,4,0,2,1,50.0,2,2,100.0,28,68.1,0,0,,13,13,100.0,0,0,0,,5,4,80.0,1,1,100.0
Matt Prater,3471,K,ARZ,9,0,5,3,60.0,1,0,0.0,1,81.9,0,0,,34,34,100.0,0,5,5,100.0,16,13,81.3,5,5,100.0
Nick Folk,3794,K,NE,9,0,5,3,60.0,6,6,100.0,19,59.1,0,0,,22,19,86.4,0,6,6,100.0,23,21,91.3,6,6,100.0
Mason Crosby,3809,K,GB,9,0,3,2,66.7,5,3,60.0,12,47.7,0,0,,23,22,95.7,0,7,4,57.1,19,13,68.4,4,4,100.0
Ryan Succop,5180,K,TB,8,0,1,0,0.0,4,3,75.0,30,61.3,0,0,,33,32,97.0,0,2,1,50.0,11,8,72.7,4,4,100.0
Graham Gano,5443,K,NYG,9,0,6,5,83.3,4,4,100.0,21,83.5,0,0,,12,12,100.0,0,6,5,83.3,21,19,90.5,5,5,100.0
Randy Bullock,7154,K,TEN,8,0,1,1,100.0,7,5,71.4,31,69.1,0,0,,26,25,96.2,0,8,8,100.0,17,15,88.2,1,1,100.0
Greg Zuerlein,7163,K,DAL,7,0,3,1,33.3,4,3,75.0,9,61.5,0,0,,23,21,91.3,0,10,9,90.0,18,14,77.8,1,1,100.0
Justin Tucker,7604,K,BLT,8,0,3,3,100.0,7,6,85.7,3,92.5,0,0,,19,19,100.0,0,5,5,100.0,17,16,94.1,2,2,100.0
Dustin Hopkins,7958,K,LAC,8,0,2,1,50.0,8,7,87.5,27,46.4,0,0,,17,14,82.4,0,3,3,100.0,17,15,88.2,4,4,100.0
Brandon McManus,8437,K,DEN,9,0,3,1,33.3,6,6,100.0,10,65.2,0,0,,18,17,94.4,0,5,5,100.0,18,16,88.9,4,4,100.0
Cairo Santos,8932,K,CHI,9,0,1,0,0.0,4,4,100.0,6,72.6,0,0,,16,15,93.8,0,3,3,100.0,14,13,92.9,6,6,100.0
Chris Boswell,8990,K,PIT,8,0,5,5,100.0,5,4,80.0,25,87.1,0,0,,15,14,93.3,0,2,2,100.0,16,15,93.8,4,4,100.0
Cody Parkey,9030,K,NO,1,0,0,0,,0,0,,20,32.9,0,0,,5,3,60.0,0,0,0,,0,0,,0,0,
Bradley Pinion,9598,P,TB,1,0,1,0,0.0,0,0,,30,58.0,0,0,,0,0,,0,0,0,,1,0,0.0,0,0,
Josh Lambo,10133,K,JAX,3,0,2,0,0.0,1,0,0.0,15,26.7,0,0,,7,5,71.4,0,0,0,,3,0,0.0,0,0,
Jason Myers,10207,K,SEA,8,0,3,2,66.7,4,2,50.0,29,49.2,0,0,,23,22,95.7,0,4,3,75.0,11,7,63.6,0,0,
Ka'imi Fairbairn,11161,K,HST,5,0,2,1,50.0,2,1,50.0,13,30.9,0,0,,5,3,60.0,0,3,3,100.0,8,6,75.0,1,1,100.0
Aldrick Rosas,11331,K,NO,4,0,2,0,0.0,1,1,100.0,20,49.0,0,0,,13,13,100.0,0,1,0,0.0,4,1,25.0,0,0,
Jake Elliott,11908,K,PHI,9,0,1,1,100.0,6,4,66.7,24,78.1,0,0,,22,22,100.0,0,2,2,100.0,13,11,84.6,4,4,100.0
Zane Gonzalez,11979,K,CAR,8,0,5,3,60.0,6,6,100.0,5,75.5,0,0,,14,13,92.9,0,1,1,100.0,17,15,88.2,5,5,100.0
Harrison Butker,11988,K,KC,9,0,4,3,75.0,2,2,100.0,16,81.1,0,0,,26,26,100.0,0,4,4,100.0,12,11,91.7,2,2,100.0
Younghoe Koo,12042,K,ATL,8,0,2,2,100.0,3,2,66.7,2,79.8,0,0,,17,17,100.0,0,6,6,100.0,15,14,93.3,4,4,100.0
Tristan Vizcaino,13076,K,LAC,6,0,0,0,,2,1,50.0,27,28.7,0,0,,15,10,66.7,0,2,2,100.0,7,6,85.7,3,3,100.0
Austin Seibert,13701,K,DET,6,0,2,1,50.0,6,5,83.3,11,64.1,0,0,,5,5,100.0,0,4,4,100.0,12,10,83.3,0,0,
Greg Joseph,22842,K,MIN,8,0,6,5,83.3,5,3,60.0,18,59.4,0,0,,18,17,94.4,0,6,5,83.3,21,17,81.0,4,4,100.0
Chris Blewitt,23606,K,WAS,2,0,1,1,100.0,4,1,25.0,32,57.8,0,0,,2,2,100.0,0,0,0,,5,2,40.0,0,0,
Ryan Santoso,26245,P,DET,3,0,0,0,,0,0,,11,60.5,0,0,,6,5,83.3,0,1,1,100.0,3,3,100.0,2,2,100.0
Daniel Carlson,28121,K,LV,8,0,4,3,75.0,4,3,75.0,23,57.4,0,0,,19,17,89.5,0,7,7,100.0,20,17,85.0,5,4,80.0
Jason Sanders,29578,K,MIA,8,0,3,2,66.7,5,3,60.0,17,72.5,0,0,,16,16,100.0,0,3,2,66.7,13,9,69.2,2,2,100.0
