player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_grades_run_defense,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_grades_run_defense,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_grades_run_defense,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Patrick Mahomes,11765,QB,KC,9,0.73,0,409,16,74.6,280,313,10.0,2.96,2,12,3.5,61.3,192,129,8.1,360,88.0,17,137,,,,,30.0,71.7,51.5,,69.0,,74.4,,,5,10,388,13.2,85.5,4.7,17,29,0,26,15,13,3.4,2227,7.1,76.7,232,257,7.8,2.74,1,10,3.6,65.0,167,99,6.2,294,71.9,11,111,,,,,30.1,68.7,46.8,,66.9,,69.2,,,5,6,316,15.2,91.9,5.1,15,22,0,19,12,9,2.8,1841,7.2,79.8,94,105,9.0,2.9,1,2,1.8,65.7,69,34,8.0,115,28.1,6,46,,,,,59.9,75.1,81.3,,71.5,,76.1,,,0,4,122,5.9,93.9,1.7,2,7,0,10,8,4,3.3,693,6.6,0,95.7,46,49,-2.8,1.43,0,0,0.0,89.8,44,4,0.0,49,12.0,0,20,,,,,80.4,69.2,78.0,,68.4,,,,,0,0,50,0.0,126.8,0.0,0,0,0,3,5,0,0.0,307,6.3,-0.56
Tom Brady,698,QB,TB,8,3.88,0,360,30,71.5,267,287,11.4,2.53,3,23,7.7,62.7,180,77,5.8,304,84.4,11,122,,,,,81.4,91.7,86.8,,90.4,58.9,77.6,,,1,4,316,15.6,111.1,3.9,12,5,1,15,25,4,1.3,2311,8.1,74.6,256,272,8.5,2.3,3,20,7.2,66.5,181,63,5.2,287,79.7,10,104,,,,,80.1,87.9,86.6,,84.3,,77.6,,,0,4,294,15.9,104.0,3.5,10,5,1,12,18,4,1.4,1993,7.3,81.8,66,71,10.9,2.6,1,3,3.9,70.4,50,15,7.4,73,20.3,4,36,,,,,83.2,91.8,79.7,,90.8,58.9,,,,1,1,78,13.3,126.3,2.7,2,0,0,3,7,0,0.0,657,9.3,0,98.2,55,56,-2.7,1.41,1,0,0.0,91.1,51,1,5.6,56,15.6,3,18,,,,,81.1,71.1,78.4,,70.1,,,,,0,1,56,0.0,84.4,0.0,0,0,0,0,0,0,0.0,339,6.1,1.92
Josh Allen,46601,QB,BUF,8,-3.36,0,355,4,72.4,250,276,11.0,3.05,9,17,5.8,62.0,171,128,5.5,311,87.6,10,119,,,,64.7,49.7,80.4,87.0,,75.7,90.8,76.7,,,2,5,331,9.4,97.8,3.9,12,23,0,15,17,13,3.9,2058,7.5,76.0,204,224,8.2,2.75,7,9,3.8,66.5,149,92,3.9,247,69.6,6,87,,,,64.7,40.7,80.1,86.4,,73.4,90.6,81.9,,,2,4,263,7.6,91.5,2.8,7,15,0,11,9,9,3.4,1505,6.7,73.6,87,95,11.1,3.01,2,8,8.2,63.2,60,37,6.3,108,30.4,4,40,,,,,85.7,72.0,81.0,,73.5,58.4,51.3,,,0,1,112,13.5,110.5,4.6,5,8,0,6,8,4,3.6,731,7.7,0,92.7,41,43,-2.5,1.24,0,0,0.0,88.4,38,1,0.0,44,12.4,0,8,,,,,79.6,66.2,77.5,,65.6,,,,,0,0,44,0.0,83.9,0.0,0,0,0,2,0,0,0.0,178,4.1,0.97
Justin Herbert,28237,QB,LAC,8,6.81,0,346,27,75.7,276,295,8.5,2.64,6,12,3.8,65.1,192,92,8.1,322,93.1,17,116,,,,,91.0,89.4,87.2,,85.9,,76.0,,,2,6,347,15.2,98.4,4.3,14,13,1,10,17,6,1.7,2222,7.5,75.4,211,226,7.8,2.43,7,7,2.9,64.2,145,63,8.8,244,70.5,14,84,,,,,90.6,84.2,86.4,,81.1,,73.0,,,1,4,260,14.3,94.4,3.7,9,9,1,6,12,4,1.5,1548,6.8,82.4,85,93,7.6,2.92,1,5,4.9,71.0,66,30,5.7,102,29.5,4,38,,,,,85.7,87.1,80.9,,83.9,,71.1,,,1,2,111,16.7,109.7,4.9,5,4,0,6,6,2,1.8,802,8.6,0,100.0,20,24,-3.3,1.72,2,0,0.0,79.2,19,1,5.0,24,6.9,1,6,,,,,76.1,65.3,75.3,,64.8,,,,,0,0,24,0.0,102.8,0.0,0,0,0,2,1,0,0.0,128,5.3,1.77
Sam Darnold,29048,QB,CAR,9,-0.3,0,343,5,69.7,241,266,9.4,3.04,3,14,5.0,56.8,151,129,10.1,303,88.3,17,97,,,,,55.5,63.0,12.6,,60.7,,73.2,,,3,11,319,16.3,69.5,6.9,21,16,0,19,7,14,4.4,1823,6.9,72.8,206,225,7.8,2.79,3,12,5.1,59.6,134,99,10.7,257,74.9,16,78,,,,,35.9,65.5,6.4,,62.9,,74.2,,,3,7,270,19.2,72.7,7.4,19,13,0,13,5,11,4.1,1433,6.4,71.8,71,81,8.0,3.2,1,2,2.3,59.3,48,33,5.9,86,25.1,3,28,,,,,84.2,54.5,80.2,,54.6,,59.2,,,0,4,91,6.1,67.6,2.3,2,3,0,9,2,4,4.4,553,6.8,0,91.7,36,40,-2.9,1.78,1,0,0.0,77.5,31,3,6.1,40,11.7,2,9,,,,,28.6,58.3,77.3,,58.1,,,,,0,0,42,0.0,83.6,0.0,0,0,0,3,0,1,2.4,163,4.1,0.46
Matthew Stafford,4924,QB,LA,9,-3.75,0,340,26,72.8,265,277,10.3,2.74,5,16,5.5,64.3,178,81,7.8,296,87.1,15,124,,,,,90.9,79.3,27.7,,77.7,,70.6,,,3,6,310,14.8,108.7,4.1,12,7,0,4,21,8,2.6,2447,8.8,75.3,235,243,8.6,2.46,4,13,5.1,69.1,168,61,5.1,256,75.3,9,103,,,,,79.1,78.0,23.2,,76.6,,70.2,,,2,5,268,14.8,107.8,3.5,9,4,0,2,16,6,2.2,2024,8.3,78.4,74,78,8.1,2.9,1,3,3.7,65.4,51,21,12.1,84,24.7,7,37,,,,,84.0,72.4,80.0,,71.0,,63.5,,,1,1,87,14.3,121.0,3.6,3,3,0,2,7,3,3.4,747,9.6,0,95.5,44,44,-2.5,1.45,0,0,0.0,93.2,41,1,2.4,44,12.9,1,16,,,,,29.2,64.7,77.6,,64.1,,,,,0,0,45,0.0,112.5,0.0,0,0,0,0,2,1,2.2,324,7.4,1.25
Jared Goff,10635,QB,DET,8,7.45,0,340,11,74.5,255,276,7.7,2.79,0,7,2.3,65.2,180,118,5.3,308,90.6,10,96,,,,,29.9,61.2,46.6,,63.4,60.0,37.7,,,3,6,334,18.6,81.1,7.1,22,10,3,15,6,11,3.3,1755,6.4,75.6,234,256,6.8,2.62,1,7,2.5,65.6,168,105,5.1,281,82.6,9,84,,,,,28.6,62.6,43.8,,64.4,,39.6,,,3,5,300,16.2,84.3,6.0,17,8,3,15,7,9,3.0,1631,6.4,83.7,49,52,5.4,3.06,0,0,0.0,73.1,38,13,7.3,59,17.4,3,20,,,,,82.1,59.2,79.0,,60.7,60.0,52.3,,,0,1,66,38.5,90.5,8.5,5,2,0,3,1,2,3.0,364,7.0,0,100.0,28,32,-3.7,1.84,1,0,0.0,81.3,26,0,7.1,32,9.4,2,8,,,,,77.7,66.9,76.4,,66.3,,,,,0,0,32,,118.8,0.0,0,0,0,3,2,0,0.0,240,7.5,0.63
Derek Carr,8671,QB,LV,8,2.31,0,338,23,76.3,266,287,9.9,2.75,6,26,8.6,65.2,187,113,7.9,313,92.6,16,103,,,,,82.4,82.6,67.4,,83.2,,48.6,,,3,7,330,15.9,96.2,5.8,18,8,2,10,13,9,2.7,2403,8.4,77.6,241,260,9.0,2.67,7,23,8.4,66.9,174,96,7.0,279,82.5,13,89,,,,,90.7,84.2,66.0,,84.3,,52.1,,,3,7,296,14.6,95.0,5.0,14,5,2,7,11,7,2.4,2140,8.2,79.6,49,52,7.9,2.69,0,3,5.7,69.2,36,17,7.7,59,17.5,3,20,,,,,37.6,65.3,78.6,,67.0,,50.1,,,0,0,60,23.5,106.7,6.8,4,3,0,3,2,2,3.3,425,8.2,0,95.8,24,25,-2.7,1.63,1,0,0.0,92.0,23,0,0.0,25,7.4,0,6,,,,,76.6,67.0,75.6,,66.3,,,,,0,0,26,,93.7,0.0,0,0,0,0,0,0,0.0,162,6.5,-0.06
Carson Wentz,10636,QB,IND,9,-5.82,0,333,14,71.9,235,255,10.6,2.95,2,13,4.7,60.4,154,113,8.9,288,86.5,15,93,,,,,29.9,73.0,68.5,,72.0,,62.2,,,8,1,315,15.0,101.6,5.9,17,16,0,10,15,7,2.2,1910,7.5,77.0,187,204,7.9,2.73,1,8,3.7,65.2,133,89,7.6,229,68.8,11,65,,,,,27.3,69.6,65.8,,69.7,,56.2,,,7,1,248,15.7,98.0,6.1,14,11,0,9,10,6,2.4,1334,6.5,70.1,87,96,9.8,2.93,1,5,4.8,59.4,57,31,6.6,104,31.2,4,38,,,,,85.8,68.2,81.0,,65.5,,73.3,,,2,2,114,9.7,104.7,2.9,3,5,0,6,7,3,2.6,864,9.0,0,92.3,39,45,-3.7,1.77,0,0,0.0,80.0,36,7,0.0,45,13.5,0,10,,,,,80.0,49.9,77.7,,50.3,,,,,1,2,47,0.0,89.6,0.0,0,0,0,5,2,2,4.3,288,6.4,2.46
Daniel Jones,39395,QB,NYG,9,5.3,0,333,21,72.5,244,262,9.1,2.77,4,7,2.5,61.1,160,107,9.6,302,90.7,17,96,,,,64.7,37.0,72.5,67.4,,72.3,94.4,57.0,,,3,5,328,17.8,85.6,6.3,19,21,1,10,8,10,3.0,1911,7.3,74.1,193,204,8.0,2.55,3,5,2.3,63.2,129,78,9.8,228,68.5,14,69,,,,,50.6,73.3,63.7,,73.1,56.6,61.9,,,2,4,246,17.9,83.3,6.1,14,10,1,5,5,6,2.4,1395,6.8,79.3,82,89,6.8,2.98,1,2,2.1,68.5,61,31,6.2,105,31.5,4,33,,,,64.7,31.5,67.8,81.1,,67.5,95.6,49.6,,,1,1,114,16.1,96.8,4.8,5,11,0,5,3,4,3.5,664,7.5,0,100.0,31,31,-3.8,1.88,0,0,0.0,96.8,30,2,3.2,31,9.3,1,6,,,,,77.7,71.4,76.5,,70.4,,,,,0,0,32,0.0,86.6,0.0,0,0,0,0,0,0,0.0,148,4.8,0.62
Lamar Jackson,46416,QB,BLT,8,11.11,0,329,3,74.5,235,257,11.4,3.19,5,17,6.4,64.2,165,118,5.7,320,97.3,10,118,,,,,38.4,81.9,68.6,,79.8,,73.0,,,8,7,334,20.3,96.4,7.5,24,39,2,7,13,10,3.0,2178,8.5,72.1,147,163,10.2,3.06,3,14,8.1,60.7,99,89,6.6,208,63.2,7,69,,,,,47.2,74.3,63.8,,69.0,,75.8,,,6,5,220,23.6,92.8,10.1,21,24,2,5,11,7,3.2,1188,7.3,79.4,97,103,11.9,3.27,2,3,2.8,71.8,74,29,3.9,121,36.8,3,49,,,,,34.9,86.3,81.4,,87.4,,56.4,,,2,2,126,10.3,101.6,2.5,3,15,0,2,2,3,2.4,1021,9.9,0,88.9,9,9,-3.2,1.21,0,0,0.0,88.9,8,0,0.0,9,2.7,0,0,,,,,72.4,63.1,72.9,,62.7,,,,,0,0,12,,81.0,0.0,0,0,0,0,0,0,0.0,31,3.4,2.62
Jalen Hurts,40291,QB,PHI,9,10.2,0,328,24,68.3,202,228,11.7,3.41,5,18,7.3,56.1,128,119,7.2,280,85.4,10,100,,,,,69.1,84.7,66.8,,78.9,60.0,83.2,,,6,4,303,12.6,88.0,5.4,15,37,1,14,10,8,2.6,1739,7.6,71.0,169,193,8.4,3.14,7,10,4.9,58.5,113,90,5.8,235,71.6,7,69,,,,,64.4,77.0,64.4,,70.0,,81.5,,,6,2,249,11.1,87.0,4.3,10,31,1,10,8,4,1.6,1234,6.4,78.4,74,80,10.6,3.22,0,8,8.8,68.8,55,32,5.2,93,28.4,3,38,,,,,85.2,84.4,80.8,,82.1,60.0,68.1,,,0,2,105,15.6,100.4,5.4,5,7,0,6,3,5,4.8,747,9.3,0,97.6,41,45,-3.8,1.72,2,0,0.0,88.9,40,3,0.0,48,14.6,0,7,,,,,80.5,53.5,78.0,,55.4,,55.7,,,0,0,51,0.0,96.5,0.0,0,1,0,2,1,1,2.0,242,5.4,2.95
Ryan Tannehill,7014,QB,TEN,9,-3.04,0,327,31,75.5,233,253,9.6,2.59,4,11,4.0,64.0,162,109,8.0,291,89.0,14,104,,,,,69.1,91.0,70.1,,88.0,59.1,87.5,,,7,8,311,24.8,88.2,9.3,27,11,1,8,11,7,2.3,1906,7.5,76.8,190,203,7.2,2.4,1,5,2.3,67.0,136,83,6.8,230,70.3,10,69,,,,,77.8,82.1,67.8,,78.9,,75.7,,,6,5,246,26.5,86.1,9.6,22,5,1,5,7,2,0.8,1312,6.5,77.9,77,86,9.9,2.77,4,6,6.5,64.0,55,29,8.3,97,29.7,5,45,,,,,55.2,92.8,80.7,,90.6,59.1,89.9,,,1,3,104,17.2,96.7,5.2,5,6,0,4,4,5,4.8,833,9.7,0,88.2,34,36,-3.5,1.91,1,0,0.0,80.6,29,3,3.3,36,11.0,1,10,,,,,78.9,65.7,77.1,,65.1,,,,,0,0,39,0.0,94.3,0.0,0,0,0,1,0,0,0.0,239,6.6,3.23
Mac Jones,60323,QB,NE,9,9.07,0,326,19,72.7,253,270,9.0,2.64,3,14,4.9,65.9,178,95,3.3,294,90.2,6,96,,,,,65.9,83.2,11.3,,81.1,58.9,76.3,,,2,7,312,17.9,87.9,5.8,17,7,1,11,9,9,2.9,1984,7.3,73.4,207,221,8.3,2.46,3,12,5.2,65.6,145,66,4.6,236,72.4,7,67,,,,,90.4,82.7,2.0,,81.2,,72.8,,,1,5,246,12.1,83.2,3.4,8,6,1,9,6,4,1.6,1424,6.4,81.1,74,79,6.6,2.73,1,2,2.3,74.7,59,30,1.7,90,27.6,1,34,,,,,27.6,73.9,80.7,,71.6,58.9,65.6,,,1,2,100,30.0,108.1,10.0,9,1,0,3,4,5,5.0,711,9.0,0,100.0,28,30,-2.6,1.55,1,0,0.0,86.7,26,1,7.1,32,9.8,2,5,,,,,78.1,67.4,76.7,,66.6,,,,,0,0,34,0.0,98.8,0.0,0,0,0,1,1,0,0.0,151,5.0,2.56
Matt Ryan,4317,QB,ATL,8,11.08,0,323,2,76.5,268,282,8.3,2.63,6,15,5.0,69.1,195,108,4.9,304,94.1,10,106,,,,,57.1,86.0,87.0,,85.3,58.9,51.6,,,3,6,326,13.0,99.1,4.6,14,8,1,4,15,9,2.8,2066,7.3,74.4,203,213,7.4,2.44,5,9,4.0,66.2,141,76,6.6,231,71.5,10,75,,,,,46.4,72.0,86.3,,72.5,,46.4,,,3,6,246,14.5,85.1,4.8,11,7,1,1,8,8,3.3,1384,6.5,85.2,81,88,8.3,2.94,3,6,6.3,77.3,68,36,1.4,92,28.5,1,37,,,,,84.9,94.1,80.5,,92.7,58.9,65.9,,,0,0,99,8.3,129.6,3.3,3,1,0,4,7,1,1.0,773,8.8,0,93.8,16,19,-3.1,1.89,2,0,0.0,73.7,14,4,6.7,19,5.9,1,6,,,,,74.8,61.2,74.5,,60.9,,,,,0,0,19,0.0,83.4,0.0,0,0,0,1,0,0,0.0,91,4.8,2.28
Trevor Lawrence,77632,QB,JAX,8,13.22,0,323,15,69.5,243,269,9.3,2.9,4,13,4.5,57.2,154,110,8.9,293,90.7,15,83,,,,,82.1,56.9,45.7,,55.7,,65.0,,,9,9,314,10.9,71.6,4.1,12,12,1,12,8,13,4.1,1666,6.2,70.8,195,221,8.2,2.69,6,8,3.4,56.1,124,79,10.1,239,74.0,14,61,,,,,78.4,56.8,40.4,,55.9,,63.0,,,7,6,253,12.7,68.8,4.2,10,7,1,12,6,9,3.6,1180,5.3,75.7,70,75,8.8,3.11,0,5,6.1,69.3,52,35,1.9,84,26.0,1,29,,,,,84.2,59.5,80.2,,58.5,,63.4,,,2,3,91,8.6,87.7,3.6,3,6,0,3,2,4,4.4,641,8.5,0,100.0,22,27,-2.3,1.79,2,0,0.0,81.5,22,4,0.0,30,9.3,0,7,,,,,77.4,61.7,76.1,,62.8,,57.9,,,0,0,30,25.0,90.6,3.3,1,1,0,3,0,0,0.0,155,5.7,3.21
Kirk Cousins,7102,QB,MIN,8,4.19,0,322,18,79.1,239,268,8.4,2.62,6,13,4.5,65.3,175,98,7.4,286,88.8,14,92,,,,,44.8,90.9,67.4,,89.9,57.7,71.3,,,8,2,306,10.2,103.5,3.5,10,7,3,12,16,6,2.0,1943,7.3,80.6,206,232,7.2,2.35,5,10,4.1,67.2,156,78,6.0,247,76.7,10,77,,,,,37.5,90.4,65.4,,88.0,,78.3,,,9,0,261,9.0,104.1,2.8,7,5,3,9,12,5,1.9,1603,6.9,83.1,65,70,6.7,3.04,1,3,3.9,71.4,50,25,7.4,75,23.3,4,21,,,,,83.7,77.9,79.9,,78.4,57.7,51.5,,,0,2,83,12.0,100.7,4.0,3,2,0,4,4,1,1.2,537,7.7,0,96.9,32,34,-3.0,1.61,0,0,0.0,91.2,31,5,0.0,36,11.2,0,6,,,,,78.7,66.1,77.0,,65.5,,,,,1,0,38,0.0,90.8,0.0,0,0,0,1,0,0,0.0,197,5.8,0.76
Teddy Bridgewater,8667,QB,DEN,9,-1.55,0,321,10,77.6,246,265,10.0,2.91,5,10,3.6,69.8,185,117,3.1,301,93.8,6,107,,,,,81.6,78.2,67.8,,76.2,,68.3,,,2,5,314,22.2,101.9,8.6,26,10,0,12,13,11,3.5,2111,8.0,77.1,201,214,9.1,2.73,4,9,4.1,70.6,151,80,2.6,238,74.1,4,85,,,,,77.3,79.6,65.0,,77.8,,67.1,,,2,5,247,20.0,101.2,6.7,16,8,0,7,11,11,4.5,1691,7.9,82.8,64,71,8.8,3.17,1,1,1.3,69.0,49,40,7.5,83,25.9,4,24,,,,,84.0,67.2,80.1,,65.9,,64.1,,,0,0,88,25.0,101.4,12.0,10,2,0,6,3,0,0.0,472,6.6,0,89.5,19,20,-3.1,1.89,0,0,0.0,75.0,15,3,11.8,20,6.2,2,2,,,,,75.4,68.0,74.9,,67.3,,,,,0,0,21,0.0,93.8,0.0,0,0,0,1,1,0,0.0,52,2.6,-1.25
Joe Burrow,28022,QB,CIN,9,-3.98,0,319,7,76.2,244,260,10.0,2.65,5,17,6.3,66.9,174,90,6.5,292,91.5,12,106,,,,,68.7,86.1,87.0,,86.2,,50.4,,,1,10,306,26.7,105.3,8.2,24,8,2,8,20,11,3.6,2360,9.1,77.6,210,223,8.2,2.49,3,10,4.3,69.1,154,72,5.5,246,77.1,9,85,,,,,78.1,84.7,86.6,,84.8,58.4,52.0,,,1,6,256,23.6,103.7,6.9,17,6,2,7,14,6,2.3,1837,8.2,74.6,59,63,11.3,2.89,3,7,10.6,65.1,41,24,6.8,73,22.9,3,25,,,,,47.2,74.4,79.6,,74.2,,54.5,,,0,5,77,33.3,98.6,11.0,8,2,0,1,6,5,6.5,660,10.5,0,84.0,25,26,-2.0,1.79,1,0,0.0,80.8,21,6,0.0,27,8.5,0,4,,,,,76.8,59.5,75.9,,59.6,58.4,,,,0,1,27,16.7,72.6,3.7,1,0,0,0,0,0,0.0,137,5.3,2.24
Ben Roethlisberger,1732,QB,PIT,8,-0.79,0,319,25,71.1,256,267,8.3,2.39,6,10,3.5,62.5,167,68,8.2,287,90.0,15,91,,,,,29.4,55.2,87.0,,54.1,,62.1,,,2,4,307,26.5,87.8,6.3,18,2,1,2,9,13,4.2,1833,6.9,74.6,232,242,7.1,2.31,6,9,3.5,65.7,159,60,8.1,256,80.3,14,75,,,,,51.1,58.1,86.7,,56.8,,62.1,,,1,4,273,20.0,90.5,4.7,12,2,1,2,10,10,3.7,1557,6.4,72.7,55,57,7.1,2.27,0,1,1.6,64.9,37,8,7.5,63,19.7,3,23,,,,,24.4,55.1,79.2,,55.2,,,,,1,0,69,75.0,87.5,9.5,6,0,0,1,0,3,4.3,429,7.5,0,100.0,31,32,-2.6,1.5,0,0,0.0,90.6,29,0,6.5,32,10.0,2,7,,,,,78.3,71.2,76.7,,70.2,,,,,0,0,35,,97.0,0.0,0,0,0,1,1,0,0.0,153,4.8,1.1
