player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Andy Lee,1906,P,ARZ,4,14,14,4.21,45.07,50.43,5.8,0,0,2,3,1,56.9,4,60,1,0,42.9,35,6,14,58.89,631,2,706
Sam Koch,3148,P,BLT,4,16,16,4.27,41.88,46.63,8.0,0,0,1,6,3,66.5,5,57,1,0,43.8,56,7,16,68.32,670,1,746
Brett Kern,4580,P,TEN,3,6,6,3.86,43.83,47.83,12.0,0,0,0,1,31,62.2,1,59,3,0,33.3,24,2,6,23.16,263,0,287
Kevin Huber,5066,P,CIN,4,17,17,4.32,42.59,46.47,13.0,0,0,3,8,7,62.5,8,61,2,0,11.8,26,2,17,73.41,724,2,790
Thomas Morstead,5088,P,NYJ,3,13,13,4.4,41.69,46.31,12.0,0,0,0,7,22,72.3,5,56,1,0,38.5,60,5,13,57.15,542,0,602
Bryan Anger,7072,P,DAL,4,12,12,4.36,44.83,48.58,4.2,0,0,0,4,9,69.5,7,63,1,0,50.0,25,6,12,52.34,538,1,583
Johnny Hekker,7252,P,LA,4,8,8,4.11,38.5,39.38,3.5,0,0,0,3,26,63.1,5,51,3,0,25.0,7,2,8,32.9,308,0,315
Sam Martin,7947,P,DEN,4,19,19,4.11,40.16,45.84,13.6,0,0,5,5,10,73.5,9,68,2,0,26.3,68,5,19,78.12,763,2,871
Tress Way,8358,P,WAS,4,14,14,4.17,42.43,46.93,5.4,0,0,1,3,32,53.0,4,56,1,0,57.1,43,8,14,58.34,594,1,657
Pat O'Donnell,8826,P,CHI,4,15,15,4.38,39.6,50.73,13.4,0,0,0,3,6,68.0,3,63,0,0,73.3,147,11,15,65.77,594,1,761
Michael Palardy,9277,P,MIA,4,18,18,4.14,38.61,44.22,6.8,0,0,2,4,17,59.3,7,61,1,0,50.0,61,9,18,74.45,695,2,796
Bradley Pinion,9598,P,TB,4,16,16,4.26,39.38,43.81,7.3,0,0,2,4,30,61.8,6,65,2,0,43.8,51,7,16,68.21,630,1,701
Ty Long,9728,K,LAC,3,11,11,4.01,39.64,44.27,7.3,0,0,2,1,27,54.3,5,58,1,0,63.6,51,7,11,44.09,436,0,487
Jordan Berry,10236,P,MIN,4,21,21,4.31,43.86,48.48,7.5,0,0,1,4,18,62.5,4,63,3,0,61.9,97,13,21,90.5,921,0,1018
Riley Dixon,10862,P,NYG,4,15,15,4.39,38.27,44.73,9.5,0,0,3,4,21,57.0,5,61,0,0,40.0,57,6,15,65.82,574,2,671
Younghoe Koo,12042,K,ATL,1,2,2,2.95,35.0,35.0,,0,0,1,0,2,57.5,0,45,1,0,0.0,0,0,2,5.89,70,0,70
Rigoberto Sanchez,12130,P,IND,4,14,14,4.25,42.64,47.79,8.0,0,0,0,4,14,70.2,5,57,1,0,64.3,72,9,14,59.44,597,0,669
Matt Haack,12212,P,BUF,4,10,10,4.3,41.0,46.2,3.0,1,0,1,1,4,59.9,4,60,2,0,40.0,12,4,11,42.95,410,2,462
Cameron Johnston,12255,P,HST,4,21,21,4.18,43.29,47.29,5.8,0,0,2,6,13,66.4,9,61,1,0,52.4,64,11,21,87.82,909,1,993
Tristan Vizcaino,13076,K,LAC,1,1,1,4.01,26.0,32.0,6.0,0,0,0,0,27,60.0,1,32,0,0,0.0,6,0,1,4.01,26,0,32
Johnny Townsend,22261,P,TEN,1,5,5,3.81,31.2,37.6,16.0,0,0,0,2,31,49.2,2,63,1,0,40.0,32,2,5,19.04,156,0,188
Corey Bojorquez,27626,P,GB,4,13,13,4.5,42.92,47.54,12.0,0,0,2,2,12,78.2,6,63,4,0,38.5,60,5,13,58.48,558,0,618
Logan Cooke,29214,P,JAX,4,20,20,4.47,45.7,49.8,9.1,0,0,3,5,15,75.3,10,64,3,0,45.0,82,9,20,89.35,914,0,996
Tommy Townsend,33007,P,KC,3,6,6,4.13,42.83,46.17,6.7,0,0,2,0,16,52.6,2,54,1,0,50.0,20,3,6,24.79,257,0,277
Joseph Charlton,33672,P,CAR,4,16,16,4.56,38.81,39.5,5.5,0,0,2,10,5,58.7,5,54,2,0,12.5,11,2,16,72.94,621,0,632
Jake Bailey,33963,P,NE,4,16,16,4.42,41.75,49.31,12.2,1,0,2,4,19,64.4,8,68,2,0,31.3,61,5,17,70.67,668,3,789
Matt Ammendola,34039,K,NYJ,1,6,6,3.98,42.5,48.5,12.0,0,0,0,1,22,56.0,2,65,2,0,50.0,36,3,6,23.88,255,0,291
Jack Fox,34735,P,DET,4,14,14,4.39,45.0,49.86,11.3,0,0,3,4,11,60.6,7,59,1,0,42.9,68,6,14,61.4,630,0,698
Michael Dickson,35381,P,SEA,4,21,21,4.1,39.9,47.05,7.0,0,0,3,3,29,57.9,9,66,1,0,47.6,70,10,21,86.07,838,4,988
A.J. Cole III,36038,P,LV,4,19,19,4.53,43.32,51.47,12.3,0,0,1,4,23,80.9,9,67,2,0,57.9,135,11,19,86.03,823,1,978
Mitch Wishnowsky,44663,P,SF,4,17,17,4.4,41.59,45.71,6.0,0,0,5,4,28,65.4,11,59,1,0,29.4,30,5,17,74.87,707,2,777
Braden Mann,44664,P,NYJ,1,1,1,4.64,52.0,56.0,4.0,0,0,0,0,22,60.9,0,56,0,0,100.0,4,1,1,4.64,52,0,56
Blake Gillikin,45045,P,NO,4,16,16,4.24,41.31,48.63,10.8,0,0,2,3,20,67.7,4,60,1,0,56.3,97,9,16,67.9,661,1,778
Cameron Nizialek,60273,P,ATL,4,18,18,4.09,39.78,45.39,8.7,0,0,3,3,2,53.6,7,62,3,0,38.9,61,7,18,73.59,716,2,817
Pressley Harvin III,62973,P,PIT,4,16,16,4.25,39.5,41.75,6.0,0,0,3,4,25,50.3,7,59,3,0,37.5,36,6,16,68.01,632,0,668
Jamie Gillan,63303,P,CLV,4,12,12,4.21,39.25,41.08,3.7,0,0,0,4,8,54.8,5,54,2,0,50.0,22,6,12,50.5,471,0,493
Arryn Siposs,82019,P,PHI,3,14,14,4.32,41.0,46.5,7.4,0,0,5,2,24,64.4,6,68,0,0,35.7,37,5,14,60.44,574,2,651
