Player,Roster Position,%Drafted,FPTS
Scottie Scheffler,G,18.64%,103
Adam Hadwin,G,16.60%,46.5
Patrick Cantlay,G,16.44%,164
Joaquin Niemann,G,16.29%,26
Maverick McNealy,G,15.77%,33
Sam Burns,G,14.03%,144.5
Will Zalatoris,G,14.02%,120
Cameron Smith,G,13.33%,99.5
Alex Noren,G,13.24%,36.5
Sungjae Im,G,12.27%,107.5
Kevin Kisner,G,11.85%,89
Viktor Hovland,G,11.17%,92
Tommy Fleetwood,G,11.09%,39.5
Talor Gooch,G,10.75%,107.5
Sepp Straka,G,10.58%,38.5
Shane Lowry,G,10.41%,106.5
Keegan Bradley,G,9.81%,142
Troy Merritt,G,9.43%,34
Cameron Tringale,G,8.93%,116.5
Tyrrell Hatton,G,8.87%,104.5
Keith Mitchell,G,8.74%,35
Tom Hoge,G,8.43%,42
Chris Kirk,G,8.28%,100.5
Max Homa,G,8.17%,107.5
Billy Horschel,G,7.61%,144.5
Ryan Palmer,G,7.49%,103
Sahith Theegala,G,6.81%,43
Harold Varner III,G,6.61%,131
Joseph Bramlett,G,6.58%,33
Peter Uihlein,G,6.55%,45.5
Joel Dahmen,G,6.54%,100
Collin Morikawa,G,6.48%,92
Marc Leishman,G,6.45%,99.5
Patton Kizzire,G,6.26%,38.5
Christiaan Bezuidenhout,G,5.82%,84.5
Mark Hubbard,G,5.76%,111
Byeong Hun An,G,5.60%,107.5
Robert Macintyre,G,5.52%,42.5
Russell Knox,G,5.31%,100
Harry Higgs,G,5.18%,40
Doc Redman,G,5.11%,138
Doug Ghim,G,5.02%,90.5
Davis Riley,G,5.01%,120
Beau Hossler,G,4.80%,43
Seamus Power,G,4.79%,38
Justin Rose,G,4.68%,112.5
Matthew NeSmith,G,4.61%,130
Greyson Sigg,G,4.60%,38.5
Xander Schauffele,G,4.52%,164
Matthias Schwab,G,4.47%,90.5
Sergio Garcia,G,4.42%,39.5
Tyler Duncan,G,4.34%,113.5
Lucas Glover,G,4.09%,38
Denny McCarthy,G,3.98%,34.5
Wyndham Clark,G,3.88%,116.5
Adam Long,G,3.84%,38
Sam Ryder,G,3.81%,138
Mito Pereira,G,3.75%,26
Scott Stallings,G,3.58%,41.5
Adam Svensson,G,3.49%,46.5
Robert Streb,G,3.47%,34
Jason Day,G,3.39%,121
Martin Laird,G,3.31%,42.5
Aaron Rai,G,3.20%,128.5
Sam Horsfield,G,3.12%,102
Charl Schwartzel,G,3.10%,84.5
Bubba Watson,G,3.09%,131
Brendon Todd,G,2.94%,100.5
Graeme McDowell,G,2.91%,38
Brendan Steele,G,2.77%,142
Brice Garnett,G,2.73%,41.5
Charley Hoffman,G,2.59%,36.5
