player_id,team,opp,pos,name,firstname,lastname,fpts,proj_own,noto_rtg,ceil,floor,min_exposure,max_exposure,salary,custom,rg_id,partner_id
1209,,,G,Jason Scrivener,Jason,Scrivener,,0,51.52,,,0,0,7600,,36698,1209
353925,,,G,Aaron Rai,Aaron,Rai,57.62,10.2,54.84,85.27,28.01,0,0,7400,,37143,353925
1914,,,G,Maverick McNealy,Maverick,McNealy,56.97,24.3,64.09,84.83,27.58,0,0,7700,,37136,1914
193,,,G,Charl Schwartzel,Charl,Schwartzel,,0,54.4,,,0,0,7900,,34806,193
1408,,,G,Patrick Cantlay,Patrick,Cantlay,85.27,22.6,93.74,105.78,57.02,0,0,10400,,36297,1408
670627,,,G,Doc Redman,Doc,Redman,,0,47.53,,,0,0,7100,,139893,670627
63191,,,G,Matt Wallace,Matt,Wallace,,0,51.9,,,0,0,7200,,37151,63191
1409,,,G,Troy Merritt,Troy,Merritt,52.4,9.2,55.18,81.42,26.58,0,0,7800,,34794,1409
430916,,,G,Matthias Schwab,Matthias,Schwab,63.69,11.7,63.62,89.38,29.35,0,0,7700,,36546,430916
1927,,,G,Martin Laird,Martin,Laird,,0,63.46,,,0,0,8000,,35040,1927
299906,,,G,Ryan Brehm,Ryan,Brehm,,0,42.33,,,0,0,6600,,36071,299906
692607,,,G,Lee Hodges,Lee,Hodges,46.72,3.1,45.33,77.03,25.54,0,0,6700,,672519,692607
1807,,,G,Scott Gutschewski,Scott,Gutschewski,45.55,0.2,25.29,68.45,24.02,0,0,6000,,3083535,1807
1939,,,G,Sam Horsfield,Sam,Horsfield,63.85,4.3,51.9,88.64,29.5,0,0,7200,,35106,1939
703290,,,G,Jared Wolfe,Jared,Wolfe,,0,33.96,,,0,0,6200,,3083530,703290
780,,,G,Sergio Garcia,Sergio,Garcia,,0,80.54,,,0,0,9400,,34761,780
1907,,,G,Ben Kohles,Ben,Kohles,,0,47.45,,,0,0,7200,,37131,1907
142,,,G,Marc Leishman,Marc,Leishman,,0,84.92,,,0,0,10200,,34785,142
395,,,G,Shane Lowry,Shane,Lowry,68.77,10.6,79.98,93.11,30.57,0,0,9500,,34788,395
392408,,,G,Jim Knous,Jim,Knous,40.41,0.3,23.19,64.19,23.17,0,0,6000,,565461,392408
199,,,G,Danny Willett,Danny,Willett,,0,68.45,,,0,0,8800,,34824,199
871,,,G,Tommy Fleetwood,Tommy,Fleetwood,71.25,14.2,80.54,96,31.5,0,0,9400,,35276,871
453,,,G,Christiaan Bezuidenhout,Christiaan,Bezuidenhout,58.34,7.9,54.4,84.58,27.73,0,0,7900,,1156736,453
509671,,,G,Joaquin Niemann,Joaquin,Niemann,71.83,21.5,82.48,95.66,31.57,0,0,9200,,37138,509671
586,,,G,David Lipsky,David,Lipsky,,0,54.84,,,0,0,7400,,36524,586
113,,,G,Lucas Herbert,Lucas,Herbert,47.89,0.9,29.02,78.05,25.54,0,0,6700,,382245,113
73285,,,G,Sepp Straka,Sepp,Straka,52.46,10.4,61.51,81.77,26.75,0,0,8300,,565467,73285
620,,,G,Seung-Yul Noh,Seung-Yul,Noh,34.81,0.2,28.09,55.97,21.78,0,0,6300,,34916,620
400,,,G,Brandt Snedeker,Brandt,Snedeker,,0,58.14,,,0,0,7900,,34811,400
411,,,G,Bubba Watson,Bubba,Watson,,0,74.87,,,0,0,9000,,34820,411
895,,,G,Kevin Kisner,Kevin,Kisner,50.02,7.8,51.27,79.79,26.51,0,0,7600,,34776,895
