player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Adam Vinatieri,226,K,IND,9,0,4,4,100.0,3,3,100.0,14,64.4,0,0,,17,15,88.2,0,5,4,80.0,19,18,94.7,7,7,100.0
Phil Dawson,422,K,ARZ,9,0,2,1,50.0,4,3,75.0,1,40.5,0,0,,15,14,93.3,0,8,4,50.0,19,13,68.4,5,5,100.0
Matt Bryant,1223,K,ATL,9,0,6,5,83.3,4,4,100.0,2,71.3,0,0,,20,20,100.0,0,5,3,60.0,20,17,85.0,5,5,100.0
Mike Nugent,2264,K,DAL,3,0,0,0,,2,1,50.0,9,52.9,0,0,,8,8,100.0,0,3,2,66.7,6,4,66.7,1,1,100.0
Robbie Gould,2607,K,SF,10,0,2,2,100.0,12,11,91.7,28,75.5,0,0,,16,15,93.8,0,4,4,100.0,21,19,90.5,3,2,66.7
Nick Novak,2726,K,LAC,5,0,2,1,50.0,1,0,0.0,27,62.3,0,0,,11,11,100.0,0,2,2,100.0,6,4,66.7,1,1,100.0
Stephen Gostkowski,3063,K,NE,9,0,1,1,100.0,7,4,57.1,19,63.9,0,0,,26,25,96.2,0,4,4,100.0,25,22,88.0,13,13,100.0
Matt Prater,3471,K,DET,9,0,8,5,62.5,5,5,100.0,11,84.5,2,2,100.0,23,23,100.0,0,6,6,100.0,22,19,86.4,1,1,100.0
Nick Folk,3794,K,TB,4,0,2,1,50.0,5,2,40.0,30,28.3,0,0,,9,7,77.8,0,2,1,50.0,11,6,54.5,2,2,100.0
Mason Crosby,3809,K,GB,9,0,2,1,50.0,3,3,100.0,12,52.1,0,0,,23,21,91.3,0,3,1,33.3,14,11,78.6,6,6,100.0
Stephen Hauschka,4655,K,BUF,9,0,5,5,100.0,5,3,60.0,4,82.5,0,0,,19,19,100.0,0,5,5,100.0,19,17,89.5,4,4,100.0
Connor Barth,4777,K,CHI,9,0,2,1,50.0,8,5,62.5,6,64.2,1,1,100.0,14,14,100.0,0,0,0,,14,10,71.4,3,3,100.0
Ryan Succop,5180,K,TEN,9,0,3,1,33.3,13,12,92.3,31,70.6,0,0,,20,19,95.0,0,3,3,100.0,25,22,88.0,6,6,100.0
Graham Gano,5443,K,CAR,10,0,1,0,0.0,6,6,100.0,5,74.3,0,0,,22,21,95.5,0,8,8,100.0,21,20,95.2,6,6,100.0
Dan Bailey,6796,K,DAL,6,0,1,1,100.0,3,3,100.0,9,79.8,0,0,,16,16,100.0,0,2,2,100.0,7,7,100.0,1,1,100.0
Kai Forbath,6860,K,MIN,9,0,5,5,100.0,5,5,100.0,18,66.4,0,0,,21,17,81.0,0,9,8,88.9,23,22,95.7,4,4,100.0
Randy Bullock,7154,K,CIN,7,0,0,0,,3,2,66.7,7,60.4,0,0,,17,16,94.1,0,4,3,75.0,10,8,80.0,3,3,100.0
Greg Zuerlein,7163,K,LA,9,0,4,4,100.0,9,9,100.0,26,86.6,1,1,100.0,30,30,100.0,0,10,9,90.0,29,28,96.6,5,5,100.0
Blair Walsh,7167,K,SEA,9,0,0,0,,7,5,71.4,29,50.1,0,0,,20,19,95.0,0,6,4,66.7,18,14,77.8,5,5,100.0
Giorgio Tavecchio,7278,K,OAK,9,0,4,3,75.0,3,2,66.7,23,72.3,0,0,,23,22,95.7,0,3,3,100.0,14,12,85.7,4,4,100.0
Justin Tucker,7604,K,BLT,9,0,5,3,60.0,7,6,85.7,3,84.0,0,0,,17,17,100.0,0,2,2,100.0,20,17,85.0,6,6,100.0
Caleb Sturgis,7948,K,PHI,1,0,1,1,100.0,1,1,100.0,24,54.8,0,0,,2,1,50.0,0,1,1,100.0,3,3,100.0,0,0,
Dustin Hopkins,7958,K,WAS,5,0,2,0,0.0,3,3,100.0,32,57.6,1,1,100.0,13,12,92.3,0,1,1,100.0,11,9,81.8,4,4,100.0
Jeff Heath,8396,S,DAL,1,0,0,0,,0,0,,9,45.4,0,0,,3,2,66.7,0,0,0,,0,0,,0,0,
Brandon McManus,8437,K,DEN,8,0,4,2,50.0,2,1,50.0,10,54.9,0,0,,16,16,100.0,0,8,7,87.5,21,16,76.2,7,6,85.7
Cairo Santos,8932,K,KC,3,0,0,0,,0,0,,16,63.2,0,0,,12,12,100.0,0,3,3,100.0,3,3,100.0,0,0,
Chris Boswell,8990,K,PIT,9,0,0,0,,7,6,85.7,25,63.0,0,0,,16,15,93.8,0,9,7,77.8,23,20,87.0,7,7,100.0
Cody Parkey,9030,K,MIA,8,0,2,1,50.0,3,3,100.0,17,65.1,0,0,,15,12,80.0,0,4,4,100.0,10,9,90.0,1,1,100.0
Chandler Catanzaro,9140,K,NYJ,10,0,2,2,100.0,14,10,71.4,22,69.6,0,0,,21,21,100.0,0,1,1,100.0,20,16,80.0,3,3,100.0
Patrick Murray,9389,K,TB,5,0,3,2,66.7,2,2,100.0,30,69.4,0,0,,5,5,100.0,0,1,1,100.0,8,7,87.5,2,2,100.0
Josh Lambo,10133,K,JAX,3,0,1,1,100.0,1,1,100.0,15,87.0,0,0,,6,5,83.3,0,4,4,100.0,7,7,100.0,1,1,100.0
Jason Myers,10207,K,JAX,6,0,3,0,0.0,5,5,100.0,15,33.7,0,0,,17,15,88.2,0,3,2,66.7,15,11,73.3,4,4,100.0
Nick Rose,11091,K,WAS,4,0,1,1,100.0,1,1,100.0,32,61.1,0,0,,10,9,90.0,0,2,1,50.0,8,7,87.5,4,4,100.0
Wil Lutz,11096,K,NO,9,0,3,2,66.7,12,9,75.0,20,65.0,0,0,,31,28,90.3,0,2,2,100.0,22,18,81.8,5,5,100.0
Ka'imi Fairbairn,11161,K,HST,9,0,1,1,100.0,4,4,100.0,13,54.1,0,0,,25,23,92.0,0,7,5,71.4,13,11,84.6,1,1,100.0
Marshall Koehn,11209,K,CIN,1,0,0,0,,0,0,,7,60.4,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,
Aldrick Rosas,11331,K,NYG,9,0,2,2,100.0,8,4,50.0,21,52.8,0,0,,14,14,100.0,0,2,1,50.0,15,10,66.7,3,3,100.0
Jake Elliott,11908,K,PHI,8,0,6,5,83.3,10,9,90.0,24,75.8,0,0,,27,24,88.9,0,3,2,66.7,20,17,85.0,1,1,100.0
Zane Gonzalez,11979,K,CLV,9,0,2,1,50.0,3,2,66.7,8,46.8,0,0,,16,15,93.8,0,4,2,50.0,12,8,66.7,3,3,100.0
Harrison Butker,11988,K,KC,6,0,2,2,100.0,8,7,87.5,16,88.2,0,0,,13,13,100.0,0,8,8,100.0,20,19,95.0,2,2,100.0
Younghoe Koo,12042,K,LAC,4,0,0,0,,4,1,25.0,27,46.1,0,0,,9,9,100.0,0,0,0,,6,3,50.0,2,2,100.0
