player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Leonard Fournette,11759,HB,JAX,1,26,4,1,17.0,17,0,100,0,1,4,68,45.1,2,4,15,1,10,41.2,63.8,73.6,,73.9,86.7,59.8,60.0,17,0,24,3,7,30,0,0,3,29,1,100,68,2.62,3.8,3.43,16
Ezekiel Elliott,10638,HB,DAL,1,24,7,0,0.0,0,0,104,0,0,7,77,77.4,1,6,9,0,10,78.8,66.2,75.8,,29.5,59.8,68.6,,10,0,36,5,31,24,0,0,5,29,0,104,77,3.21,4.3,1.16,13
Dalvin Cook,11796,HB,MIN,1,22,3,2,51.2,65,0,127,1,1,3,49,35.6,4,4,18,0,13,78.1,70.2,75.7,,70.6,29.7,79.7,60.0,33,0,10,3,18,25,0,0,5,25,0,127,49,2.23,5.8,0.56,9
LeSean McCoy,4976,HB,BUF,1,22,3,3,63.6,70,0,110,0,2,3,43,36.2,4,4,4,0,1,79.1,67.0,76.9,,82.9,72.7,63.0,60.0,27,0,49,5,22,26,0,0,5,27,0,110,43,1.95,5.0,2.23,21
Javorius Allen,9558,HB,BLT,1,21,1,1,23.9,17,0,71,0,0,1,36,8.2,1,2,3,0,11,77.8,49.9,74.7,,17.1,56.3,53.0,,17,0,0,0,7,22,0,0,1,21,0,71,36,1.71,3.4,0.0,7
C.J. Anderson,8101,HB,DEN,1,20,4,1,22.2,18,0,81,0,0,4,55,52.4,2,3,10,0,6,77.5,58.6,76.1,,79.4,53.6,58.8,60.0,18,0,7,1,21,22,0,0,2,21,0,81,55,2.75,4.1,0.33,13
Ty Montgomery,9527,HB,GB,1,19,1,0,0.0,0,0,54,0,4,1,40,45.8,0,4,12,0,6,77.6,64.3,79.7,,77.8,76.8,55.5,60.0,8,0,39,4,38,23,0,0,4,23,1,54,40,2.11,2.8,1.03,13
Todd Gurley II,9443,HB,LA,1,19,2,0,0.0,0,0,40,0,2,2,33,28.9,1,4,26,1,6,33.2,53.4,76.2,,68.8,72.5,48.3,60.0,12,0,56,5,25,22,0,0,6,24,1,40,33,1.74,2.1,2.24,12
Terrance West,8729,HB,BLT,1,19,3,0,0.0,0,0,80,1,0,3,43,35.7,2,6,3,0,13,77.3,54.3,72.8,,,28.8,59.4,60.0,11,0,0,0,5,21,0,0,1,19,1,80,43,2.26,4.2,0.0,6
Jonathan Stewart,4327,HB,CAR,1,18,4,0,0.0,0,0,65,0,2,4,52,86.7,1,6,5,0,10,77.1,73.7,73.2,,73.1,79.2,69.2,60.0,10,0,17,2,7,21,0,0,2,20,0,65,52,2.89,3.6,2.43,8
