player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Julius Peppers,1010,ED,CAR,13,0,0,5,64.6,3,9,252,97.8,8.7,22,1,6.7,11,271,265,23,0,70.4,2,7,122,96.3,11.5,14,10.2,8,134,129,17
Dwight Freeney,1019,ED,DET,6,1,0,11,69.7,2,8,119,100.0,15.1,18,0,6.7,3,128,128,13,0,66.7,2,4,60,100.0,18.3,11,10.0,3,67,67,9
James Harrison,1251,ED,PIT,5,0,0,25,77.8,1,2,17,64.3,23.5,4,0,14.7,1,28,18,4,0,79.6,1,2,10,91.7,30.0,3,25.0,1,12,11,4
Terence Newman,1321,CB,MIN,13,0,0,18,62.1,0,2,9,3.3,11.1,1,1,11.1,0,306,10,2,0,60.0,0,0,1,0.8,0.0,0,0.0,0,132,1,0
Terrell Suggs,1326,ED,BLT,13,3,1,3,73.0,7,38,386,96.9,16.1,62,3,8.9,12,421,408,57,0,80.5,4,26,179,97.0,22.9,41,14.0,10,198,192,40
Karlos Dansby,1754,LB,ARZ,13,0,0,1,62.2,1,7,51,11.9,11.8,6,1,9.8,1,469,56,9,0,62.3,0,5,35,17.5,14.3,5,10.0,1,212,37,6
Mike Adams,1972,S,CAR,13,0,0,5,53.8,2,1,28,5.5,3.6,1,2,5.4,0,505,28,3,0,56.5,1,0,11,4.7,9.1,1,4.5,0,232,11,1
Thomas Davis Sr.,2231,LB,CAR,13,0,1,5,74.3,3,11,76,20.0,21.1,16,3,11.8,2,416,83,16,0,72.4,1,6,40,24.9,25.0,10,11.3,1,181,45,8
Derrick Johnson,2232,LB,KC,13,0,0,16,43.2,0,4,29,6.5,6.9,2,0,6.9,0,463,30,4,0,46.0,0,3,15,8.3,13.3,2,10.0,0,192,16,3
Lorenzo Alexander,2476,ED,BUF,13,0,0,4,63.3,8,12,138,45.7,18.1,25,3,9.4,3,322,147,23,0,65.4,5,9,89,68.3,20.2,18,11.2,3,139,95,17
Ahmad Brooks,2945,ED,GB,9,2,0,12,55.9,3,8,159,98.2,8.8,14,2,4.7,2,169,166,13,1,56.6,1,6,88,98.9,11.4,10,5.1,1,94,93,8
Haloti Ngata,2957,DI,DET,5,1,0,11,75.5,1,4,82,97.8,11.0,9,1,5.5,2,93,91,7,0,80.4,1,4,38,100.0,18.4,7,11.8,2,43,43,7
Tamba Hali,2965,ED,KC,3,0,0,16,61.9,1,4,48,98.1,8.3,4,0,5.2,0,53,52,5,0,56.5,0,2,25,100.0,8.0,2,4.0,0,29,29,2
Johnathan Joseph,2969,CB,HST,13,0,3,13,59.1,0,0,1,0.2,0.0,0,6,0.0,0,402,1,0,0,,0,0,0,0.0,,0,,0,191,0,0
Darryl Tapp,3008,ED,TB,3,0,0,30,54.4,0,0,27,100.0,3.7,1,0,3.7,1,30,30,1,0,53.1,0,0,5,100.0,0.0,0,0.0,0,5,5,0
Frostee Rucker,3036,DI,ARZ,13,1,1,1,55.1,6,7,279,99.7,6.1,17,3,3.0,2,298,297,15,0,57.9,3,5,122,100.0,9.8,12,4.9,2,132,132,10
Domata Peko Sr.,3068,DI,DEN,11,0,0,10,57.3,0,3,156,100.0,3.8,6,0,1.6,1,167,167,4,0,63.5,0,2,58,100.0,6.9,4,3.4,1,62,62,3
Elvis Dumervil,3071,ED,SF,13,0,0,28,73.2,6,27,197,99.1,22.3,44,1,11.4,6,215,213,39,0,79.6,5,27,128,99.3,30.5,39,17.2,6,142,141,38
Kyle Williams,3079,DI,BUF,13,1,0,4,62.0,6,18,349,98.7,9.5,33,3,4.0,2,375,370,26,0,60.3,3,10,157,99.4,11.5,18,5.4,2,166,165,15
Antoine Bethea,3152,S,ARZ,13,0,0,1,76.5,1,1,8,1.8,25.0,2,3,25.0,1,452,8,3,0,82.3,1,1,5,2.0,40.0,2,40.0,1,244,5,3
Tom Johnson,3378,DI,MIN,13,0,1,18,67.4,7,15,347,99.5,8.6,30,4,3.7,2,370,368,24,0,74.3,5,13,172,100.0,14.0,24,6.4,2,182,182,20
Tony McDaniel,3423,DI,SF,4,1,0,28,72.9,0,0,25,100.0,4.0,1,0,0.0,0,27,27,0,1,73.9,0,0,6,100.0,0.0,0,0.0,0,7,7,0
Tramon Williams,3558,CB,ARZ,10,0,0,1,56.8,0,0,2,0.6,0.0,0,1,0.0,0,319,2,0,0,59.1,0,0,1,0.6,0.0,0,0.0,0,166,1,0
Lawrence Timmons,3631,LB,MIA,11,2,0,17,62.3,3,6,48,14.6,6.3,3,0,9.4,0,370,54,9,1,71.2,1,2,15,13.2,20.0,3,10.0,0,136,18,3
Leon Hall,3634,CB,SF,6,0,0,28,72.4,1,1,3,3.2,0.0,0,0,33.3,0,94,3,2,0,59.1,0,0,1,1.8,0.0,0,0.0,0,57,1,0
