player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Julius Peppers,1010,ED,CAR,12,1,,,2.5,,,0,0,0,,5,61.8,72.3,71.6,64.0,75.9,71.8,0,,25.0,1,0,1,0.0,0,6,237,11,2,0,0,0,0,0.0,
James Harrison,1251,ED,PIT,4,0,4.0,100.0,36.4,7.0,7.0,0,0,0,0.0,25,64.8,75.0,76.3,84.3,50.1,35.4,0,5,0.0,0,0,0,87.5,1,8,22,1,1,1,0,5,1,0.7,5.0
Terence Newman,1321,CB,MIN,12,2,8.0,59.0,96.6,11.7,6.9,0,1,2,5.1,18,69.6,68.6,83.1,62.1,58.8,53.9,0,27,10.5,2,2,1,91.1,23,280,290,8,15,39,2,213,87,0.8,9.3
Terrell Suggs,1326,ED,BLT,12,1,-2.0,100.0,3.0,5.5,5.5,1,0,0,0.0,3,82.8,80.5,51.3,74.0,75.9,67.0,0,8,33.3,2,0,3,95.8,2,11,364,13,3,2,0,14,18,1.3,7.0
DeAngelo Hall,1729,S,WAS,4,2,20.3,71.4,100.0,20.0,14.3,0,0,2,28.6,32,54.5,46.4,80.5,,32.0,36.0,0,24,10.0,1,2,0,144.0,5,110,110,0,7,7,1,72,19,0.7,14.4
Karlos Dansby,1754,LB,ARZ,12,7,4.5,74.0,88.5,10.0,7.4,0,3,2,4.0,1,55.5,58.6,60.3,64.6,61.2,59.7,1,35,21.6,8,2,1,95.8,37,392,443,14,22,50,2,325,196,0.9,8.8
Mike Adams,1972,S,CAR,12,1,10.6,61.1,94.5,18.4,11.3,0,1,4,11.1,5,80.9,78.1,60.4,54.3,69.3,73.4,2,25,10.3,3,4,2,76.7,22,427,452,8,25,36,3,165,115,0.4,7.5
Adam Jones,2223,CB,CIN,9,0,10.1,50.0,100.0,11.7,5.9,1,0,5,16.7,7,56.9,55.9,0.0,,65.7,65.3,1,20,16.7,3,4,5,60.7,15,188,188,2,15,30,1,142,27,0.8,9.5
Thomas Davis Sr.,2231,LB,CAR,12,3,3.4,75.7,79.6,9.7,7.4,1,0,1,2.7,5,72.7,72.0,27.8,76.1,63.1,79.3,0,23,8.0,2,0,2,109.3,28,285,358,14,20,37,2,232,165,0.9,8.3
Derrick Johnson,2232,LB,KC,12,5,4.5,46.4,93.0,28.1,13.0,0,0,5,17.9,16,77.8,64.9,87.1,43.2,49.4,53.4,0,20,26.3,5,4,0,56.8,13,396,426,1,9,28,0,108,55,0.3,8.3
Lorenzo Alexander,2476,ED,BUF,12,0,4.3,82.8,52.0,6.3,5.2,0,0,1,3.4,4,45.1,54.6,23.3,63.3,63.1,36.9,0,39,22.7,5,1,3,115.1,24,159,306,9,17,29,1,257,156,1.7,10.7
Haloti Ngata,2957,DI,DET,5,0,,,2.2,,,0,0,0,,11,54.3,66.4,42.5,75.5,61.2,73.1,0,,,0,0,1,0.0,0,2,93,2,0,0,0,0,0,0.0,
Tamba Hali,2965,ED,KC,2,0,,,3.8,,,0,0,0,,16,60.0,64.7,77.3,60.1,64.9,70.5,0,,,0,0,0,0.0,0,1,26,0,0,0,0,0,0,0.0,
Johnathan Joseph,2969,CB,HST,12,4,12.4,56.3,100.0,12.8,7.2,2,3,6,12.5,13,78.0,75.5,19.8,,64.7,73.6,2,94,3.6,1,5,5,96.4,27,369,369,9,23,48,4,426,145,1.2,15.8
Frostee Rucker,3036,DI,ARZ,12,0,5.0,100.0,0.4,1.0,1.0,1,0,1,100.0,1,63.4,59.2,44.6,55.6,63.4,29.6,0,8,0.0,0,0,3,100.0,1,1,279,3,1,1,0,8,3,8.0,8.0
Elvis Dumervil,3071,ED,SF,12,0,,,1.0,,,0,0,0,,28,63.4,60.4,32.7,67.2,40.8,51.3,0,,50.0,1,0,1,0.0,0,2,191,6,1,0,0,0,0,0.0,
Kyle Williams,3079,DI,BUF,12,1,,,1.4,,,0,0,0,,4,62.1,64.1,49.0,62.1,64.8,60.4,0,,25.0,1,0,3,0.0,0,5,357,3,2,0,0,0,0,0.0,
Antoine Bethea,3152,S,ARZ,12,3,13.2,75.0,98.1,25.9,19.5,0,1,1,5.0,1,69.5,72.1,22.1,76.5,77.5,88.4,3,54,3.7,1,1,3,91.0,15,412,420,5,23,20,1,237,101,0.6,15.8
Tom Johnson,3378,DI,MIN,12,1,,,0.6,,,1,0,0,,18,57.2,64.8,31.7,67.3,65.1,56.0,0,,33.3,1,0,4,0.0,0,2,352,3,1,0,0,0,0,0.0,
Tramon Williams,3558,CB,ARZ,9,0,11.2,52.6,99.3,13.2,6.9,0,1,6,15.8,1,77.4,75.4,85.5,56.8,57.3,81.3,1,41,0.0,0,5,1,68.0,20,281,283,8,25,38,1,221,71,0.8,11.1
Brent Grimes,3589,CB,TB,9,1,13.3,69.1,100.0,9.2,6.3,0,0,5,9.1,30,63.4,63.6,85.0,,59.6,56.0,2,38,9.1,3,5,0,85.9,38,370,370,8,29,55,1,466,116,1.3,12.3
Darrelle Revis,3630,CB,KC,1,0,6.7,100.0,100.0,6.3,6.3,0,0,0,0.0,16,39.5,48.0,75.2,,70.9,37.2,0,11,40.0,2,0,0,106.9,3,19,19,0,3,3,0,29,9,1.5,9.7
Lawrence Timmons,3631,LB,MIA,10,4,3.8,75.0,86.7,8.2,6.1,0,0,1,2.3,17,60.3,55.3,82.6,62.4,48.8,55.2,0,31,9.7,3,1,0,112.6,33,286,330,15,24,44,3,267,182,1.0,8.1
Leon Hall,3634,CB,SF,5,1,8.0,62.5,96.1,13.6,8.5,0,0,1,12.5,28,58.4,62.0,79.3,72.4,66.6,41.8,0,23,28.6,2,1,0,89.6,5,73,76,1,4,8,0,68,34,1.0,13.6
Reggie Nelson,3637,S,OAK,12,3,9.6,68.8,96.3,36.8,25.3,1,1,1,6.3,23,50.3,59.5,88.0,56.9,76.4,71.3,0,34,13.3,4,1,2,104.4,11,421,437,4,23,16,0,173,93,0.4,15.7
Paul Posluszny,3650,LB,JAX,12,1,2.6,71.4,90.4,13.3,9.5,0,0,2,14.3,15,88.1,84.3,80.7,69.5,67.3,84.1,0,30,0.0,0,2,0,83.3,10,142,157,7,14,14,0,73,50,0.5,7.3
Eric Weddle,3653,S,BLT,12,0,7.8,70.0,96.1,30.1,21.1,0,1,2,10.0,3,71.4,70.4,89.3,76.7,58.6,60.3,5,29,9.1,2,2,0,68.3,14,443,461,5,20,20,1,148,74,0.4,10.6
David Harris,3663,LB,NE,7,1,1.3,66.7,81.7,16.5,11.0,0,0,1,16.7,19,64.8,61.8,78.2,69.1,54.0,46.1,0,10,50.0,2,1,0,74.3,4,67,82,1,1,6,0,24,28,0.4,6.0
Justin Durant,3664,LB,DAL,7,1,8.4,85.7,76.8,11.5,9.9,0,0,0,0.0,9,57.2,59.3,80.9,51.4,64.9,44.1,0,38,0.0,0,0,0,118.8,6,76,99,2,3,7,0,94,41,1.4,15.7
Charles Johnson,3699,ED,CAR,11,1,7.5,100.0,3.8,4.0,4.0,0,0,0,0.0,5,52.0,52.9,40.7,53.3,65.1,31.4,0,16,40.0,2,0,4,116.7,2,9,239,3,2,2,0,24,9,3.0,12.0
Brandon Mebane,3701,DI,LAC,12,1,,,1.8,,,0,0,0,,27,57.5,46.4,88.1,46.4,48.8,53.3,0,,33.3,1,0,0,0.0,0,4,223,0,1,0,0,0,0,0.0,
Brian Robison,3718,ED,MIN,11,0,,,4.6,,,0,0,0,,18,66.7,60.2,69.8,62.0,52.3,65.9,0,,0.0,0,0,1,0.0,0,14,307,2,2,0,0,0,0,0.0,
Corey Graham,3784,S,PHI,10,0,4.1,88.9,96.8,21.1,18.8,0,1,1,11.1,24,69.7,70.8,79.6,74.2,58.7,52.6,2,20,16.7,2,1,1,59.5,8,179,185,3,10,9,0,70,51,0.4,8.8
William Gay,3786,CB,PIT,12,0,6.9,73.7,99.5,12.9,9.5,0,1,3,15.8,25,64.3,61.6,0.0,59.1,66.3,53.2,1,29,14.3,2,2,2,70.3,14,186,187,4,12,19,0,131,69,0.7,9.4
Eric Weems,4097,WR,TEN,1,1,,,100.0,,,0,0,0,,31,60.1,63.5,60.0,,,71.4,0,,0.0,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Chris Long,4316,ED,PHI,12,1,-2.0,100.0,2.2,6.0,6.0,0,0,0,0.0,24,62.4,76.2,69.8,72.3,69.7,31.3,0,9,50.0,4,0,1,104.2,1,6,273,5,3,1,0,9,11,1.5,9.0
Dominique Rodgers-Cromartie,4330,CB,NYG,11,2,3.9,75.8,93.8,10.8,8.2,0,0,0,0.0,21,75.0,72.8,84.2,60.7,60.7,48.1,0,38,17.4,4,0,0,100.9,25,289,308,8,17,33,1,203,135,0.8,8.1
Aqib Talib,4334,CB,DEN,11,1,8.3,59.5,100.0,15.2,9.0,1,2,6,16.2,10,77.1,76.2,46.2,,70.3,79.2,1,32,5.9,1,5,2,93.2,22,353,353,2,15,37,3,229,83,0.7,10.4
Calais Campbell,4364,ED,JAX,12,0,,,1.2,,,0,0,0,,15,67.0,90.0,79.1,83.3,80.9,54.3,0,,50.0,1,0,1,0.0,0,5,403,15,1,0,0,0,0,0.0,
Cliff Avril,4406,ED,SEA,4,0,-3.0,100.0,4.1,4.0,4.0,0,0,0,0.0,29,47.6,43.8,0.0,54.9,63.9,44.6,0,-1,100.0,1,0,4,79.2,1,4,98,1,0,1,0,-1,2,-0.3,-1.0
Tyvon Branch,4414,S,ARZ,9,5,5.4,66.7,96.1,18.4,12.3,1,0,4,14.8,1,79.7,79.2,53.2,63.7,72.4,88.4,0,21,3.1,1,3,1,102.9,18,347,361,8,26,27,2,133,54,0.4,7.4
William Hayes,4417,ED,MIA,10,0,,,1.5,,,1,0,0,,17,59.8,90.3,27.9,81.2,91.0,70.5,0,,100.0,1,0,3,0.0,0,2,131,1,0,0,0,0,0,0.0,
Quintin Demps,4431,S,CHI,3,0,16.8,50.0,100.0,33.3,16.7,1,0,0,0.0,6,45.6,48.6,80.7,,67.7,28.4,0,88,22.2,2,0,1,135.4,3,106,106,0,7,6,1,127,54,1.3,42.3
Brandon Carr,4454,CB,BLT,12,1,14.3,57.7,99.1,13.2,7.6,2,0,5,9.6,3,66.5,67.6,60.4,50.9,71.5,73.0,3,41,6.5,2,2,6,71.6,30,418,422,5,28,52,2,408,106,1.0,13.6
Orlando Scandrick,4457,CB,DAL,11,2,7.9,66.7,91.0,8.9,5.9,0,2,4,7.0,9,48.9,55.3,87.5,50.9,81.6,46.7,0,56,20.0,6,2,3,112.9,38,353,388,7,22,57,3,516,274,1.5,13.6
Erik Walden,4481,ED,TEN,12,0,6.8,75.0,18.1,15.0,11.3,0,0,0,0.0,31,54.2,60.4,10.4,67.4,61.1,65.6,0,16,20.0,1,0,3,109.4,3,47,259,4,4,4,0,43,23,1.0,14.3
Wesley Woodyard,4583,LB,TEN,12,6,3.9,73.3,82.1,8.5,6.2,0,0,4,6.7,31,52.6,67.4,84.9,67.8,80.2,77.9,0,32,13.0,6,4,1,100.8,44,398,485,13,34,60,1,462,332,1.2,10.5
Leger Douzable,4654,ED,SF,5,0,17.0,0.0,2.2,,1.0,1,0,0,0.0,28,46.3,54.6,60.2,51.6,63.3,55.6,0,,100.0,1,0,1,39.6,0,2,92,2,0,1,0,0,0,0.0,
Jerrell Freeman,4888,LB,CHI,1,0,9.0,85.7,94.1,5.2,4.4,0,0,0,0.0,6,32.6,50.7,76.4,73.6,78.9,54.5,0,18,33.3,2,0,0,100.6,6,32,34,1,4,7,0,57,15,1.8,9.5
