player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
DeAndre Hopkins,7808,WR,HST,15,164,0,13,0,-1.9,1,100.0,,0,0,0.0,0,4,1,91.6,57.3,0,72,0.0,0,37,9,97.3,36,155.8,9,5.5,1,121,138,15.3,13.4,3.36,17.3,0,23.5,0.0,0,6,0.0,0,4,0,75.6,81.3,1,24,0.0,0,99,4,91.9,91,16.8,17,10.4,0,58,5,1.3,14.5,0.64
Antonio Brown,5718,WR,PIT,14,155,0,25,0,2.7,1,88.2,0.0,0,1,0.0,0,5,1,92.5,68.2,0,32,0.0,0,72,15,93.1,67,95.3,17,11.0,0,117,94,6.3,7.8,1.75,11.0,4,71.4,60.0,3,5,6.3,1,8,1,82.0,92.4,1,51,0.0,0,77,15,92.2,71,121.7,21,13.5,2,243,121,8.1,16.2,3.42
Jarvis Landry,8698,WR,MIA,15,146,0,17,0,-2.5,4,100.0,,0,0,0.0,0,6,1,93.6,83.5,0,18,0.0,0,63,24,96.8,61,87.0,24,16.4,0,117,176,7.3,4.9,1.92,5.4,8,77.2,40.0,6,15,0.0,0,32,2,90.1,78.2,3,49,0.0,0,382,61,95.3,364,97.1,79,54.1,4,562,301,4.9,9.2,1.54
Larry Fitzgerald,1724,WR,ARZ,15,141,0,1,0,-1.2,4,92.3,,0,0,0.0,0,5,0,93.5,79.6,0,16,2.0,1,49,24,95.9,47,83.7,26,18.4,0,106,154,6.4,4.4,2.26,9.8,6,70.9,50.0,12,24,6.2,4,41,0,90.9,76.6,0,33,0.0,0,410,61,93.2,382,109.2,86,61.0,3,750,235,3.9,12.3,1.96
Keenan Allen,7857,WR,LAC,15,135,0,27,0,-2.0,0,100.0,,0,0,0.0,0,2,1,91.1,51.2,0,13,0.0,0,30,7,96.7,29,121.1,7,5.2,1,25,39,5.6,3.6,0.86,9.8,6,76.5,71.4,5,7,4.9,2,27,1,59.5,91.2,1,42,0.7,2,271,39,94.8,257,125.0,51,37.8,4,504,184,4.7,12.9,1.96
Julio Jones,6158,WR,ATL,15,133,0,2,0,-1.2,1,100.0,,0,0,0.0,0,2,0,91.1,73.3,0,18,0.0,0,34,6,94.1,32,100.0,6,4.5,0,48,55,9.2,8.0,1.5,15.1,1,43.3,30.0,3,10,13.3,2,9,0,52.9,89.6,0,51,0.0,0,102,13,99.0,101,75.6,30,22.6,1,189,71,5.5,14.5,1.87
Michael Thomas,10681,WR,NO,15,131,0,20,0,-2.8,4,90.9,,0,0,0.0,0,3,0,92.0,54.9,0,12,0.0,0,88,10,93.2,82,85.2,11,8.4,0,49,78,7.8,4.9,0.6,7.9,4,76.1,66.7,6,9,0.0,0,24,0,91.3,91.9,0,35,0.0,0,118,35,92.4,109,116.4,46,35.1,2,402,207,5.9,11.5,3.69
Adam Thielen,8288,WR,MIN,15,128,0,18,0,-2.4,1,100.0,,0,0,0.0,0,1,0,90.6,55.6,0,9,0.0,0,55,5,96.4,53,80.8,5,3.9,0,17,29,5.8,3.4,0.32,8.8,6,65.2,42.9,6,14,6.5,3,23,2,79.6,78.7,0,52,0.7,2,283,43,91.9,260,97.0,66,51.6,1,563,238,5.5,13.1,2.17
Demaryius Thomas,5547,WR,DEN,15,128,0,10,0,-0.6,1,75.0,,0,0,14.3,1,2,1,32.0,52.1,0,9,0.0,0,26,6,96.2,25,116.7,8,6.3,1,15,21,3.5,2.5,0.6,5.7,2,60.0,50.0,3,6,14.3,2,5,0,29.8,68.0,1,17,0.0,0,99,12,91.9,91,66.7,20,15.6,1,90,43,3.6,7.5,0.99
A.J. Green,6156,WR,CIN,15,124,0,7,0,-2.8,0,75.0,0.0,0,1,0.0,0,0,0,88.7,50.1,0,5,0.0,0,61,3,100.0,61,77.1,4,3.2,0,9,17,5.7,3.0,0.15,14.2,0,53.8,33.3,1,3,12.5,1,5,1,61.8,76.0,2,20,0.0,0,68,7,97.1,66,73.9,13,10.5,2,84,18,2.6,12.0,1.27
