player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Shane Lechler,673,P,HST,4,20,20,4.23,42.55,50.6,16.1,0,0,2,7,13,71.7,9,68,1,0,50.0,161,10,20,84.54,851,0,1012
Andy Lee,1906,P,ARZ,4,21,21,4.34,39.29,46.67,10.3,0,0,2,2,1,71.1,5,60,2,0,71.4,155,15,21,91.23,825,0,980
Donnie Jones,1939,P,PHI,4,14,14,4.35,40.14,44.0,2.8,0,0,1,3,24,64.4,4,58,2,0,35.7,14,5,14,60.88,562,2,616
Dustin Colquitt,2316,P,KC,4,19,19,4.5,39.63,44.37,6.0,0,0,1,9,16,60.3,9,63,1,0,26.3,30,5,19,85.45,753,3,843
Sam Koch,3148,P,BLT,4,23,23,4.23,41.17,44.26,3.9,0,0,5,5,3,60.5,9,67,3,0,34.8,31,8,23,97.21,947,2,1018
Matt Prater,3471,K,DET,1,4,4,3.72,34.75,34.75,,0,0,2,2,11,43.1,1,47,0,0,0.0,0,0,4,14.89,139,0,139
Jon Ryan,3493,P,SEA,4,22,22,4.39,40.73,45.77,9.1,0,0,5,4,29,72.5,8,64,2,0,45.5,91,10,22,96.64,896,1,1007
Brett Kern,4580,P,TEN,4,18,18,4.21,45.28,50.0,5.6,0,0,0,2,31,79.0,5,66,6,0,44.4,45,8,18,75.84,815,2,900
Kevin Huber,5066,P,CIN,4,22,22,4.22,41.86,46.95,8.0,0,0,1,5,7,60.0,11,61,2,0,63.6,112,14,22,92.88,921,0,1033
Thomas Morstead,5088,P,NO,4,12,12,4.5,45.92,48.58,4.6,0,0,1,3,20,79.1,5,68,1,0,58.3,32,7,12,54.02,551,0,583
Britton Colquitt,5192,P,CLV,4,22,22,4.4,43.32,49.68,9.3,1,0,3,3,8,72.3,8,67,1,0,68.2,140,15,23,96.73,953,0,1093
