player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Shaq Mason,9564,G,NE,10,100.0,0,19,80.6,64.4,82.8,4,11,412,100.0,100.0,97.9,1,16,1,723,0,0,0,723,444,444,723,0,279,0
Joe Thuney,10712,G,NE,10,100.0,0,19,71.7,76.9,64.6,8,12,412,100.0,100.0,97.3,2,21,1,720,0,720,0,720,444,444,0,0,276,0
Breno Giacomini,4464,T,HST,10,100.0,2,13,49.5,41.9,61.1,4,48,379,100.0,100.0,91.6,6,58,6,712,0,0,0,712,422,422,0,712,290,0
Nick Martin,10684,C,HST,10,100.0,0,13,68.0,72.5,63.4,1,11,379,100.0,100.0,98.2,2,13,1,712,712,0,0,712,422,422,0,0,290,0
Matt Paradis,8841,C,DEN,10,100.0,0,10,76.3,74.8,73.7,2,11,416,100.0,100.0,98.4,0,13,0,709,708,0,0,709,443,443,0,0,266,0
Nate Solder,6169,T,NE,10,100.0,1,19,62.8,65.1,58.0,5,27,407,100.0,100.0,95.3,6,35,3,708,0,0,688,708,439,439,0,0,269,20
Germain Ifedi,10665,T,SEA,10,100.0,0,29,53.1,66.5,47.5,2,33,440,100.0,100.0,95.6,11,37,2,706,0,0,0,706,483,483,0,705,223,0
Justin Britt,8699,C,SEA,10,100.0,0,29,67.7,80.2,61.3,1,4,438,100.0,100.0,99.2,3,6,1,700,699,0,0,700,480,480,0,0,220,0
A.Q. Shipley,5150,C,ARZ,10,100.0,1,1,67.3,77.9,62.2,2,6,423,100.0,100.0,98.3,2,11,3,697,697,0,0,697,457,457,0,0,240,0
Pat Elflein,11825,C,MIN,10,100.0,2,18,68.5,62.8,68.9,5,12,362,100.0,100.0,97.1,3,19,2,697,697,0,0,697,393,393,0,0,304,0
Joe Berger,2424,G,MIN,10,100.0,0,18,75.4,75.5,71.2,2,14,361,100.0,100.0,97.2,1,18,2,695,0,0,0,695,392,392,695,0,303,0
Jared Veldheer,5594,T,ARZ,10,100.0,2,1,59.8,60.7,59.7,5,25,419,100.0,100.0,95.5,6,34,4,693,0,0,58,693,453,453,0,635,240,0
Xavier Su'a-Filo,8668,G,HST,10,100.0,0,13,52.4,46.9,54.5,7,19,368,100.0,100.0,94.8,4,32,6,692,0,692,0,692,408,408,0,0,284,0
David DeCastro,7640,G,PIT,10,100.0,1,25,87.3,86.6,84.3,0,9,367,100.0,100.0,98.8,6,9,0,692,0,0,0,692,400,400,692,0,292,0
Joel Bitonio,8670,G,CLV,10,100.0,0,8,73.6,90.3,57.5,2,6,446,100.0,100.0,98.2,0,12,4,690,0,690,0,690,482,482,0,0,208,0
J.C. Tretter,7904,C,CLV,10,100.0,0,8,66.2,75.5,59.8,3,17,446,100.0,100.0,97.5,2,21,1,690,690,0,0,690,482,482,0,0,208,0
Kevin Zeitler,7032,G,CLV,10,100.0,0,8,71.2,78.2,62.8,5,16,446,100.0,100.0,97.4,2,22,1,690,0,0,0,690,482,482,690,0,208,0
Garett Bolles,11775,T,DEN,10,100.0,3,10,73.1,69.6,74.9,7,20,411,100.0,100.0,95.7,10,31,4,688,0,0,687,688,437,437,0,0,251,0
Maurkice Pouncey,5543,C,PIT,10,100.0,1,25,75.7,75.8,75.0,3,13,367,100.0,100.0,97.5,3,17,1,688,688,0,0,688,400,400,0,0,288,0
Jason Kelce,6343,C,PHI,10,100.0,0,24,92.5,65.2,94.4,2,12,369,100.0,100.0,97.6,5,16,2,684,684,0,0,684,395,395,0,0,289,0
Andrew Norwell,9126,G,CAR,10,100.0,1,5,67.4,87.8,56.0,0,12,369,100.0,100.0,98.4,1,12,0,681,0,681,0,681,392,392,0,0,289,0
Daryl Williams,9535,T,CAR,10,100.0,0,5,75.7,74.7,69.3,3,19,369,100.0,100.0,96.2,2,25,3,681,0,0,7,681,392,392,0,674,289,0
Daniel Kilgore,6315,C,SF,10,100.0,3,28,60.0,62.8,60.9,5,11,436,100.0,100.0,97.2,6,20,4,679,679,0,0,679,453,453,0,0,226,0
Brandon Brooks,7078,G,PHI,10,100.0,0,24,81.8,88.3,73.1,1,8,367,100.0,100.0,98.8,1,9,0,679,0,0,0,679,393,393,679,0,286,0
Matt Kalil,7010,T,CAR,10,100.0,1,5,60.3,66.9,50.6,4,21,368,100.0,100.0,95.2,3,30,5,679,0,0,654,679,391,391,0,0,288,25
Riley Reiff,7029,T,MIN,10,100.0,2,18,65.7,75.4,59.6,5,16,355,100.0,100.0,97.0,6,21,0,678,0,0,668,678,386,386,0,0,292,10
Ryan Ramczyk,11787,T,NO,10,100.0,1,20,75.1,72.8,71.9,5,10,352,100.0,100.0,97.0,4,18,3,675,0,0,117,675,375,375,0,555,300,3
Max Unger,4972,C,NO,10,100.0,0,20,61.7,65.0,58.3,2,6,352,100.0,100.0,98.6,0,9,1,675,675,0,0,675,375,375,0,0,300,0
Andrus Peat,9446,G,NO,10,100.0,1,20,71.3,66.9,68.0,4,11,352,100.0,100.0,97.3,4,17,2,675,0,471,204,675,375,375,0,0,300,0
Travis Frederick,7812,C,DAL,10,100.0,0,9,84.5,82.4,80.9,1,7,361,100.0,100.0,98.9,2,8,0,673,673,0,0,673,392,392,0,0,281,0
