team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
TEN,31,8,269,7,41,269,89.2,53,5
NO,20,8,283,16,37,283,88.5,59,6
PHI,24,9,341,8,40,341,88.3,64,16
OAK,23,9,331,3,53,331,87.9,68,12
PIT,25,8,286,11,50,286,87.2,67,6
TB,30,8,338,12,55,338,86.5,79,12
MIN,18,8,292,21,50,292,86.5,75,4
MIA,17,8,308,13,56,308,86.5,76,7
DAL,9,8,283,12,53,283,86.4,71,6
BUF,4,8,285,10,50,285,85.6,71,11
ATL,2,8,291,15,48,291,85.4,74,11
BLT,3,9,327,7,69,327,85.3,86,10
CLV,8,8,359,19,70,359,85.1,98,9
JAX,15,8,262,15,51,262,85.1,72,6
LA,26,8,260,13,51,260,84.6,72,8
KC,16,9,337,11,74,337,84.4,95,10
WAS,32,8,302,19,56,302,83.9,86,11
GB,12,8,332,12,73,332,83.3,98,13
LAC,27,8,297,13,78,297,83.0,96,5
SF,28,9,410,23,84,410,83.0,123,16
NYG,21,8,320,15,68,320,82.7,97,14
CAR,5,9,334,11,82,334,82.5,105,12
NYJ,22,9,309,11,70,309,82.4,95,14
DET,11,8,338,10,90,338,82.2,110,10
NE,19,8,336,21,76,336,82.0,109,12
IND,14,9,345,15,74,345,81.9,107,18
SEA,29,8,349,20,97,349,81.2,124,7
CHI,6,8,252,15,62,252,80.4,88,11
CIN,7,8,270,7,71,270,80.0,93,15
DEN,10,8,334,15,79,334,79.9,114,20
ARZ,1,8,336,24,84,336,78.9,125,17
HST,13,8,305,15,101,305,74.8,135,19
