player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Anthony Levine,6013,S,BLT,4,11,,11.0,3,0,39.6,0,1,0,0,0,0.0
Dylan Cole,24304,LB,HST,3,2,,2.0,13,1,0.0,0,1,0,0,0,0.0
A.J. Bouye,8110,CB,JAX,5,16,,8.0,15,0,39.6,0,2,0,0,0,0.0
E.J. Gaines,8823,CB,BUF,4,7,,3.5,4,0,39.6,0,2,0,0,0,0.0
Andre Hal,8850,S,HST,6,17,,17.0,13,0,39.6,0,1,0,0,0,0.0
Xavier Rhodes,7806,CB,MIN,5,6,,3.0,18,0,39.6,0,2,0,0,0,0.0
Bud Dupree,9455,ED,PIT,3,8,,4.0,25,0,39.6,0,2,0,0,0,0.0
Vontaze Burfict,7280,LB,CIN,2,9,,4.5,7,0,39.6,0,2,0,0,0,0.0
Rodney McLeod,7271,S,PHI,5,15,,15.0,24,0,39.6,0,1,0,0,0,0.0
Casey Hayward Jr.,7064,CB,LAC,1,2,,1.0,27,0,39.6,0,2,0,0,0,0.0
Jalen Ramsey,10639,CB,JAX,5,13,,4.3,15,0,39.6,0,3,0,0,0,0.0
Dre Kirkpatrick,7023,CB,CIN,4,4,,2.0,7,0,39.6,0,2,0,0,0,0.0
Reggie Ragland,10675,LB,KC,1,1,,1.0,16,0,39.6,0,1,0,0,0,0.0
T.J. Green,10691,S,IND,2,2,,2.0,14,0,39.6,0,1,0,0,0,0.0
James Bradberry,10696,CB,CAR,3,3,,1.5,5,0,39.6,0,2,0,0,0,0.0
Davon House,6283,CB,GB,2,3,,3.0,12,0,39.6,0,1,0,0,0,0.0
Da'Norris Searcy,6252,S,TEN,4,12,,12.0,31,0,39.6,0,1,0,0,0,0.0
Jalen Mills,10867,CB,PHI,4,6,,6.0,24,0,39.6,0,1,0,0,0,0.0
Joe Schobert,10733,LB,CLV,2,2,,2.0,8,0,39.6,0,1,0,0,0,0.0
Miles Killebrew,10745,S,DET,6,16,,8.0,11,0,39.6,0,2,0,0,0,0.0
Antonio Morrison,10759,LB,IND,4,7,,7.0,14,0,39.6,0,1,0,0,0,0.0
Jimmy Smith,6179,CB,BLT,3,4,,4.0,3,0,39.6,0,1,0,0,0,0.0
Rashard Robinson,10767,CB,SF,5,6,,6.0,28,0,39.6,0,1,0,0,0,0.0
Cody Davis,8458,S,LA,3,5,,5.0,26,0,39.6,0,1,0,0,0,0.0
Frank Zombo,5945,ED,KC,1,1,,1.0,16,0,39.6,0,1,0,0,0,0.0
Derrick Johnson,2232,LB,KC,5,11,,11.0,16,0,39.6,0,1,0,0,0,0.0
Vince Williams,7988,LB,PIT,3,8,,8.0,25,0,39.6,0,1,0,0,0,0.0
Dexter McDougle,8715,CB,PHI,2,4,,4.0,24,0,39.6,0,1,0,0,0,0.0
Matt Milano,11918,LB,BUF,2,4,,4.0,4,0,39.6,0,1,0,0,0,0.0
Bashaud Breeland,8737,CB,WAS,5,9,,9.0,32,0,39.6,0,1,0,0,0,0.0
Maurice Alexander,8745,S,LA,4,13,,13.0,26,0,39.6,0,1,0,0,0,0.0
Pierre Desir,8762,CB,IND,3,25,,25.0,14,0,39.6,0,1,0,0,0,0.0
Morgan Burnett,5596,S,GB,5,54,54.0,27.0,12,0,72.9,1,2,0,14,10,0.26
Briean Boddy-Calhoun,10903,CB,CLV,6,91,45.5,22.8,8,0,95.8,2,4,1,11,1,0.12
Darian Thompson,10705,S,NYG,6,43,43.0,7.2,21,1,0.0,1,6,0,4,4,0.09
Anthony Brown,10823,CB,DAL,5,36,36.0,7.2,9,1,39.6,1,5,1,10,0,0.28
Eric Weddle,3653,S,BLT,6,33,33.0,8.3,3,1,39.6,1,4,1,5,0,0.15
Jordan Poyer,8000,S,BUF,5,31,31.0,31.0,4,0,118.8,1,1,0,21,6,0.68
Reggie Nelson,3637,S,OAK,5,30,30.0,30.0,23,0,100.0,1,1,0,8,2,0.27
