player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Davon House,6283,CB,GB,7,0,12,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,0.4,1,235,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Desmond Trufant,7803,CB,ATL,10,0,2,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,0.3,1,384,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
William Jackson III,10658,CB,CIN,8,0,7,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.5,1,185,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Kemal Ishmael,8026,S,ATL,5,0,2,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,10.5,2,19,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Jerrell Freeman,4888,LB,CHI,1,0,6,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,3.1,1,32,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Cre'Von LeBlanc,11218,CB,CHI,4,0,6,0,0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,2.7,2,74,1,50.0,0,0,0,0,50.0,1,1,100.0,1,1,0,1,1,0
Ramik Wilson,9551,LB,KC,3,0,16,0,2,0,0,0,0,0.0,0,0,,0,0,0,0,7.7,2,26,2,50.0,0,0,2,0,100.0,2,2,50.0,0,0,0,0,0,0
Jimmie Ward,8665,S,SF,7,0,28,0,2,0,0,1,0,50.0,1,1,50.0,0,0,0,0,0.9,2,225,2,50.0,0,0,1,0,50.0,1,1,50.0,0,0,0,0,0,0
Casey Hayward Jr.,7064,CB,LAC,10,0,27,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.3,1,372,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Charles Washington,11137,S,DET,8,0,11,0,0,0,0,0,0,100.0,2,1,50.0,1,0,0,0,4.0,2,50,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,1,0,0
Duron Harmon,7872,S,NE,10,0,19,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,0.3,1,336,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Earl Thomas III,5539,S,SEA,8,0,29,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,0.3,1,301,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
