player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Julius Peppers,1010,ED,CAR,9,4,0,5,0,,,0.0,,,0,0,,60.9,0,,50.0,1,0,0.0,0,0,0.0,36,3,1,0,0,0,0,,,0,1,,,2.5,,,0,0,,60.6,0,,0.0,0,0,0.0,0,3,75.0,122,6,0,0,0,0,0,0.0,
James Harrison,1251,ED,PIT,4,8,0,25,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,,,0,0,4.0,100.0,33.3,4.0,4.0,0,0,0.0,64.0,0,5,0.0,0,0,87.5,1,5,62.5,15,1,1,1,0,5,1,1.3,5.0
Terence Newman,1321,CB,MIN,8,198,0,18,0,9.7,22.2,100.0,30.0,6.7,1,1,11.1,74.7,0,27,0.0,0,1,81.3,2,63,31.8,63,1,3,9,1,37,25,0.6,18.5,0,1,8.2,85.7,96.0,9.8,8.4,0,0,0.0,65.1,0,27,0.0,0,0,128.0,12,120,60.6,125,4,9,14,1,126,26,1.1,10.5
Terrell Suggs,1326,ED,BLT,9,5,0,3,0,,,0.0,,,0,0,,60.0,0,,50.0,1,0,0.0,0,0,0.0,115,2,1,0,0,0,0,,,0,1,,,3.1,,,0,0,,74.5,0,,50.0,1,0,0.0,0,4,80.0,128,4,0,0,0,0,0,0.0,
DeAngelo Hall,1729,S,WAS,1,62,0,32,0,,,100.0,,,0,0,,48.0,0,,,0,0,0.0,0,13,21.0,13,0,0,0,0,0,0,0.0,,0,1,15.5,50.0,100.0,40.0,20.0,0,1,50.0,71.5,0,5,25.0,1,1,56.3,1,45,72.6,45,0,2,2,0,5,8,0.1,5.0
Karlos Dansby,1754,LB,ARZ,8,274,0,1,1,4.8,64.3,78.2,10.0,6.4,0,0,0.0,59.4,0,35,20.0,2,0,106.5,9,97,35.4,124,5,7,14,1,91,70,1.0,10.1,0,3,4.3,85.0,94.3,9.5,8.1,1,1,5.0,50.1,0,17,13.3,2,1,114.8,17,166,60.6,176,6,10,20,1,151,76,0.9,8.9
Mike Adams,1972,S,CAR,9,317,0,5,0,5.8,80.0,83.8,13.5,10.8,0,0,0.0,41.6,0,25,0.0,0,0,118.8,4,57,18.0,68,0,3,5,0,65,54,1.2,16.3,0,0,13.5,52.6,97.2,22.7,11.9,1,2,10.5,81.2,2,17,12.5,2,2,39.5,10,240,75.7,247,5,14,19,1,71,40,0.3,7.1
Adam Jones,2223,CB,CIN,6,158,0,7,0,10.7,57.1,100.0,9.8,5.6,0,1,14.3,36.0,0,19,0.0,0,0,117.9,4,42,26.6,42,0,3,7,1,48,10,1.2,12.0,0,0,9.4,47.1,100.0,12.6,5.9,0,4,23.5,64.9,0,12,9.1,1,4,55.5,8,106,67.1,106,2,10,17,0,58,16,0.6,7.3
Thomas Davis Sr.,2231,LB,CAR,9,220,0,5,1,4.3,66.7,65.5,18.5,12.3,0,0,0.0,66.5,0,6,0.0,0,0,71.5,2,38,17.3,58,2,2,3,0,10,6,0.3,5.0,0,2,4.1,75.0,84.1,10.6,8.0,0,1,5.0,68.6,0,23,7.1,1,0,110.6,15,169,76.8,201,10,11,20,1,141,97,0.9,9.4
Derrick Johnson,2232,LB,KC,9,337,0,16,1,2.2,16.7,91.4,83.5,13.9,0,2,16.7,82.9,0,14,25.0,1,2,39.6,2,180,53.4,197,0,2,12,0,18,20,0.1,9.0,0,2,7.1,72.7,99.2,15.4,11.2,0,1,9.1,58.2,0,20,33.3,3,1,88.4,8,132,39.2,133,0,4,11,0,68,20,0.6,8.5
Lorenzo Alexander,2476,ED,BUF,8,123,0,4,0,-0.2,83.3,44.8,5.8,4.8,0,0,0.0,79.6,0,13,0.0,0,0,93.1,5,30,24.4,67,1,5,6,0,38,34,1.3,7.6,0,0,4.8,82.4,55.6,6.2,5.1,0,0,0.0,28.5,0,39,33.3,4,0,106.9,14,90,73.2,162,4,8,17,0,164,108,1.9,11.7
Haloti Ngata,2957,DI,DET,5,2,0,11,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,25,1,0,0,0,0,0,,,0,0,,,3.3,,,0,0,,54.3,0,,,0,0,0.0,0,2,100.0,61,1,0,0,0,0,0,0.0,
Tamba Hali,2965,ED,KC,1,1,0,16,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,5,0,0,0,0,0,0,,,0,0,,,10.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,10,0,0,0,0,0,0,0.0,
Johnathan Joseph,2969,CB,HST,8,245,0,13,1,15.5,33.3,100.0,21.0,7.0,1,3,20.0,69.5,1,38,0.0,0,3,47.9,5,114,46.5,114,0,2,15,1,85,29,0.8,17.0,0,1,11.9,80.0,100.0,14.4,11.5,0,1,10.0,82.9,1,45,0.0,0,1,112.5,8,118,48.2,118,4,10,10,1,128,12,1.1,16.0
Frostee Rucker,3036,DI,ARZ,8,1,0,1,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,77,1,0,0,0,0,0,,,0,0,5.0,100.0,0.9,1.0,1.0,0,1,100.0,63.4,0,8,0.0,0,0,100.0,1,1,100.0,107,1,1,1,0,8,3,8.0,8.0
Elvis Dumervil,3071,ED,SF,9,2,0,28,0,,,0.0,,,0,0,,68.6,0,,0.0,0,0,0.0,0,0,0.0,56,1,1,0,0,0,0,,,0,0,,,2.8,,,0,0,,60.3,0,,,0,0,0.0,0,2,100.0,72,3,0,0,0,0,0,0.0,
Kyle Williams,3079,DI,BUF,8,5,0,4,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,71,0,0,0,0,0,0,,,0,1,,,2.8,,,0,0,,62.1,0,,0.0,0,0,0.0,0,5,100.0,177,2,2,0,0,0,0,0.0,
Antoine Bethea,3152,S,ARZ,8,270,0,1,0,,,96.1,,,0,0,,81.2,2,,0.0,0,0,0.0,0,122,45.2,127,0,2,0,0,0,0,0.0,,0,1,9.4,70.0,99.3,18.9,13.2,1,1,10.0,81.1,1,31,5.9,1,1,50.0,7,135,50.0,136,4,15,10,0,70,26,0.5,10.0
Tramon Williams,3558,CB,ARZ,5,127,0,1,0,10.3,42.9,97.9,14.0,6.0,0,1,14.3,69.1,0,15,0.0,0,1,56.3,3,47,37.0,48,1,5,7,0,31,11,0.7,10.3,0,0,16.4,50.0,98.7,12.5,6.3,0,1,8.3,61.5,1,41,0.0,0,1,47.6,6,75,59.1,76,2,7,12,0,111,11,1.5,18.5
Brent Grimes,3589,CB,TB,5,210,0,30,0,16.8,66.7,100.0,6.6,4.4,0,1,8.3,51.1,1,30,0.0,0,1,66.3,8,57,27.1,57,1,8,12,0,125,24,2.4,15.6,0,1,11.7,64.7,100.0,12.3,7.9,0,3,17.6,66.1,0,26,7.1,1,3,86.6,11,144,68.6,144,3,12,17,0,125,24,0.9,11.4
Lawrence Timmons,3631,LB,MIA,6,187,0,17,0,10.7,66.7,81.4,16.0,10.7,0,0,0.0,46.9,0,16,40.0,2,0,134.7,2,35,18.7,43,0,3,3,1,27,21,0.8,13.5,0,3,1.9,84.0,88.8,6.6,5.5,0,1,4.0,70.1,0,31,5.0,1,1,95.5,21,142,75.9,160,11,16,25,0,173,125,1.3,8.2
Leon Hall,3634,CB,SF,2,37,0,28,1,10.0,40.0,90.0,9.0,3.6,0,1,20.0,56.3,0,14,0.0,0,1,56.3,2,18,48.6,20,0,1,5,0,25,5,1.4,12.5,0,0,8.5,100.0,94.7,8.0,8.0,0,0,0.0,53.4,0,23,33.3,1,0,112.5,2,18,48.6,19,1,2,2,0,22,5,1.4,11.0
Reggie Nelson,3637,S,OAK,9,308,0,23,0,14.5,100.0,90.3,30.0,30.0,0,0,0.0,47.5,0,34,20.0,1,0,118.8,2,65,21.1,72,0,4,2,0,61,32,1.0,30.5,0,3,9.9,55.6,97.8,42.4,23.6,1,1,11.1,52.5,0,31,11.8,2,1,85.4,5,219,71.1,224,1,12,9,0,80,54,0.4,16.0
Paul Posluszny,3650,LB,JAX,8,52,0,15,0,-3.0,100.0,92.9,13.0,13.0,0,0,0.0,77.7,0,-2,0.0,0,0,79.2,1,13,25.0,14,1,1,1,0,-2,1,-0.2,-2.0,0,0,2.5,0.0,87.2,,15.0,0,1,50.0,78.2,0,,0.0,0,1,39.6,0,34,65.4,39,0,2,2,0,0,0,0.0,
Eric Weddle,3653,S,BLT,9,324,0,3,0,4.3,50.0,98.6,70.5,35.3,0,1,25.0,72.7,2,5,0.0,0,1,16.7,2,146,45.1,148,1,5,4,0,8,16,0.1,4.0,0,0,9.6,72.7,95.9,19.1,13.9,0,1,9.1,53.8,1,29,22.2,2,1,71.0,8,163,50.3,170,2,7,11,0,122,36,0.8,15.3
David Harris,3663,LB,NE,3,20,0,19,0,1.0,0.0,33.3,,3.0,0,0,0.0,77.4,0,,,0,0,39.6,0,3,15.0,9,0,0,1,0,0,0,0.0,,0,0,,,93.8,,,0,0,,68.8,0,,0.0,0,0,0.0,0,15,75.0,16,0,1,0,0,0,0,0.0,
Justin Durant,3664,LB,DAL,5,54,0,9,0,,,61.9,,,0,0,,68.5,0,,,0,0,0.0,0,26,48.1,42,0,0,0,0,0,0,0.0,,0,1,2.5,100.0,80.0,10.0,10.0,0,0,0.0,66.6,0,10,0.0,0,0,95.8,2,20,37.0,25,1,1,2,0,14,9,0.7,7.0
Charles Johnson,3699,ED,CAR,9,8,0,5,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,32,0,0,0,0,0,0,,,0,0,7.5,100.0,5.6,3.5,3.5,0,0,0.0,47.6,0,16,66.7,2,0,116.7,2,8,100.0,144,2,1,2,0,24,9,3.4,12.0
Brandon Mebane,3701,DI,LAC,8,3,0,27,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,27,0,0,0,0,0,0,,,0,1,,,2.0,,,0,0,,58.6,0,,50.0,1,0,0.0,0,2,66.7,100,0,0,0,0,0,0,0.0,
Brian Robison,3718,ED,MIN,8,10,0,18,0,,,8.4,,,0,0,,63.3,0,,,0,0,0.0,0,7,70.0,83,0,0,0,0,0,0,0.0,,0,0,,,2.1,,,0,0,,54.4,0,,,0,0,0.0,0,3,30.0,141,0,0,0,0,0,0,0.0,
Corey Graham,3784,S,PHI,7,135,0,24,0,1.5,100.0,89.6,20.0,20.0,1,0,0.0,70.0,1,10,25.0,1,0,50.0,2,43,31.9,48,1,3,2,0,11,8,0.3,5.5,0,0,6.3,100.0,100.0,27.3,27.3,0,0,0.0,61.4,0,20,0.0,0,0,118.8,3,85,63.0,85,1,5,3,0,40,21,0.5,13.3
William Gay,3786,CB,PIT,8,128,0,25,0,6.0,50.0,100.0,5.5,2.8,1,2,50.0,54.6,0,13,33.3,1,2,63.5,2,11,8.6,11,0,2,4,0,19,6,1.7,9.5,0,0,8.7,66.7,99.0,16.0,10.7,0,1,11.1,71.4,1,22,0.0,0,0,38.9,6,100,78.1,101,3,6,9,0,45,26,0.5,7.5
Chris Long,4316,ED,PHI,9,4,0,24,0,,,1.4,,,0,0,,60.0,0,,,0,0,0.0,0,1,25.0,74,0,0,0,0,0,0,0.0,,0,1,-2.0,100.0,2.2,3.0,3.0,0,0,0.0,59.2,0,9,40.0,2,0,104.2,1,3,75.0,134,4,2,1,0,9,11,3.0,9.0
Dominique Rodgers-Cromartie,4330,CB,NYG,7,190,0,21,1,3.6,75.0,88.5,8.3,6.3,0,0,0.0,60.3,0,22,0.0,0,0,131.8,6,54,28.4,61,2,4,8,1,53,26,1.1,8.8,0,0,7.2,84.6,95.2,10.1,8.5,0,0,0.0,60.8,0,38,22.2,2,0,101.9,11,118,62.1,124,4,7,13,0,110,56,1.0,10.0
Aqib Talib,4334,CB,DEN,8,289,0,10,0,7.6,55.0,100.0,11.7,6.5,1,3,15.0,67.6,1,32,0.0,0,3,85.4,11,135,46.7,135,1,6,20,2,120,43,0.9,10.9,0,1,8.6,62.5,100.0,26.6,16.6,1,2,25.0,76.6,0,17,12.5,1,1,78.1,5,141,48.8,141,1,6,8,0,46,21,0.3,9.2
Calais Campbell,4364,ED,JAX,8,2,0,15,0,,,1.2,,,0,0,,60.0,0,,,0,0,0.0,0,1,50.0,85,6,0,0,0,0,0,0.0,,0,0,,,0.6,,,0,0,,66.9,0,,0.0,0,0,0.0,0,1,50.0,159,7,1,0,0,0,0,0.0,
Cliff Avril,4406,ED,SEA,4,4,0,29,0,,,4.3,,,0,0,,54.7,0,,100.0,1,0,0.0,0,2,50.0,46,1,0,0,0,0,0,0.0,,0,0,-3.0,100.0,4.2,2.0,2.0,0,0,0.0,52.5,0,-1,,0,0,79.2,1,2,50.0,48,0,0,1,0,-1,2,-0.5,-1.0
Tyvon Branch,4414,S,ARZ,8,338,0,1,1,8.1,46.7,93.3,18.6,8.7,0,3,20.0,72.7,0,21,0.0,0,2,85.7,7,139,41.1,149,1,10,15,1,81,19,0.6,11.6,0,4,1.4,90.9,97.9,18.0,16.4,0,0,0.0,75.1,0,9,4.8,1,0,84.1,10,184,54.4,188,7,16,11,0,46,35,0.3,4.6
William Hayes,4417,ED,MIA,8,2,0,17,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,25,0,0,0,0,0,0,,,0,0,,,2.6,,,0,0,,59.8,0,,100.0,1,0,0.0,0,2,100.0,77,1,0,0,0,0,0,0.0,
Quintin Demps,4431,S,CHI,3,106,0,6,0,15.5,50.0,100.0,29.0,14.5,0,0,0.0,47.6,0,18,33.3,1,0,81.3,1,32,30.2,32,0,2,2,0,18,2,0.6,18.0,0,0,17.5,50.0,100.0,30.5,15.3,0,0,0.0,46.7,0,88,25.0,1,0,135.4,2,64,60.4,64,0,3,4,1,109,52,1.8,54.5
Brandon Carr,4454,CB,BLT,9,322,0,3,0,13.8,55.0,100.0,12.4,6.8,0,3,15.0,69.4,1,35,8.3,1,1,79.4,11,141,43.8,141,0,11,20,1,171,50,1.3,15.5,0,1,15.9,61.1,98.2,14.2,8.7,0,1,5.6,63.9,2,41,7.7,1,1,61.6,11,166,51.6,169,3,11,18,1,128,31,0.8,11.6
Orlando Scandrick,4457,CB,DAL,7,229,0,9,0,13.0,37.5,90.1,27.7,10.4,0,0,0.0,62.1,0,13,0.0,0,0,46.9,3,91,39.7,101,1,2,8,0,26,5,0.3,8.7,0,2,6.3,72.0,87.0,6.7,4.8,2,3,12.0,64.2,0,37,7.1,1,2,97.6,18,120,52.4,138,4,11,25,0,213,103,1.8,11.8
Erik Walden,4481,ED,TEN,8,31,0,31,0,2.0,100.0,10.5,8.0,8.0,0,0,0.0,50.1,0,16,0.0,0,0,118.8,1,9,29.0,86,1,1,1,0,16,14,2.0,16.0,0,0,,,20.5,,,0,0,,55.2,0,,50.0,1,0,0.0,0,16,51.6,78,1,1,0,0,0,0,0.0,
Wesley Woodyard,4583,LB,TEN,8,247,0,31,1,5.9,66.7,70.7,9.2,6.1,0,1,6.7,54.2,0,32,11.1,1,1,121.0,10,99,40.1,140,2,7,15,1,148,116,1.6,14.8,0,3,3.2,82.1,93.1,5.6,4.6,0,2,7.1,53.7,0,17,12.5,3,2,96.0,23,134,54.3,144,9,18,28,0,197,147,1.5,8.6
Leger Douzable,4654,ED,SF,3,2,0,28,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,16,0,0,0,0,0,0,,,0,0,17.0,0.0,5.1,,1.0,0,0,0.0,52.6,0,,,0,0,39.6,0,2,100.0,39,2,0,1,0,0,0,0.0,
Jerrell Freeman,4888,LB,CHI,1,32,0,6,0,6.0,100.0,100.0,9.0,9.0,0,0,0.0,54.2,0,11,0.0,0,0,112.5,1,10,31.3,10,0,1,1,0,11,5,1.2,11.0,0,0,10.8,80.0,90.5,4.8,3.8,0,0,0.0,31.6,0,18,25.0,1,0,101.7,4,19,59.4,21,1,3,5,0,42,9,2.2,10.5
