player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Adam Vinatieri,226,K,IND,15,0,6,5,83.3,7,6,85.7,14,69.5,0,0,,24,22,91.7,0,10,7,70.0,34,29,85.3,11,11,100.0
Phil Dawson,422,K,ARZ,16,0,5,4,80.0,13,10,76.9,1,62.7,1,1,100.0,26,23,88.5,0,14,10,71.4,40,32,80.0,7,7,100.0
Matt Bryant,1223,K,ATL,18,0,11,10,90.9,10,9,90.0,2,90.0,1,1,100.0,38,38,100.0,0,14,11,78.6,44,39,88.6,8,8,100.0
Mike Nugent,2264,K,CHI,8,0,1,1,100.0,5,4,80.0,6,60.9,0,0,,17,15,88.2,0,4,3,75.0,13,11,84.6,3,3,100.0
Robbie Gould,2607,K,SF,16,0,4,4,100.0,18,17,94.4,28,90.4,0,0,,30,28,93.3,0,11,11,100.0,41,39,95.1,8,7,87.5
Nick Novak,2726,K,LAC,7,0,2,1,50.0,2,0,0.0,27,47.7,0,0,,18,17,94.4,0,5,4,80.0,13,9,69.2,4,4,100.0
Stephen Gostkowski,3063,K,NE,18,0,5,4,80.0,11,8,72.7,19,76.5,0,0,,55,53,96.4,0,10,10,100.0,42,38,90.5,16,16,100.0
Matt Prater,3471,K,DET,16,0,11,7,63.6,8,7,87.5,11,87.7,2,2,100.0,41,40,97.6,0,10,10,100.0,35,30,85.7,4,4,100.0
Nick Folk,3794,K,TB,4,0,2,1,50.0,5,2,40.0,30,28.3,0,0,,9,7,77.8,0,2,1,50.0,11,6,54.5,2,2,100.0
Mason Crosby,3809,K,GB,14,0,3,1,33.3,4,4,100.0,12,55.2,0,0,,35,33,94.3,0,4,2,50.0,19,15,78.9,8,8,100.0
Stephen Hauschka,4655,K,BUF,17,0,9,7,77.8,9,7,77.8,4,85.0,0,0,,29,29,100.0,0,10,10,100.0,34,30,88.2,6,6,100.0
Connor Barth,4777,K,CHI,10,0,2,1,50.0,9,5,55.6,6,56.5,1,1,100.0,17,17,100.0,0,0,0,,16,11,68.8,4,4,100.0
Ryan Succop,5180,K,TEN,18,0,5,2,40.0,21,17,81.0,31,70.0,0,0,,36,34,94.4,0,7,7,100.0,43,36,83.7,10,10,100.0
