player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Shane Lechler,673,P,HST,14,81,81,4.36,41.86,48.94,11.5,0,0,8,19,13,75.5,33,68,8,1,50.6,473,41,81,353.31,3391,5,3964
Andy Lee,1906,P,ARZ,14,75,75,4.3,39.51,46.81,10.9,0,0,13,10,1,68.6,27,62,6,0,54.7,448,41,75,322.68,2963,5,3511
Donnie Jones,1939,P,PHI,14,52,52,4.22,41.56,46.15,6.6,1,0,12,9,24,60.7,18,62,4,0,40.4,139,21,53,219.63,2161,5,2400
Dustin Colquitt,2316,P,KC,14,59,59,4.48,40.56,44.59,6.9,0,0,8,20,16,55.6,30,63,4,0,39.0,158,23,59,264.21,2393,4,2631
Sam Koch,3148,P,BLT,14,74,74,4.31,41.31,45.42,8.7,0,0,13,15,3,72.1,37,67,15,0,37.8,244,28,74,319.2,3057,3,3361
Matt Prater,3471,K,DET,1,4,4,3.72,34.75,34.75,,0,0,2,2,11,43.1,1,47,0,0,0.0,0,0,4,14.89,139,0,139
Jon Ryan,3493,P,SEA,14,77,77,4.35,38.52,45.06,10.6,0,0,10,17,29,71.6,26,74,7,0,49.4,404,38,77,334.85,2966,5,3470
Brett Kern,4580,P,TEN,14,62,62,4.26,45.65,51.61,7.7,0,0,4,7,31,90.1,24,74,11,0,56.5,270,35,62,264.22,2830,5,3200
Kevin Huber,5066,P,CIN,14,76,76,4.24,41.83,47.46,9.9,1,0,12,18,7,61.0,32,63,6,0,48.7,368,37,77,322.09,3179,3,3607
Thomas Morstead,5088,P,NO,13,50,50,4.58,42.18,47.38,10.5,0,0,6,14,20,92.2,23,68,7,0,42.0,220,21,50,228.75,2109,2,2369
Britton Colquitt,5192,P,CLV,14,68,68,4.3,41.29,48.12,11.1,1,0,11,12,8,65.0,22,67,4,0,58.8,444,40,69,292.2,2808,1,3272
Matt Bosher,6344,P,ATL,14,43,43,4.65,40.72,44.47,7.6,0,0,3,18,2,72.0,16,62,4,0,37.2,121,16,43,199.83,1751,2,1912
Chris Jones,6798,P,DAL,14,56,56,4.64,41.73,43.79,3.9,0,0,10,20,9,82.4,32,62,9,0,25.0,55,14,56,259.71,2337,3,2452
Bryan Anger,7072,P,TB,14,62,62,4.54,39.52,43.66,6.3,1,0,7,20,30,68.0,24,62,5,0,40.3,157,25,63,281.41,2450,5,2707
Brad Nortman,7192,P,JAX,14,75,75,4.44,40.4,44.57,8.0,1,0,8,22,15,72.6,29,65,15,0,32.0,193,24,76,332.67,3030,6,3343
Johnny Hekker,7252,P,LA,14,54,54,4.39,44.52,47.63,5.4,0,0,8,11,26,78.2,28,70,12,0,37.0,108,20,54,237.31,2404,3,2572
Marquette King,7410,P,OAK,14,61,61,4.47,42.95,47.98,6.4,0,0,8,13,23,83.6,28,65,5,0,47.5,187,29,61,272.84,2620,6,2927
Ryan Quigley,7573,P,MIN,14,56,56,4.6,40.13,42.13,5.9,0,0,3,27,18,79.0,24,55,7,0,33.9,112,19,56,257.78,2247,0,2359
Jeff Locke,7937,P,DET,5,27,27,4.47,42.22,45.26,7.5,0,0,2,11,11,74.5,11,54,3,0,40.7,82,11,27,120.61,1140,0,1222
Sam Martin,7947,P,DET,7,30,30,4.17,38.8,43.7,6.7,0,0,3,8,11,51.2,10,64,5,0,33.3,67,10,30,125.15,1164,4,1311
Colton Schmidt,8104,P,BUF,14,72,72,4.21,40.56,44.43,5.3,0,0,8,15,4,59.4,28,60,10,0,47.2,179,34,72,303.24,2920,5,3199
Ryan Allen,8242,P,NE,14,49,49,4.1,40.24,43.53,4.8,0,0,10,11,19,46.6,20,60,4,0,42.9,101,21,49,200.78,1972,3,2133
Brad Wing,8256,P,NYG,14,80,80,4.07,37.88,44.54,10.1,2,0,13,14,21,48.8,18,69,7,0,48.8,393,39,82,325.78,3030,7,3563
Tress Way,8358,P,WAS,14,69,69,4.52,37.9,45.23,12.5,0,0,6,22,32,76.6,29,62,4,0,44.9,386,31,69,311.57,2615,6,3121
Pat O'Donnell,8826,P,CHI,14,72,72,4.19,39.29,46.71,11.4,0,0,9,14,6,58.3,26,69,6,0,52.8,434,38,72,301.44,2829,5,3363
Kasey Redfern,9155,P,DET,1,1,1,3.81,50.0,50.0,0.0,0,0,0,0,11,60.0,0,50,0,0,100.0,0,1,1,3.81,50,0,50
Michael Palardy,9277,P,CAR,14,61,61,4.5,42.34,46.25,6.1,0,0,9,16,5,72.8,23,63,6,0,42.6,158,26,61,274.66,2583,4,2821
Bradley Pinion,9598,P,SF,14,70,70,4.39,41.21,43.39,4.4,0,0,9,21,28,73.5,32,59,8,0,42.9,132,30,70,306.99,2885,1,3037
Jordan Berry,10236,P,PIT,14,57,57,4.52,39.72,43.44,8.2,0,0,6,19,25,77.5,25,62,9,0,36.8,172,21,57,257.43,2264,2,2476
Drew Kaser,10813,P,LAC,13,63,63,4.14,41.43,48.87,7.2,0,0,5,5,27,62.2,29,69,4,0,63.5,289,40,63,260.62,2610,9,3079
Riley Dixon,10862,P,DEN,14,64,64,4.24,41.17,46.14,9.6,2,0,10,21,10,57.5,20,60,3,0,42.2,258,27,66,271.47,2635,3,2953
Lachlan Edwards,10869,P,NYJ,14,78,78,4.18,40.19,46.58,10.4,0,0,9,17,22,58.8,29,70,7,0,53.8,438,42,78,325.65,3135,3,3633
Zane Gonzalez,11979,K,CLV,1,1,1,3.23,16.0,16.0,,0,0,0,0,8,60.0,0,16,1,0,0.0,0,0,1,3.23,16,0,16
Justin Vogel,12119,P,GB,14,59,59,4.39,42.59,45.0,4.9,0,0,8,21,12,57.7,20,62,4,0,42.4,122,25,59,259.26,2513,1,2655
Rigoberto Sanchez,12130,P,IND,14,77,77,4.4,43.01,44.87,5.5,1,0,19,25,14,72.5,27,61,13,0,19.5,83,15,78,338.44,3312,3,3455
Matt Haack,12212,P,MIA,14,77,77,4.33,40.84,44.81,6.4,0,0,17,19,17,61.0,32,64,4,0,41.6,205,32,77,333.65,3145,5,3450
