player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Antonio Brown,5718,WR,PIT,7,80,0,25,0,4.0,0,87.5,,0,0,0.0,0,2,0,91.1,61.8,0,16,0.0,0,38,7,94.7,36,90.6,8,10.0,0,46,38,5.4,6.6,1.28,9.5,4,81.8,50.0,1,2,0.0,0,6,1,90.7,92.9,0,51,0.0,0,36,9,97.2,35,149.1,11,13.8,1,173,105,11.7,19.2,4.94
Jarvis Landry,8698,WR,MIA,6,65,0,17,0,-2.4,2,100.0,,0,0,0.0,0,2,0,92.0,85.8,0,18,0.0,0,21,10,95.2,20,83.8,10,15.4,0,41,65,6.5,4.1,2.05,4.9,2,69.0,20.0,1,5,0.0,0,13,0,73.8,84.2,2,18,0.0,0,128,20,93.8,120,66.3,29,44.6,1,167,87,4.4,8.4,1.39
DeAndre Hopkins,7808,WR,HST,6,63,0,13,0,-1.0,0,100.0,,0,0,0.0,0,1,0,78.7,66.5,0,11,0.0,0,11,1,90.9,10,112.5,1,1.6,0,11,12,12.0,11.0,1.1,15.0,0,100.0,,0,0,0.0,0,1,0,80.3,73.4,0,15,0.0,0,34,1,88.2,30,118.8,1,1.6,0,15,0,0.0,15.0,0.5
Adam Thielen,8288,WR,MIN,7,62,0,18,0,-1.7,1,100.0,,0,0,0.0,0,0,0,88.7,56.1,0,9,0.0,0,30,3,93.3,28,79.2,3,4.8,0,9,14,4.7,3.0,0.32,9.5,4,69.4,60.0,6,10,0.0,0,11,2,91.0,75.5,0,44,0.0,0,150,25,91.3,137,94.3,36,58.1,0,297,95,3.8,11.9,2.17
Pierre Garcon,4519,WR,SF,7,61,0,28,0,-3.3,0,100.0,,0,0,0.0,0,1,0,90.2,52.7,0,5,0.0,0,18,3,94.4,17,80.6,3,4.9,0,10,20,6.7,3.3,0.59,7.9,0,78.6,,0,0,0.0,0,7,0,90.3,71.1,0,25,0.0,0,60,11,96.7,58,100.3,14,23.0,0,113,39,3.5,10.3,1.95
Larry Fitzgerald,1724,WR,ARZ,7,61,0,1,0,-1.8,2,91.7,,0,0,0.0,0,3,0,92.0,79.1,0,16,0.0,0,25,11,96.0,24,91.7,12,19.7,0,72,92,8.4,6.5,3.0,9.7,1,72.2,50.0,5,10,3.7,1,16,0,90.9,71.5,0,33,0.0,0,209,26,92.8,194,115.5,36,59.0,2,300,122,4.7,11.5,1.55
Keenan Allen,7857,WR,LAC,7,60,0,27,0,-2.0,0,100.0,,0,0,0.0,0,0,0,78.7,47.8,0,1,0.0,0,14,1,92.9,13,79.2,1,1.7,0,1,3,3.0,1.0,0.08,11.2,1,75.0,50.0,2,4,6.3,1,13,0,34.9,78.7,1,28,0.7,1,134,15,93.3,125,105.2,20,33.3,1,215,62,4.1,14.3,1.72
Christian McCaffrey,11763,HB,CAR,7,57,0,5,0,-3.8,1,94.7,,0,0,0.0,0,5,0,92.9,95.8,0,16,6.7,2,30,18,93.3,28,108.6,19,33.3,1,111,181,10.1,6.2,3.96,7.9,0,69.2,100.0,1,1,0.0,0,5,0,90.1,89.1,1,37,0.0,0,46,9,97.8,45,87.8,13,22.8,2,64,32,3.6,7.1,1.42
Mike Evans,8642,WR,TB,6,54,0,30,0,-2.0,0,100.0,,0,0,0.0,0,0,0,78.7,45.8,0,4,0.0,0,17,1,94.1,16,83.3,1,1.9,0,4,6,6.0,4.0,0.25,15.3,1,72.7,60.0,3,5,0.0,0,6,0,90.5,78.6,1,31,0.0,0,50,8,96.0,48,99.8,11,20.4,1,118,16,2.0,14.8,2.46
Dez Bryant,5549,WR,DAL,6,53,0,9,0,-3.0,0,100.0,,0,0,0.0,0,0,0,78.7,50.7,0,-3,0.0,0,10,1,100.0,10,79.2,1,1.9,0,-3,0,0.0,-3.0,-0.3,12.1,1,46.7,25.0,1,4,22.2,2,4,0,28.6,65.0,0,18,0.0,0,62,7,93.5,58,57.4,15,28.3,0,59,15,2.1,8.4,1.02
A.J. Green,6156,WR,CIN,6,53,0,7,0,-2.3,0,66.7,0.0,0,1,0.0,0,0,0,84.5,55.2,0,3,0.0,0,26,2,100.0,26,70.1,3,5.7,0,4,8,4.0,2.0,0.15,11.5,0,83.3,100.0,1,1,16.7,1,3,1,74.3,75.3,1,20,0.0,0,23,5,100.0,23,106.3,6,11.3,2,57,12,2.4,11.4,2.48
Alshon Jeffery,7048,WR,PHI,7,52,0,24,0,-4.0,0,100.0,,0,0,0.0,0,0,0,84.5,46.9,0,5,0.0,0,22,2,95.5,21,79.2,2,3.8,0,5,13,6.5,2.5,0.24,12.8,0,55.6,0.0,0,2,0.0,0,3,0,67.4,67.7,0,24,0.0,0,38,5,92.1,35,113.7,9,17.3,1,61,28,5.6,12.2,1.74
Amari Cooper,9437,WR,OAK,7,52,0,23,0,0.0,0,100.0,,0,0,0.0,0,0,0,78.7,43.7,0,5,0.0,0,22,1,95.5,21,87.5,1,1.9,0,5,5,5.0,5.0,0.24,11.5,0,70.6,33.3,1,3,14.3,2,8,0,26.4,56.6,0,45,0.0,0,52,12,88.5,46,115.3,17,32.7,1,142,75,6.3,11.8,3.09
Zach Ertz,7816,TE,PHI,7,51,0,24,0,,0,,,0,0,,0,0,0,,41.7,0,0,11.1,2,18,0,83.3,15,0.0,0,0.0,0,0,0,,,0.0,9.1,2,76.2,33.3,1,3,0.0,0,10,0,89.5,87.1,0,53,0.0,0,98,16,96.9,95,138.6,21,41.2,2,208,61,3.8,13.0,2.19
Julio Jones,6158,WR,ATL,6,50,0,2,0,-2.0,0,100.0,,0,0,0.0,0,1,0,88.7,66.4,0,18,0.0,0,15,3,100.0,15,97.2,3,6.0,0,22,28,9.3,7.3,1.47,14.6,0,50.0,25.0,1,4,14.3,1,4,0,69.5,74.6,0,18,0.0,0,43,6,100.0,43,66.7,12,24.0,0,66,38,6.3,11.0,1.53
Devin Funchess,9474,WR,CAR,7,50,0,5,0,-1.0,0,100.0,,0,0,0.0,0,0,0,78.7,43.2,0,-2,0.0,0,27,1,100.0,27,79.2,1,2.0,0,-2,-1,-1.0,-2.0,-0.07,12.5,0,63.6,50.0,1,2,0.0,0,5,0,69.2,73.3,1,24,0.0,0,61,7,95.1,58,78.6,11,22.0,1,82,25,3.6,11.7,1.41
Doug Baldwin,6615,WR,SEA,6,50,0,29,0,-5.0,0,100.0,,0,0,0.0,0,0,0,78.7,49.0,0,-3,0.0,0,9,1,88.9,8,79.2,1,2.0,0,-3,2,2.0,-3.0,-0.38,8.3,5,75.9,20.0,1,5,0.0,0,13,0,90.8,84.5,0,34,0.7,1,142,22,90.8,129,108.4,29,58.0,1,220,76,3.5,10.0,1.71
Michael Thomas,10681,WR,NO,6,49,0,20,0,-3.5,1,75.0,,0,0,0.0,0,2,0,88.7,57.1,0,12,0.0,0,41,3,95.1,39,90.6,4,8.2,0,25,37,12.3,8.3,0.64,4.3,1,58.3,100.0,1,1,0.0,0,5,0,67.1,76.3,0,14,0.0,0,44,7,90.9,40,73.3,12,24.5,0,65,55,7.9,9.3,1.63
Tyreek Hill,10799,WR,KC,7,49,0,16,0,-2.0,2,85.7,,0,0,14.3,1,1,0,32.0,82.0,0,18,0.0,0,29,6,96.6,28,95.2,7,14.3,0,48,64,10.7,8.0,1.71,11.4,1,68.8,33.3,1,3,8.3,1,6,0,66.8,84.2,0,75,1.3,1,76,11,93.4,71,145.8,16,32.7,2,180,91,8.3,16.4,2.54
Davante Adams,8688,WR,GB,7,48,0,12,0,2.3,0,100.0,,0,0,0.0,0,2,0,90.9,61.4,0,9,0.0,0,40,6,100.0,40,131.3,6,12.5,1,36,22,3.7,6.0,0.9,7.9,2,72.7,50.0,1,2,11.1,1,5,0,46.2,69.0,0,19,0.0,0,50,8,92.0,46,125.6,11,22.9,1,86,40,5.0,10.8,1.87
