player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Elijhaa Penny,11300,HB,ARZ,4,4.0,0,100.0,,0,0,0,0.0,0,0,1,0,64.7,66.7,57.3,74.9,61.8,0.0,0,0,6,28.6,2,7,0,1,71.4,5,0.0,0,91.7,1,0,0.0,0,6,2,2.0,6.0,1.2
Ricky Seals-Jones,12020,TE,ARZ,1,16.0,0,0.0,,0,0,0,100.0,1,0,1,0,28.0,,36.0,,25.8,0.0,0,0,0,0.0,0,1,0,0,100.0,1,0.0,0,39.6,1,0,0.0,0,0,0,,,0.0
Chris Thompson,12330,WR,HST,3,-4.0,0,100.0,,0,0,0,0.0,0,1,13,0,64.7,23.4,69.3,,68.2,0.0,0,0,19,0.0,0,6,0,1,100.0,6,16.7,1,118.8,1,0,83.3,5,19,23,23.0,19.0,3.17
Michael Burton,9601,FB,CHI,9,0.0,0,100.0,,0,0,0,0.0,0,0,6,0,64.7,64.6,59.0,86.0,58.5,3.0,1,0,8,27.3,9,33,1,1,66.7,22,6.1,2,100.0,1,0,6.1,2,8,8,8.0,8.0,0.36
Freddie Martino,9292,WR,TB,1,5.0,0,0.0,0.0,0,1,0,,0,0,30,0,,,57.1,,56.6,0.0,0,0,0,0.0,0,4,0,0,100.0,4,0.0,0,39.6,1,0,100.0,4,0,0,,,0.0
Anthony Sherman,6288,FB,KC,8,2.0,0,100.0,,0,0,0,0.0,0,1,16,0,64.7,65.3,76.0,74.4,55.3,34.8,8,0,11,13.0,3,23,0,1,87.0,20,0.0,0,112.5,1,0,0.0,0,11,9,9.0,11.0,0.55
Jordan Leslie,9897,WR,CLV,2,21.0,0,100.0,100.0,1,1,0,0.0,0,1,8,0,64.7,61.2,74.9,,73.6,0.0,0,0,26,0.0,0,18,0,1,88.9,16,16.7,3,118.8,1,0,83.3,15,26,5,5.0,26.0,1.63
Noah Brown,11993,WR,DAL,5,13.0,0,100.0,,0,0,0,0.0,0,1,9,0,64.7,61.2,74.6,,63.2,15.4,2,0,13,0.0,0,13,0,1,92.3,12,15.4,2,118.8,1,0,69.2,9,13,0,0.0,13.0,1.08
Sean McGrath,7515,TE,LAC,8,3.0,0,100.0,,0,0,0,0.0,0,1,27,0,64.7,61.2,66.7,74.6,55.8,87.2,41,0,10,40.4,19,47,1,1,53.2,25,8.5,4,108.3,1,0,2.1,1,10,7,7.0,10.0,0.4
Cameron Artis-Payne,9607,HB,CAR,2,-4.0,0,100.0,,0,0,0,0.0,0,0,5,0,64.7,74.9,74.0,,63.1,0.0,0,0,2,0.0,0,3,0,1,100.0,3,0.0,0,79.2,1,0,0.0,0,2,6,6.0,2.0,0.67
Cethan Carter,47149,TE,CIN,5,21.0,0,0.0,,0,0,0,100.0,1,0,7,0,27.9,,59.4,77.2,29.8,21.4,3,0,0,35.7,5,14,0,0,64.3,9,21.4,3,39.6,1,0,0.0,0,0,0,,,0.0
Matt LaCosse,9840,TE,NYG,3,2.0,0,0.0,,0,0,0,,0,0,21,0,,,49.5,66.4,50.4,81.8,9,0,0,9.1,1,11,0,0,81.8,9,0.0,0,39.6,1,0,18.2,2,0,0,,,0.0
Hunter Sharp,11078,WR,DEN,1,9.0,0,0.0,,0,0,0,,0,0,10,0,,73.6,51.6,,52.0,0.0,0,0,0,0.0,0,22,0,0,86.4,19,18.2,4,39.6,1,0,81.8,18,0,0,,,0.0
Charone Peake,10875,WR,NYJ,3,2.0,0,100.0,,0,0,0,0.0,0,1,22,0,64.7,61.2,57.8,,62.6,0.0,0,0,3,0.0,0,12,0,1,83.3,10,33.3,4,79.2,1,0,66.7,8,3,1,1.0,3.0,0.3
Marcus Williams,9115,CB,HST,1,5.0,0,100.0,,0,0,0,0.0,0,1,13,0,64.7,61.2,81.4,,79.3,0.0,0,0,31,0.0,0,1,2,1,100.0,1,0.0,0,118.8,1,0,0.0,0,31,26,26.0,31.0,31.0
Allen Robinson II,8696,WR,JAX,1,16.0,0,100.0,,0,0,0,0.0,0,1,15,0,64.7,61.2,88.3,,79.1,0.0,0,0,17,0.0,0,1,0,1,100.0,1,0.0,0,118.8,1,0,100.0,1,17,1,1.0,17.0,17.0
Ed Eagan,11121,WR,NYG,1,-2.0,0,0.0,,0,0,0,100.0,1,0,21,0,27.9,71.2,37.7,,39.9,0.0,0,0,0,0.0,0,3,0,0,100.0,3,66.7,2,39.6,1,0,33.3,1,0,0,,,0.0
Mack Brown,10115,HB,MIN,2,2.0,1,100.0,,0,0,0,0.0,0,1,18,0,64.7,73.1,68.4,72.4,71.2,0.0,0,0,11,20.0,1,5,0,1,80.0,4,0.0,0,112.5,1,0,20.0,1,11,9,9.0,11.0,2.75
Ryan Hewitt,9107,TE,CIN,6,13.0,0,100.0,,0,0,0,0.0,0,1,7,0,64.7,61.2,71.5,73.4,73.2,9.1,1,0,16,9.1,1,11,0,1,90.9,10,18.2,2,118.8,1,0,18.2,2,16,3,3.0,16.0,1.6
Xavier Grimble,9092,TE,PIT,6,12.0,0,100.0,100.0,1,1,0,0.0,0,0,25,0,68.3,64.0,68.2,53.9,58.7,65.4,17,0,12,11.5,3,26,0,1,76.9,20,26.9,7,116.7,1,0,7.7,2,12,0,0.0,12.0,0.6
Stacy Coley,11974,WR,MIN,3,-1.0,0,0.0,,0,0,0,,0,0,18,0,,69.2,53.1,,53.2,0.0,0,0,0,0.0,0,12,0,0,91.7,11,25.0,3,39.6,1,0,75.0,9,0,0,,,0.0
