player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Julius Peppers,1010,ED,CAR,6,0,0,5,64.6,2,6,118,99.2,11.0,13,0,10.2,8,126,125,16,0,64.6,2,5,64,98.5,14.1,9,13.3,5,68,67,12
James Harrison,1251,ED,PIT,3,0,0,25,82.9,1,2,10,64.7,30.0,3,0,25.0,1,17,11,4,0,86.1,1,2,7,88.9,42.9,3,35.7,1,9,8,4
Terence Newman,1321,CB,MIN,6,0,0,18,75.2,0,0,3,2.0,33.3,1,1,0.0,0,149,3,0,0,,0,0,0,0.0,,0,,0,61,0,0
Terrell Suggs,1326,ED,BLT,6,1,1,3,68.1,4,12,146,97.5,15.8,23,2,8.9,5,163,159,21,0,71.2,2,8,76,97.6,19.7,15,11.8,4,85,83,14
Karlos Dansby,1754,LB,ARZ,6,0,0,1,61.3,0,4,22,10.5,13.6,3,0,9.1,0,229,24,4,0,68.5,0,4,15,15.0,20.0,3,13.3,0,100,15,4
Mike Adams,1972,S,CAR,6,0,0,5,63.1,2,0,13,5.4,0.0,0,1,7.7,0,242,13,2,0,60.4,1,0,7,6.1,0.0,0,7.1,0,115,7,1
Thomas Davis Sr.,2231,LB,CAR,6,0,1,5,76.0,2,2,30,19.9,20.0,6,1,13.3,2,171,34,6,0,77.2,1,1,16,27.1,25.0,4,12.5,1,70,19,3
Derrick Johnson,2232,LB,KC,6,0,0,16,47.1,0,3,17,7.3,11.8,2,0,8.8,0,232,17,3,0,49.1,0,3,10,10.8,20.0,2,15.0,0,93,10,3
Lorenzo Alexander,2476,ED,BUF,5,0,0,4,70.7,4,10,72,50.3,25.0,18,1,12.5,2,153,77,16,0,71.1,2,7,47,65.4,25.5,12,13.8,2,78,51,11
Ahmad Brooks,2945,ED,GB,4,0,0,12,58.4,2,3,53,100.0,11.3,6,0,6.6,1,56,56,6,0,60.4,1,2,33,100.0,15.2,5,7.6,1,35,35,4
Haloti Ngata,2957,DI,DET,5,1,0,11,75.5,1,4,82,97.8,11.0,9,1,5.5,2,93,91,7,0,80.4,1,4,38,100.0,18.4,7,11.8,2,43,43,7
Frostee Rucker,3036,DI,ARZ,6,1,0,1,56.3,3,5,145,99.4,7.6,11,1,3.4,1,156,155,9,0,56.1,1,4,65,100.0,10.8,7,5.4,1,68,68,6
Domata Peko Sr.,3068,DI,DEN,5,0,0,10,57.8,0,2,56,100.0,3.6,2,0,1.8,0,58,58,2,0,62.5,0,1,19,100.0,5.3,1,2.6,0,20,20,1
Elvis Dumervil,3071,ED,SF,6,0,0,28,71.2,1,10,91,98.0,22.0,20,1,10.4,4,100,98,15,0,74.7,1,10,63,98.6,28.6,18,15.1,4,71,70,15
