player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Julius Peppers,1010,ED,CAR,2,0,0,5,64.4,1,1,43,100.0,9.3,4,0,11.6,4,44,44,6,0,68.9,1,1,24,100.0,12.5,3,16.7,3,24,24,5
James Harrison,1251,ED,PIT,1,0,0,25,68.9,0,1,1,100.0,100.0,1,0,50.0,0,2,2,1,0,68.9,0,1,1,100.0,100.0,1,50.0,0,2,2,1
Terence Newman,1321,CB,MIN,2,0,0,18,60.0,0,0,1,1.8,0.0,0,1,0.0,0,55,1,0,0,,0,0,0,0.0,,0,,0,24,0,0
Terrell Suggs,1326,ED,BLT,2,1,0,3,76.2,2,5,58,97.0,19.0,11,1,11.2,3,66,64,10,0,80.4,2,4,37,97.6,27.0,10,16.2,3,42,41,9
Karlos Dansby,1754,LB,ARZ,2,0,0,1,51.4,0,0,5,6.0,0.0,0,0,0.0,0,84,5,0,0,51.8,0,0,4,9.8,0.0,0,0.0,0,41,4,0
Mike Adams,1972,S,CAR,2,0,0,5,61.5,1,0,6,7.7,0.0,0,0,8.3,0,78,6,1,0,62.9,1,0,5,14.7,0.0,0,10.0,0,34,5,1
Thomas Davis Sr.,2231,LB,CAR,2,0,0,5,75.4,0,1,12,16.7,25.0,3,0,12.5,1,78,13,2,0,74.1,0,1,8,26.5,25.0,2,18.8,1,34,9,2
Derrick Johnson,2232,LB,KC,2,0,0,16,50.6,0,1,8,7.8,12.5,1,0,6.3,0,103,8,1,0,52.2,0,1,5,11.4,20.0,1,10.0,0,44,5,1
Lorenzo Alexander,2476,ED,BUF,2,0,0,4,69.5,1,6,23,53.3,30.4,7,0,19.6,1,45,24,8,0,73.2,1,4,15,64.0,26.7,4,23.3,1,25,16,6
Ahmad Brooks,2945,ED,GB,1,0,0,12,51.6,0,0,5,100.0,0.0,0,0,0.0,0,5,5,0,0,51.6,0,0,5,100.0,0.0,0,0.0,0,5,5,0
Haloti Ngata,2957,DI,DET,2,1,0,11,70.2,0,2,42,98.0,7.1,3,0,4.8,1,49,48,3,0,76.5,0,2,22,100.0,13.6,3,9.1,1,25,25,3
Frostee Rucker,3036,DI,ARZ,2,0,0,1,55.5,2,1,49,98.1,6.1,3,0,3.1,0,52,51,3,0,52.1,0,1,27,100.0,3.7,1,1.9,0,27,27,1
Domata Peko Sr.,3068,DI,DEN,2,0,0,10,63.0,0,1,21,100.0,4.8,1,0,2.4,0,22,22,1,0,75.2,0,1,5,100.0,20.0,1,10.0,0,6,6,1
Elvis Dumervil,3071,ED,SF,2,0,0,28,65.1,1,5,32,100.0,25.0,8,1,9.4,0,33,33,6,0,69.5,1,5,23,100.0,34.8,8,13.0,0,24,24,6
Kyle Williams,3079,DI,BUF,2,1,0,4,61.8,1,4,55,95.2,5.5,3,0,4.5,0,62,59,5,0,56.3,1,2,25,96.3,4.0,1,6.0,0,27,26,3
Antoine Bethea,3152,S,ARZ,2,0,0,1,67.6,1,0,1,1.2,0.0,0,0,50.0,0,81,1,1,0,67.6,1,0,1,2.3,0.0,0,50.0,0,44,1,1
Tom Johnson,3378,DI,MIN,2,0,1,18,54.7,0,0,62,100.0,1.6,1,2,0.0,0,68,68,0,0,55.6,0,0,31,100.0,0.0,0,0.0,0,35,35,0
Reggie Nelson,3637,S,OAK,2,0,0,23,56.7,0,1,4,5.2,25.0,1,0,12.5,0,77,4,1,0,,0,1,0,0.0,,1,,0,39,0,1
Alan Branch,3649,DI,NE,2,0,0,19,62.2,0,0,24,100.0,8.3,2,0,0.0,0,24,24,0,0,69.7,0,0,11,100.0,18.2,2,0.0,0,11,11,0
Paul Posluszny,3650,LB,JAX,2,0,0,15,54.7,0,0,2,12.5,0.0,0,0,0.0,0,16,2,0,0,59.9,0,0,1,25.0,0.0,0,0.0,0,4,1,0
Eric Weddle,3653,S,BLT,2,0,0,3,59.1,0,0,0,1.1,,0,0,,0,93,1,0,0,,0,0,0,0.0,,0,,0,53,0,0
Justin Durant,3664,LB,DAL,2,0,0,9,55.5,0,0,2,66.7,0.0,0,0,0.0,0,3,2,0,0,55.5,0,0,2,66.7,0.0,0,0.0,0,3,2,0
Charles Johnson,3699,ED,CAR,2,0,0,5,55.7,1,2,38,95.1,5.3,2,2,3.9,0,41,39,3,0,54.8,0,1,13,86.7,7.7,1,3.8,0,15,13,1
Brandon Mebane,3701,DI,LAC,2,0,0,27,58.0,0,1,38,97.4,2.6,1,0,1.3,0,39,38,1,0,62.9,0,1,8,100.0,0.0,0,6.3,0,8,8,1
Brian Robison,3718,ED,MIN,2,0,0,18,55.4,0,5,53,98.3,7.5,4,1,4.7,0,58,57,5,0,60.5,0,3,31,100.0,6.5,2,4.8,0,35,35,3
Chris Long,4316,ED,PHI,2,0,0,24,53.4,0,2,33,100.0,9.1,3,0,6.1,1,34,34,3,0,52.3,0,1,14,100.0,14.3,2,10.7,1,15,15,2
Dominique Rodgers-Cromartie,4330,CB,NYG,2,0,0,21,72.0,0,1,3,6.1,33.3,1,0,16.7,0,66,4,1,0,60.0,0,0,1,4.0,0.0,0,0.0,0,25,1,0
Calais Campbell,4364,ED,JAX,2,0,0,15,87.7,1,7,66,98.7,22.7,15,0,13.6,5,79,78,13,0,88.9,0,5,37,100.0,29.7,11,20.3,5,44,44,10
Pat Sims,4391,DI,CIN,2,0,0,7,67.1,0,1,16,100.0,6.3,1,1,3.1,0,19,19,1,0,56.2,0,1,3,100.0,33.3,1,16.7,0,4,4,1
Cliff Avril,4406,ED,SEA,2,0,0,29,53.4,1,0,49,93.3,8.2,4,3,3.1,1,60,56,2,0,55.9,1,0,25,96.8,12.0,3,6.0,1,31,30,2
Tyvon Branch,4414,S,ARZ,2,1,0,1,77.6,0,0,2,3.4,0.0,0,0,0.0,0,89,3,0,1,69.5,0,0,1,2.2,0.0,0,0.0,0,46,1,0
William Hayes,4417,ED,MIA,1,0,0,17,78.3,1,3,17,100.0,23.5,4,0,17.6,1,17,17,5,0,67.4,0,1,8,100.0,25.0,2,18.8,1,8,8,2
Erik Walden,4481,ED,TEN,2,0,0,31,72.4,0,2,34,80.4,14.7,5,0,2.9,0,46,37,2,0,63.7,0,0,15,85.7,0.0,0,0.0,0,21,18,0
Wesley Woodyard,4583,LB,TEN,2,0,0,31,59.4,0,0,10,24.5,10.0,1,0,10.0,1,49,12,1,0,65.9,0,0,5,30.0,20.0,1,20.0,1,20,6,1
Jerrell Freeman,4888,LB,CHI,1,0,0,6,73.6,0,1,1,5.9,100.0,1,0,50.0,0,34,2,1,0,73.6,0,1,1,12.5,100.0,1,50.0,0,16,2,1
Cameron Wake,4907,ED,MIA,1,0,0,17,63.2,0,3,22,96.2,13.6,3,0,6.8,0,26,25,3,0,62.4,0,2,10,91.7,20.0,2,10.0,0,12,11,2
Brian Orakpo,4936,ED,TEN,2,0,0,31,68.2,1,2,48,85.2,8.3,4,0,5.2,1,61,52,4,0,79.0,0,2,23,92.9,13.0,3,8.7,1,28,26,3
Malcolm Jenkins,4937,S,PHI,2,0,0,24,52.3,1,1,9,11.8,11.1,1,0,11.1,0,85,10,2,0,56.2,0,0,1,5.7,0.0,0,0.0,0,35,2,0
Brian Cushing,4938,LB,HST,1,0,0,13,59.4,0,0,1,11.1,0.0,0,1,0.0,0,9,1,0,0,59.4,0,0,1,33.3,0.0,0,0.0,0,3,1,0
Robert Ayers,4941,ED,TB,1,0,0,30,69.2,1,3,33,97.2,21.2,7,0,6.1,0,36,35,4,0,57.6,0,2,19,100.0,10.5,2,5.3,0,20,20,2
Clay Matthews,4949,ED,GB,2,0,0,12,74.9,0,4,58,100.0,19.0,11,0,6.9,2,59,59,6,0,86.9,0,4,23,100.0,34.8,8,17.4,2,24,24,6
Ziggy Hood,4955,DI,WAS,2,0,0,32,59.2,0,2,31,100.0,6.5,2,0,3.2,0,33,33,2,0,62.5,0,1,8,100.0,12.5,1,6.3,0,8,8,1
Patrick Chung,4957,S,NE,2,0,0,19,56.6,0,0,2,2.8,0.0,0,0,0.0,0,72,2,0,0,60.0,0,0,1,3.8,0.0,0,0.0,0,26,1,0
Connor Barwin,4969,ED,LA,2,0,0,26,51.0,0,1,39,85.4,5.1,2,0,1.3,0,48,41,1,0,53.4,0,1,23,85.7,8.7,2,2.2,0,28,24,1
Mike Mitchell,4970,S,PIT,2,0,0,25,68.5,0,1,2,2.9,50.0,1,0,25.0,0,70,2,1,0,68.5,0,1,2,5.1,50.0,1,25.0,0,39,2,1
Michael Johnson,4993,ED,CIN,1,0,0,7,64.3,0,1,9,100.0,11.1,1,0,5.6,0,11,11,1,0,54.3,0,0,4,100.0,0.0,0,0.0,0,4,4,0
Roy Miller,5004,DI,KC,2,1,0,16,67.5,0,0,9,100.0,0.0,0,0,0.0,0,9,9,0,0,56.5,0,0,4,100.0,0.0,0,0.0,0,4,4,0
Lardarius Webb,5011,CB,BLT,2,0,0,3,56.4,0,0,2,3.0,0.0,0,0,0.0,0,67,2,0,0,59.5,0,0,1,2.5,0.0,0,0.0,0,40,1,0
Glover Quin,5035,S,DET,2,0,0,11,58.9,0,0,1,2.1,0.0,0,0,0.0,0,94,2,0,0,,0,0,0,0.0,,0,,0,44,0,0
Jason McCourty,5127,CB,CLV,2,0,0,8,58.5,0,0,1,1.3,0.0,0,0,0.0,0,76,1,0,0,,0,0,0,0.0,,0,,0,25,0,0
Captain Munnerlyn,5140,CB,CAR,2,0,0,5,65.1,0,1,7,13.5,0.0,0,0,7.1,0,52,7,1,0,53.6,0,0,3,11.1,0.0,0,0.0,0,27,3,0
Ricky Jean Francois,5168,DI,GB,1,0,0,12,55.9,0,0,5,100.0,0.0,0,0,0.0,0,5,5,0,0,57.7,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Clinton McDonald,5173,DI,TB,1,0,0,30,58.2,0,1,16,88.9,0.0,0,1,3.1,0,18,16,1,0,61.2,0,1,9,100.0,0.0,0,5.6,0,9,9,1
Chris Baker,5188,DI,TB,1,0,0,30,60.3,1,0,11,86.7,18.2,2,0,4.5,0,15,13,1,0,54.9,1,0,5,100.0,20.0,1,10.0,0,6,6,1
Steve McLendon,5232,DI,NYJ,2,0,0,22,51.8,0,0,27,100.0,0.0,0,0,0.0,0,27,27,0,0,54.9,0,0,6,100.0,0.0,0,0.0,0,6,6,0
Michael Bennett,5273,ED,SEA,2,1,0,29,66.5,2,5,65,100.0,13.8,9,2,10.0,3,71,71,10,1,65.9,0,3,30,100.0,20.0,6,15.0,3,34,34,6
Ramon Humber,5310,LB,BUF,2,0,0,4,49.6,0,0,10,15.9,0.0,0,0,0.0,0,82,13,0,0,53.6,0,0,3,8.6,0.0,0,0.0,0,35,3,0
