player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Rasul Douglas,11854,CB,PHI,1,1,,1.0,24,0,39.6,0,1,0,0,0,0.0
E.J. Gaines,8823,CB,BUF,2,5,,5.0,4,0,39.6,0,1,0,0,0,0.0
Nicholas Morrow,51674,LB,OAK,2,4,,4.0,23,0,39.6,0,1,0,0,0,0.0
Johnathan Joseph,2969,CB,HST,1,4,,4.0,13,0,39.6,0,1,0,0,0,0.0
Marcus Peters,9451,CB,KC,2,9,,9.0,16,0,39.6,0,1,0,0,0,0.0
William Gay,3786,CB,PIT,2,17,,17.0,25,0,39.6,0,1,0,0,0,0.0
Bud Dupree,9455,ED,PIT,1,3,,3.0,25,0,39.6,0,1,0,0,0,0.0
Tyvon Branch,4414,S,ARZ,2,24,,24.0,1,0,39.6,0,1,0,0,0,0.0
Shaq Thompson,9458,LB,CAR,2,10,,10.0,5,0,39.6,0,1,0,0,0,0.0
Orlando Scandrick,4457,CB,DAL,1,3,,3.0,9,0,39.6,0,1,0,0,0,0.0
James Bradberry,10696,CB,CAR,1,1,,1.0,5,0,39.6,0,1,0,0,0,0.0
C.J. Mosley,8652,LB,BLT,2,5,,5.0,3,0,39.6,0,1,0,0,0,0.0
Eric Kendricks,9478,LB,MIN,2,4,,4.0,18,0,39.6,0,1,0,0,0,0.0
Malik Hooker,11770,S,IND,2,3,,3.0,14,0,39.6,0,1,0,0,0,0.0
T.J. Ward,5563,S,TB,1,11,,11.0,30,0,39.6,0,1,0,0,0,0.0
Morgan Burnett,5596,S,GB,2,5,,5.0,12,0,39.6,0,1,0,0,0,0.0
James Burgess,11202,LB,CLV,1,1,,1.0,8,0,39.6,0,1,0,0,0,0.0
A.J. Bouye,8110,CB,JAX,1,3,,3.0,15,0,39.6,0,1,0,0,0,0.0
Vince Williams,7988,LB,PIT,2,5,,5.0,25,0,39.6,0,1,0,0,0,0.0
Anthony Levine,6013,S,BLT,2,7,,7.0,3,0,39.6,0,1,0,0,0,0.0
Davon House,6283,CB,GB,2,3,,3.0,12,0,39.6,0,1,0,0,0,0.0
Matthias Farley,10953,S,IND,1,7,,7.0,14,0,39.6,0,1,0,0,0,0.0
Dre Kirkpatrick,7023,CB,CIN,2,2,,2.0,7,0,39.6,0,1,0,0,0,0.0
Jackrabbit Jenkins,7043,CB,NYG,1,3,,1.5,21,0,39.6,0,2,0,0,0,0.0
Jalen Ramsey,10639,CB,JAX,2,4,,4.0,15,0,39.6,0,1,0,0,0,0.0
Bobby Wagner,7050,LB,SEA,2,6,,6.0,29,0,39.6,0,1,0,0,0,0.0
Tavon Wilson,7051,S,DET,1,13,,13.0,11,0,39.6,0,1,0,0,0,0.0
Alec Ogletree,7811,LB,LA,1,1,,1.0,26,0,39.6,0,1,0,0,0,0.0
Casey Hayward Jr.,7064,CB,LAC,1,2,,1.0,27,0,39.6,0,2,0,0,0,0.0
Trumaine Johnson,7067,CB,LA,2,9,,9.0,26,1,0.0,0,1,0,0,0,0.0
Miles Killebrew,10745,S,DET,2,7,,3.5,11,0,39.6,0,2,0,0,0,0.0
George Iloka,7159,S,CIN,2,6,,6.0,7,0,39.6,0,1,0,0,0,0.0
Danny Trevathan,7177,LB,CHI,2,6,,6.0,6,0,39.6,0,1,0,0,0,0.0
Eric Weddle,3653,S,BLT,2,15,,15.0,3,1,0.0,0,1,0,0,0,0.0
Buster Skrine,6289,CB,NYJ,2,38,38.0,19.0,22,0,56.3,1,2,0,1,0,0.03
Patrick Robinson,5557,CB,PHI,2,34,34.0,17.0,24,0,56.3,1,2,0,5,3,0.15
Bobby McCain,9578,CB,MIA,1,32,32.0,32.0,17,0,83.3,1,1,0,4,6,0.13
Briean Boddy-Calhoun,10903,CB,CLV,2,29,29.0,9.7,8,0,81.9,1,3,1,2,0,0.07
Anthony Brown,10823,CB,DAL,2,27,27.0,9.0,9,1,43.8,1,3,1,10,0,0.37
Chris Harris Jr.,6457,CB,DEN,2,76,25.3,9.5,10,0,85.4,3,8,1,16,11,0.21
Eric Berry,5530,S,KC,1,20,20.0,6.7,16,0,52.1,1,3,0,16,2,0.8
Kam Chancellor,5656,S,SEA,2,19,19.0,9.5,29,0,56.3,1,2,0,5,2,0.26
Captain Munnerlyn,5140,CB,CAR,2,38,19.0,19.0,5,0,110.4,2,2,0,21,19,0.55
Darqueze Dennard,8659,CB,CIN,2,37,18.5,7.4,7,0,120.8,2,5,1,55,46,1.49
Mackensie Alexander,10688,CB,MIN,2,34,17.0,11.3,18,0,77.1,2,3,0,14,17,0.41
Cory James,10828,LB,OAK,2,17,17.0,17.0,23,0,118.8,1,1,0,13,3,0.76
Quandre Diggs,9633,CB,DET,2,67,16.8,7.4,11,0,52.5,4,9,0,29,10,0.43
Logan Ryan,7864,CB,TEN,2,58,14.5,11.6,31,0,154.6,4,5,2,58,13,1.0
Phillip Gaines,8722,CB,KC,2,69,13.8,6.9,16,0,117.5,5,10,1,97,24,1.41
Bryce Callahan,10000,CB,CHI,2,41,13.7,5.9,6,0,50.3,3,7,0,18,2,0.44
Malcolm Jenkins,4937,S,PHI,2,27,13.5,9.0,24,0,71.5,2,3,0,10,8,0.37
Terrance Mitchell,8888,CB,KC,2,13,13.0,6.5,16,0,56.3,1,2,0,5,0,0.38
Jordan Poyer,8000,S,BUF,2,13,13.0,13.0,4,0,118.8,1,1,0,21,6,1.62
Chris Conte,6245,S,TB,1,13,13.0,6.5,30,0,68.8,1,2,0,12,5,0.92
Trevor Williams,11004,CB,LAC,2,25,12.5,12.5,27,0,118.8,2,2,0,33,4,1.32
Brandon Carr,4454,CB,BLT,2,12,12.0,12.0,3,0,83.3,1,1,0,4,3,0.33
Dominique Rodgers-Cromartie,4330,CB,NYG,2,48,12.0,8.0,21,0,79.2,4,6,0,31,25,0.65
Sean Davis,10692,S,PIT,2,12,12.0,12.0,25,0,100.0,1,1,0,8,2,0.67
Eric Rowe,9480,CB,NE,2,35,11.7,7.0,19,0,104.2,3,5,0,80,32,2.29
Glover Quin,5035,S,DET,2,11,11.0,11.0,11,0,95.8,1,1,0,7,1,0.64
Jordan Richards,9497,S,NE,2,11,11.0,11.0,19,0,104.2,1,1,0,9,0,0.82
Ron Parker,6625,S,KC,2,11,11.0,11.0,16,0,118.8,1,1,0,27,2,2.45
Andrew Sendejo,6118,S,MIN,2,11,11.0,11.0,18,0,100.0,1,1,0,8,3,0.73
Tashaun Gipson Sr.,7288,S,JAX,2,21,10.5,10.5,15,0,114.6,2,2,0,23,0,1.1
T.J. Carrie,8853,CB,OAK,2,61,10.2,7.6,23,0,82.3,6,8,0,34,35,0.56
Nate Hairston,11913,CB,IND,2,51,10.2,5.7,14,0,75.2,5,9,0,58,45,1.14
Mike Adams,1972,S,CAR,2,10,10.0,10.0,5,0,118.8,1,1,0,13,7,1.3
Eddie Pleasant,7593,S,HST,2,10,10.0,3.3,13,0,42.4,1,3,0,6,2,0.6
Quintin Demps,4431,S,CHI,2,10,10.0,5.0,6,0,81.3,1,2,0,18,2,1.8
Eddie Jackson,11867,S,CHI,2,10,10.0,10.0,6,0,118.8,1,1,0,17,1,1.7
Lardarius Webb,5011,CB,BLT,2,58,9.7,5.3,3,1,59.3,6,11,0,131,37,2.26
Tyrann Mathieu,7850,CB,ARZ,2,64,9.1,7.1,1,1,67.8,7,9,0,88,44,1.38
Nickell Robey-Coleman,8483,CB,LA,2,9,9.0,4.5,26,0,60.4,1,2,0,8,6,0.89
Duke Riley,11830,LB,ATL,2,9,9.0,9.0,2,0,112.5,1,1,0,11,4,1.22
Eric Reid,7799,S,SF,2,18,9.0,4.5,28,0,56.3,2,4,0,7,2,0.39
Jayon Brown,11910,LB,TEN,2,9,9.0,4.5,31,0,56.3,1,2,0,0,0,0.0
Jahleel Addae,8117,S,LAC,2,18,9.0,6.0,27,0,70.1,2,3,0,3,10,0.17
A.J. Klein,7930,LB,NO,2,9,9.0,4.5,20,0,56.3,1,2,0,4,0,0.44
Damarious Randall,9463,CB,GB,2,9,9.0,9.0,12,0,118.8,1,1,0,21,3,2.33
De'Vondre Campbell,10749,LB,ATL,2,18,9.0,6.0,2,0,95.1,2,3,0,27,15,1.5
Christian Kirksey,8706,LB,CLV,2,9,9.0,4.5,8,0,58.3,1,2,0,7,-2,0.78
Aaron Colvin,8749,CB,JAX,2,53,8.8,5.9,15,0,84.0,6,9,0,57,12,1.08
Lamarcus Joyner,8676,S,LA,2,34,8.5,4.9,26,1,39.9,4,7,0,50,37,1.47
Keanu Neal,10651,S,ATL,2,32,8.0,5.3,2,0,71.5,4,6,0,20,13,0.63
Johnathan Cyprien,7814,S,TEN,1,8,8.0,8.0,31,0,118.8,1,1,0,22,8,2.75
Mychal Kendricks,7049,LB,PHI,2,8,8.0,8.0,24,0,116.7,1,1,0,12,14,1.5
Deshazor Everett,9940,S,WAS,2,8,8.0,8.0,32,0,104.2,1,1,0,9,4,1.13
Robert McClain,5771,CB,TB,1,32,8.0,5.3,30,1,85.4,4,6,1,40,13,1.25
Jaquiski Tartt,9479,S,SF,2,16,8.0,5.3,28,0,84.0,2,3,0,19,29,1.19
Jourdan Lewis,11846,CB,DAL,1,8,8.0,8.0,9,0,104.2,1,1,0,9,6,1.13
Deion Jones,10686,LB,ATL,2,16,8.0,4.0,2,0,56.3,2,4,0,10,6,0.63
Kareem Jackson,5545,CB,HST,2,31,7.8,5.2,13,0,109.7,4,6,0,75,13,2.42
Justin Coleman,9892,CB,SEA,1,23,7.7,3.8,29,0,70.1,3,6,0,38,34,1.65
Earl Thomas III,5539,S,SEA,2,15,7.5,7.5,29,0,79.2,2,2,0,2,4,0.13
Patrick Peterson,6157,CB,ARZ,2,7,7.0,7.0,1,0,118.8,1,1,0,16,1,2.29
Patrick Chung,4957,S,NE,2,21,7.0,4.2,19,0,116.7,3,5,1,30,19,1.43
Jatavis Brown,10809,LB,LAC,2,7,7.0,7.0,27,0,104.2,1,1,0,9,0,1.29
Jeremy Lane,7164,CB,SEA,2,21,7.0,5.3,29,0,90.6,3,4,0,25,18,1.19
K.J. Wright,6251,LB,SEA,2,21,7.0,4.2,29,0,77.9,3,5,0,31,7,1.48
Jonathan Jones,11217,CB,NE,2,21,7.0,3.5,19,0,79.9,3,6,0,52,25,2.48
Barry Church,5924,S,JAX,1,7,7.0,7.0,15,0,79.2,1,1,0,3,1,0.43
Brian Poole,11052,CB,ATL,2,69,6.9,5.3,2,0,91.2,10,13,0,78,49,1.13
Mike Hilton,10898,CB,PIT,2,46,6.6,5.8,25,0,92.7,7,8,0,50,9,1.09
Terence Newman,1321,CB,MIN,2,26,6.5,3.3,18,0,69.8,4,8,0,50,8,1.92
Karl Joseph,10648,S,OAK,2,13,6.5,3.3,23,0,62.5,2,4,0,18,4,1.38
Kenny Moore II,51596,CB,IND,1,13,6.5,6.5,14,0,118.8,2,2,0,42,18,3.23
K'Waun Williams,9332,CB,SF,2,43,6.1,3.3,28,0,69.1,7,13,0,69,45,1.6
Damien Wilson,9560,LB,DAL,2,6,6.0,6.0,9,0,100.0,1,1,0,8,12,1.33
Mark Barron,7013,LB,LA,2,12,6.0,4.0,26,0,72.9,2,3,0,11,16,0.92
Aqib Talib,4334,CB,DEN,2,6,6.0,6.0,10,0,104.2,1,1,0,9,2,1.5
Vonn Bell,10695,S,NO,2,6,6.0,6.0,20,0,118.8,1,1,0,21,12,3.5
Ray-Ray Armstrong,8271,LB,SF,1,6,6.0,6.0,28,0,108.3,1,1,0,10,4,1.67
Ricardo Allen,8782,S,ATL,2,6,6.0,3.0,2,0,56.3,1,2,0,5,1,0.83
Sean Lee,5580,LB,DAL,2,6,6.0,6.0,9,0,87.5,1,1,0,5,10,0.83
Jordan Hicks,9517,LB,PHI,2,6,6.0,6.0,24,0,104.2,1,1,0,9,4,1.5
Kendall Fuller,10718,CB,WAS,2,41,5.9,3.7,32,0,68.8,7,11,0,36,35,0.88
Leonard Johnson,7385,CB,BUF,2,59,5.9,4.5,4,0,96.0,10,13,0,93,27,1.58
Desmond King II,11906,CB,LAC,2,29,5.8,4.8,27,0,106.3,5,6,0,57,48,1.97
P.J. Williams,9511,CB,NO,2,45,5.6,4.1,20,0,145.1,8,11,1,165,90,3.67
Will Parks,10853,S,DEN,2,39,5.6,4.9,10,0,92.7,7,8,0,50,7,1.28
Lavonte David,7060,LB,TB,1,11,5.5,5.5,30,0,79.2,2,2,0,5,5,0.45
Kenny Vaccaro,7796,S,NO,2,22,5.5,4.4,20,0,142.1,4,5,1,43,7,1.95
Kevin Byard,10698,S,TEN,2,15,5.0,3.8,31,0,82.3,3,4,0,17,5,1.13
Daniel Sorensen,9253,S,KC,2,10,5.0,3.3,16,0,125.0,2,3,1,20,2,2.0
Alex Anzalone,11831,LB,NO,2,10,5.0,5.0,20,0,158.3,2,2,2,72,35,7.2
Jonathan Casillas,5422,LB,NYG,2,5,5.0,5.0,21,0,83.3,1,1,0,4,2,0.8
Devin McCourty,5552,S,NE,2,25,5.0,5.0,19,0,158.3,5,5,2,113,39,4.52
Shawn Williams,7865,S,CIN,1,5,5.0,5.0,7,0,79.2,1,1,0,2,0,0.4
Derrick Kindred,10763,S,CLV,2,5,5.0,5.0,8,0,118.8,1,1,0,13,4,2.6
Eric Murray,10740,S,KC,2,15,5.0,3.0,16,0,104.2,3,5,0,76,24,5.07
D.J. Swearinger Sr.,7838,S,WAS,2,10,5.0,5.0,32,0,118.8,2,2,0,36,9,3.6
Jamie Collins Sr.,7833,LB,CLV,2,15,5.0,3.8,8,0,77.1,3,4,0,9,14,0.6
Justin Simmons,10732,S,DEN,2,10,5.0,5.0,10,0,83.3,2,2,0,8,6,0.8
Nick Vigil,10721,LB,CIN,2,5,5.0,2.5,7,0,70.8,1,2,0,13,8,2.6
Darian Stewart,5820,S,DEN,2,14,4.7,4.7,10,0,90.3,3,3,0,17,5,1.21
Bradley Roby,8666,CB,DEN,2,9,4.5,1.8,10,0,57.9,2,5,0,27,5,3.0
Telvin Smith Sr.,8779,LB,JAX,2,13,4.3,3.3,15,0,138.5,3,4,1,33,21,2.54
Malcolm Butler,9040,CB,NE,2,8,4.0,4.0,19,0,154.2,2,2,1,23,16,2.88
Tyrell Adams,10140,LB,OAK,2,4,4.0,4.0,23,0,108.3,1,1,0,10,13,2.5
Kurt Coleman,5767,S,CAR,2,4,4.0,4.0,5,0,108.3,1,1,0,10,15,2.5
