player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
C.J. Anderson,8101,HB,DEN,2,45,10,3,34.7,69,0,199,0,1,10,140,69.8,4,11,10,0,21,82.6,75.6,78.9,,86.2,69.9,72.5,60.0,28,0,43,4,42,49,0,0,5,49,1,199,140,3.11,4.4,1.02,22
Leonard Fournette,11759,HB,JAX,2,40,7,1,12.1,17,0,140,1,1,7,99,44.0,2,5,15,1,15,53.9,57.2,77.8,,77.2,54.0,57.6,60.0,17,0,45,5,28,46,0,0,6,45,2,140,99,2.48,3.5,1.61,25
Le'Veon Bell,7829,HB,PIT,2,37,5,1,12.6,15,0,119,0,2,5,88,37.8,2,7,25,0,23,81.8,53.1,80.7,,70.8,59.2,50.7,60.0,15,0,19,7,50,44,0,0,10,44,0,119,88,2.38,3.2,0.38,12
Todd Gurley II,9443,HB,LA,2,35,4,1,14.1,18,0,128,0,3,4,84,39.1,3,7,26,3,17,21.5,61.4,78.2,,75.7,88.7,51.3,60.0,18,0,104,8,46,41,0,0,9,43,2,128,84,2.4,3.7,2.26,17
Lamar Miller,7097,HB,HST,2,35,3,1,15.1,19,0,126,0,1,3,82,23.4,1,4,13,0,6,81.0,69.0,78.9,,77.5,69.2,66.2,60.0,19,0,57,5,53,36,0,0,5,40,0,126,82,2.34,3.6,1.08,25
Javorius Allen,9558,HB,BLT,2,35,4,2,39.4,54,0,137,0,0,4,64,18.3,3,4,3,0,18,81.1,58.3,77.5,,59.9,70.1,55.8,60.0,37,0,35,5,22,38,0,0,6,40,0,137,64,1.83,3.9,1.59,14
LeSean McCoy,4976,HB,BUF,2,34,4,3,58.8,70,0,119,0,3,4,59,27.0,4,4,4,0,4,81.8,62.9,79.5,,76.2,73.2,58.0,60.0,27,0,83,11,43,39,0,0,12,45,0,119,59,1.74,3.5,1.93,28
Dalvin Cook,11796,HB,MIN,2,34,7,3,47.1,90,0,191,2,1,7,82,49.5,6,6,18,0,15,81.1,71.7,78.6,,51.0,28.7,84.6,60.0,33,0,10,5,32,41,0,0,8,39,0,191,82,2.41,5.6,0.31,19
Mike Gillislee,7946,HB,NE,2,33,3,1,14.0,16,0,114,0,0,3,66,18.2,2,9,19,0,15,80.8,64.6,73.8,,76.9,53.4,64.3,60.0,16,0,0,0,10,41,0,0,0,33,4,114,66,2.0,3.5,0.0,18
Ezekiel Elliott,10638,HB,DAL,2,33,7,0,0.0,0,0,112,0,1,7,90,51.9,1,7,9,0,12,80.9,62.2,80.6,,54.5,56.8,65.0,,10,0,50,9,76,33,0,0,10,42,0,112,90,2.73,3.4,0.66,19
